Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2022 Totals,59,274.0,245,36.0,60,14,1,12,1,1,26,84,3.23,0.245,0.319,0.457,0.776,112.0,2.0,1.0,1,1,2,2,0.32,100,118,33
Platoon Splits,vs RHB,57,156.0,137,28.0,37,10,1,9,0,0,17,47,2.76,0.27,0.348,0.555,0.903,76.0,2.0,0.0,1,1,1,1,0.342,131,150,17
Platoon Splits,vs LHB,56,118.0,108,7.0,23,4,0,3,1,1,9,37,4.11,0.213,0.28,0.333,0.613,36.0,0.0,1.0,0,0,1,1,0.294,61,76,16
Platoon Splits,vs RHB as RHP,57,156.0,137,28.0,37,10,1,9,0,0,17,47,2.76,0.27,0.348,0.555,0.903,76.0,2.0,0.0,1,1,1,1,0.342,131,155,17
Platoon Splits,vs LHB as RHP,56,118.0,108,7.0,23,4,0,3,1,1,9,37,4.11,0.213,0.28,0.333,0.613,36.0,0.0,1.0,0,0,1,1,0.294,61,74,16
Home or Away,Home,33,163.0,149,20.0,37,8,1,7,0,0,13,52,4.0,0.248,0.307,0.456,0.763,68.0,2.0,0.0,0,1,0,1,0.33,96,118,21
Home or Away,Away,26,111.0,96,16.0,23,6,0,5,1,1,13,32,2.46,0.24,0.336,0.458,0.795,44.0,0.0,1.0,1,0,2,1,0.305,106,120,12
First or Second Half,1st Half,34,143.0,127,22.0,29,6,1,8,1,1,16,48,3.0,0.228,0.315,0.48,0.795,61.0,0.0,0.0,0,0,0,1,0.296,104,123,14
First or Second Half,2nd Half,25,131.0,118,14.0,31,8,0,4,0,0,10,36,3.6,0.263,0.323,0.432,0.755,51.0,2.0,1.0,1,1,2,1,0.342,96,113,19
Months,April/March,6,26.0,20,2.0,3,1,1,1,0,0,6,7,1.17,0.15,0.346,0.45,0.796,9.0,0.0,0.0,0,0,0,0,0.167,107,135,0
Months,May,11,50.0,45,4.0,10,2,0,3,0,0,5,15,3.0,0.222,0.3,0.467,0.767,21.0,0.0,0.0,0,0,0,1,0.259,96,113,5
Months,June,10,39.0,35,12.0,9,2,0,2,1,0,4,12,3.0,0.257,0.333,0.486,0.819,17.0,0.0,0.0,0,0,0,0,0.333,111,125,5
Months,July,11,43.0,41,4.0,10,2,0,2,0,1,2,19,9.5,0.244,0.279,0.439,0.718,18.0,0.0,0.0,0,0,0,1,0.4,84,99,6
Months,August,12,67.0,61,11.0,21,4,0,3,0,0,4,14,3.5,0.344,0.379,0.557,0.936,34.0,2.0,0.0,1,1,1,0,0.4,141,163,14
Months,Sept/Oct,9,49.0,43,3.0,7,3,0,1,0,0,5,17,3.4,0.163,0.265,0.302,0.568,13.0,0.0,1.0,0,0,1,0,0.24,49,63,3
Game Outcome for Pitcher,in Wins,4,21.0,20,0.0,4,0,0,0,0,1,1,6,6.0,0.2,0.238,0.2,0.438,4.0,1.0,0.0,0,0,0,0,0.286,18,66,4
Game Outcome for Pitcher,in Losses,6,28.0,23,11.0,10,1,1,4,0,0,4,3,0.75,0.435,0.519,1.087,1.606,25.0,0.0,0.0,1,0,1,0,0.375,301,221,4
Game Outcome for Pitcher,in No Dec.,40,186.0,170,24.0,39,11,0,7,0,0,14,64,4.57,0.229,0.29,0.418,0.708,71.0,1.0,1.0,0,1,1,2,0.32,82,104,21
Game Outcome for Pitcher,in Saves,9,39.0,32,1.0,7,2,0,1,1,0,7,11,1.57,0.219,0.359,0.375,0.734,12.0,0.0,0.0,0,0,0,0,0.3,95,252,4
Game Outcome for Pitcher,in Sv Situ,23,100.0,85,18.0,24,5,0,6,1,0,15,25,1.67,0.282,0.39,0.553,0.943,47.0,0.0,0.0,0,0,0,1,0.333,143,186,13
Game Outcome for Pitcher,in non-Sv,36,174.0,160,18.0,36,9,1,6,0,1,11,59,5.36,0.225,0.278,0.406,0.684,65.0,2.0,1.0,1,1,2,1,0.313,76,92,20
Pitching Role,as Reliever,59,274.0,245,36.0,60,14,1,12,1,1,26,84,3.23,0.245,0.319,0.457,0.776,112.0,2.0,1.0,1,1,2,2,0.32,100,123,33
Batting Order Positions,Batting 1st,32,33.0,26,2.0,7,3,0,1,1,0,5,7,1.4,0.269,0.375,0.5,0.875,13.0,0.0,0.0,1,1,0,0,0.316,127,145,3
Batting Order Positions,Batting 2nd,33,34.0,30,7.0,9,2,0,1,0,0,4,9,2.25,0.3,0.382,0.467,0.849,14.0,1.0,0.0,0,0,2,0,0.4,122,124,6
Batting Order Positions,Batting 3rd,27,28.0,26,7.0,8,0,0,3,0,0,2,4,2.0,0.308,0.357,0.654,1.011,17.0,0.0,0.0,0,0,0,1,0.263,155,158,5
Batting Order Positions,Batting 4th,27,28.0,27,6.0,10,4,0,2,0,0,1,9,9.0,0.37,0.393,0.741,1.134,20.0,0.0,0.0,0,0,0,0,0.5,185,200,4
Batting Order Positions,Batting 5th,28,28.0,26,1.0,3,2,0,0,0,0,2,14,7.0,0.115,0.179,0.192,0.371,5.0,1.0,0.0,0,0,0,1,0.25,-2,7,1
Batting Order Positions,Batting 6th,31,30.0,25,3.0,5,1,0,1,0,1,5,8,1.6,0.2,0.333,0.36,0.693,9.0,0.0,0.0,0,0,0,0,0.25,83,102,3
Batting Order Positions,Batting 7th,31,31.0,30,4.0,8,0,0,3,0,0,1,9,9.0,0.267,0.29,0.567,0.857,17.0,0.0,0.0,0,0,0,0,0.278,115,149,5
Batting Order Positions,Batting 8th,29,29.0,27,2.0,6,0,1,0,0,0,2,13,6.5,0.222,0.276,0.296,0.572,8.0,0.0,0.0,0,0,0,0,0.429,51,75,5
Batting Order Positions,Batting 9th,33,33.0,28,3.0,4,2,0,1,0,0,4,11,2.75,0.143,0.273,0.321,0.594,9.0,0.0,1.0,0,0,0,0,0.188,56,87,1
Batting Order Positions,"Bat1-2,non-P",37,67.0,56,9.0,16,5,0,2,1,0,9,16,1.78,0.286,0.379,0.482,0.861,27.0,1.0,0.0,1,1,2,0,0.359,124,134,9
Batting Order Positions,"Bat3-6,non-P",46,114.0,104,17.0,26,7,0,6,0,1,10,35,3.5,0.25,0.316,0.49,0.806,51.0,1.0,0.0,0,0,0,2,0.318,106,120,13
Batting Order Positions,"Bat7-9,non-P",46,93.0,85,9.0,18,2,1,4,0,0,7,33,4.71,0.212,0.28,0.4,0.68,34.0,0.0,1.0,0,0,0,0,0.292,75,106,11
Swung or Took First Pitch of PA,Swung at 1st Pitch,48,107.0,101,14.0,28,8,1,6,,,5,37,7.4,0.277,0.318,0.555,0.872,56.0,2.0,1.0,0,0,0,1,0.379,121,145,13
Swung or Took First Pitch of PA,Took 1st Pitch,58,167.0,144,21.0,32,6,0,6,,,21,47,2.24,0.222,0.319,0.389,0.708,56.0,0.0,0.0,1,1,2,1,0.283,85,100,20
Count/Balls-Strikes,First Pitch,18,26.0,26,6.0,11,3,0,2,,,0,0,,0.423,0.423,0.769,1.192,20.0,0.0,0.0,0,0,0,1,0.375,201,160,6
Count/Balls-Strikes,1-0 Count,16,19.0,17,7.0,9,4,0,2,,,0,0,,0.529,0.5,1.118,1.618,19.0,0.0,0.0,1,1,0,0,0.438,301,241,3
Count/Balls-Strikes,2-0 Count,3,3.0,3,1.0,1,0,0,0,,,0,0,,0.333,0.333,0.333,0.667,1.0,0.0,0.0,0,0,0,0,0.333,77,51,1
Count/Balls-Strikes,3-0 Count,3,3.0,0,0.0,0,0,0,0,,,3,0,0.0,,1.0,,,0.0,0.0,0.0,0,0,2,0,,,,0
Count/Balls-Strikes,0-1 Count,18,23.0,23,3.0,8,0,0,3,,,0,0,,0.348,0.348,0.739,1.087,17.0,0.0,0.0,0,0,0,0,0.25,171,154,5
Count/Balls-Strikes,1-1 Count,13,15.0,15,1.0,4,1,0,0,,,0,0,,0.267,0.267,0.333,0.6,5.0,0.0,0.0,0,0,0,0,0.267,57,47,3
Count/Balls-Strikes,2-1 Count,11,11.0,11,1.0,4,1,0,0,,,0,0,,0.364,0.364,0.455,0.818,5.0,0.0,0.0,0,0,0,0,0.364,114,87,3
Count/Balls-Strikes,3-1 Count,8,9.0,2,1.0,0,0,0,0,,,7,0,0.0,0.0,0.778,0.0,0.778,0.0,0.0,0.0,0,0,0,0,0.0,144,10,0
Count/Balls-Strikes,0-2 Count,26,30.0,30,3.0,5,1,0,0,,,0,19,,0.167,0.167,0.2,0.367,6.0,0.0,0.0,0,0,0,0,0.455,-4,94,4
Count/Balls-Strikes,1-2 Count,29,47.0,46,4.0,7,2,0,2,,,0,24,,0.152,0.17,0.326,0.496,15.0,0.0,1.0,0,0,0,1,0.25,25,134,3
Count/Balls-Strikes,2-2 Count,34,46.0,46,1.0,7,2,1,0,,,0,26,,0.152,0.152,0.239,0.391,11.0,2.0,0.0,0,0,0,0,0.35,0,74,4
Count/Balls-Strikes,Full Count,29,42.0,26,7.0,4,0,0,3,,,16,15,0.94,0.154,0.476,0.5,0.976,13.0,0.0,0.0,0,0,0,0,0.125,159,159,1
Count/Balls-Strikes,After 1-0,46,100.0,80,17.0,22,6,0,4,,,18,24,1.33,0.275,0.404,0.5,0.904,40.0,0.0,0.0,1,1,2,1,0.34,136,126,12
Count/Balls-Strikes,After 2-0,24,30.0,18,5.0,4,0,0,0,,,12,5,0.42,0.222,0.533,0.222,0.756,4.0,0.0,0.0,0,0,2,0,0.308,116,57,4
Count/Balls-Strikes,After 3-0,8,10.0,4,3.0,1,0,0,0,,,6,1,0.17,0.25,0.7,0.25,0.95,1.0,0.0,0.0,0,0,2,0,0.333,174,48,1
Count/Balls-Strikes,After 0-1,54,148.0,139,12.0,27,5,1,6,,,8,60,7.5,0.194,0.243,0.374,0.617,52.0,2.0,1.0,0,0,0,0,0.288,58,106,15
Count/Balls-Strikes,After 1-1,52,101.0,90,9.0,18,5,1,3,,,11,34,3.09,0.2,0.287,0.378,0.665,34.0,2.0,0.0,0,0,0,1,0.283,73,100,9
Count/Balls-Strikes,After 2-1,32,50.0,36,3.0,6,1,0,1,,,14,15,1.07,0.167,0.4,0.278,0.678,10.0,0.0,0.0,0,0,0,0,0.25,86,74,4
Count/Balls-Strikes,After 3-1,19,25.0,11,5.0,2,0,0,1,,,14,7,0.5,0.182,0.64,0.455,1.095,5.0,0.0,0.0,0,0,0,0,0.333,200,112,1
Count/Balls-Strikes,After 0-2,42,75.0,71,5.0,10,2,0,2,,,3,45,15.0,0.141,0.187,0.254,0.44,18.0,0.0,1.0,0,0,0,0,0.333,14,102,6
Count/Balls-Strikes,After 1-2,47,98.0,91,8.0,15,4,1,4,,,6,49,8.17,0.165,0.225,0.363,0.587,33.0,2.0,1.0,0,0,0,1,0.29,50,139,6
Count/Balls-Strikes,After 2-2,45,72.0,63,4.0,9,2,1,2,,,9,34,3.78,0.143,0.25,0.302,0.552,19.0,2.0,0.0,0,0,0,0,0.259,45,94,4
Count/Balls-Strikes,Zero Balls,47,79.0,79,12.0,24,4,0,5,,,0,19,,0.304,0.304,0.544,0.848,43.0,0.0,0.0,0,0,0,1,0.346,114,135,15
Count/Balls-Strikes,Zero Strikes,35,51.0,46,14.0,21,7,0,4,,,3,0,0.0,0.457,0.48,0.87,1.35,40.0,0.0,0.0,1,1,2,1,0.395,241,174,10
Count/Balls-Strikes,Three Balls,33,54.0,28,8.0,4,0,0,3,,,26,15,0.58,0.143,0.556,0.464,1.02,13.0,0.0,0.0,0,0,2,0,0.1,176,124,1
Count/Balls-Strikes,Two Strikes,57,165.0,148,15.0,23,5,1,5,,,16,84,5.25,0.155,0.242,0.304,0.547,45.0,2.0,1.0,0,0,0,1,0.305,42,116,12
Count/Balls-Strikes,Batter Ahead,42,87.0,59,17.0,18,5,0,5,,,26,15,0.58,0.305,0.512,0.644,1.156,38.0,0.0,0.0,1,1,2,0,0.325,201,142,8
Count/Balls-Strikes,Even Count,46,87.0,87,8.0,22,6,1,2,,,0,26,,0.253,0.253,0.414,0.667,36.0,2.0,0.0,0,0,0,1,0.339,70,92,13
Count/Balls-Strikes,Pitcher Ahead,48,100.0,99,10.0,20,3,0,5,,,0,43,,0.202,0.21,0.384,0.594,38.0,0.0,1.0,0,0,0,1,0.294,50,128,12
Leading Off Inning,First Batter,59,59.0,53,4.0,6,2,0,2,,,5,22,4.4,0.113,0.19,0.264,0.454,14.0,0.0,0.0,1,0,0,1,0.138,17,31,2
Leading Off Inning,Leadoff Inn.,55,66.0,60,3.0,11,3,0,2,,,5,25,5.0,0.183,0.246,0.333,0.58,20.0,0.0,0.0,1,0,0,1,0.273,50,67,6
Opposition Defensive Position,vs. Non-P,59,274.0,245,35.0,60,14,1,12,1,1,26,84,3.23,0.245,0.319,0.457,0.776,112.0,2.0,1.0,1,1,2,2,0.32,100,118,33
Number of Outs in Inning,0 outs,56,88.0,81,10.0,18,5,0,3,0,0,6,30,5.0,0.222,0.276,0.395,0.671,32.0,0.0,0.0,1,0,0,1,0.313,73,88,10
Number of Outs in Inning,1 out,55,102.0,90,16.0,28,6,0,6,0,0,11,26,2.36,0.311,0.382,0.578,0.96,52.0,2.0,0.0,0,1,2,1,0.373,146,168,16
Number of Outs in Inning,2 outs,55,84.0,74,9.0,14,3,1,3,1,1,9,28,3.11,0.189,0.286,0.378,0.664,28.0,0.0,1.0,0,0,0,0,0.256,72,89,7
Bases Occupied,RISP,32,74.0,62,23.0,16,4,0,3,0,0,10,19,1.9,0.258,0.356,0.468,0.824,29.0,1.0,0.0,1,1,2,0,0.317,114,122,9
Bases Occupied,---,54,157.0,144,6.0,33,9,1,6,0,0,12,55,4.58,0.229,0.293,0.431,0.724,62.0,0.0,1.0,0,0,0,2,0.325,86,110,17
Bases Occupied,Men On,43,117.0,101,29.0,27,5,0,6,1,1,14,29,2.07,0.267,0.353,0.495,0.848,50.0,2.0,0.0,1,1,2,0,0.313,119,129,16
Bases Occupied,1--,29,43.0,39,6.0,11,1,0,3,1,1,4,10,2.5,0.282,0.349,0.539,0.887,21.0,1.0,0.0,0,0,0,0,0.308,127,141,7
Bases Occupied,-2-,18,26.0,22,6.0,5,1,0,1,0,0,3,6,2.0,0.227,0.32,0.409,0.729,9.0,0.0,0.0,1,0,1,0,0.267,90,102,3
Bases Occupied,--3,8,8.0,5,3.0,2,0,0,1,0,0,3,1,0.33,0.4,0.625,1.0,1.625,5.0,0.0,0.0,0,0,1,0,0.333,315,290,1
Bases Occupied,12-,13,16.0,14,5.0,4,1,0,1,0,0,2,4,2.0,0.286,0.375,0.571,0.946,8.0,1.0,0.0,0,0,0,0,0.333,143,161,2
Bases Occupied,1-3,6,11.0,9,5.0,4,2,0,0,0,0,1,2,2.0,0.444,0.455,0.667,1.121,6.0,0.0,0.0,0,1,0,0,0.5,189,191,2
Bases Occupied,-23,4,5.0,5,3.0,1,0,0,0,0,0,0,2,,0.2,0.2,0.2,0.4,1.0,0.0,0.0,0,0,0,0,0.333,7,7,1
Bases Occupied,123,5,8.0,7,1.0,0,0,0,0,0,0,1,4,4.0,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0,0,0,0,0.0,-61,-60,0
Bases Occupied,"on 1st, <2 out",27,49.0,43,14.0,15,4,0,3,0,0,5,9,1.8,0.349,0.408,0.651,1.059,28.0,2.0,0.0,0,1,0,0,0.375,170,178,8
Bases Occupied,"on 3rd, <2 out",10,18.0,13,8.0,5,2,0,0,0,0,4,3,0.75,0.385,0.5,0.539,1.039,7.0,0.0,0.0,0,1,1,0,0.455,175,155,3
Bases Occupied,"on 3rd, 2 out",13,14.0,13,4.0,2,0,0,1,0,0,1,6,6.0,0.154,0.214,0.385,0.599,5.0,0.0,0.0,0,0,0,0,0.167,51,63,1
Bases Occupied,"0 out, ---",53,65.0,60,1.0,10,3,0,1,0,0,5,26,5.2,0.167,0.231,0.267,0.498,16.0,0.0,0.0,0,0,0,1,0.273,31,45,6
Bases Occupied,"0 out, 1--",10,10.0,9,2.0,4,1,0,1,0,0,1,0,0.0,0.444,0.5,0.889,1.389,8.0,0.0,0.0,0,0,0,0,0.375,251,264,2
Bases Occupied,"0 out, -2-",6,7.0,6,2.0,1,0,0,1,0,0,0,3,,0.167,0.167,0.667,0.833,4.0,0.0,0.0,1,0,0,0,0.0,98,123,0
Bases Occupied,"0 out, 12-",2,1.0,1,1.0,1,0,0,0,0,0,0,0,,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0,0,0,0,1.0,432,444,1
Bases Occupied,"0 out, 1-3",3,3.0,3,1.0,1,1,0,0,0,0,0,1,,0.333,0.333,0.667,1.0,2.0,0.0,0.0,0,0,0,0,0.5,150,150,0
Bases Occupied,"0 out, -23",2,2.0,2,3.0,1,0,0,0,0,0,0,0,,0.5,0.5,0.5,1.0,1.0,0.0,0.0,0,0,0,0,0.5,166,176,1
Bases Occupied,"1 out, ---",45,55.0,52,4.0,17,3,0,4,0,0,3,16,5.33,0.327,0.364,0.615,0.979,32.0,0.0,0.0,0,0,0,1,0.406,149,188,10
Bases Occupied,"1 out, 1--",19,19.0,17,2.0,4,0,0,1,0,0,2,7,3.5,0.235,0.316,0.412,0.728,7.0,1.0,0.0,0,0,0,0,0.333,89,96,3
Bases Occupied,"1 out, -2-",7,8.0,7,2.0,2,1,0,0,0,0,1,1,1.0,0.286,0.375,0.429,0.804,3.0,0.0,0.0,0,0,1,0,0.333,111,121,1
Bases Occupied,"1 out, --3",3,3.0,0,0.0,0,0,0,0,0,0,3,0,0.0,,1.0,,,0.0,0.0,0.0,0,0,1,0,,,,0
Bases Occupied,"1 out, 12-",7,7.0,6,4.0,2,1,0,1,0,0,1,0,0.0,0.333,0.429,1.0,1.429,6.0,1.0,0.0,0,0,0,0,0.2,253,278,0
Bases Occupied,"1 out, 1-3",5,7.0,5,4.0,3,1,0,0,0,0,1,1,1.0,0.6,0.571,0.8,1.371,4.0,0.0,0.0,0,1,0,0,0.6,254,225,2
Bases Occupied,"1 out, -23",1,1.0,1,0.0,0,0,0,0,0,0,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,-100,-100,0
Bases Occupied,"1 out, 123",2,2.0,2,0.0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-100,-100,0
Bases Occupied,"2 out, ---",35,37.0,32,1.0,6,3,1,1,0,0,4,13,3.25,0.188,0.297,0.438,0.735,14.0,0.0,1.0,0,0,0,0,0.278,89,111,1
Bases Occupied,"2 out, 1--",17,14.0,13,2.0,3,0,0,1,1,1,1,3,3.0,0.231,0.286,0.462,0.747,6.0,0.0,0.0,0,0,0,0,0.222,91,112,2
Bases Occupied,"2 out, -2-",10,11.0,9,2.0,2,0,0,0,0,0,2,2,1.0,0.222,0.364,0.222,0.586,2.0,0.0,0.0,0,0,0,0,0.286,63,67,2
Bases Occupied,"2 out, --3",5,5.0,5,3.0,2,0,0,1,0,0,0,1,,0.4,0.4,1.0,1.4,5.0,0.0,0.0,0,0,0,0,0.333,244,260,1
Bases Occupied,"2 out, 12-",8,8.0,7,0.0,1,0,0,0,0,0,1,4,4.0,0.143,0.25,0.143,0.393,1.0,0.0,0.0,0,0,0,0,0.333,10,17,1
Bases Occupied,"2 out, 1-3",1,1.0,1,0.0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-100,-100,0
Bases Occupied,"2 out, -23",2,2.0,2,0.0,0,0,0,0,0,0,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-100,-100,0
Bases Occupied,"2 out, 123",5,6.0,5,1.0,0,0,0,0,0,0,1,4,4.0,0.0,0.167,0.0,0.167,0.0,0.0,0.0,0,0,0,0,0.0,-48,-46,0
Clutch Stats,"2 outs, RISP",26,33.0,29,6.0,5,0,0,1,0,0,4,12,3.0,0.172,0.273,0.276,0.549,8.0,0.0,0.0,0,0,0,0,0.25,46,55,4
Clutch Stats,Late & Close,27,105.0,86,14.0,19,4,1,5,1,1,18,27,1.5,0.221,0.356,0.465,0.821,40.0,0.0,0.0,1,0,1,0,0.259,113,142,9
Clutch Stats,Tie Game,14,45.0,37,6.0,9,2,1,2,0,1,7,13,1.86,0.243,0.364,0.514,0.877,19.0,0.0,0.0,1,0,1,0,0.318,127,149,4
Clutch Stats,Within 1 R,30,120.0,99,14.0,20,4,1,5,1,1,20,35,1.75,0.202,0.336,0.414,0.75,41.0,0.0,0.0,1,0,1,1,0.254,96,113,10
Clutch Stats,Within 2 R,37,154.0,133,22.0,30,5,1,9,1,1,20,45,2.25,0.226,0.327,0.481,0.808,64.0,0.0,0.0,1,0,1,1,0.266,108,127,15
