Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2022 Totals,77,271.0,258,18.0,43,6,0,3,4,0,10,77,7.7,0.167,0.2,0.225,0.425,58.0,9.0,1.0,1,1,2,4,0.224,100,21,34
Platoon Splits,vs RHB,74,154.0,146,11.0,23,6,0,1,2,0,6,42,7.0,0.158,0.195,0.219,0.414,32.0,6.0,1.0,0,1,2,3,0.212,95,17,16
Platoon Splits,vs LHB,69,117.0,112,9.0,20,0,0,2,2,0,4,35,8.75,0.179,0.207,0.232,0.439,26.0,3.0,0.0,1,0,0,1,0.24,107,27,18
Platoon Splits,vs RHB as RHP,74,154.0,146,11.0,23,6,0,1,2,0,6,42,7.0,0.158,0.195,0.219,0.414,32.0,6.0,1.0,0,1,2,3,0.212,95,19,16
Platoon Splits,vs LHB as RHP,69,117.0,112,9.0,20,0,0,2,2,0,4,35,8.75,0.179,0.207,0.232,0.439,26.0,3.0,0.0,1,0,0,1,0.24,107,25,18
Home or Away,Home,38,133.0,130,3.0,14,3,0,0,2,0,3,44,14.67,0.108,0.128,0.131,0.259,17.0,3.0,0.0,0,0,0,3,0.163,22,-25,11
Home or Away,Away,39,138.0,128,15.0,29,3,0,3,2,0,7,33,4.71,0.227,0.27,0.32,0.59,41.0,6.0,1.0,1,1,2,1,0.28,177,65,23
First or Second Half,1st Half,40,145.0,138,9.0,23,4,0,2,2,0,6,41,6.83,0.167,0.201,0.239,0.441,33.0,5.0,0.0,1,0,1,3,0.221,107,25,17
First or Second Half,2nd Half,37,126.0,120,9.0,20,2,0,1,2,0,4,36,9.0,0.167,0.198,0.208,0.407,25.0,4.0,1.0,0,1,1,1,0.226,91,16,17
Months,April/March,9,32.0,30,5.0,8,3,0,1,1,0,2,7,3.5,0.267,0.313,0.467,0.779,14.0,0.0,0.0,0,0,0,0,0.318,264,129,4
Months,May,11,43.0,40,3.0,7,0,0,0,1,0,2,13,6.5,0.175,0.214,0.175,0.389,7.0,0.0,0.0,1,0,1,0,0.259,85,12,7
Months,June,15,51.0,51,0.0,7,1,0,0,0,0,0,16,,0.137,0.137,0.157,0.294,8.0,5.0,0.0,0,0,0,2,0.2,38,-18,6
Months,July,10,34.0,32,1.0,2,0,0,1,0,0,2,9,4.5,0.063,0.118,0.156,0.274,5.0,1.0,0.0,0,0,0,1,0.046,28,-23,1
Months,August,13,39.0,39,2.0,5,2,0,0,0,0,0,12,,0.128,0.128,0.18,0.308,7.0,1.0,0.0,0,0,0,1,0.185,44,-14,3
Months,Sept/Oct,19,72.0,66,7.0,14,0,0,1,2,0,4,20,5.0,0.212,0.264,0.258,0.522,17.0,2.0,1.0,0,1,1,0,0.283,147,51,13
Game Outcome for Pitcher,in Wins,3,15.0,13,3.0,4,0,0,0,1,0,1,2,2.0,0.308,0.357,0.308,0.665,4.0,0.0,0.0,1,0,1,0,0.364,215,152,4
Game Outcome for Pitcher,in Losses,4,14.0,9,6.0,6,1,0,0,1,0,4,1,0.25,0.667,0.714,0.778,1.492,7.0,0.0,0.0,0,1,1,0,0.667,603,217,5
Game Outcome for Pitcher,in No Dec.,28,98.0,95,5.0,13,2,0,2,1,0,3,31,10.33,0.137,0.163,0.221,0.384,21.0,2.0,0.0,0,0,0,1,0.177,80,11,9
Game Outcome for Pitcher,in Saves,42,144.0,141,4.0,20,3,0,1,1,0,2,43,21.5,0.142,0.16,0.184,0.344,26.0,7.0,1.0,0,0,0,3,0.196,62,65,16
Game Outcome for Pitcher,in Sv Situ,46,166.0,156,11.0,26,4,0,1,3,0,7,45,6.43,0.167,0.206,0.212,0.418,33.0,7.0,1.0,1,1,2,3,0.225,97,28,21
Game Outcome for Pitcher,in non-Sv,31,105.0,102,7.0,17,2,0,2,1,0,3,32,10.67,0.167,0.191,0.245,0.436,25.0,2.0,0.0,0,0,0,1,0.221,104,23,13
Pitching Role,as Reliever,77,271.0,258,18.0,43,6,0,3,4,0,10,77,7.7,0.167,0.2,0.225,0.425,58.0,9.0,1.0,1,1,2,4,0.224,100,23,34
Batting Order Positions,Batting 1st,28,28.0,26,3.0,6,1,0,0,0,0,2,5,2.5,0.231,0.286,0.269,0.555,7.0,0.0,0.0,0,0,1,0,0.286,163,58,5
Batting Order Positions,Batting 2nd,28,28.0,26,1.0,2,0,0,0,1,0,2,9,4.5,0.077,0.143,0.077,0.22,2.0,1.0,0.0,0,0,1,2,0.118,6,-39,2
Batting Order Positions,Batting 3rd,28,28.0,27,5.0,7,0,0,1,0,0,0,3,,0.259,0.25,0.37,0.62,10.0,2.0,0.0,0,1,0,1,0.25,189,61,6
Batting Order Positions,Batting 4th,26,26.0,25,0.0,1,1,0,0,0,0,0,7,,0.04,0.077,0.08,0.157,2.0,1.0,1.0,0,0,0,0,0.056,-26,-57,0
Batting Order Positions,Batting 5th,29,29.0,27,3.0,3,1,0,0,0,0,2,7,3.5,0.111,0.172,0.148,0.321,4.0,1.0,0.0,0,0,0,0,0.15,52,-6,2
Batting Order Positions,Batting 6th,31,31.0,31,0.0,5,0,0,0,1,0,0,12,,0.161,0.161,0.161,0.323,5.0,0.0,0.0,0,0,0,0,0.263,52,-6,5
Batting Order Positions,Batting 7th,39,39.0,37,3.0,10,1,0,2,1,0,2,13,6.5,0.27,0.308,0.46,0.767,17.0,2.0,0.0,0,0,0,0,0.364,258,126,7
Batting Order Positions,Batting 8th,30,30.0,28,3.0,4,2,0,0,1,0,2,7,3.5,0.143,0.2,0.214,0.414,6.0,1.0,0.0,0,0,0,0,0.191,95,27,2
Batting Order Positions,Batting 9th,32,32.0,31,2.0,5,0,0,0,0,0,0,14,,0.161,0.161,0.161,0.323,5.0,1.0,0.0,1,0,0,1,0.294,52,2,5
Batting Order Positions,"Bat1-2,non-P",35,56.0,52,4.0,8,1,0,0,1,0,4,14,3.5,0.154,0.214,0.173,0.387,9.0,1.0,0.0,0,0,2,2,0.211,84,8,7
Batting Order Positions,"Bat3-6,non-P",56,114.0,110,8.0,16,2,0,1,1,0,2,29,14.5,0.146,0.167,0.191,0.358,21.0,4.0,1.0,0,1,0,1,0.185,68,-1,13
Batting Order Positions,"Bat7-9,non-P",52,101.0,96,8.0,19,3,0,2,2,0,4,34,8.5,0.198,0.23,0.292,0.522,28.0,4.0,0.0,1,0,0,1,0.283,145,59,14
Swung or Took First Pitch of PA,Swung at 1st Pitch,66,113.0,110,11.0,22,2,0,3,,,0,35,,0.2,0.205,0.3,0.505,33.0,5.0,1.0,1,1,0,1,0.26,136,44,17
Swung or Took First Pitch of PA,Took 1st Pitch,71,158.0,148,8.0,21,4,0,0,,,10,42,4.2,0.142,0.196,0.169,0.365,25.0,4.0,0.0,0,0,2,3,0.198,73,4,17
Count/Balls-Strikes,First Pitch,28,33.0,32,4.0,10,1,0,1,,,0,0,,0.313,0.313,0.438,0.75,14.0,3.0,0.0,1,0,0,1,0.29,251,69,8
Count/Balls-Strikes,1-0 Count,20,20.0,20,2.0,2,0,0,0,,,0,0,,0.1,0.1,0.1,0.2,2.0,0.0,0.0,0,0,0,0,0.1,-6,-53,2
Count/Balls-Strikes,2-0 Count,3,3.0,3,1.0,1,0,0,0,,,0,0,,0.333,0.333,0.333,0.667,1.0,0.0,0.0,0,0,0,0,0.333,215,51,1
Count/Balls-Strikes,3-0 Count,3,4.0,0,0.0,0,0,0,0,,,4,0,0.0,,1.0,,,0.0,0.0,0.0,0,0,2,0,,,,0
