Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2013 Totals,67,292.0,255,29.0,55,9,0,11,5,1,30,98,3.27,0.216,0.303,0.38,0.684,97.0,2.0,3.0,2,2,1,2,0.297,100,91,35
Platoon Splits,vs RHB,59,128.0,113,15.0,33,5,0,5,5,1,9,36,4.0,0.292,0.357,0.469,0.826,53.0,0.0,3.0,2,1,0,0,0.384,141,133,23
Platoon Splits,vs LHB,66,164.0,142,15.0,22,4,0,6,0,0,21,62,2.95,0.155,0.262,0.31,0.572,44.0,2.0,0.0,0,1,1,2,0.213,68,59,12
Platoon Splits,vs RHB as RHP,59,128.0,113,15.0,33,5,0,5,5,1,9,36,4.0,0.292,0.357,0.469,0.826,53.0,0.0,3.0,2,1,0,0,0.384,141,138,23
Platoon Splits,vs LHB as RHP,66,164.0,142,15.0,22,4,0,6,0,0,21,62,2.95,0.155,0.262,0.31,0.572,44.0,2.0,0.0,0,1,1,2,0.213,68,55,12
Home or Away,Home,36,156.0,135,19.0,30,5,0,6,3,0,17,54,3.18,0.222,0.316,0.393,0.709,53.0,1.0,2.0,1,1,1,1,0.316,108,102,19
Home or Away,Away,31,136.0,120,10.0,25,4,0,5,2,1,13,44,3.38,0.208,0.289,0.367,0.656,44.0,1.0,1.0,1,1,0,1,0.278,92,81,16
First or Second Half,1st Half,39,171.0,146,13.0,26,4,0,5,3,1,21,61,2.9,0.178,0.282,0.308,0.591,45.0,0.0,1.0,1,2,0,2,0.256,74,66,17
First or Second Half,2nd Half,28,121.0,109,16.0,29,5,0,6,2,0,9,37,4.11,0.266,0.333,0.477,0.81,52.0,2.0,2.0,1,0,1,0,0.349,135,127,18
Months,April/March,10,48.0,39,3.0,7,1,0,2,2,0,8,14,1.75,0.18,0.319,0.359,0.678,14.0,0.0,0.0,1,0,0,1,0.217,100,90,4
Months,May,12,57.0,46,6.0,9,0,0,3,0,1,9,19,2.11,0.196,0.333,0.391,0.725,18.0,0.0,1.0,0,1,0,0,0.24,113,102,6
Months,June,14,51.0,47,4.0,9,2,0,0,0,0,3,19,6.33,0.192,0.235,0.234,0.469,11.0,0.0,0.0,0,1,0,0,0.31,39,33,7
Months,July,9,41.0,34,8.0,10,2,0,3,2,0,6,14,2.33,0.294,0.415,0.618,1.032,21.0,2.0,1.0,0,0,1,1,0.412,200,190,5
Months,August,11,46.0,43,4.0,11,2,0,0,1,0,2,14,7.0,0.256,0.304,0.302,0.607,13.0,0.0,1.0,0,0,0,0,0.379,80,71,9
Months,Sept/Oct,11,49.0,46,4.0,9,2,0,3,0,0,2,18,9.0,0.196,0.229,0.435,0.664,20.0,0.0,0.0,1,0,0,0,0.24,90,84,4
Game Outcome for Pitcher,in Wins,2,9.0,9,0.0,1,0,0,0,0,0,0,4,,0.111,0.111,0.111,0.222,1.0,0.0,0.0,0,0,0,0,0.2,-34,-21,1
Game Outcome for Pitcher,in Losses,4,18.0,16,10.0,9,1,0,4,0,0,1,0,0.0,0.563,0.611,1.375,1.986,22.0,1.0,1.0,0,0,1,0,0.417,464,305,4
Game Outcome for Pitcher,in No Dec.,24,105.0,91,12.0,23,3,0,3,5,0,13,31,2.38,0.253,0.346,0.385,0.731,35.0,0.0,0.0,1,0,0,0,0.351,116,111,17
Game Outcome for Pitcher,in Saves,37,160.0,139,7.0,22,5,0,4,0,1,16,63,3.94,0.158,0.252,0.281,0.532,39.0,1.0,2.0,1,2,0,2,0.243,57,131,13
