Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2022 Totals,65,253.0,227,18.0,38,7,0,7,6,2,23,88,3.83,0.167,0.245,0.291,0.536,66.0,5.0,1.0,0,2,1,2,0.231,100,52,24
Platoon Splits,vs RHB,64,173.0,153,14.0,27,4,0,4,5,1,17,57,3.35,0.177,0.26,0.281,0.541,43.0,5.0,1.0,0,2,1,2,0.245,103,53,19
Platoon Splits,vs LHB,52,80.0,74,7.0,11,3,0,3,1,1,6,31,5.17,0.149,0.213,0.311,0.523,23.0,0.0,0.0,0,0,0,0,0.2,94,49,5
Platoon Splits,vs RHB as RHP,64,173.0,153,14.0,27,4,0,4,5,1,17,57,3.35,0.177,0.26,0.281,0.541,43.0,5.0,1.0,0,2,1,2,0.245,103,56,19
Platoon Splits,vs LHB as RHP,52,80.0,74,7.0,11,3,0,3,1,1,6,31,5.17,0.149,0.213,0.311,0.523,23.0,0.0,0.0,0,0,0,0,0.2,94,47,5
Home or Away,Home,36,146.0,133,11.0,22,5,0,4,3,1,12,51,4.25,0.165,0.24,0.293,0.533,39.0,4.0,1.0,0,0,0,1,0.231,99,54,13
Home or Away,Away,29,107.0,94,7.0,16,2,0,3,3,1,11,37,3.36,0.17,0.252,0.287,0.54,27.0,1.0,0.0,0,2,1,1,0.232,102,51,11
First or Second Half,1st Half,39,142.0,127,9.0,23,4,0,4,3,1,13,44,3.38,0.181,0.254,0.307,0.561,39.0,3.0,0.0,0,2,0,1,0.235,109,59,15
First or Second Half,2nd Half,26,111.0,100,9.0,15,3,0,3,3,1,10,44,4.4,0.15,0.234,0.27,0.504,27.0,2.0,1.0,0,0,1,1,0.226,88,44,9
Months,April/March,9,36.0,31,3.0,8,1,0,1,0,0,4,9,2.25,0.258,0.333,0.387,0.72,12.0,1.0,0.0,0,1,0,0,0.318,169,113,6
Months,May,11,45.0,41,2.0,8,2,0,2,2,1,4,14,3.5,0.195,0.267,0.39,0.657,16.0,0.0,0.0,0,0,0,0,0.24,143,83,4
Months,June,12,38.0,35,2.0,5,1,0,0,0,0,3,11,3.67,0.143,0.211,0.171,0.382,6.0,1.0,0.0,0,0,0,1,0.208,45,9,4
Months,July,13,44.0,40,3.0,3,0,0,2,1,1,3,22,7.33,0.075,0.136,0.225,0.361,9.0,1.0,0.0,0,1,0,0,0.059,33,0,1
Months,August,13,53.0,50,2.0,7,0,0,2,0,0,2,20,10.0,0.14,0.189,0.26,0.449,13.0,2.0,1.0,0,0,0,1,0.179,67,27,5
Months,Sept/Oct,7,37.0,30,6.0,7,3,0,0,3,0,7,12,1.71,0.233,0.378,0.333,0.712,10.0,0.0,0.0,0,0,1,0,0.389,169,107,4
Game Outcome for Pitcher,in Wins,4,15.0,14,0.0,0,0,0,0,0,0,1,5,5.0,0.0,0.067,0.0,0.067,0.0,0.0,0.0,0,0,0,0,0.0,-73,-73,0
Game Outcome for Pitcher,in Losses,4,20.0,17,7.0,8,3,0,1,1,1,3,5,1.67,0.471,0.55,0.824,1.374,14.0,0.0,0.0,0,0,0,0,0.636,408,183,4
Game Outcome for Pitcher,in No Dec.,42,155.0,139,8.0,22,3,0,5,3,1,14,53,3.79,0.158,0.232,0.288,0.52,40.0,4.0,0.0,0,2,1,1,0.205,94,51,14
Game Outcome for Pitcher,in Saves,15,63.0,57,3.0,8,1,0,1,2,0,5,25,5.0,0.14,0.222,0.211,0.433,12.0,1.0,1.0,0,0,0,1,0.226,63,107,6
Game Outcome for Pitcher,in Sv Situ,31,130.0,117,9.0,19,3,0,2,4,0,11,50,4.55,0.162,0.239,0.239,0.478,28.0,1.0,1.0,0,1,1,1,0.258,79,47,14
Game Outcome for Pitcher,in non-Sv,34,123.0,110,9.0,19,4,0,5,2,2,12,38,3.17,0.173,0.252,0.346,0.598,38.0,4.0,0.0,0,1,0,1,0.206,121,69,10
Pitching Role,as Reliever,65,253.0,227,18.0,38,7,0,7,6,2,23,88,3.83,0.167,0.245,0.291,0.536,66.0,5.0,1.0,0,2,1,2,0.231,100,55,24
Batting Order Positions,Batting 1st,28,28.0,22,2.0,5,1,0,1,0,1,6,8,1.33,0.227,0.393,0.409,0.802,9.0,0.0,0.0,0,0,1,0,0.308,201,127,3
Batting Order Positions,Batting 2nd,34,34.0,32,1.0,4,1,0,1,0,0,2,13,6.5,0.125,0.177,0.25,0.427,8.0,2.0,0.0,0,0,0,2,0.167,58,12,2
Batting Order Positions,Batting 3rd,31,31.0,25,8.0,9,1,0,3,1,0,4,5,1.25,0.36,0.452,0.76,1.212,19.0,1.0,1.0,0,1,0,0,0.333,346,211,5
Batting Order Positions,Batting 4th,30,30.0,27,3.0,2,0,0,0,1,1,2,11,5.5,0.074,0.133,0.074,0.207,2.0,0.0,0.0,0,1,0,0,0.118,-20,-41,2
Batting Order Positions,Batting 5th,29,30.0,27,3.0,5,1,0,1,1,0,3,11,3.67,0.185,0.267,0.333,0.6,9.0,1.0,0.0,0,0,0,0,0.267,123,72,3
Batting Order Positions,Batting 6th,25,25.0,24,1.0,2,1,0,0,0,0,1,9,9.0,0.083,0.12,0.125,0.245,3.0,0.0,0.0,0,0,0,0,0.133,-8,-28,1
Batting Order Positions,Batting 7th,23,23.0,21,1.0,2,1,0,1,0,0,2,8,4.0,0.095,0.174,0.286,0.46,6.0,0.0,0.0,0,0,0,0,0.083,69,35,0
Batting Order Positions,Batting 8th,24,24.0,23,1.0,4,0,0,0,2,0,1,12,12.0,0.174,0.208,0.174,0.382,4.0,0.0,0.0,0,0,0,0,0.364,45,19,4
Batting Order Positions,Batting 9th,28,28.0,26,1.0,5,1,0,0,1,0,2,11,5.5,0.192,0.25,0.231,0.481,6.0,1.0,0.0,0,0,0,0,0.333,81,53,4
Batting Order Positions,"Bat1-2,non-P",37,62.0,54,3.0,9,2,0,2,0,1,8,21,2.63,0.167,0.274,0.315,0.589,17.0,2.0,0.0,0,0,1,2,0.226,120,61,5
Batting Order Positions,"Bat3-6,non-P",48,116.0,103,15.0,18,3,0,4,3,1,10,36,3.6,0.175,0.25,0.32,0.57,33.0,2.0,1.0,0,2,0,0,0.215,112,57,11
Batting Order Positions,"Bat7-9,non-P",40,75.0,70,3.0,11,2,0,1,3,0,5,31,6.2,0.157,0.213,0.229,0.442,16.0,1.0,0.0,0,0,0,0,0.263,66,36,8
Swung or Took First Pitch of PA,Swung at 1st Pitch,52,84.0,82,8.0,13,6,0,1,,,1,32,32.0,0.159,0.179,0.268,0.447,22.0,3.0,1.0,0,0,0,0,0.245,65,27,6
Swung or Took First Pitch of PA,Took 1st Pitch,64,169.0,145,13.0,25,1,0,6,,,22,56,2.55,0.172,0.278,0.303,0.582,44.0,2.0,0.0,0,2,1,2,0.224,118,65,18
Count/Balls-Strikes,First Pitch,20,25.0,25,2.0,5,1,0,0,,,0,0,,0.2,0.2,0.24,0.44,6.0,2.0,0.0,0,0,0,0,0.2,64,1,4
Count/Balls-Strikes,1-0 Count,16,17.0,16,4.0,4,0,0,2,,,0,0,,0.25,0.235,0.625,0.86,10.0,0.0,0.0,0,1,0,0,0.133,211,78,2
Count/Balls-Strikes,2-0 Count,7,7.0,7,3.0,2,0,0,2,,,0,0,,0.286,0.286,1.143,1.429,8.0,0.0,0.0,0,0,0,1,0.0,410,169,0
Count/Balls-Strikes,3-0 Count,4,4.0,0,0.0,0,0,0,0,,,4,0,0.0,,1.0,,,0.0,0.0,0.0,0,0,1,0,,,,0
Count/Balls-Strikes,0-1 Count,16,16.0,16,2.0,2,1,0,1,,,0,0,,0.125,0.125,0.375,0.5,6.0,1.0,0.0,0,0,0,0,0.067,80,13,0
Count/Balls-Strikes,1-1 Count,11,12.0,11,2.0,4,1,0,0,,,0,0,,0.364,0.333,0.455,0.788,5.0,1.0,0.0,0,1,0,0,0.333,192,91,3
Count/Balls-Strikes,2-1 Count,4,4.0,4,0.0,1,0,0,0,,,0,0,,0.25,0.25,0.25,0.5,1.0,0.0,0.0,0,0,0,0,0.25,88,18,1
Count/Balls-Strikes,3-1 Count,9,9.0,3,0.0,0,0,0,0,,,6,0,0.0,0.0,0.667,0.0,0.667,0.0,0.0,0.0,0,0,0,0,0.0,172,-5,0
Count/Balls-Strikes,0-2 Count,27,35.0,35,3.0,4,1,0,0,,,0,22,,0.114,0.114,0.143,0.257,5.0,0.0,0.0,0,0,0,0,0.308,-4,35,3
Count/Balls-Strikes,1-2 Count,37,47.0,46,2.0,6,1,0,1,,,0,32,,0.13,0.149,0.217,0.366,10.0,1.0,1.0,0,0,0,0,0.385,35,77,4
Count/Balls-Strikes,2-2 Count,38,48.0,48,2.0,6,1,0,1,,,0,25,,0.125,0.125,0.208,0.333,10.0,0.0,0.0,0,0,0,1,0.227,23,47,4
Count/Balls-Strikes,Full Count,26,29.0,16,1.0,4,1,0,0,,,13,9,0.69,0.25,0.586,0.313,0.899,5.0,0.0,0.0,0,0,0,0,0.571,247,126,3
Count/Balls-Strikes,After 1-0,49,100.0,80,9.0,15,1,0,5,,,18,25,1.39,0.188,0.33,0.388,0.718,31.0,1.0,0.0,0,2,1,2,0.192,168,80,9
Count/Balls-Strikes,After 2-0,25,30.0,17,3.0,3,1,0,2,,,13,4,0.31,0.177,0.533,0.588,1.122,10.0,0.0,0.0,0,0,1,1,0.091,320,136,0
Count/Balls-Strikes,After 3-0,6,8.0,1,0.0,0,0,0,0,,,7,0,0.0,0.0,0.875,0.0,0.875,0.0,0.0,0.0,0,0,1,0,0.0,257,19,0
Count/Balls-Strikes,After 0-1,57,127.0,121,10.0,18,5,0,2,,,5,62,12.4,0.149,0.189,0.24,0.429,29.0,2.0,1.0,0,0,0,0,0.281,60,45,11
Count/Balls-Strikes,After 1-1,51,98.0,88,5.0,18,2,0,1,,,9,38,4.22,0.205,0.276,0.261,0.537,23.0,2.0,0.0,0,1,0,1,0.34,102,64,15
Count/Balls-Strikes,After 2-1,28,43.0,30,0.0,4,1,0,0,,,13,15,1.15,0.133,0.395,0.167,0.562,5.0,0.0,0.0,0,0,0,0,0.267,119,45,3
Count/Balls-Strikes,After 3-1,14,16.0,5,0.0,0,0,0,0,,,11,2,0.18,0.0,0.688,0.0,0.688,0.0,0.0,0.0,0,0,0,0,0.0,181,18,0
Count/Balls-Strikes,After 0-2,41,66.0,64,5.0,6,2,0,1,,,1,45,45.0,0.094,0.121,0.172,0.293,11.0,0.0,1.0,0,0,0,0,0.278,9,34,3
Count/Balls-Strikes,After 1-2,52,89.0,85,5.0,13,2,0,2,,,3,50,16.67,0.153,0.191,0.247,0.438,21.0,1.0,1.0,0,0,0,1,0.333,63,80,9
Count/Balls-Strikes,After 2-2,44,69.0,61,3.0,10,2,0,1,,,8,31,3.88,0.164,0.261,0.246,0.507,15.0,0.0,0.0,0,0,0,1,0.31,91,79,7
Count/Balls-Strikes,Zero Balls,48,76.0,76,7.0,11,3,0,1,,,0,22,,0.145,0.145,0.224,0.368,17.0,3.0,0.0,0,0,0,0,0.189,36,4,7
Count/Balls-Strikes,Zero Strikes,35,53.0,48,9.0,11,1,0,4,,,4,0,0.0,0.229,0.283,0.5,0.783,24.0,2.0,0.0,0,1,1,1,0.156,187,59,6
Count/Balls-Strikes,Three Balls,33,42.0,19,1.0,4,1,0,0,,,23,9,0.39,0.211,0.643,0.263,0.906,5.0,0.0,0.0,0,0,1,0,0.4,253,87,3
Count/Balls-Strikes,Two Strikes,62,159.0,145,8.0,20,4,0,2,,,13,88,6.77,0.138,0.214,0.207,0.421,30.0,1.0,1.0,0,0,0,1,0.327,59,67,14
Count/Balls-Strikes,Batter Ahead,45,70.0,46,8.0,11,1,0,4,,,23,9,0.39,0.239,0.486,0.522,1.007,24.0,0.0,0.0,0,1,1,1,0.206,278,112,6
Count/Balls-Strikes,Even Count,49,85.0,84,6.0,15,3,0,1,,,0,25,,0.179,0.177,0.25,0.427,21.0,3.0,0.0,0,1,0,1,0.237,58,25,11
Count/Balls-Strikes,Pitcher Ahead,53,98.0,97,7.0,12,3,0,2,,,0,54,,0.124,0.133,0.217,0.349,21.0,2.0,1.0,0,0,0,0,0.244,29,35,7
Leading Off Inning,First Batter,65,65.0,56,5.0,5,1,0,1,,,8,22,2.75,0.089,0.2,0.161,0.361,9.0,0.0,0.0,0,1,0,1,0.118,37,7,3
Leading Off Inning,Leadoff Inn.,53,57.0,51,3.0,6,1,0,2,,,6,17,2.83,0.118,0.211,0.255,0.465,13.0,0.0,0.0,0,0,0,1,0.125,74,35,3
Opposition Defensive Position,vs. Non-P,65,253.0,227,21.0,38,7,0,7,6,2,23,88,3.83,0.167,0.245,0.291,0.536,66.0,5.0,1.0,0,2,1,2,0.231,100,52,24
Number of Outs in Inning,0 outs,56,73.0,66,3.0,8,1,0,2,2,1,7,26,3.71,0.121,0.206,0.227,0.433,15.0,0.0,0.0,0,0,0,1,0.158,62,23,5
Number of Outs in Inning,1 out,58,88.0,78,9.0,16,2,0,3,1,0,8,28,3.5,0.205,0.273,0.346,0.619,27.0,5.0,0.0,0,2,1,0,0.265,130,74,11
Number of Outs in Inning,2 outs,58,92.0,83,9.0,14,4,0,2,3,1,8,34,4.25,0.169,0.25,0.289,0.539,24.0,0.0,1.0,0,0,0,1,0.255,101,55,8
Bases Occupied,RISP,36,69.0,60,11.0,6,2,0,0,2,0,6,25,4.17,0.1,0.188,0.133,0.322,8.0,4.0,1.0,0,2,1,0,0.162,22,-11,4
Bases Occupied,---,53,142.0,131,6.0,26,3,0,6,0,0,11,46,4.18,0.199,0.261,0.359,0.619,47.0,0.0,0.0,0,0,0,1,0.253,130,80,17
Bases Occupied,Men On,47,111.0,96,15.0,12,4,0,1,6,2,12,42,3.5,0.125,0.225,0.198,0.423,19.0,5.0,1.0,0,2,1,1,0.2,60,18,7
Bases Occupied,1--,33,42.0,36,4.0,6,2,0,1,4,2,6,17,2.83,0.167,0.286,0.306,0.591,11.0,1.0,0.0,0,0,0,1,0.278,122,65,3
Bases Occupied,-2-,17,25.0,21,2.0,2,0,0,0,1,0,4,8,2.0,0.095,0.24,0.095,0.335,2.0,0.0,0.0,0,0,1,0,0.154,31,-4,2
Bases Occupied,--3,4,6.0,6,1.0,1,0,0,0,0,0,0,3,,0.167,0.167,0.167,0.333,1.0,0.0,0.0,0,0,0,0,0.333,26,-18,1
Bases Occupied,12-,16,21.0,20,0.0,1,0,0,0,0,0,1,8,8.0,0.05,0.095,0.05,0.145,1.0,4.0,0.0,0,0,0,0,0.083,-44,-57,1
Bases Occupied,1-3,6,6.0,5,5.0,2,2,0,0,1,0,0,2,,0.4,0.333,0.8,1.133,4.0,0.0,0.0,0,1,0,0,0.5,311,184,0
Bases Occupied,-23,4,5.0,3,1.0,0,0,0,0,0,0,0,3,,0.0,0.2,0.0,0.2,0.0,0.0,1.0,0,1,0,0,0.0,-18,-43,0
Bases Occupied,123,4,6.0,5,2.0,0,0,0,0,0,0,1,1,1.0,0.0,0.167,0.0,0.167,0.0,0.0,0.0,0,0,0,0,0.0,-32,-46,0
Bases Occupied,"on 1st, <2 out",23,39.0,33,6.0,4,0,0,1,0,0,5,14,2.8,0.121,0.231,0.212,0.443,7.0,5.0,0.0,0,1,0,0,0.158,67,21,3
Bases Occupied,"on 3rd, <2 out",8,10.0,7,5.0,0,0,0,0,0,0,1,4,4.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0,2,0,0,0.0,-59,-71,0
Bases Occupied,"on 3rd, 2 out",11,13.0,12,4.0,3,2,0,0,0,0,0,5,,0.25,0.308,0.417,0.724,5.0,0.0,1.0,0,0,0,0,0.429,169,100,1
Bases Occupied,"0 out, ---",52,57.0,51,2.0,6,1,0,2,0,0,6,17,2.83,0.118,0.211,0.255,0.465,13.0,0.0,0.0,0,0,0,1,0.125,74,35,3
Bases Occupied,"0 out, 1--",10,7.0,6,0.0,1,0,0,0,2,1,1,4,4.0,0.167,0.286,0.167,0.452,1.0,0.0,0.0,0,0,0,0,0.5,74,28,1
Bases Occupied,"0 out, -2-",5,6.0,6,1.0,1,0,0,0,0,0,0,3,,0.167,0.167,0.167,0.333,1.0,0.0,0.0,0,0,0,0,0.333,26,-7,1
Bases Occupied,"0 out, 12-",2,2.0,2,0.0,0,0,0,0,0,0,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-100,-100,0
