Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2019 Totals,56,236,218,12.0,43,9,1,5,1,0,13,90,6.92,0.197,0.254,0.317,0.571,69.0,6.0,4.0,0,1,0,1,0.307,100,52,28
Platoon Splits,vs RHB,54,183,171,10.0,34,6,0,4,0,0,10,65,6.5,0.199,0.246,0.304,0.55,52.0,3.0,1.0,0,1,0,1,0.291,93,47,24
Platoon Splits,vs LHB,36,53,47,4.0,9,3,1,1,1,0,3,25,8.33,0.192,0.283,0.362,0.645,17.0,3.0,3.0,0,0,0,0,0.381,126,69,4
Platoon Splits,vs RHB as LHP,54,183,171,10.0,34,6,0,4,0,0,10,65,6.5,0.199,0.246,0.304,0.55,52.0,3.0,1.0,0,1,0,1,0.291,93,41,24
Platoon Splits,vs LHB as LHP,36,53,47,4.0,9,3,1,1,1,0,3,25,8.33,0.192,0.283,0.362,0.645,17.0,3.0,3.0,0,0,0,0,0.381,126,79,4
Home or Away,Home,29,119,113,8.0,24,5,1,3,1,0,5,44,8.8,0.212,0.252,0.354,0.606,40.0,3.0,1.0,0,0,0,1,0.318,111,62,15
Home or Away,Away,27,117,105,4.0,19,4,0,2,0,0,8,46,5.75,0.181,0.256,0.276,0.533,29.0,3.0,3.0,0,1,0,0,0.293,88,41,13
First or Second Half,1st Half,35,162,148,10.0,34,9,0,3,1,0,10,60,6.0,0.23,0.29,0.351,0.642,52.0,2.0,3.0,0,1,0,1,0.361,125,71,22
First or Second Half,2nd Half,21,74,70,2.0,9,0,1,2,0,0,3,30,10.0,0.129,0.176,0.243,0.419,17.0,4.0,1.0,0,0,0,0,0.184,46,10,6
Months,April/March,11,56,52,2.0,12,4,0,1,0,0,4,21,5.25,0.231,0.286,0.365,0.651,19.0,0.0,0.0,0,0,0,1,0.367,128,76,7
Months,May,11,44,41,3.0,9,2,0,1,0,0,1,18,18.0,0.22,0.25,0.342,0.592,14.0,1.0,1.0,0,1,0,0,0.348,106,57,6
Months,June,10,45,39,3.0,6,2,0,1,1,0,4,16,4.0,0.154,0.267,0.282,0.549,11.0,0.0,2.0,0,0,0,0,0.227,94,47,3
Months,July,8,33,31,2.0,8,1,0,0,0,0,2,13,6.5,0.258,0.303,0.29,0.593,9.0,2.0,0.0,0,0,0,0,0.444,111,59,7
Months,August,10,33,32,1.0,4,0,1,1,0,0,1,11,11.0,0.125,0.152,0.281,0.433,9.0,3.0,0.0,0,0,0,0,0.15,49,9,2
Months,Sept/Oct,6,25,23,1.0,4,0,0,1,0,0,1,11,11.0,0.174,0.24,0.304,0.544,7.0,0.0,1.0,0,0,0,0,0.273,90,48,3
Game Outcome for Pitcher,in Wins,5,28,26,0.0,4,0,0,0,0,0,2,10,5.0,0.154,0.214,0.154,0.368,4.0,1.0,0.0,0,0,0,0,0.25,33,33,4
Game Outcome for Pitcher,in Losses,1,6,6,1.0,3,0,0,0,0,0,0,2,,0.5,0.5,0.5,1.0,3.0,0.0,0.0,0,0,0,0,0.75,255,106,3
Game Outcome for Pitcher,in No Dec.,22,90,79,8.0,16,6,1,3,0,0,7,34,4.86,0.203,0.3,0.418,0.718,33.0,3.0,4.0,0,0,0,1,0.31,150,92,6
Game Outcome for Pitcher,in Saves,28,112,107,3.0,20,3,0,2,1,0,4,44,11.0,0.187,0.214,0.271,0.485,29.0,2.0,0.0,0,1,0,0,0.29,70,101,15
Game Outcome for Pitcher,in Sv Situ,31,125,118,6.0,24,4,1,4,1,0,5,46,9.2,0.203,0.24,0.356,0.596,42.0,3.0,1.0,0,1,0,0,0.29,107,66,15
Game Outcome for Pitcher,in non-Sv,25,111,100,6.0,19,5,0,1,0,0,8,44,5.5,0.19,0.27,0.27,0.54,27.0,3.0,3.0,0,0,0,1,0.327,92,44,13
Pitching Role,as Reliever,56,236,218,12.0,43,9,1,5,1,0,13,90,6.92,0.197,0.254,0.317,0.571,69.0,6.0,4.0,0,1,0,1,0.307,100,53,28
Batting Order Positions,Batting 1st,33,33,30,1.0,4,0,0,0,0,0,3,19,6.33,0.133,0.212,0.133,0.345,4.0,1.0,0.0,0,0,0,0,0.364,25,-7,4
Batting Order Positions,Batting 2nd,30,31,30,1.0,4,1,0,1,0,0,1,12,12.0,0.133,0.161,0.267,0.428,8.0,1.0,0.0,0,0,0,1,0.177,48,3,2
Batting Order Positions,Batting 3rd,23,24,19,1.0,3,0,0,1,0,0,3,9,3.0,0.158,0.333,0.316,0.649,6.0,0.0,2.0,0,0,0,0,0.222,131,63,2
Batting Order Positions,Batting 4th,19,19,17,1.0,3,2,0,0,0,0,1,8,8.0,0.177,0.263,0.294,0.557,5.0,2.0,1.0,0,0,0,0,0.333,96,39,1
Batting Order Positions,Batting 5th,24,24,23,3.0,5,3,0,0,1,0,0,11,,0.217,0.208,0.348,0.556,8.0,1.0,0.0,0,1,0,0,0.385,92,41,2
Batting Order Positions,Batting 6th,27,27,26,5.0,6,0,0,3,0,0,1,6,6.0,0.231,0.259,0.577,0.836,15.0,0.0,0.0,0,0,0,0,0.177,184,115,3
Batting Order Positions,Batting 7th,26,26,23,0.0,4,1,0,0,0,0,3,9,3.0,0.174,0.269,0.217,0.487,5.0,0.0,0.0,0,0,0,0,0.286,74,39,3
Batting Order Positions,Batting 8th,22,22,21,0.0,6,1,0,0,0,0,0,5,,0.286,0.318,0.333,0.652,7.0,1.0,1.0,0,0,0,0,0.375,130,88,5
Batting Order Positions,Batting 9th,30,30,29,2.0,8,1,1,0,0,0,1,11,11.0,0.276,0.3,0.379,0.679,11.0,0.0,0.0,0,0,0,0,0.444,138,127,6
Batting Order Positions,"Bat1-2,non-P",37,64,60,2.0,8,1,0,1,0,0,4,31,7.75,0.133,0.188,0.2,0.388,12.0,2.0,0.0,0,0,0,1,0.25,37,-1,6
Batting Order Positions,"Bat3-6,non-P",44,94,85,10.0,17,5,0,4,1,0,5,34,6.8,0.2,0.266,0.4,0.666,34.0,3.0,3.0,0,1,0,0,0.271,131,67,8
