Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2014 Totals,69,286.0,250,24.0,61,10,0,3,6,1,28,76,2.71,0.244,0.326,0.32,0.646,80.0,6.0,3.0,4,1,3,3,0.337,100,87,48
Platoon Splits,vs RHB,58,120.0,101,9.0,18,2,0,1,5,1,16,34,2.13,0.178,0.303,0.228,0.53,23.0,2.0,2.0,1,0,2,2,0.258,64,56,15
Platoon Splits,vs LHB,63,166.0,149,16.0,43,8,0,2,1,0,12,42,3.5,0.289,0.344,0.383,0.726,57.0,4.0,1.0,3,1,1,1,0.387,125,108,33
Platoon Splits,vs RHB as RHP,58,120.0,101,9.0,18,2,0,1,5,1,16,34,2.13,0.178,0.303,0.228,0.53,23.0,2.0,2.0,1,0,2,2,0.258,64,60,15
Platoon Splits,vs LHB as RHP,63,166.0,149,16.0,43,8,0,2,1,0,12,42,3.5,0.289,0.344,0.383,0.726,57.0,4.0,1.0,3,1,1,1,0.387,125,105,33
Home or Away,Home,34,147.0,123,12.0,32,3,0,1,4,1,18,34,1.89,0.26,0.361,0.309,0.67,38.0,2.0,2.0,3,1,1,1,0.348,107,99,28
Home or Away,Away,35,139.0,127,12.0,29,7,0,2,2,0,10,42,4.2,0.228,0.29,0.331,0.621,42.0,4.0,1.0,1,0,2,2,0.325,92,75,20
First or Second Half,1st Half,38,149.0,132,10.0,29,3,0,1,2,0,12,42,3.5,0.22,0.295,0.265,0.56,35.0,3.0,2.0,3,0,0,1,0.315,73,61,25
First or Second Half,2nd Half,31,137.0,118,14.0,32,7,0,2,4,1,16,34,2.13,0.271,0.36,0.381,0.742,45.0,3.0,1.0,1,1,3,2,0.361,130,116,23
Months,April/March,10,46.0,37,6.0,12,2,0,0,1,0,6,15,2.5,0.324,0.432,0.378,0.81,14.0,1.0,1.0,2,0,0,1,0.546,151,133,10
Months,May,12,48.0,42,2.0,10,1,0,1,0,0,4,10,2.5,0.238,0.319,0.333,0.652,14.0,1.0,1.0,1,0,0,0,0.29,102,85,8
Months,June,12,42.0,41,2.0,7,0,0,0,1,0,1,12,12.0,0.171,0.191,0.171,0.361,7.0,1.0,0.0,0,0,0,0,0.241,12,5,7
Months,July,11,41.0,35,2.0,5,1,0,0,0,1,6,13,2.17,0.143,0.268,0.171,0.44,6.0,3.0,0.0,0,0,2,0,0.227,36,29,4
Months,August,13,57.0,49,5.0,14,1,0,0,3,0,6,12,2.0,0.286,0.368,0.306,0.675,15.0,0.0,1.0,0,1,0,1,0.368,109,99,13
Months,Sept/Oct,11,52.0,46,7.0,13,5,0,2,1,0,5,14,2.8,0.283,0.353,0.522,0.875,24.0,0.0,0.0,1,0,1,1,0.367,171,152,6
Game Outcome for Pitcher,in Wins,1,5.0,3,0.0,1,0,0,0,0,0,1,1,1.0,0.333,0.5,0.333,0.833,1.0,0.0,0.0,1,0,0,0,0.5,157,204,1
Game Outcome for Pitcher,in Losses,6,40.0,30,9.0,13,1,0,1,2,0,9,6,0.67,0.433,0.564,0.567,1.131,17.0,1.0,0.0,1,0,3,2,0.522,250,154,11
Game Outcome for Pitcher,in No Dec.,14,51.0,46,4.0,13,1,0,0,0,0,3,12,4.0,0.283,0.32,0.304,0.624,14.0,4.0,0.0,1,1,0,0,0.371,93,85,12
Game Outcome for Pitcher,in Saves,48,190.0,171,11.0,34,8,0,2,4,1,15,57,3.8,0.199,0.275,0.281,0.556,48.0,1.0,3.0,1,0,0,1,0.286,72,150,24
Game Outcome for Pitcher,in Sv Situ,51,212.0,188,17.0,43,9,0,3,4,1,20,60,3.0,0.229,0.313,0.325,0.637,61.0,2.0,3.0,1,0,2,2,0.32,97,100,31
Game Outcome for Pitcher,in non-Sv,18,74.0,62,7.0,18,1,0,0,2,0,8,16,2.0,0.29,0.366,0.307,0.673,19.0,4.0,0.0,3,1,1,1,0.383,108,96,17
Pitching Role,as Reliever,69,286.0,250,24.0,61,10,0,3,6,1,28,76,2.71,0.244,0.326,0.32,0.646,80.0,6.0,3.0,4,1,3,3,0.337,100,91,48
Batting Order Positions,Batting 1st,34,34.0,29,5.0,10,1,0,0,0,0,4,5,1.25,0.345,0.424,0.379,0.804,11.0,2.0,0.0,1,0,0,0,0.417,149,128,9
Batting Order Positions,Batting 2nd,36,35.0,28,4.0,6,1,0,1,3,1,5,11,2.2,0.214,0.353,0.357,0.71,10.0,1.0,1.0,1,0,0,0,0.313,120,101,4
Batting Order Positions,Batting 3rd,35,35.0,32,1.0,5,1,0,0,0,0,3,14,4.67,0.156,0.229,0.188,0.416,6.0,1.0,0.0,0,0,1,0,0.278,29,7,4
Batting Order Positions,Batting 4th,29,29.0,26,3.0,3,0,0,0,0,0,2,8,4.0,0.115,0.172,0.115,0.288,3.0,0.0,0.0,0,1,0,0,0.158,-11,-21,3
Batting Order Positions,Batting 5th,26,26.0,25,1.0,5,2,0,0,1,0,1,7,7.0,0.2,0.231,0.28,0.511,7.0,0.0,0.0,0,0,1,0,0.278,58,40,3
Batting Order Positions,Batting 6th,28,28.0,24,3.0,8,1,0,0,0,0,4,6,1.5,0.333,0.429,0.375,0.804,9.0,1.0,0.0,0,0,0,0,0.444,149,140,7
Batting Order Positions,Batting 7th,33,33.0,30,4.0,9,2,0,2,0,0,2,7,3.5,0.3,0.364,0.567,0.93,17.0,0.0,1.0,0,0,1,1,0.333,189,169,5
Batting Order Positions,Batting 8th,35,35.0,31,3.0,11,0,0,0,0,0,4,9,2.25,0.355,0.429,0.355,0.783,11.0,1.0,0.0,0,0,0,1,0.5,143,143,11
Batting Order Positions,Batting 9th,31,31.0,25,1.0,4,2,0,0,2,0,3,9,3.0,0.16,0.276,0.24,0.516,6.0,0.0,1.0,2,0,0,1,0.25,60,96,2
Batting Order Positions,"Bat1-2,non-P",42,69.0,57,9.0,16,2,0,1,3,1,9,16,1.78,0.281,0.388,0.368,0.757,21.0,3.0,1.0,2,0,0,0,0.375,134,114,13
