Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2011 Totals,68,295,269,20.0,50,10,2,7,2,0,21,75,3.57,0.186,0.25,0.316,0.566,85.0,3.0,2.0,3,0,3,2,0.23,100,57,31
Platoon Splits,vs RHB,66,166,152,13.0,25,8,0,3,1,0,10,44,4.4,0.165,0.226,0.276,0.502,42.0,1.0,2.0,2,0,1,2,0.21,78,41,14
Platoon Splits,vs LHB,63,129,117,14.0,25,2,2,4,1,0,11,31,2.82,0.214,0.281,0.368,0.649,43.0,2.0,0.0,1,0,2,0,0.256,129,78,17
Platoon Splits,vs RHB as RHP,66,166,152,13.0,25,8,0,3,1,0,10,44,4.4,0.165,0.226,0.276,0.502,42.0,1.0,2.0,2,0,1,2,0.21,78,45,14
Platoon Splits,vs LHB as RHP,63,129,117,14.0,25,2,2,4,1,0,11,31,2.82,0.214,0.281,0.368,0.649,43.0,2.0,0.0,1,0,2,0,0.256,129,74,17
Home or Away,Home,34,129,123,7.0,18,3,2,2,2,0,6,39,6.5,0.146,0.186,0.252,0.438,31.0,0.0,0.0,0,0,1,0,0.195,54,24,11
Home or Away,Away,34,166,146,13.0,32,7,0,5,0,0,15,36,2.4,0.219,0.301,0.37,0.671,54.0,3.0,2.0,3,0,2,2,0.257,138,83,20
First or Second Half,1st Half,38,171,157,11.0,27,6,1,3,2,0,11,44,4.0,0.172,0.235,0.28,0.516,44.0,0.0,2.0,1,0,1,1,0.218,83,45,17
First or Second Half,2nd Half,30,124,112,9.0,23,4,1,4,0,0,10,31,3.1,0.205,0.271,0.366,0.637,41.0,3.0,0.0,2,0,2,1,0.247,124,73,14
Months,April/March,7,36,33,1.0,6,1,1,0,0,0,3,10,3.33,0.182,0.25,0.273,0.523,9.0,0.0,0.0,0,0,0,0,0.261,86,48,4
Months,May,13,57,52,3.0,11,3,0,0,1,0,3,15,5.0,0.212,0.268,0.269,0.537,14.0,0.0,1.0,1,0,1,0,0.297,92,53,8
Months,June,12,55,50,7.0,9,2,0,3,1,0,4,11,2.75,0.18,0.255,0.4,0.655,20.0,0.0,1.0,0,0,0,1,0.167,129,83,4
Months,July,12,48,46,3.0,8,1,0,2,0,0,2,14,7.0,0.174,0.208,0.326,0.534,15.0,1.0,0.0,0,0,0,0,0.2,86,47,5
Months,August,12,48,41,2.0,6,0,1,1,0,0,5,14,2.8,0.146,0.239,0.268,0.507,11.0,1.0,0.0,2,0,1,0,0.192,80,38,4
Months,Sept/Oct,12,51,47,4.0,10,3,0,1,0,0,4,11,2.75,0.213,0.275,0.34,0.615,16.0,1.0,0.0,0,0,1,1,0.257,118,69,6
Game Outcome for Pitcher,in Wins,5,23,22,2.0,4,0,0,1,1,0,1,4,4.0,0.182,0.217,0.318,0.536,7.0,0.0,0.0,0,0,0,0,0.177,87,86,3
Game Outcome for Pitcher,in Losses,6,28,26,9.0,10,0,1,4,0,0,1,4,4.0,0.385,0.429,0.923,1.352,24.0,1.0,1.0,0,0,0,1,0.333,364,182,5
Game Outcome for Pitcher,in No Dec.,33,148,132,6.0,20,4,1,2,1,0,12,35,2.92,0.152,0.228,0.242,0.47,32.0,1.0,1.0,3,0,3,1,0.19,68,34,13
Game Outcome for Pitcher,in Saves,24,96,89,3.0,16,6,0,0,0,0,7,32,4.57,0.18,0.24,0.247,0.487,22.0,1.0,0.0,0,0,0,0,0.281,74,116,10
Game Outcome for Pitcher,in Sv Situ,36,145,129,10.0,27,7,1,3,1,0,12,40,3.33,0.209,0.282,0.349,0.631,45.0,1.0,1.0,3,0,3,0,0.279,123,90,16
Game Outcome for Pitcher,in non-Sv,32,150,140,10.0,23,3,1,4,1,0,9,35,3.89,0.164,0.22,0.286,0.506,40.0,2.0,1.0,0,0,0,2,0.188,79,43,15
Pitching Role,as Reliever,68,295,269,20.0,50,10,2,7,2,0,21,75,3.57,0.186,0.25,0.316,0.566,85.0,3.0,2.0,3,0,3,2,0.23,100,62,31
Batting Order Positions,Batting 1st,33,34,31,2.0,4,0,1,0,0,0,3,10,3.33,0.129,0.206,0.194,0.399,6.0,1.0,0.0,0,0,0,0,0.191,44,12,3
Batting Order Positions,Batting 2nd,31,31,29,3.0,7,1,0,0,0,0,1,6,6.0,0.241,0.267,0.276,0.543,8.0,0.0,0.0,1,0,0,0,0.304,94,54,6
Batting Order Positions,Batting 3rd,29,29,27,2.0,5,0,0,1,0,0,2,8,4.0,0.185,0.241,0.296,0.538,8.0,1.0,0.0,0,0,2,0,0.222,90,34,4
Batting Order Positions,Batting 4th,31,31,28,4.0,6,2,0,2,1,0,2,7,3.5,0.214,0.267,0.5,0.767,14.0,0.0,0.0,1,0,0,0,0.211,165,89,2
Batting Order Positions,Batting 5th,36,36,33,6.0,10,3,0,2,1,0,2,9,4.5,0.303,0.361,0.576,0.937,19.0,0.0,1.0,0,0,1,0,0.364,227,145,5
Batting Order Positions,Batting 6th,35,36,35,4.0,7,0,1,1,0,0,1,9,9.0,0.2,0.222,0.343,0.565,12.0,0.0,0.0,0,0,0,0,0.24,97,53,5
