Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2011 Totals,68,274.0,247,20.0,49,10,1,6,9,2,22,42,1.91,0.198,0.271,0.32,0.591,79.0,6.0,3.0,1,1,0,2,0.215,100,65,32
Platoon Splits,vs RHB,66,148.0,132,6.0,21,5,0,1,3,0,12,19,1.58,0.159,0.245,0.22,0.465,29.0,3.0,3.0,1,0,0,2,0.179,59,33,15
Platoon Splits,vs LHB,60,126.0,115,16.0,28,5,1,5,6,2,10,23,2.3,0.244,0.302,0.435,0.736,50.0,3.0,0.0,0,1,0,0,0.261,147,101,17
Platoon Splits,vs RHB as RHP,66,148.0,132,6.0,21,5,0,1,3,0,12,19,1.58,0.159,0.245,0.22,0.465,29.0,3.0,3.0,1,0,0,2,0.179,59,36,15
Platoon Splits,vs LHB as RHP,60,126.0,115,16.0,28,5,1,5,6,2,10,23,2.3,0.244,0.302,0.435,0.736,50.0,3.0,0.0,0,1,0,0,0.261,147,97,17
Home or Away,Home,32,127.0,119,5.0,22,4,0,2,4,0,6,23,3.83,0.185,0.23,0.269,0.499,32.0,2.0,1.0,1,0,0,0,0.213,69,42,16
Home or Away,Away,36,147.0,128,15.0,27,6,1,4,5,2,16,19,1.19,0.211,0.306,0.367,0.673,47.0,4.0,2.0,0,1,0,2,0.217,128,84,16
First or Second Half,1st Half,39,159.0,141,13.0,28,4,1,4,6,0,15,27,1.8,0.199,0.283,0.326,0.609,46.0,3.0,2.0,0,1,0,0,0.216,106,72,19
First or Second Half,2nd Half,29,115.0,106,7.0,21,6,0,2,3,2,7,15,2.14,0.198,0.254,0.311,0.566,33.0,3.0,1.0,1,0,0,2,0.214,91,55,13
Months,April/March,11,45.0,41,2.0,6,0,0,1,2,0,4,9,2.25,0.146,0.222,0.22,0.442,9.0,1.0,0.0,0,0,0,0,0.161,51,26,5
Months,May,13,54.0,50,3.0,11,3,0,2,0,0,3,8,2.67,0.22,0.278,0.4,0.678,20.0,0.0,1.0,0,0,0,0,0.225,128,89,6
Months,June,10,34.0,30,1.0,2,0,0,0,3,0,4,9,2.25,0.067,0.177,0.067,0.243,2.0,1.0,0.0,0,0,0,0,0.095,-14,-27,2
Months,July,10,48.0,41,7.0,12,1,1,1,3,0,5,7,1.4,0.293,0.375,0.439,0.814,18.0,1.0,1.0,0,1,0,0,0.324,176,127,9
Months,August,12,45.0,43,3.0,8,3,0,1,1,1,1,4,4.0,0.186,0.205,0.326,0.53,14.0,1.0,0.0,1,0,0,2,0.184,78,42,4
Months,Sept/Oct,12,48.0,42,4.0,10,3,0,1,0,1,5,5,1.0,0.238,0.333,0.381,0.714,16.0,2.0,1.0,0,0,0,0,0.25,142,98,6
Game Outcome for Pitcher,in Wins,5,24.0,22,0.0,5,1,0,0,1,0,1,6,6.0,0.227,0.261,0.273,0.534,6.0,0.0,0.0,1,0,0,0,0.313,82,87,4
Game Outcome for Pitcher,in Losses,3,19.0,14,7.0,9,1,1,1,1,0,3,1,0.33,0.643,0.684,1.071,1.756,15.0,0.0,1.0,0,1,0,0,0.615,487,275,6
Game Outcome for Pitcher,in No Dec.,23,98.0,89,7.0,18,2,0,4,2,0,9,17,1.89,0.202,0.276,0.36,0.635,32.0,3.0,0.0,0,0,0,0,0.206,114,79,12
Game Outcome for Pitcher,in Saves,37,133.0,122,6.0,17,6,0,1,5,2,9,18,2.0,0.139,0.211,0.213,0.424,26.0,3.0,2.0,0,0,0,2,0.155,44,88,10
Game Outcome for Pitcher,in Sv Situ,43,169.0,152,17.0,32,8,1,4,6,2,13,21,1.62,0.211,0.284,0.355,0.639,54.0,5.0,3.0,0,1,0,2,0.219,116,92,19
Game Outcome for Pitcher,in non-Sv,25,105.0,95,3.0,17,2,0,2,3,0,9,21,2.33,0.179,0.25,0.263,0.513,25.0,1.0,0.0,1,0,0,0,0.208,74,46,13
Pitching Role,as Reliever,68,274.0,247,20.0,49,10,1,6,9,2,22,42,1.91,0.198,0.271,0.32,0.591,79.0,6.0,3.0,1,1,0,2,0.215,100,70,32
Batting Order Positions,Batting 1st,23,23.0,19,1.0,4,0,0,0,1,0,3,3,1.0,0.211,0.348,0.211,0.558,4.0,0.0,1.0,0,0,0,0,0.25,94,59,4
Batting Order Positions,Batting 2nd,22,22.0,19,5.0,5,1,1,0,0,0,1,2,2.0,0.263,0.286,0.421,0.707,8.0,0.0,0.0,1,1,0,0,0.278,137,97,3
Batting Order Positions,Batting 3rd,30,30.0,28,0.0,1,1,0,0,0,0,1,2,2.0,0.036,0.1,0.071,0.171,2.0,2.0,1.0,0,0,0,0,0.039,-41,-56,0
Batting Order Positions,Batting 4th,29,29.0,24,3.0,6,0,0,3,1,0,4,3,0.75,0.25,0.379,0.625,1.004,15.0,0.0,1.0,0,0,0,1,0.167,235,150,3
Batting Order Positions,Batting 5th,36,36.0,33,6.0,8,3,0,2,2,1,3,6,2.0,0.242,0.306,0.515,0.821,17.0,1.0,0.0,0,0,0,0,0.24,174,114,3
Batting Order Positions,Batting 6th,34,34.0,33,3.0,9,1,0,0,2,1,1,10,10.0,0.273,0.294,0.303,0.597,10.0,1.0,0.0,0,0,0,0,0.391,103,66,8
Batting Order Positions,Batting 7th,36,36.0,32,1.0,7,1,0,0,2,0,4,3,0.75,0.219,0.306,0.25,0.556,8.0,0.0,0.0,0,0,0,1,0.241,91,63,6
Batting Order Positions,Batting 8th,34,34.0,30,0.0,2,0,0,0,1,0,4,8,2.0,0.067,0.177,0.067,0.243,2.0,2.0,0.0,0,0,0,0,0.091,-14,-25,2
Batting Order Positions,Batting 9th,30,30.0,29,3.0,7,3,0,1,0,0,1,5,5.0,0.241,0.267,0.448,0.715,13.0,0.0,0.0,0,0,0,0,0.261,139,155,3
Batting Order Positions,"Bat1-2,non-P",28,45.0,38,6.0,9,1,1,0,1,0,4,5,1.25,0.237,0.318,0.316,0.634,12.0,0.0,1.0,1,1,0,0,0.265,116,78,7
Batting Order Positions,"Bat3-6,non-P",54,129.0,118,12.0,24,5,0,5,5,2,9,21,2.33,0.203,0.271,0.373,0.644,44.0,4.0,2.0,0,0,0,1,0.207,117,67,14
Batting Order Positions,"Bat7-9,non-P",49,100.0,91,4.0,16,4,0,1,3,0,9,16,1.78,0.176,0.25,0.253,0.503,23.0,2.0,0.0,0,0,0,1,0.203,71,50,11
Swung or Took First Pitch of PA,Swung at 1st Pitch,42,66.0,59,4.0,14,2,0,1,,,6,9,1.5,0.237,0.308,0.322,0.63,19.0,2.0,0.0,1,0,0,0,0.265,114,84,11
Swung or Took First Pitch of PA,Took 1st Pitch,67,208.0,188,18.0,35,8,1,5,,,16,33,2.06,0.186,0.26,0.319,0.579,60.0,4.0,3.0,0,1,0,2,0.199,96,60,21
Count/Balls-Strikes,First Pitch,18,20.0,18,1.0,5,0,0,0,,,0,0,,0.278,0.316,0.278,0.594,5.0,2.0,1.0,1,0,0,0,0.278,104,47,5
Count/Balls-Strikes,1-0 Count,16,18.0,18,2.0,5,1,0,2,,,0,0,,0.278,0.278,0.667,0.945,12.0,1.0,0.0,0,0,0,0,0.188,211,104,2
Count/Balls-Strikes,2-0 Count,7,7.0,7,0.0,2,0,0,0,,,0,0,,0.286,0.286,0.286,0.571,2.0,0.0,0.0,0,0,0,0,0.286,95,27,2
Count/Balls-Strikes,3-0 Count,2,2.0,0,0.0,0,0,0,0,,,2,0,0.0,,1.0,,,0.0,0.0,0.0,0,0,0,0,,,,0
Count/Balls-Strikes,0-1 Count,25,28.0,27,4.0,6,2,0,1,,,0,0,,0.222,0.25,0.407,0.657,11.0,0.0,1.0,0,0,0,0,0.192,119,63,3
Count/Balls-Strikes,1-1 Count,23,26.0,26,2.0,8,2,1,0,,,0,0,,0.308,0.308,0.462,0.769,12.0,1.0,0.0,0,0,0,0,0.308,158,90,5
Count/Balls-Strikes,2-1 Count,20,22.0,22,3.0,6,1,0,2,,,0,0,,0.273,0.273,0.591,0.864,13.0,0.0,0.0,0,0,0,0,0.2,185,89,3
Count/Balls-Strikes,3-1 Count,12,14.0,8,1.0,1,0,0,1,,,6,0,0.0,0.125,0.5,0.5,1.0,4.0,1.0,0.0,0,0,0,0,0.0,241,52,0
Count/Balls-Strikes,0-2 Count,13,14.0,13,0.0,0,0,0,0,,,0,7,,0.0,0.071,0.0,0.071,0.0,1.0,1.0,0,0,0,0,0.0,-74,-56,0
Count/Balls-Strikes,1-2 Count,32,42.0,42,0.0,4,2,0,0,,,0,13,,0.095,0.095,0.143,0.238,6.0,0.0,0.0,0,0,0,0,0.138,-20,12,2
Count/Balls-Strikes,2-2 Count,34,44.0,43,7.0,7,1,0,0,,,0,17,,0.163,0.159,0.186,0.345,8.0,0.0,0.0,0,1,0,1,0.259,17,49,6
Count/Balls-Strikes,Full Count,29,37.0,23,2.0,5,1,0,0,,,14,5,0.36,0.217,0.514,0.261,0.774,6.0,0.0,0.0,0,0,0,1,0.278,171,90,4
Count/Balls-Strikes,After 1-0,61,107.0,94,9.0,18,4,0,3,,,12,12,1.0,0.192,0.28,0.33,0.61,31.0,3.0,0.0,0,1,0,1,0.188,106,49,11
Count/Balls-Strikes,After 2-0,34,43.0,33,0.0,3,1,0,0,,,10,3,0.3,0.091,0.302,0.121,0.424,4.0,1.0,0.0,0,0,0,0,0.1,49,-15,2
Count/Balls-Strikes,After 3-0,12,13.0,5,0.0,0,0,0,0,,,8,2,0.25,0.0,0.615,0.0,0.615,0.0,1.0,0.0,0,0,0,0,0.0,127,-18,0
Count/Balls-Strikes,After 0-1,63,147.0,135,12.0,26,6,1,3,,,10,30,3.0,0.193,0.259,0.319,0.577,43.0,1.0,2.0,0,0,0,1,0.226,95,91,16
Count/Balls-Strikes,After 1-1,55,114.0,102,15.0,26,5,1,3,,,11,21,1.91,0.255,0.325,0.412,0.736,42.0,1.0,0.0,0,1,0,1,0.291,149,120,17
Count/Balls-Strikes,After 2-1,37,58.0,50,7.0,10,1,0,3,,,8,3,0.38,0.2,0.31,0.4,0.71,20.0,0.0,0.0,0,0,0,1,0.159,139,78,6
Count/Balls-Strikes,After 3-1,21,27.0,15,1.0,1,0,0,1,,,12,2,0.17,0.067,0.482,0.267,0.748,4.0,1.0,0.0,0,0,0,1,0.0,161,40,0
Count/Balls-Strikes,After 0-2,38,51.0,49,0.0,4,1,0,0,,,1,18,18.0,0.082,0.118,0.102,0.22,5.0,1.0,1.0,0,0,0,1,0.129,-25,0,3
Count/Balls-Strikes,After 1-2,57,90.0,83,6.0,13,4,0,0,,,6,30,5.0,0.157,0.211,0.205,0.416,17.0,0.0,0.0,0,1,0,1,0.241,42,68,9
Count/Balls-Strikes,After 2-2,43,68.0,59,9.0,12,2,0,0,,,8,20,2.5,0.203,0.294,0.237,0.531,14.0,0.0,0.0,0,1,0,1,0.3,83,81,10
Count/Balls-Strikes,Zero Balls,51,62.0,58,5.0,11,2,0,1,,,0,7,,0.19,0.23,0.276,0.505,16.0,3.0,3.0,1,0,0,0,0.2,71,49,8
Count/Balls-Strikes,Zero Strikes,40,47.0,43,3.0,12,1,0,2,,,2,0,0.0,0.279,0.326,0.442,0.768,19.0,3.0,1.0,1,0,0,0,0.244,158,63,9
Count/Balls-Strikes,Three Balls,35,53.0,31,3.0,6,1,0,1,,,22,5,0.23,0.194,0.528,0.323,0.851,10.0,1.0,0.0,0,0,0,1,0.2,196,73,4
Count/Balls-Strikes,Two Strikes,63,137.0,121,9.0,16,4,0,0,,,14,42,3.0,0.132,0.226,0.165,0.392,20.0,1.0,1.0,0,1,0,2,0.2,35,52,12
Count/Balls-Strikes,Batter Ahead,52,100.0,78,8.0,19,3,0,5,,,22,5,0.23,0.244,0.41,0.474,0.884,37.0,2.0,0.0,0,0,0,1,0.206,199,84,11
Count/Balls-Strikes,Even Count,51,90.0,87,10.0,20,3,1,0,,,0,17,,0.23,0.236,0.287,0.523,25.0,3.0,1.0,1,1,0,1,0.282,77,56,16
Count/Balls-Strikes,Pitcher Ahead,50,84.0,82,4.0,10,4,0,1,,,0,20,,0.122,0.143,0.207,0.35,17.0,1.0,2.0,0,0,0,0,0.148,18,35,5
Leading Off Inning,First Batter,68,68.0,63,7.0,18,3,0,5,,,5,6,1.2,0.286,0.338,0.571,0.91,36.0,0.0,0.0,0,0,0,0,0.25,203,162,10
Leading Off Inning,Leadoff Inn.,66,69.0,64,5.0,18,2,0,5,,,5,6,1.2,0.281,0.333,0.547,0.88,35.0,0.0,0.0,0,0,0,0,0.245,194,141,11
Opposition Defensive Position,vs. Non-P,68,274.0,247,22.0,49,10,1,6,9,2,22,42,1.91,0.198,0.271,0.32,0.591,79.0,6.0,3.0,1,1,0,2,0.215,100,62,32
Number of Outs in Inning,0 outs,67,94.0,87,7.0,20,3,0,5,2,2,5,13,2.6,0.23,0.28,0.437,0.716,38.0,0.0,1.0,1,0,0,0,0.217,140,94,12
Number of Outs in Inning,1 out,67,104.0,90,11.0,19,5,1,1,5,0,11,14,1.27,0.211,0.308,0.322,0.63,29.0,6.0,2.0,0,1,0,2,0.237,114,74,12
Number of Outs in Inning,2 outs,59,76.0,70,4.0,10,2,0,0,2,0,6,15,2.5,0.143,0.211,0.171,0.382,12.0,0.0,0.0,0,0,0,0,0.182,31,11,8
Bases Occupied,RISP,29,60.0,50,15.0,13,3,1,0,2,0,6,12,2.0,0.26,0.367,0.36,0.727,18.0,2.0,3.0,0,1,0,1,0.333,148,100,9
Bases Occupied,---,67,167.0,152,6.0,32,5,0,6,0,0,15,23,1.53,0.211,0.281,0.362,0.643,55.0,0.0,0.0,0,0,0,1,0.211,117,82,21
Bases Occupied,Men On,41,107.0,95,16.0,17,5,1,0,9,2,7,19,2.71,0.179,0.255,0.253,0.507,24.0,6.0,3.0,1,1,0,1,0.221,73,40,11
Bases Occupied,1--,37,47.0,45,1.0,4,2,0,0,7,2,1,7,7.0,0.089,0.109,0.133,0.242,6.0,4.0,0.0,1,0,0,0,0.105,-18,-34,2
Bases Occupied,-2-,26,34.0,28,7.0,7,2,1,0,1,0,4,8,2.0,0.25,0.382,0.393,0.775,11.0,0.0,2.0,0,0,0,0,0.35,164,116,4
Bases Occupied,--3,7,7.0,7,1.0,1,0,0,0,0,0,0,1,,0.143,0.143,0.143,0.286,1.0,0.0,0.0,0,0,0,0,0.167,-3,-25,1
Bases Occupied,12-,9,10.0,8,1.0,2,0,0,0,0,0,1,1,1.0,0.25,0.4,0.25,0.65,2.0,1.0,1.0,0,0,0,1,0.286,126,94,2
Bases Occupied,1-3,2,1.0,1,0.0,0,0,0,0,1,0,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,-100,-100,0
Bases Occupied,-23,3,3.0,2,3.0,2,1,0,0,0,0,1,0,0.0,1.0,1.0,1.5,2.5,3.0,0.0,0.0,0,0,0,0,1.0,738,540,1
Bases Occupied,123,5,5.0,4,3.0,1,0,0,0,0,0,0,1,,0.25,0.2,0.25,0.45,1.0,1.0,0.0,0,1,0,0,0.25,52,25,1
Bases Occupied,"on 1st, <2 out",32,44.0,40,3.0,3,1,0,0,2,0,1,6,6.0,0.075,0.116,0.1,0.216,4.0,6.0,1.0,1,1,0,1,0.086,-26,-41,2
Bases Occupied,"on 3rd, <2 out",7,7.0,6,4.0,2,1,0,0,0,0,0,0,,0.333,0.286,0.5,0.786,3.0,1.0,0.0,0,1,0,0,0.286,162,82,1
Bases Occupied,"on 3rd, 2 out",8,9.0,8,3.0,2,0,0,0,0,0,1,3,3.0,0.25,0.333,0.25,0.583,2.0,0.0,0.0,0,0,0,0,0.4,101,70,2
Bases Occupied,"0 out, ---",67,75.0,70,5.0,18,2,0,5,0,0,5,8,1.6,0.257,0.307,0.5,0.807,35.0,0.0,0.0,0,0,0,0,0.228,170,121,11
