Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2016 Totals,61,235.0,210,24.0,45,10,1,6,2,1,21,52,2.48,0.214,0.285,0.357,0.642,75.0,4.0,1.0,0,3,1,1,0.252,100,74,28
Platoon Splits,vs RHB,53,119.0,102,11.0,23,7,0,1,2,1,14,33,2.36,0.226,0.311,0.324,0.634,33.0,1.0,0.0,0,3,0,0,0.31,100,75,15
Platoon Splits,vs LHB,58,116.0,108,15.0,22,3,1,5,0,0,7,19,2.71,0.204,0.259,0.389,0.648,42.0,3.0,1.0,0,0,1,1,0.202,100,73,13
Platoon Splits,vs RHB as RHP,53,119.0,102,11.0,23,7,0,1,2,1,14,33,2.36,0.226,0.311,0.324,0.634,33.0,1.0,0.0,0,3,0,0,0.31,100,78,15
Platoon Splits,vs LHB as RHP,58,116.0,108,15.0,22,3,1,5,0,0,7,19,2.71,0.204,0.259,0.389,0.648,42.0,3.0,1.0,0,0,1,1,0.202,100,70,13
Home or Away,Home,31,119.0,106,13.0,23,4,0,4,0,1,11,24,2.18,0.217,0.294,0.368,0.662,39.0,1.0,1.0,0,1,0,1,0.241,106,83,15
Home or Away,Away,30,116.0,104,11.0,22,6,1,2,2,0,10,28,2.8,0.212,0.276,0.346,0.622,36.0,3.0,0.0,0,2,1,0,0.263,94,66,13
First or Second Half,1st Half,33,122.0,110,10.0,23,8,1,2,2,0,10,30,3.0,0.209,0.271,0.355,0.625,39.0,1.0,0.0,0,2,1,0,0.263,94,68,12
First or Second Half,2nd Half,28,113.0,100,14.0,22,2,0,4,0,1,11,22,2.0,0.22,0.301,0.36,0.661,36.0,3.0,1.0,0,1,0,1,0.24,107,81,16
Months,April/March,10,37.0,32,5.0,8,4,0,2,1,0,4,7,1.75,0.25,0.324,0.563,0.887,18.0,0.0,0.0,0,1,0,0,0.25,171,141,2
Months,May,10,40.0,37,3.0,9,4,1,0,0,0,2,10,5.0,0.243,0.275,0.405,0.68,15.0,0.0,0.0,0,1,1,0,0.321,110,84,4
Months,June,11,39.0,35,2.0,6,0,0,0,1,0,4,12,3.0,0.171,0.256,0.171,0.428,6.0,1.0,0.0,0,0,0,0,0.261,38,18,6
Months,July,9,31.0,30,3.0,4,0,0,2,0,1,1,8,8.0,0.133,0.161,0.333,0.495,10.0,1.0,0.0,0,0,0,1,0.1,50,31,2
Months,August,11,46.0,38,5.0,11,0,0,1,0,0,6,5,0.83,0.29,0.391,0.368,0.76,14.0,2.0,1.0,0,1,0,0,0.303,140,107,10
Months,Sept/Oct,10,42.0,38,6.0,7,2,0,1,0,0,4,10,2.5,0.184,0.262,0.316,0.578,12.0,0.0,0.0,0,0,0,0,0.222,80,58,4
Game Outcome for Pitcher,in Wins,3,12.0,12,0.0,2,0,0,0,0,0,0,4,,0.167,0.167,0.167,0.333,2.0,0.0,0.0,0,0,0,0,0.25,5,17,2
Game Outcome for Pitcher,in Losses,4,20.0,16,12.0,9,1,0,4,0,0,2,2,1.0,0.563,0.6,1.375,1.975,22.0,0.0,1.0,0,1,0,1,0.455,496,289,4
Game Outcome for Pitcher,in No Dec.,10,45.0,41,7.0,13,5,1,0,0,0,3,12,4.0,0.317,0.356,0.488,0.843,20.0,0.0,0.0,0,1,0,0,0.433,162,132,7
Game Outcome for Pitcher,in Saves,44,158.0,141,5.0,21,4,0,2,2,1,16,34,2.13,0.149,0.234,0.22,0.454,31.0,4.0,0.0,0,1,1,0,0.179,44,96,15
Game Outcome for Pitcher,in Sv Situ,49,190.0,167,17.0,35,8,0,3,2,1,20,38,1.9,0.21,0.29,0.311,0.601,52.0,4.0,0.0,0,3,1,0,0.248,89,81,24
