Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2022 Totals,57,235.0,213,23.0,42,10,1,6,3,0,18,73,4.06,0.197,0.256,0.338,0.594,72.0,3.0,0.0,1,3,1,1,0.263,100,68,25
Platoon Splits,vs RHB,54,131.0,120,11.0,21,2,1,2,1,0,10,49,4.9,0.175,0.237,0.258,0.495,31.0,1.0,0.0,0,1,1,1,0.271,69,40,16
Platoon Splits,vs LHB,48,104.0,93,14.0,21,8,0,4,2,0,8,24,3.0,0.226,0.282,0.441,0.723,41.0,2.0,0.0,1,2,0,0,0.254,141,105,9
Platoon Splits,vs RHB as RHP,54,131.0,120,11.0,21,2,1,2,1,0,10,49,4.9,0.175,0.237,0.258,0.495,31.0,1.0,0.0,0,1,1,1,0.271,69,43,16
Platoon Splits,vs LHB as RHP,48,104.0,93,14.0,21,8,0,4,2,0,8,24,3.0,0.226,0.282,0.441,0.723,41.0,2.0,0.0,1,2,0,0,0.254,141,102,9
Home or Away,Home,33,134.0,123,17.0,28,6,1,4,2,0,8,40,5.0,0.228,0.269,0.39,0.659,48.0,1.0,0.0,0,3,0,1,0.293,121,88,17
Home or Away,Away,24,101.0,90,6.0,14,4,0,2,1,0,10,33,3.3,0.156,0.24,0.267,0.507,24.0,2.0,0.0,1,0,1,0,0.218,73,42,8
First or Second Half,1st Half,34,146.0,134,17.0,31,8,0,5,0,0,10,47,4.7,0.231,0.281,0.403,0.684,54.0,3.0,0.0,0,2,1,0,0.31,129,92,18
First or Second Half,2nd Half,23,89.0,79,6.0,11,2,1,1,3,0,8,26,3.25,0.139,0.216,0.228,0.444,18.0,0.0,0.0,1,1,0,1,0.189,52,27,7
Months,April/March,7,30.0,28,5.0,8,2,0,0,0,0,2,5,2.5,0.286,0.333,0.357,0.69,10.0,1.0,0.0,0,0,0,0,0.348,136,105,6
Months,May,12,45.0,43,4.0,9,1,0,2,0,0,2,18,9.0,0.209,0.244,0.372,0.617,16.0,1.0,0.0,0,0,0,0,0.304,105,71,6
Months,June,9,44.0,39,3.0,6,3,0,1,0,0,5,14,2.8,0.154,0.25,0.308,0.558,12.0,1.0,0.0,0,0,1,0,0.208,89,55,2
Months,July,9,40.0,36,5.0,10,2,0,2,0,0,2,13,6.5,0.278,0.3,0.5,0.8,18.0,0.0,0.0,0,2,0,0,0.348,165,121,6
Months,August,9,36.0,32,2.0,4,1,1,0,1,0,2,9,4.5,0.125,0.171,0.219,0.39,7.0,0.0,0.0,1,1,0,1,0.167,32,10,2
Months,Sept/Oct,11,40.0,35,4.0,5,1,0,1,2,0,5,14,2.8,0.143,0.25,0.257,0.507,9.0,0.0,0.0,0,0,0,0,0.2,74,46,3
Game Outcome for Pitcher,in Wins,3,15.0,14,1.0,2,2,0,0,0,0,1,6,6.0,0.143,0.2,0.286,0.486,4.0,0.0,0.0,0,0,1,0,0.25,63,81,0
Game Outcome for Pitcher,in Losses,6,26.0,20,12.0,11,3,1,1,1,0,3,4,1.33,0.55,0.539,0.95,1.489,19.0,0.0,0.0,0,3,0,0,0.556,391,202,6
Game Outcome for Pitcher,in No Dec.,34,138.0,126,8.0,19,2,0,4,2,0,11,44,4.0,0.151,0.219,0.262,0.481,33.0,1.0,0.0,1,0,0,1,0.192,63,40,13
Game Outcome for Pitcher,in Saves,14,56.0,53,2.0,10,3,0,1,0,0,3,19,6.33,0.189,0.232,0.302,0.534,16.0,2.0,0.0,0,0,0,0,0.273,80,157,6
Game Outcome for Pitcher,in Sv Situ,32,136.0,125,15.0,29,6,0,5,1,0,9,43,4.78,0.232,0.282,0.4,0.682,50.0,3.0,0.0,1,1,0,0,0.308,128,106,18
Game Outcome for Pitcher,in non-Sv,25,99.0,88,8.0,13,4,1,1,2,0,9,30,3.33,0.148,0.222,0.25,0.472,22.0,0.0,0.0,0,2,1,1,0.203,61,35,7
Pitching Role,as Reliever,57,235.0,213,23.0,42,10,1,6,3,0,18,73,4.06,0.197,0.256,0.338,0.594,72.0,3.0,0.0,1,3,1,1,0.263,100,71,25
Batting Order Positions,Batting 1st,27,27.0,25,1.0,3,0,0,0,0,0,2,7,3.5,0.12,0.185,0.12,0.305,3.0,0.0,0.0,0,0,0,0,0.167,8,-12,3
Batting Order Positions,Batting 2nd,25,25.0,23,3.0,3,0,0,1,0,0,2,14,7.0,0.13,0.2,0.261,0.461,6.0,0.0,0.0,0,0,0,0,0.25,55,21,2
