Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2015 Totals,60,238.0,227,21.0,58,9,0,9,1,0,10,54,5.4,0.256,0.287,0.414,0.701,94.0,1.0,0.0,1,0,2,0,0.299,100,93,40
Platoon Splits,vs RHB,59,175.0,169,22.0,36,6,0,9,0,0,6,42,7.0,0.213,0.24,0.408,0.648,69.0,0.0,0.0,0,0,1,0,0.229,82,79,21
Platoon Splits,vs LHB,44,63.0,58,3.0,22,3,0,0,1,0,4,12,3.0,0.379,0.419,0.431,0.85,25.0,1.0,0.0,1,0,1,0,0.478,150,135,19
Platoon Splits,vs RHB as LHP,59,175.0,169,22.0,36,6,0,9,0,0,6,42,7.0,0.213,0.24,0.408,0.648,69.0,0.0,0.0,0,0,1,0,0.229,82,72,21
Platoon Splits,vs LHB as LHP,44,63.0,58,3.0,22,3,0,0,1,0,4,12,3.0,0.379,0.419,0.431,0.85,25.0,1.0,0.0,1,0,1,0,0.478,150,156,19
Home or Away,Home,35,143.0,138,17.0,40,5,0,8,0,0,4,26,6.5,0.29,0.31,0.5,0.81,69.0,1.0,0.0,1,0,1,0,0.308,129,127,27
Home or Away,Away,25,95.0,89,4.0,18,4,0,1,1,0,6,28,4.67,0.202,0.253,0.281,0.534,25.0,0.0,0.0,0,0,1,0,0.283,56,46,13
First or Second Half,1st Half,38,143.0,138,5.0,26,2,0,2,1,0,5,36,7.2,0.188,0.217,0.246,0.463,34.0,0.0,0.0,0,0,0,0,0.24,35,31,22
First or Second Half,2nd Half,22,95.0,89,16.0,32,7,0,7,0,0,5,18,3.6,0.36,0.394,0.674,1.068,60.0,1.0,0.0,1,0,2,0,0.391,200,186,18
Months,April/March,10,32.0,32,1.0,5,1,0,0,0,0,0,8,,0.156,0.156,0.188,0.344,6.0,0.0,0.0,0,0,0,0,0.208,0,-2,4
Months,May,15,66.0,63,4.0,18,1,0,2,1,0,3,13,4.33,0.286,0.318,0.397,0.715,25.0,0.0,0.0,0,0,0,0,0.333,107,101,15
