Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2013 Totals,65,262.0,233,20.0,48,6,0,7,0,1,27,72,2.67,0.206,0.289,0.322,0.61,75.0,2.0,0.0,2,0,2,3,0.266,100,72,35
Platoon Splits,vs RHB,58,124.0,108,14.0,24,4,0,4,0,1,14,31,2.21,0.222,0.312,0.37,0.682,40.0,2.0,0.0,2,0,1,1,0.274,123,93,16
Platoon Splits,vs LHB,61,138.0,125,11.0,24,2,0,3,0,0,13,41,3.15,0.192,0.268,0.28,0.548,35.0,0.0,0.0,0,0,1,2,0.259,80,53,19
Platoon Splits,vs RHB as RHP,58,124.0,108,14.0,24,4,0,4,0,1,14,31,2.21,0.222,0.312,0.37,0.682,40.0,2.0,0.0,2,0,1,1,0.274,123,98,16
Platoon Splits,vs LHB as RHP,61,138.0,125,11.0,24,2,0,3,0,0,13,41,3.15,0.192,0.268,0.28,0.548,35.0,0.0,0.0,0,0,1,2,0.259,80,49,19
Home or Away,Home,36,145.0,134,8.0,27,4,0,4,0,1,10,41,4.1,0.202,0.257,0.321,0.578,43.0,1.0,0.0,1,0,1,3,0.258,89,64,19
Home or Away,Away,29,117.0,99,12.0,21,2,0,3,0,0,17,31,1.82,0.212,0.328,0.323,0.651,32.0,1.0,0.0,1,0,1,0,0.277,114,82,16
First or Second Half,1st Half,40,155.0,140,7.0,27,3,0,4,0,1,13,41,3.15,0.193,0.261,0.3,0.561,42.0,2.0,0.0,2,0,2,2,0.242,84,57,20
First or Second Half,2nd Half,25,107.0,93,13.0,21,3,0,3,0,0,14,31,2.21,0.226,0.327,0.355,0.682,33.0,0.0,0.0,0,0,0,1,0.305,124,94,15
Months,April/March,11,50.0,44,3.0,10,3,0,2,0,0,5,10,2.0,0.227,0.306,0.432,0.738,19.0,1.0,0.0,1,0,1,0,0.25,140,104,5
Months,May,11,42.0,36,1.0,5,0,0,1,0,0,6,15,2.5,0.139,0.262,0.222,0.484,8.0,1.0,0.0,0,0,1,1,0.2,60,37,4
Months,June,11,38.0,36,3.0,8,0,0,1,0,0,1,8,8.0,0.222,0.243,0.306,0.549,11.0,0.0,0.0,1,0,0,0,0.259,79,54,7
Months,July,12,43.0,41,3.0,8,1,0,1,0,1,2,15,7.5,0.195,0.233,0.293,0.525,12.0,0.0,0.0,0,0,0,1,0.28,72,49,6
Months,August,11,48.0,40,7.0,9,2,0,1,0,0,8,13,1.63,0.225,0.354,0.35,0.704,14.0,0.0,0.0,0,0,0,0,0.308,132,99,6
Months,Sept/Oct,9,41.0,36,3.0,8,0,0,1,0,0,5,11,2.2,0.222,0.317,0.306,0.623,11.0,0.0,0.0,0,0,0,1,0.292,105,79,7
Game Outcome for Pitcher,in Wins,1,3.0,3,0.0,0,0,0,0,0,0,0,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,-100,-100,0
Game Outcome for Pitcher,in Losses,3,15.0,12,10.0,7,1,0,3,0,0,3,2,0.67,0.583,0.667,1.417,2.083,17.0,0.0,0.0,0,0,0,0,0.571,572,326,3
Game Outcome for Pitcher,in No Dec.,23,97.0,88,5.0,17,3,0,3,0,0,8,31,3.88,0.193,0.26,0.33,0.59,29.0,0.0,0.0,1,0,1,1,0.259,93,69,11
Game Outcome for Pitcher,in Saves,38,147.0,130,5.0,24,2,0,1,0,1,16,36,2.25,0.185,0.274,0.223,0.497,29.0,2.0,0.0,1,0,1,2,0.247,64,116,21
Game Outcome for Pitcher,in Sv Situ,41,163.0,143,14.0,31,3,0,4,0,1,19,37,1.95,0.217,0.309,0.322,0.63,46.0,2.0,0.0,1,0,1,2,0.265,107,91,24
Game Outcome for Pitcher,in non-Sv,24,99.0,90,6.0,17,3,0,3,0,0,8,35,4.38,0.189,0.255,0.322,0.577,29.0,0.0,0.0,1,0,1,1,0.269,89,65,11
Pitching Role,as Reliever,65,262.0,233,20.0,48,6,0,7,0,1,27,72,2.67,0.206,0.289,0.322,0.61,75.0,2.0,0.0,2,0,2,3,0.266,100,77,35
Batting Order Positions,Batting 1st,27,27.0,23,0.0,8,2,0,0,0,0,3,6,2.0,0.348,0.423,0.435,0.858,10.0,1.0,0.0,1,0,0,0,0.471,182,140,6
Batting Order Positions,Batting 2nd,23,23.0,18,1.0,5,1,0,0,0,1,4,5,1.25,0.278,0.409,0.333,0.742,6.0,0.0,0.0,1,0,1,0,0.385,145,111,4
Batting Order Positions,Batting 3rd,23,22.0,21,6.0,2,0,0,0,0,0,1,5,5.0,0.095,0.136,0.095,0.232,2.0,0.0,0.0,0,0,1,2,0.125,-23,-40,2
Batting Order Positions,Batting 4th,26,26.0,22,3.0,4,0,0,2,0,0,4,6,1.5,0.182,0.308,0.455,0.762,10.0,0.0,0.0,0,0,0,0,0.143,148,92,2
Batting Order Positions,Batting 5th,33,33.0,32,3.0,9,1,0,1,0,0,1,8,8.0,0.281,0.303,0.406,0.709,13.0,0.0,0.0,0,0,0,0,0.348,131,91,7
Batting Order Positions,Batting 6th,33,33.0,30,4.0,5,1,0,1,0,0,3,10,3.33,0.167,0.242,0.3,0.542,9.0,1.0,0.0,0,0,0,0,0.211,77,51,3
Batting Order Positions,Batting 7th,36,36.0,33,2.0,6,1,0,1,0,0,3,13,4.33,0.182,0.25,0.303,0.553,10.0,0.0,0.0,0,0,0,0,0.263,81,59,4
Batting Order Positions,Batting 8th,32,32.0,28,2.0,5,0,0,1,0,0,4,9,2.25,0.179,0.281,0.286,0.567,8.0,0.0,0.0,0,0,0,0,0.222,86,72,4
Batting Order Positions,Batting 9th,30,30.0,26,4.0,4,0,0,1,0,0,4,10,2.5,0.154,0.267,0.269,0.536,7.0,0.0,0.0,0,0,0,1,0.2,76,96,3
