Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2013 Totals,68,255,235,11.0,40,6,2,3,3,0,18,103,5.72,0.17,0.228,0.251,0.479,59.0,4.0,0.0,1,1,1,3,0.285,100,35,29
Platoon Splits,vs RHB,62,113,107,6.0,18,2,1,1,3,0,5,48,9.6,0.168,0.205,0.234,0.439,25.0,2.0,0.0,1,0,0,2,0.293,83,25,14
Platoon Splits,vs LHB,66,142,128,5.0,22,4,1,2,0,0,13,55,4.23,0.172,0.247,0.266,0.512,34.0,2.0,0.0,0,1,1,1,0.278,114,43,15
Platoon Splits,vs RHB as RHP,62,113,107,6.0,18,2,1,1,3,0,5,48,9.6,0.168,0.205,0.234,0.439,25.0,2.0,0.0,1,0,0,2,0.293,83,28,14
Platoon Splits,vs LHB as RHP,66,142,128,5.0,22,4,1,2,0,0,13,55,4.23,0.172,0.247,0.266,0.512,34.0,2.0,0.0,0,1,1,1,0.278,114,39,15
Home or Away,Home,37,138,131,5.0,23,3,2,1,1,0,5,55,11.0,0.176,0.204,0.252,0.456,33.0,2.0,0.0,1,1,1,3,0.29,90,30,17
Home or Away,Away,31,117,104,6.0,17,3,0,2,2,0,13,48,3.69,0.164,0.256,0.25,0.506,26.0,2.0,0.0,0,0,0,0,0.278,112,41,12
First or Second Half,1st Half,36,135,123,9.0,21,3,1,2,0,0,11,60,5.45,0.171,0.237,0.26,0.497,32.0,2.0,0.0,0,1,1,2,0.307,108,40,15
First or Second Half,2nd Half,32,120,112,2.0,19,3,1,1,3,0,7,43,6.14,0.17,0.219,0.241,0.46,27.0,2.0,0.0,1,0,0,1,0.265,92,30,14
Months,April/March,10,42,36,6.0,9,1,1,0,0,0,6,17,2.83,0.25,0.357,0.333,0.69,12.0,0.0,0.0,0,0,0,1,0.474,189,95,7
Months,May,8,29,27,1.0,5,0,0,0,0,0,2,9,4.5,0.185,0.241,0.185,0.427,5.0,1.0,0.0,0,0,1,0,0.278,79,22,5
Months,June,13,46,42,2.0,5,2,0,2,0,0,3,24,8.0,0.119,0.174,0.31,0.483,13.0,1.0,0.0,0,1,0,0,0.177,100,33,1
Months,July,11,44,43,1.0,9,1,1,0,0,0,1,15,15.0,0.209,0.227,0.279,0.506,12.0,0.0,0.0,0,0,0,1,0.321,111,43,7
Months,August,11,39,36,0.0,5,0,0,0,0,0,2,18,9.0,0.139,0.184,0.139,0.323,5.0,2.0,0.0,1,0,0,1,0.278,36,-8,5
Months,Sept/Oct,15,55,51,1.0,7,2,0,1,3,0,4,20,5.0,0.137,0.2,0.235,0.435,12.0,0.0,0.0,0,0,0,0,0.2,81,24,4
Game Outcome for Pitcher,in Wins,2,6,6,0.0,0,0,0,0,0,0,0,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-100,-100,0
Game Outcome for Pitcher,in Losses,1,6,3,3.0,1,1,0,0,0,0,3,2,0.67,0.333,0.667,0.667,1.333,2.0,0.0,0.0,0,0,0,0,1.0,458,191,0
Game Outcome for Pitcher,in No Dec.,18,64,60,3.0,12,1,0,1,1,0,2,19,9.5,0.2,0.222,0.267,0.489,16.0,1.0,0.0,1,1,1,1,0.268,104,41,10
Game Outcome for Pitcher,in Saves,47,179,166,5.0,27,4,2,2,2,0,13,79,6.08,0.163,0.224,0.247,0.471,41.0,3.0,0.0,0,0,0,2,0.294,96,104,19
Game Outcome for Pitcher,in Sv Situ,51,198,181,11.0,35,5,2,3,2,0,17,82,4.82,0.193,0.263,0.293,0.555,53.0,4.0,0.0,0,0,1,2,0.333,132,68,25
Game Outcome for Pitcher,in non-Sv,17,57,54,0.0,5,1,0,0,1,0,1,21,21.0,0.093,0.107,0.111,0.218,6.0,0.0,0.0,1,1,0,1,0.147,-9,-37,4
Pitching Role,as Reliever,68,255,235,11.0,40,6,2,3,3,0,18,103,5.72,0.17,0.228,0.251,0.479,59.0,4.0,0.0,1,1,1,3,0.285,100,39,29
Batting Order Positions,Batting 1st,25,25,21,3.0,4,1,1,0,0,0,3,7,2.33,0.191,0.28,0.333,0.613,7.0,0.0,0.0,0,1,0,0,0.267,156,71,2
Batting Order Positions,Batting 2nd,24,24,23,0.0,3,0,0,0,0,0,1,12,12.0,0.13,0.167,0.13,0.297,3.0,0.0,0.0,0,0,0,0,0.273,25,-15,3
Batting Order Positions,Batting 3rd,23,23,20,0.0,4,0,0,0,0,0,3,8,2.67,0.2,0.304,0.2,0.504,4.0,0.0,0.0,0,0,0,0,0.333,113,31,4
Batting Order Positions,Batting 4th,29,29,23,1.0,8,1,1,0,1,0,6,9,1.5,0.348,0.483,0.478,0.961,11.0,0.0,0.0,0,0,0,0,0.571,302,149,6
Batting Order Positions,Batting 5th,35,35,32,1.0,5,1,0,1,0,0,2,13,6.5,0.156,0.206,0.281,0.487,9.0,3.0,0.0,1,0,0,0,0.222,102,31,3
Batting Order Positions,Batting 6th,32,32,31,0.0,4,0,0,0,2,0,1,15,15.0,0.129,0.156,0.129,0.285,4.0,0.0,0.0,0,0,1,0,0.25,20,-19,4
Batting Order Positions,Batting 7th,31,31,30,1.0,4,1,0,0,0,0,1,13,13.0,0.133,0.161,0.167,0.328,5.0,1.0,0.0,0,0,0,0,0.235,37,-5,3
