Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2021 Totals,62,276.0,232,30.0,46,7,0,7,1,0,40,76,1.9,0.198,0.316,0.319,0.635,74.0,2.0,1.0,1,2,2,3,0.258,100,77,32
Platoon Splits,vs RHB,59,194.0,161,23.0,33,5,0,7,0,0,30,53,1.77,0.205,0.33,0.367,0.696,59.0,2.0,1.0,0,2,2,1,0.252,119,93,21
Platoon Splits,vs LHB,47,82.0,71,11.0,13,2,0,0,1,0,10,23,2.3,0.183,0.284,0.211,0.495,15.0,0.0,0.0,1,0,0,2,0.271,56,41,11
Platoon Splits,vs RHB as LHP,59,194.0,161,23.0,33,5,0,7,0,0,30,53,1.77,0.205,0.33,0.367,0.696,59.0,2.0,1.0,0,2,2,1,0.252,119,84,21
Platoon Splits,vs LHB as LHP,47,82.0,71,11.0,13,2,0,0,1,0,10,23,2.3,0.183,0.284,0.211,0.495,15.0,0.0,0.0,1,0,0,2,0.271,56,54,11
Home or Away,Home,31,142.0,121,16.0,24,4,0,4,1,0,19,37,1.95,0.198,0.312,0.331,0.643,40.0,0.0,1.0,1,0,1,1,0.25,103,83,16
Home or Away,Away,31,134.0,111,14.0,22,3,0,3,0,0,21,39,1.86,0.198,0.321,0.306,0.627,34.0,2.0,0.0,0,2,1,2,0.268,98,72,16
First or Second Half,1st Half,38,156.0,133,14.0,29,5,0,3,1,0,21,43,2.05,0.218,0.323,0.323,0.646,43.0,1.0,0.0,1,1,1,2,0.296,104,82,21
First or Second Half,2nd Half,24,120.0,99,16.0,17,2,0,4,0,0,19,33,1.74,0.172,0.308,0.313,0.621,31.0,1.0,1.0,0,1,1,1,0.206,96,71,11
Months,April/March,11,49.0,43,4.0,11,1,0,1,0,0,6,11,1.83,0.256,0.347,0.349,0.696,15.0,1.0,0.0,0,0,0,1,0.323,119,102,9
Months,May,13,48.0,38,5.0,9,3,0,0,0,0,9,12,1.33,0.237,0.375,0.316,0.691,12.0,0.0,0.0,0,1,1,1,0.333,118,99,6
Months,June,11,41.0,36,1.0,2,0,0,1,1,0,4,15,3.75,0.056,0.15,0.139,0.289,5.0,0.0,0.0,1,0,0,0,0.05,-9,-20,1
Months,July,9,48.0,39,7.0,10,1,0,2,0,0,8,15,1.88,0.256,0.396,0.436,0.832,17.0,0.0,1.0,0,0,0,0,0.364,162,127,7
Months,August,12,57.0,49,8.0,11,1,0,3,0,0,7,14,2.0,0.225,0.316,0.429,0.744,21.0,1.0,0.0,0,1,0,0,0.242,135,103,7
Months,Sept/Oct,6,33.0,27,5.0,3,1,0,0,0,0,6,9,1.5,0.111,0.273,0.148,0.421,4.0,0.0,0.0,0,0,1,1,0.167,33,20,2
Game Outcome for Pitcher,in Wins,6,42.0,32,3.0,6,1,0,0,0,0,8,8,1.0,0.188,0.342,0.219,0.56,7.0,1.0,0.0,1,1,1,0,0.24,77,115,5
Game Outcome for Pitcher,in Losses,3,23.0,16,8.0,7,2,0,2,0,0,7,6,0.86,0.438,0.609,0.938,1.546,15.0,0.0,0.0,0,0,0,0,0.625,387,209,3
Game Outcome for Pitcher,in No Dec.,35,137.0,118,16.0,25,3,0,3,1,0,18,36,2.0,0.212,0.314,0.314,0.628,37.0,1.0,0.0,0,1,1,3,0.275,98,77,19
Game Outcome for Pitcher,in Saves,18,74.0,66,3.0,8,1,0,2,0,0,7,26,3.71,0.121,0.216,0.227,0.444,15.0,0.0,1.0,0,0,0,0,0.158,40,101,5
Game Outcome for Pitcher,in Sv Situ,27,102.0,90,9.0,16,2,0,2,0,0,10,32,3.2,0.178,0.265,0.267,0.531,24.0,1.0,1.0,0,1,0,1,0.246,68,57,12
Game Outcome for Pitcher,in non-Sv,35,174.0,142,21.0,30,5,0,5,1,0,30,44,1.47,0.211,0.347,0.352,0.699,50.0,1.0,0.0,1,1,2,2,0.266,120,95,20
Pitching Role,as Reliever,62,276.0,232,30.0,46,7,0,7,1,0,40,76,1.9,0.198,0.316,0.319,0.635,74.0,2.0,1.0,1,2,2,3,0.258,100,79,32
Batting Order Positions,Batting 1st,31,32.0,28,2.0,7,1,0,0,0,0,4,4,1.0,0.25,0.344,0.286,0.63,8.0,0.0,0.0,0,0,0,1,0.292,99,70,6
Batting Order Positions,Batting 2nd,28,28.0,24,4.0,2,1,0,0,0,0,4,10,2.5,0.083,0.214,0.125,0.339,3.0,0.0,0.0,0,0,0,0,0.143,7,-8,1
