Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2014 Totals,64,255.0,239,21.0,52,5,0,2,6,1,15,63,4.2,0.218,0.263,0.264,0.526,63.0,3.0,0.0,0,1,0,3,0.286,100,52,45
Platoon Splits,vs RHB,60,140.0,133,11.0,25,2,0,1,4,1,7,42,6.0,0.188,0.229,0.226,0.454,30.0,0.0,0.0,0,0,0,1,0.267,73,32,22
Platoon Splits,vs LHB,54,115.0,106,10.0,27,3,0,1,2,0,8,21,2.63,0.255,0.304,0.311,0.616,33.0,3.0,0.0,0,1,0,2,0.306,133,77,23
Platoon Splits,vs RHB as RHP,60,140.0,133,11.0,25,2,0,1,4,1,7,42,6.0,0.188,0.229,0.226,0.454,30.0,0.0,0.0,0,0,0,1,0.267,73,35,22
Platoon Splits,vs LHB as RHP,54,115.0,106,10.0,27,3,0,1,2,0,8,21,2.63,0.255,0.304,0.311,0.616,33.0,3.0,0.0,0,1,0,2,0.306,133,74,23
Home or Away,Home,43,175.0,164,18.0,40,3,0,1,5,1,10,38,3.8,0.244,0.286,0.281,0.566,46.0,2.0,0.0,0,1,0,2,0.31,115,67,36
Home or Away,Away,21,80.0,75,3.0,12,2,0,1,1,0,5,25,5.0,0.16,0.213,0.227,0.439,17.0,1.0,0.0,0,0,0,1,0.225,67,24,9
First or Second Half,1st Half,35,148.0,135,17.0,35,4,0,1,5,0,13,39,3.0,0.259,0.324,0.311,0.635,42.0,3.0,0.0,0,0,0,1,0.358,141,82,30
First or Second Half,2nd Half,29,107.0,104,4.0,17,1,0,1,1,1,2,24,12.0,0.164,0.178,0.202,0.38,21.0,0.0,0.0,0,1,0,2,0.2,44,10,15
Months,April/March,12,53.0,49,2.0,9,2,0,0,1,0,4,15,3.75,0.184,0.245,0.225,0.47,11.0,0.0,0.0,0,0,0,1,0.265,78,35,7
Months,May,10,38.0,34,4.0,7,1,0,0,2,0,4,10,2.5,0.206,0.29,0.235,0.525,8.0,1.0,0.0,0,0,0,0,0.292,99,51,6
Months,June,9,41.0,37,9.0,13,0,0,1,2,0,4,11,2.75,0.351,0.415,0.432,0.847,16.0,2.0,0.0,0,0,0,0,0.48,221,145,12
Months,July,10,39.0,37,3.0,10,1,0,0,1,0,1,9,9.0,0.27,0.282,0.297,0.579,11.0,0.0,0.0,0,1,0,1,0.345,120,66,9
Months,August,12,45.0,45,2.0,8,1,0,0,0,0,0,10,,0.178,0.178,0.2,0.378,9.0,0.0,0.0,0,0,0,1,0.229,43,10,7
