Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2019 Totals,71,283.0,262,20.0,58,11,0,6,3,2,16,75,4.69,0.221,0.263,0.332,0.595,87.0,6.0,0.0,2,3,1,2,0.283,100,58,41
Platoon Splits,vs RHB,65,151.0,138,12.0,30,4,0,4,2,2,10,35,3.5,0.217,0.269,0.333,0.602,46.0,1.0,0.0,2,1,0,1,0.26,102,61,22
Platoon Splits,vs LHB,65,132.0,124,13.0,28,7,0,2,1,0,6,40,6.67,0.226,0.258,0.331,0.588,41.0,5.0,0.0,0,2,1,1,0.31,98,55,19
Platoon Splits,vs RHB as RHP,65,151.0,138,12.0,30,4,0,4,2,2,10,35,3.5,0.217,0.269,0.333,0.602,46.0,1.0,0.0,2,1,0,1,0.26,102,65,22
Platoon Splits,vs LHB as RHP,65,132.0,124,13.0,28,7,0,2,1,0,6,40,6.67,0.226,0.258,0.331,0.588,41.0,5.0,0.0,0,2,1,1,0.31,98,53,19
Home or Away,Home,37,144.0,138,10.0,29,5,0,4,0,2,5,41,8.2,0.21,0.238,0.333,0.571,46.0,3.0,0.0,1,0,0,1,0.269,91,52,20
Home or Away,Away,34,139.0,124,10.0,29,6,0,2,3,0,11,34,3.09,0.234,0.29,0.331,0.621,41.0,3.0,0.0,1,3,1,1,0.297,110,64,21
First or Second Half,1st Half,43,169.0,157,13.0,36,8,0,3,0,2,11,42,3.82,0.229,0.278,0.338,0.616,53.0,4.0,0.0,0,1,0,1,0.292,108,65,25
First or Second Half,2nd Half,28,114.0,105,7.0,22,3,0,3,3,0,5,33,6.6,0.21,0.241,0.324,0.565,34.0,2.0,0.0,2,2,1,1,0.268,89,49,16
Months,April/March,16,57.0,52,5.0,10,1,0,1,0,0,5,17,3.4,0.192,0.263,0.269,0.532,14.0,1.0,0.0,0,0,0,1,0.265,81,46,8
