Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2010 Totals,67,287.0,253,17.0,56,13,0,1,3,3,28,86,3.07,0.221,0.3,0.285,0.585,72.0,4.0,1.0,4,1,3,2,0.329,100,63,42
Platoon Splits,vs RHB,63,149.0,133,7.0,32,7,0,1,2,2,11,41,3.73,0.241,0.297,0.316,0.612,42.0,2.0,0.0,4,1,0,1,0.337,110,72,24
Platoon Splits,vs LHB,62,138.0,120,10.0,24,6,0,0,1,1,17,45,2.65,0.2,0.304,0.25,0.554,30.0,2.0,1.0,0,0,3,1,0.32,89,53,18
Platoon Splits,vs RHB as RHP,63,149.0,133,7.0,32,7,0,1,2,2,11,41,3.73,0.241,0.297,0.316,0.612,42.0,2.0,0.0,4,1,0,1,0.337,110,75,24
Platoon Splits,vs LHB as RHP,62,138.0,120,10.0,24,6,0,0,1,1,17,45,2.65,0.2,0.304,0.25,0.554,30.0,2.0,1.0,0,0,3,1,0.32,89,51,18
Home or Away,Home,35,149.0,131,9.0,30,5,0,1,2,2,13,48,3.69,0.229,0.303,0.29,0.594,38.0,0.0,1.0,4,0,2,0,0.354,103,70,24
Home or Away,Away,32,138.0,122,8.0,26,8,0,0,1,1,15,38,2.53,0.213,0.297,0.279,0.576,34.0,4.0,0.0,0,1,1,2,0.306,97,56,18
First or Second Half,1st Half,38,163.0,145,10.0,36,7,0,1,2,2,15,50,3.33,0.248,0.317,0.317,0.634,46.0,2.0,0.0,2,1,2,2,0.368,117,74,28
First or Second Half,2nd Half,29,124.0,108,7.0,20,6,0,0,1,1,13,36,2.77,0.185,0.279,0.241,0.519,26.0,2.0,1.0,2,0,1,0,0.278,78,47,14
Months,April/March,10,42.0,39,2.0,11,2,0,1,1,0,3,16,5.33,0.282,0.333,0.41,0.744,16.0,2.0,0.0,0,0,1,0,0.455,155,102,8
Months,May,13,55.0,50,2.0,12,3,0,0,0,1,4,14,3.5,0.24,0.291,0.3,0.591,15.0,0.0,0.0,0,1,0,1,0.324,102,63,9
Months,June,10,44.0,37,5.0,10,2,0,0,1,1,6,13,2.17,0.27,0.372,0.324,0.696,12.0,0.0,0.0,1,0,0,1,0.417,138,93,8
Months,July,11,44.0,39,2.0,5,1,0,0,0,0,4,15,3.75,0.128,0.209,0.154,0.363,6.0,0.0,0.0,1,0,1,0,0.208,24,2,4
Months,August,10,45.0,40,2.0,7,1,0,0,0,0,5,15,3.0,0.175,0.267,0.2,0.467,8.0,0.0,0.0,0,0,0,0,0.28,59,33,6
Months,Sept/Oct,13,57.0,48,4.0,11,4,0,0,1,1,6,13,2.17,0.229,0.327,0.313,0.64,15.0,2.0,1.0,2,0,1,0,0.314,119,83,7
Game Outcome for Pitcher,in Wins,6,23.0,18,1.0,2,0,0,0,1,0,3,4,1.33,0.111,0.238,0.111,0.349,2.0,0.0,0.0,2,0,1,0,0.143,18,25,2
Game Outcome for Pitcher,in Losses,1,5.0,4,1.0,2,0,0,0,0,0,0,1,,0.5,0.5,0.5,1.0,2.0,0.0,0.0,1,0,0,0,0.667,242,119,2
Game Outcome for Pitcher,in No Dec.,13,56.0,50,5.0,12,1,0,1,1,1,4,20,5.0,0.24,0.291,0.32,0.611,16.0,0.0,0.0,1,1,1,1,0.367,109,71,10
Game Outcome for Pitcher,in Saves,47,203.0,181,10.0,40,12,0,0,1,2,21,61,2.9,0.221,0.305,0.287,0.593,52.0,4.0,1.0,0,0,1,1,0.333,102,153,28
Game Outcome for Pitcher,in Sv Situ,50,218.0,195,13.0,45,13,0,1,2,2,21,66,3.14,0.231,0.307,0.313,0.62,61.0,4.0,1.0,0,1,1,2,0.341,112,85,31
Game Outcome for Pitcher,in non-Sv,17,69.0,58,4.0,11,0,0,0,1,1,7,20,2.86,0.19,0.277,0.19,0.467,11.0,0.0,0.0,4,0,2,0,0.29,59,31,11
Pitching Role,as Reliever,67,287.0,253,17.0,56,13,0,1,3,3,28,86,3.07,0.221,0.3,0.285,0.585,72.0,4.0,1.0,4,1,3,2,0.329,100,65,42
Batting Order Positions,Batting 1st,27,27.0,25,2.0,6,0,0,0,0,0,2,8,4.0,0.24,0.296,0.24,0.536,6.0,1.0,0.0,0,0,0,0,0.353,83,53,6
Batting Order Positions,Batting 2nd,26,26.0,20,2.0,4,0,0,0,0,0,4,5,1.25,0.2,0.333,0.2,0.533,4.0,1.0,0.0,2,0,0,1,0.267,81,50,4
Batting Order Positions,Batting 3rd,29,29.0,23,2.0,5,1,0,0,1,1,5,7,1.4,0.217,0.379,0.261,0.64,6.0,0.0,1.0,0,0,1,0,0.313,118,62,4
Batting Order Positions,Batting 4th,33,33.0,29,1.0,9,2,0,0,0,1,4,7,1.75,0.31,0.394,0.379,0.773,11.0,1.0,0.0,0,0,1,1,0.409,164,96,7
Batting Order Positions,Batting 5th,37,37.0,34,0.0,8,4,0,0,1,0,1,10,10.0,0.235,0.257,0.353,0.61,12.0,0.0,0.0,2,0,0,0,0.333,110,57,4
Batting Order Positions,Batting 6th,41,41.0,35,4.0,6,2,0,1,0,1,5,15,3.0,0.171,0.268,0.314,0.583,11.0,0.0,0.0,0,1,1,0,0.25,100,58,3
Batting Order Positions,Batting 7th,39,39.0,37,3.0,7,0,0,0,0,0,2,12,6.0,0.189,0.231,0.189,0.42,7.0,0.0,0.0,0,0,0,0,0.28,43,23,7
Batting Order Positions,Batting 8th,32,32.0,30,1.0,8,2,0,0,0,0,2,12,6.0,0.267,0.313,0.333,0.646,10.0,1.0,0.0,0,0,0,0,0.444,121,90,6
Batting Order Positions,Batting 9th,23,23.0,20,2.0,3,2,0,0,1,0,3,10,3.33,0.15,0.261,0.25,0.511,5.0,0.0,0.0,0,0,0,0,0.3,75,85,1
Batting Order Positions,"Bat1-2,non-P",30,53.0,45,4.0,10,0,0,0,0,0,6,13,2.17,0.222,0.314,0.222,0.536,10.0,2.0,0.0,2,0,0,1,0.313,83,52,10
Batting Order Positions,"Bat3-6,non-P",60,140.0,121,7.0,28,9,0,1,2,3,15,39,2.6,0.231,0.319,0.331,0.649,40.0,1.0,1.0,2,1,3,1,0.329,123,68,18
Batting Order Positions,"Bat7-9,non-P",47,94.0,87,6.0,18,4,0,0,1,0,7,34,4.86,0.207,0.266,0.253,0.519,22.0,1.0,0.0,0,0,0,0,0.34,77,54,14
Swung or Took First Pitch of PA,Swung at 1st Pitch,37,53.0,50,2.0,9,2,0,0,,,0,18,,0.18,0.18,0.22,0.4,11.0,1.0,0.0,3,0,0,0,0.281,37,13,7
Swung or Took First Pitch of PA,Took 1st Pitch,67,234.0,203,15.0,47,11,0,1,,,28,68,2.43,0.232,0.326,0.301,0.627,61.0,3.0,1.0,1,1,3,2,0.341,114,73,35
Count/Balls-Strikes,First Pitch,13,15.0,12,0.0,3,2,0,0,,,0,0,,0.25,0.25,0.417,0.667,5.0,1.0,0.0,3,0,0,0,0.25,130,52,1
Count/Balls-Strikes,1-0 Count,15,17.0,16,3.0,6,3,0,0,,,0,0,,0.375,0.353,0.563,0.915,9.0,1.0,0.0,0,1,0,0,0.353,215,105,3
Count/Balls-Strikes,2-0 Count,2,2.0,2,0.0,1,0,0,0,,,0,0,,0.5,0.5,0.5,1.0,1.0,0.0,0.0,0,0,0,0,0.5,242,127,1
Count/Balls-Strikes,3-0 Count,4,4.0,0,0.0,0,0,0,0,,,4,0,0.0,,1.0,,,0.0,0.0,0.0,0,0,3,0,,,,0
Count/Balls-Strikes,0-1 Count,20,25.0,24,4.0,9,0,0,0,,,0,0,,0.375,0.375,0.375,0.75,9.0,2.0,0.0,1,0,0,0,0.375,157,93,9
Count/Balls-Strikes,1-1 Count,18,20.0,20,1.0,5,0,0,0,,,0,0,,0.25,0.25,0.25,0.5,5.0,0.0,0.0,0,0,0,0,0.25,71,26,5
Count/Balls-Strikes,2-1 Count,16,16.0,16,2.0,3,1,0,0,,,0,0,,0.188,0.188,0.25,0.438,4.0,0.0,0.0,0,0,0,1,0.188,50,4,2
Count/Balls-Strikes,3-1 Count,16,17.0,6,0.0,4,2,0,0,,,11,0,0.0,0.667,0.882,1.0,1.882,6.0,0.0,0.0,0,0,0,0,0.667,545,192,2
Count/Balls-Strikes,0-2 Count,16,20.0,20,1.0,5,1,0,0,,,0,9,,0.25,0.25,0.3,0.55,6.0,0.0,0.0,0,0,0,0,0.455,89,188,4
Count/Balls-Strikes,1-2 Count,37,51.0,50,0.0,6,0,0,0,,,0,33,,0.12,0.137,0.12,0.257,6.0,0.0,1.0,0,0,0,0,0.353,-12,31,6
Count/Balls-Strikes,2-2 Count,38,48.0,48,2.0,8,2,0,0,,,0,22,,0.167,0.167,0.208,0.375,10.0,0.0,0.0,0,0,0,1,0.308,29,62,6
Count/Balls-Strikes,Full Count,37,52.0,39,4.0,6,2,0,1,,,13,22,1.69,0.154,0.365,0.282,0.648,11.0,0.0,0.0,0,0,0,0,0.313,121,55,3
Count/Balls-Strikes,After 1-0,59,118.0,103,12.0,26,8,0,1,,,14,29,2.07,0.252,0.339,0.359,0.698,37.0,1.0,0.0,0,1,3,2,0.338,139,70,17
Count/Balls-Strikes,After 2-0,33,43.0,32,7.0,12,4,0,1,,,11,9,0.82,0.375,0.535,0.594,1.129,19.0,0.0,0.0,0,0,3,1,0.5,287,130,7
Count/Balls-Strikes,After 3-0,11,11.0,5,0.0,3,2,0,0,,,6,1,0.17,0.6,0.818,1.0,1.818,5.0,0.0,0.0,0,0,3,0,0.75,524,202,1
Count/Balls-Strikes,After 0-1,65,154.0,138,5.0,27,3,0,0,,,14,57,4.07,0.196,0.275,0.217,0.492,30.0,2.0,1.0,1,0,0,0,0.333,68,65,24
Count/Balls-Strikes,After 1-1,60,126.0,111,2.0,14,3,0,0,,,15,48,3.2,0.126,0.23,0.153,0.383,17.0,0.0,0.0,0,0,0,1,0.222,30,16,11
Count/Balls-Strikes,After 2-1,50,80.0,65,8.0,15,4,0,1,,,15,23,1.53,0.231,0.375,0.339,0.714,22.0,0.0,0.0,0,0,0,2,0.342,144,78,10
Count/Balls-Strikes,After 3-1,28,30.0,17,3.0,7,4,0,0,,,13,5,0.38,0.412,0.667,0.647,1.314,11.0,0.0,0.0,0,0,0,0,0.583,349,149,3
Count/Balls-Strikes,After 0-2,37,61.0,58,1.0,12,1,0,0,,,2,29,14.5,0.207,0.246,0.224,0.47,13.0,0.0,1.0,0,0,0,0,0.414,61,113,11
Count/Balls-Strikes,After 1-2,54,97.0,89,0.0,9,1,0,0,,,7,53,7.57,0.101,0.175,0.112,0.288,10.0,0.0,1.0,0,0,0,0,0.25,-2,18,8
Count/Balls-Strikes,After 2-2,50,87.0,76,3.0,11,2,0,1,,,11,39,3.55,0.145,0.253,0.211,0.463,16.0,0.0,0.0,0,0,0,1,0.278,58,54,8
Count/Balls-Strikes,Zero Balls,45,60.0,56,5.0,17,3,0,0,,,0,9,,0.304,0.304,0.357,0.661,20.0,3.0,0.0,4,0,0,0,0.362,127,91,14
Count/Balls-Strikes,Zero Strikes,36,38.0,30,3.0,10,5,0,0,,,4,0,0.0,0.333,0.4,0.5,0.9,15.0,2.0,0.0,3,1,3,0,0.323,209,90,5
Count/Balls-Strikes,Three Balls,50,73.0,45,4.0,10,4,0,1,,,28,22,0.79,0.222,0.521,0.378,0.898,17.0,0.0,0.0,0,0,3,0,0.409,206,80,5
Count/Balls-Strikes,Two Strikes,66,171.0,157,7.0,25,5,0,1,,,13,86,6.62,0.159,0.228,0.21,0.438,33.0,0.0,1.0,0,0,0,1,0.343,50,67,19
Count/Balls-Strikes,Batter Ahead,58,108.0,79,9.0,20,8,0,1,,,28,22,0.79,0.253,0.444,0.392,0.837,31.0,1.0,0.0,0,1,3,1,0.333,186,73,11
