Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2021 Totals,60,243.0,217,39.0,45,10,0,12,4,1,24,83,3.46,0.207,0.292,0.419,0.712,91.0,1.0,2.0,0,0,1,1,0.271,100,94,23
Platoon Splits,vs RHB,58,156.0,138,17.0,25,3,0,5,4,1,16,54,3.38,0.181,0.276,0.312,0.587,43.0,1.0,2.0,0,0,1,1,0.253,69,63,17
Platoon Splits,vs LHB,53,87.0,79,18.0,20,7,0,7,0,0,8,29,3.63,0.253,0.322,0.608,0.929,48.0,0.0,0.0,0,0,0,0,0.302,155,151,6
Platoon Splits,vs RHB as RHP,58,156.0,138,17.0,25,3,0,5,4,1,16,54,3.38,0.181,0.276,0.312,0.587,43.0,1.0,2.0,0,0,1,1,0.253,69,67,17
Platoon Splits,vs LHB as RHP,53,87.0,79,18.0,20,7,0,7,0,0,8,29,3.63,0.253,0.322,0.608,0.929,48.0,0.0,0.0,0,0,0,0,0.302,155,145,6
Home or Away,Home,29,131.0,117,24.0,32,6,0,8,4,0,13,40,3.08,0.274,0.351,0.53,0.881,62.0,1.0,1.0,0,0,1,1,0.348,147,145,18
Home or Away,Away,31,112.0,100,15.0,13,4,0,4,0,1,11,43,3.91,0.13,0.223,0.29,0.513,29.0,0.0,1.0,0,0,0,0,0.17,46,38,5
First or Second Half,1st Half,32,127.0,112,21.0,20,5,0,8,3,1,14,53,3.79,0.179,0.276,0.438,0.713,49.0,0.0,1.0,0,0,0,0,0.235,99,96,7
First or Second Half,2nd Half,28,116.0,105,18.0,25,5,0,4,1,0,10,30,3.0,0.238,0.31,0.4,0.71,42.0,1.0,1.0,0,0,1,1,0.296,102,92,16
Months,April/March,4,18.0,14,2.0,1,1,0,0,1,0,4,6,1.5,0.071,0.278,0.143,0.421,2.0,0.0,0.0,0,0,0,0,0.125,29,27,0
Months,May,10,40.0,38,7.0,6,1,0,3,0,1,1,15,15.0,0.158,0.2,0.421,0.621,16.0,0.0,1.0,0,0,0,0,0.15,69,70,2
Months,June,12,48.0,41,11.0,10,3,0,5,2,0,7,22,3.14,0.244,0.354,0.683,1.037,28.0,0.0,0.0,0,0,0,0,0.357,184,174,2
Months,July,14,52.0,46,5.0,7,1,0,1,1,0,5,20,4.0,0.152,0.25,0.239,0.489,11.0,0.0,1.0,0,0,0,0,0.24,43,35,5
Months,August,9,38.0,33,10.0,10,3,0,1,0,0,5,10,2.0,0.303,0.395,0.485,0.88,16.0,0.0,0.0,0,0,0,0,0.409,151,142,6
Months,Sept/Oct,11,47.0,45,4.0,11,1,0,2,0,0,2,10,5.0,0.244,0.277,0.4,0.677,18.0,1.0,0.0,0,0,1,1,0.273,90,81,8
Game Outcome for Pitcher,in Wins,2,7.0,6,0.0,0,0,0,0,1,0,1,4,4.0,0.0,0.143,0.0,0.143,0.0,0.0,0.0,0,0,0,0,0.0,-51,-42,0
Game Outcome for Pitcher,in Losses,7,26.0,19,11.0,7,1,0,4,0,0,6,9,1.5,0.368,0.539,1.053,1.591,20.0,0.0,1.0,0,0,0,0,0.5,336,210,2
Game Outcome for Pitcher,in No Dec.,42,180.0,163,27.0,36,9,0,8,3,1,16,57,3.56,0.221,0.294,0.423,0.718,69.0,1.0,1.0,0,0,1,1,0.286,102,99,19
Game Outcome for Pitcher,in Saves,9,30.0,29,1.0,2,0,0,0,0,0,1,13,13.0,0.069,0.1,0.069,0.169,2.0,0.0,0.0,0,0,0,0,0.125,-49,-23,2
Game Outcome for Pitcher,in Sv Situ,18,69.0,60,12.0,11,2,0,3,0,0,9,29,3.22,0.183,0.29,0.367,0.657,22.0,0.0,0.0,0,0,0,0,0.286,87,91,6
Game Outcome for Pitcher,in non-Sv,42,174.0,157,27.0,34,8,0,9,4,1,15,54,3.6,0.217,0.293,0.44,0.733,69.0,1.0,2.0,0,0,1,1,0.266,105,100,17
Pitching Role,as Reliever,60,243.0,217,39.0,45,10,0,12,4,1,24,83,3.46,0.207,0.292,0.419,0.712,91.0,1.0,2.0,0,0,1,1,0.271,100,97,23
Batting Order Positions,Batting 1st,28,28.0,23,1.0,4,2,0,0,0,0,5,8,1.6,0.174,0.321,0.261,0.582,6.0,0.0,0.0,0,0,0,0,0.267,72,57,2
Batting Order Positions,Batting 2nd,25,25.0,22,7.0,7,0,0,3,2,0,3,3,1.0,0.318,0.4,0.727,1.127,16.0,0.0,0.0,0,0,0,0,0.25,211,184,4
Batting Order Positions,Batting 3rd,24,24.0,22,8.0,6,3,0,2,0,1,2,8,4.0,0.273,0.333,0.682,1.015,15.0,0.0,0.0,0,0,0,0,0.333,177,144,1
Batting Order Positions,Batting 4th,26,26.0,24,1.0,2,0,0,0,0,0,2,12,6.0,0.083,0.154,0.083,0.237,2.0,0.0,0.0,0,0,1,0,0.167,-28,-35,2
Batting Order Positions,Batting 5th,28,28.0,25,7.0,7,1,0,4,1,0,3,7,2.33,0.28,0.357,0.8,1.157,20.0,1.0,0.0,0,0,0,0,0.214,213,202,2
Batting Order Positions,Batting 6th,24,24.0,23,4.0,4,2,0,1,1,0,1,8,8.0,0.174,0.208,0.391,0.6,9.0,0.0,0.0,0,0,0,0,0.214,65,62,1
Batting Order Positions,Batting 7th,27,27.0,24,3.0,5,2,0,1,0,0,3,12,4.0,0.208,0.296,0.417,0.713,10.0,0.0,0.0,0,0,0,1,0.364,101,104,2
Batting Order Positions,Batting 8th,30,30.0,27,0.0,3,0,0,0,0,0,1,12,12.0,0.111,0.2,0.111,0.311,3.0,0.0,2.0,0,0,0,0,0.2,-5,-3,3
Batting Order Positions,Batting 9th,31,31.0,27,4.0,7,0,0,1,0,0,4,13,3.25,0.259,0.355,0.37,0.725,10.0,0.0,0.0,0,0,0,0,0.462,110,157,6
Batting Order Positions,"Bat1-2,non-P",33,53.0,45,8.0,11,2,0,3,2,0,8,11,1.38,0.244,0.359,0.489,0.847,22.0,0.0,0.0,0,0,0,0,0.258,139,119,6
Batting Order Positions,"Bat3-6,non-P",43,102.0,94,20.0,19,6,0,7,2,1,8,35,4.38,0.202,0.265,0.489,0.754,46.0,1.0,0.0,0,0,1,0,0.231,108,93,6
Batting Order Positions,"Bat7-9,non-P",44,83.0,74,7.0,14,2,0,2,0,0,7,34,4.86,0.189,0.277,0.297,0.574,22.0,0.0,2.0,0,0,0,1,0.316,66,72,10
Swung or Took First Pitch of PA,Swung at 1st Pitch,46,76.0,72,12.0,16,3,0,4,,,3,26,8.67,0.222,0.263,0.431,0.694,31.0,1.0,1.0,0,0,0,0,0.286,93,90,9
Swung or Took First Pitch of PA,Took 1st Pitch,58,167.0,145,22.0,29,7,0,8,,,21,57,2.71,0.2,0.305,0.414,0.719,60.0,0.0,1.0,0,0,1,1,0.263,103,96,14
Count/Balls-Strikes,First Pitch,23,26.0,26,6.0,11,2,0,2,,,0,0,,0.423,0.423,0.731,1.154,19.0,0.0,0.0,0,0,0,0,0.375,219,145,7
Count/Balls-Strikes,1-0 Count,6,7.0,7,2.0,2,0,0,1,,,0,0,,0.286,0.286,0.714,1.0,5.0,0.0,0.0,0,0,0,0,0.167,168,109,1
Count/Balls-Strikes,2-0 Count,1,1.0,1,1.0,1,0,0,1,,,0,0,,1.0,1.0,4.0,5.0,4.0,0.0,0.0,0,0,0,0,,1197,785,0
Count/Balls-Strikes,3-0 Count,4,4.0,0,0.0,0,0,0,0,,,4,0,0.0,,1.0,,,0.0,0.0,0.0,0,0,1,0,,,,0
Count/Balls-Strikes,0-1 Count,16,18.0,17,1.0,2,0,0,0,,,0,0,,0.118,0.167,0.118,0.284,2.0,1.0,1.0,0,0,0,0,0.118,-15,-26,2
