Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2017 Totals,74,320.0,285,26.0,68,10,1,9,4,1,26,86,3.31,0.239,0.314,0.375,0.689,107.0,6.0,6.0,1,2,3,1,0.307,100,85,48
Platoon Splits,vs RHB,70,157.0,137,14.0,28,2,1,6,2,1,12,44,3.67,0.204,0.295,0.365,0.66,50.0,3.0,6.0,1,1,2,0,0.25,92,78,19
Platoon Splits,vs LHB,69,163.0,148,11.0,40,8,0,3,2,0,14,42,3.0,0.27,0.331,0.385,0.716,57.0,3.0,0.0,0,1,1,1,0.356,108,90,29
Platoon Splits,vs RHB as RHP,70,157.0,137,14.0,28,2,1,6,2,1,12,44,3.67,0.204,0.295,0.365,0.66,50.0,3.0,6.0,1,1,2,0,0.25,92,81,19
Platoon Splits,vs LHB as RHP,69,163.0,148,11.0,40,8,0,3,2,0,14,42,3.0,0.27,0.331,0.385,0.716,57.0,3.0,0.0,0,1,1,1,0.356,108,86,29
Home or Away,Home,41,184.0,166,16.0,40,6,0,6,1,1,13,48,3.69,0.241,0.301,0.386,0.686,64.0,2.0,2.0,1,2,2,0,0.298,99,88,28
Home or Away,Away,33,136.0,119,10.0,28,4,1,3,3,0,13,38,2.92,0.235,0.331,0.361,0.692,43.0,4.0,4.0,0,0,1,1,0.321,102,82,20
First or Second Half,1st Half,39,160.0,144,15.0,34,4,0,5,0,0,12,42,3.5,0.236,0.3,0.368,0.668,53.0,5.0,2.0,0,2,1,1,0.293,94,79,25
First or Second Half,2nd Half,35,160.0,141,11.0,34,6,1,4,4,1,14,44,3.14,0.241,0.327,0.383,0.71,54.0,1.0,4.0,1,0,2,0,0.323,107,91,23
Months,April/March,13,52.0,48,7.0,13,0,0,4,0,0,3,14,4.67,0.271,0.327,0.521,0.848,25.0,3.0,1.0,0,0,0,0,0.3,143,131,9
Months,May,11,46.0,40,1.0,6,1,0,0,0,0,5,13,2.6,0.15,0.261,0.175,0.436,7.0,1.0,1.0,0,0,1,0,0.222,30,22,5
Months,June,11,43.0,40,5.0,11,2,0,1,0,0,3,12,4.0,0.275,0.326,0.4,0.726,16.0,1.0,0.0,0,0,0,0,0.37,111,90,8
Months,July,14,65.0,56,4.0,14,2,0,0,0,1,5,13,2.6,0.25,0.313,0.286,0.598,16.0,0.0,1.0,1,2,1,1,0.311,76,63,12
Months,August,12,56.0,48,5.0,13,4,0,1,3,0,6,13,2.17,0.271,0.375,0.417,0.792,20.0,1.0,2.0,0,0,0,0,0.353,131,111,8
Months,Sept/Oct,13,58.0,53,4.0,11,1,1,3,1,0,4,21,5.25,0.208,0.276,0.434,0.71,23.0,0.0,1.0,0,0,1,0,0.276,104,89,6
Game Outcome for Pitcher,in Wins,4,20.0,17,0.0,1,0,0,0,0,1,2,6,3.0,0.059,0.158,0.059,0.217,1.0,0.0,0.0,1,0,0,0,0.091,-34,-22,1
Game Outcome for Pitcher,in Losses,5,28.0,26,8.0,14,3,0,4,0,0,1,5,5.0,0.539,0.536,1.115,1.651,29.0,0.0,0.0,0,1,1,0,0.556,369,220,7
Game Outcome for Pitcher,in No Dec.,39,167.0,149,14.0,37,7,1,2,2,0,15,43,2.87,0.248,0.323,0.349,0.672,52.0,6.0,2.0,0,1,2,1,0.333,96,85,27
Game Outcome for Pitcher,in Saves,26,105.0,93,4.0,16,0,0,3,2,0,8,32,4.0,0.172,0.267,0.269,0.536,25.0,0.0,4.0,0,0,0,0,0.224,57,146,13
Game Outcome for Pitcher,in Sv Situ,33,134.0,120,10.0,25,0,0,7,2,0,10,38,3.8,0.208,0.291,0.383,0.674,46.0,0.0,4.0,0,0,0,0,0.24,95,103,18
Game Outcome for Pitcher,in non-Sv,41,186.0,165,16.0,43,10,1,2,2,1,16,48,3.0,0.261,0.33,0.37,0.699,61.0,6.0,2.0,1,2,3,1,0.35,104,90,30
Pitching Role,as Reliever,74,320.0,285,26.0,68,10,1,9,4,1,26,86,3.31,0.239,0.314,0.375,0.689,107.0,6.0,6.0,1,2,3,1,0.307,100,91,48
Batting Order Positions,Batting 1st,28,28.0,25,2.0,6,1,0,0,0,0,3,2,0.67,0.24,0.321,0.28,0.601,7.0,1.0,0.0,0,0,0,0,0.261,77,63,5
Batting Order Positions,Batting 2nd,30,30.0,25,1.0,6,1,0,1,1,0,4,6,1.5,0.24,0.367,0.4,0.767,10.0,1.0,1.0,0,0,2,1,0.278,124,97,4
