Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2010 Totals,56,229.0,208,8.0,29,6,1,1,2,0,18,73,4.06,0.139,0.211,0.192,0.403,40.0,1.0,1.0,1,1,0,4,0.207,100,13,21
Platoon Splits,vs RHB,54,160.0,145,7.0,23,5,1,1,2,0,13,45,3.46,0.159,0.233,0.228,0.46,33.0,0.0,1.0,1,0,0,4,0.222,129,30,16
Platoon Splits,vs LHB,46,69.0,63,3.0,6,1,0,0,0,0,5,28,5.6,0.095,0.159,0.111,0.271,7.0,1.0,0.0,0,1,0,0,0.167,33,-25,5
Platoon Splits,vs RHB as LHP,54,160.0,145,7.0,23,5,1,1,2,0,13,45,3.46,0.159,0.233,0.228,0.46,33.0,0.0,1.0,1,0,0,4,0.222,129,26,16
Platoon Splits,vs LHB as LHP,46,69.0,63,3.0,6,1,0,0,0,0,5,28,5.6,0.095,0.159,0.111,0.271,7.0,1.0,0.0,0,1,0,0,0.167,33,-19,5
Home or Away,Home,28,110.0,102,1.0,11,4,0,0,1,0,7,29,4.14,0.108,0.165,0.147,0.312,15.0,1.0,0.0,1,0,0,1,0.151,55,-10,7
Home or Away,Away,28,119.0,106,7.0,18,2,1,1,1,0,11,44,4.0,0.17,0.252,0.236,0.488,25.0,0.0,1.0,0,1,0,3,0.274,142,32,14
First or Second Half,1st Half,26,104.0,95,3.0,13,4,1,1,0,0,8,36,4.5,0.137,0.202,0.232,0.434,22.0,0.0,0.0,0,1,0,2,0.203,117,19,7
First or Second Half,2nd Half,30,125.0,113,5.0,16,2,0,0,2,0,10,37,3.7,0.142,0.218,0.159,0.377,18.0,1.0,1.0,1,0,0,2,0.211,86,8,14
Months,April/March,3,9.0,8,2.0,2,1,0,0,0,0,1,2,2.0,0.25,0.333,0.375,0.708,3.0,0.0,0.0,0,0,0,1,0.333,253,93,1
Months,May,11,39.0,35,0.0,3,0,1,0,0,0,3,15,5.0,0.086,0.154,0.143,0.297,5.0,0.0,0.0,0,1,0,1,0.143,48,-18,2
Months,June,10,44.0,40,1.0,5,1,0,1,0,0,4,13,3.25,0.125,0.205,0.225,0.43,9.0,0.0,0.0,0,0,0,0,0.154,114,18,3
Months,July,9,48.0,43,1.0,7,2,0,0,1,0,3,16,5.33,0.163,0.234,0.209,0.443,9.0,0.0,1.0,1,0,0,1,0.259,120,23,5
Months,August,12,48.0,44,3.0,7,0,0,0,0,0,4,11,2.75,0.159,0.229,0.159,0.388,7.0,1.0,0.0,0,0,0,1,0.212,91,11,7
Months,Sept/Oct,11,41.0,38,1.0,5,2,0,0,1,0,3,16,5.33,0.132,0.195,0.184,0.379,7.0,0.0,0.0,0,0,0,0,0.227,88,8,3
Game Outcome for Pitcher,in Wins,3,16.0,16,0.0,3,2,0,0,0,0,0,8,,0.188,0.188,0.313,0.5,5.0,0.0,0.0,0,0,0,0,0.375,152,72,1
