Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2011 Totals,62,239.0,225,28.0,62,9,3,10,2,1,9,55,6.11,0.276,0.305,0.476,0.781,107.0,4.0,1.0,3,1,1,1,0.323,100,114,40
Platoon Splits,vs RHB,59,143.0,137,19.0,37,5,1,7,1,0,3,32,10.67,0.27,0.286,0.475,0.76,65.0,2.0,0.0,3,0,1,1,0.306,93,110,24
Platoon Splits,vs LHB,52,96.0,88,10.0,25,4,2,3,1,1,6,23,3.83,0.284,0.333,0.477,0.811,42.0,2.0,1.0,0,1,0,0,0.349,109,121,16
Platoon Splits,vs RHB as RHP,59,143.0,137,19.0,37,5,1,7,1,0,3,32,10.67,0.27,0.286,0.475,0.76,65.0,2.0,0.0,3,0,1,1,0.306,93,115,24
Platoon Splits,vs LHB as RHP,52,96.0,88,10.0,25,4,2,3,1,1,6,23,3.83,0.284,0.333,0.477,0.811,42.0,2.0,1.0,0,1,0,0,0.349,109,116,16
Home or Away,Home,32,125.0,118,21.0,36,7,1,4,1,1,5,30,6.0,0.305,0.331,0.483,0.814,57.0,2.0,0.0,1,1,1,1,0.377,110,129,24
Home or Away,Away,30,114.0,107,7.0,26,2,2,6,1,0,4,25,6.25,0.243,0.277,0.467,0.744,50.0,2.0,1.0,2,0,0,0,0.263,89,99,16
First or Second Half,1st Half,43,164.0,155,15.0,41,3,1,7,2,1,6,38,6.33,0.265,0.29,0.432,0.722,67.0,3.0,0.0,2,1,0,0,0.306,86,101,30
First or Second Half,2nd Half,19,75.0,70,13.0,21,6,2,3,0,0,3,17,5.67,0.3,0.338,0.571,0.909,40.0,1.0,1.0,1,0,1,1,0.36,131,145,10
Months,April/March,15,64.0,60,4.0,13,1,0,2,1,0,4,17,4.25,0.217,0.266,0.333,0.599,20.0,1.0,0.0,0,0,0,0,0.268,57,69,10
Months,May,11,41.0,39,7.0,14,1,0,5,0,1,0,7,,0.359,0.359,0.769,1.128,30.0,1.0,0.0,2,0,0,0,0.333,179,210,8
Months,June,14,51.0,48,4.0,11,1,1,0,1,0,2,11,5.5,0.229,0.255,0.292,0.547,14.0,0.0,0.0,0,1,0,0,0.29,45,55,9
Months,July,9,31.0,30,3.0,7,1,0,2,0,0,1,10,10.0,0.233,0.258,0.467,0.725,14.0,1.0,0.0,0,0,0,0,0.278,83,98,4
Months,August,7,32.0,29,5.0,11,3,1,1,0,0,2,5,2.5,0.379,0.419,0.655,1.075,19.0,1.0,0.0,1,0,1,0,0.435,175,187,6
Months,Sept/Oct,6,20.0,19,5.0,6,2,1,0,0,0,0,5,,0.316,0.35,0.526,0.876,10.0,0.0,1.0,0,0,0,1,0.429,125,139,3
Game Outcome for Pitcher,in Wins,1,3.0,3,0.0,0,0,0,0,0,0,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-100,-100,0
Game Outcome for Pitcher,in Losses,4,20.0,17,9.0,8,2,1,2,0,0,1,2,2.0,0.471,0.474,1.059,1.533,18.0,0.0,0.0,1,1,0,1,0.429,278,219,3
Game Outcome for Pitcher,in No Dec.,28,113.0,105,14.0,32,4,1,6,0,0,5,23,4.6,0.305,0.342,0.533,0.876,56.0,2.0,1.0,2,0,1,0,0.342,124,144,21
Game Outcome for Pitcher,in Saves,29,103.0,100,5.0,22,3,1,2,2,1,3,29,9.67,0.22,0.243,0.33,0.573,33.0,2.0,0.0,0,0,0,0,0.29,49,153,16
Game Outcome for Pitcher,in Sv Situ,37,139.0,131,16.0,36,5,2,7,2,1,5,36,7.2,0.275,0.307,0.504,0.81,66.0,2.0,1.0,2,0,0,1,0.33,107,142,22
Game Outcome for Pitcher,in non-Sv,25,100.0,94,12.0,26,4,1,3,0,0,4,19,4.75,0.277,0.303,0.436,0.739,41.0,2.0,0.0,1,1,1,0,0.315,91,107,18
Pitching Role,as Reliever,62,239.0,225,28.0,62,9,3,10,2,1,9,55,6.11,0.276,0.305,0.476,0.781,107.0,4.0,1.0,3,1,1,1,0.323,100,122,40
Batting Order Positions,Batting 1st,33,33.0,32,2.0,8,2,0,1,0,0,0,6,,0.25,0.273,0.406,0.679,13.0,1.0,1.0,0,0,0,0,0.28,75,85,5
Batting Order Positions,Batting 2nd,32,32.0,30,2.0,7,2,1,1,0,1,1,7,7.0,0.233,0.258,0.467,0.725,14.0,0.0,0.0,1,0,0,1,0.273,83,100,3
Batting Order Positions,Batting 3rd,28,28.0,26,4.0,12,3,0,0,0,0,2,2,1.0,0.462,0.5,0.577,1.077,15.0,0.0,0.0,0,0,1,0,0.5,185,169,9
Batting Order Positions,Batting 4th,25,25.0,22,4.0,6,1,0,1,1,0,3,7,2.33,0.273,0.36,0.455,0.815,10.0,0.0,0.0,0,0,0,0,0.357,114,106,4
Batting Order Positions,Batting 5th,24,24.0,24,5.0,6,0,1,1,1,0,0,6,,0.25,0.25,0.458,0.708,11.0,2.0,0.0,0,0,0,0,0.294,78,84,4
Batting Order Positions,Batting 6th,23,24.0,21,2.0,2,0,0,1,0,0,1,9,9.0,0.095,0.13,0.238,0.369,5.0,1.0,0.0,1,1,0,0,0.083,-7,-1,1
Batting Order Positions,Batting 7th,20,20.0,19,4.0,6,0,0,3,0,0,1,3,3.0,0.316,0.35,0.79,1.14,15.0,0.0,0.0,0,0,0,0,0.231,181,217,3
Batting Order Positions,Batting 8th,25,25.0,24,1.0,6,1,1,1,0,0,0,8,,0.25,0.25,0.5,0.75,12.0,0.0,0.0,1,0,0,0,0.333,87,117,3
Batting Order Positions,Batting 9th,28,28.0,27,5.0,9,0,0,1,0,0,1,7,7.0,0.333,0.357,0.444,0.802,12.0,0.0,0.0,0,0,0,0,0.421,110,188,8
