Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2010 Totals,58,247.0,218,33.0,55,7,1,13,8,0,23,47,2.04,0.252,0.333,0.473,0.806,103.0,3.0,4.0,1,1,5,0,0.264,100,120,34
Platoon Splits,vs RHB,56,139.0,127,18.0,29,4,0,7,5,0,8,30,3.75,0.228,0.29,0.425,0.715,54.0,1.0,3.0,1,0,1,0,0.244,77,97,18
Platoon Splits,vs LHB,50,108.0,91,19.0,26,3,1,6,3,0,15,17,1.13,0.286,0.389,0.539,0.927,49.0,2.0,1.0,0,1,4,0,0.29,131,150,16
Platoon Splits,vs RHB as RHP,56,139.0,127,18.0,29,4,0,7,5,0,8,30,3.75,0.228,0.29,0.425,0.715,54.0,1.0,3.0,1,0,1,0,0.244,77,100,18
Platoon Splits,vs LHB as RHP,50,108.0,91,19.0,26,3,1,6,3,0,15,17,1.13,0.286,0.389,0.539,0.927,49.0,2.0,1.0,0,1,4,0,0.29,131,146,16
Home or Away,Home,33,136.0,129,12.0,29,4,0,6,3,0,5,26,5.2,0.225,0.265,0.395,0.66,51.0,2.0,2.0,0,0,0,0,0.237,63,85,19
Home or Away,Away,25,111.0,89,21.0,26,3,1,7,5,0,18,21,1.17,0.292,0.418,0.584,1.003,52.0,1.0,2.0,1,1,5,0,0.307,149,166,15
First or Second Half,1st Half,33,143.0,129,26.0,36,5,0,11,5,0,13,27,2.08,0.279,0.345,0.574,0.919,74.0,1.0,0.0,1,0,2,0,0.275,125,146,20
First or Second Half,2nd Half,25,104.0,89,7.0,19,2,1,2,3,0,10,20,2.0,0.214,0.317,0.326,0.643,29.0,2.0,4.0,0,1,3,0,0.25,64,80,14
Months,April/March,10,40.0,35,7.0,6,2,0,2,1,0,4,8,2.0,0.171,0.256,0.4,0.656,14.0,0.0,0.0,1,0,2,0,0.16,62,76,2
Months,May,10,45.0,40,14.0,16,2,0,7,2,0,5,8,1.6,0.4,0.467,0.975,1.442,39.0,0.0,0.0,0,0,0,0,0.36,247,283,7
Months,June,8,40.0,37,3.0,11,1,0,1,2,0,3,9,3.0,0.297,0.35,0.405,0.755,15.0,0.0,0.0,0,0,0,0,0.37,91,107,9
Months,July,11,44.0,39,6.0,9,0,1,3,2,0,4,7,1.75,0.231,0.296,0.513,0.808,20.0,1.0,0.0,0,1,2,0,0.2,97,116,5
Months,August,7,24.0,20,1.0,2,1,0,0,0,0,3,4,1.33,0.1,0.25,0.15,0.4,3.0,1.0,1.0,0,0,1,0,0.125,7,15,1
Months,Sept/Oct,12,54.0,47,2.0,11,1,0,0,1,0,4,11,2.75,0.234,0.333,0.255,0.589,12.0,1.0,3.0,0,0,0,0,0.306,54,70,10
Game Outcome for Pitcher,in Losses,6,27.0,18,11.0,9,1,1,4,1,0,7,2,0.29,0.5,0.615,1.333,1.949,24.0,0.0,0.0,1,1,3,0,0.385,367,301,3
Game Outcome for Pitcher,in No Dec.,37,163.0,150,19.0,37,5,0,8,6,0,12,32,2.67,0.247,0.307,0.44,0.747,66.0,1.0,1.0,0,0,2,0,0.264,85,106,24
Game Outcome for Pitcher,in Saves,15,57.0,50,3.0,9,1,0,1,1,0,4,13,3.25,0.18,0.281,0.26,0.541,13.0,2.0,3.0,0,0,0,0,0.222,40,131,7
Game Outcome for Pitcher,in Sv Situ,25,101.0,88,9.0,16,2,0,3,2,0,9,26,2.89,0.182,0.28,0.307,0.587,27.0,2.0,3.0,1,0,1,0,0.22,49,74,11
Game Outcome for Pitcher,in non-Sv,33,146.0,130,24.0,39,5,1,10,6,0,14,21,1.5,0.3,0.37,0.585,0.955,76.0,1.0,1.0,0,1,4,0,0.29,135,159,23
Pitching Role,as Reliever,58,247.0,218,33.0,55,7,1,13,8,0,23,47,2.04,0.252,0.333,0.473,0.806,103.0,3.0,4.0,1,1,5,0,0.264,100,124,34
Batting Order Positions,Batting 1st,32,32.0,26,4.0,8,1,0,2,2,0,6,5,0.83,0.308,0.438,0.577,1.014,15.0,1.0,0.0,0,0,0,0,0.316,154,184,5
Batting Order Positions,Batting 2nd,34,34.0,29,5.0,8,2,0,3,1,0,5,1,0.2,0.276,0.382,0.655,1.038,19.0,1.0,0.0,0,0,1,0,0.2,154,179,3
Batting Order Positions,Batting 3rd,33,33.0,27,7.0,7,1,0,1,0,0,6,2,0.33,0.259,0.394,0.407,0.801,11.0,0.0,0.0,0,0,4,0,0.25,105,98,5
Batting Order Positions,Batting 4th,26,26.0,24,8.0,5,2,0,1,2,0,1,8,8.0,0.208,0.231,0.417,0.648,10.0,0.0,0.0,0,1,0,0,0.25,58,57,2
Batting Order Positions,Batting 5th,25,25.0,22,1.0,3,1,0,1,1,0,2,9,4.5,0.136,0.24,0.318,0.558,7.0,0.0,1.0,0,0,0,0,0.167,39,44,1
Batting Order Positions,Batting 6th,25,25.0,22,1.0,3,0,0,1,1,0,2,7,3.5,0.136,0.24,0.273,0.513,6.0,0.0,1.0,0,0,0,0,0.143,30,39,2
Batting Order Positions,Batting 7th,22,22.0,20,3.0,6,0,0,0,0,0,0,5,,0.3,0.364,0.3,0.664,6.0,0.0,2.0,0,0,0,0,0.4,73,94,6
Batting Order Positions,Batting 8th,25,25.0,24,5.0,10,0,0,2,1,0,1,1,1.0,0.417,0.44,0.667,1.107,16.0,0.0,0.0,0,0,0,0,0.381,173,220,8
Batting Order Positions,Batting 9th,24,25.0,24,3.0,5,0,1,2,0,0,0,9,,0.208,0.208,0.542,0.75,13.0,1.0,0.0,1,0,0,0,0.231,77,164,2
Batting Order Positions,"Bat1-2,non-P",39,66.0,55,9.0,16,3,0,5,3,0,11,6,0.55,0.291,0.409,0.618,1.027,34.0,2.0,0.0,0,0,1,0,0.25,154,182,8
Batting Order Positions,"Bat3-6,non-P",48,108.0,94,17.0,18,4,0,4,4,0,11,26,2.36,0.192,0.287,0.362,0.649,34.0,0.0,2.0,0,1,4,0,0.215,63,65,10
Batting Order Positions,"Bat7-9,non-P",34,71.0,67,11.0,21,0,1,4,1,0,1,15,15.0,0.313,0.343,0.522,0.865,35.0,1.0,2.0,1,0,0,0,0.354,114,151,16
Swung or Took First Pitch of PA,Swung at 1st Pitch,40,56.0,55,9.0,14,1,0,4,,,0,12,,0.255,0.255,0.491,0.745,27.0,1.0,0.0,1,0,0,0,0.256,81,102,9
Swung or Took First Pitch of PA,Took 1st Pitch,57,191.0,163,27.0,41,6,1,9,,,23,35,1.52,0.252,0.356,0.466,0.822,76.0,2.0,4.0,0,1,5,0,0.267,106,124,25
Count/Balls-Strikes,First Pitch,18,22.0,21,4.0,7,1,0,2,,,0,0,,0.333,0.333,0.667,1.0,14.0,0.0,0.0,1,0,0,0,0.263,141,123,4
Count/Balls-Strikes,1-0 Count,11,13.0,13,1.0,5,0,0,1,,,0,0,,0.385,0.385,0.615,1.0,8.0,0.0,0.0,0,0,0,0,0.333,146,124,4
