Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2011 Totals,60,229,210,15.0,41,11,2,4,7,1,12,61,5.08,0.195,0.242,0.324,0.566,68.0,2.0,2.0,2,3,0,2,0.25,100,57,24
Platoon Splits,vs RHB,55,111,98,11.0,21,5,1,2,4,1,8,26,3.25,0.214,0.282,0.347,0.629,34.0,2.0,2.0,1,2,0,1,0.264,124,77,13
Platoon Splits,vs LHB,53,118,112,6.0,20,6,1,2,3,0,4,35,8.75,0.179,0.205,0.304,0.509,34.0,0.0,0.0,1,1,0,1,0.237,79,39,11
Platoon Splits,vs RHB as RHP,55,111,98,11.0,21,5,1,2,4,1,8,26,3.25,0.214,0.282,0.347,0.629,34.0,2.0,2.0,1,2,0,1,0.264,124,81,13
Platoon Splits,vs LHB as RHP,53,118,112,6.0,20,6,1,2,3,0,4,35,8.75,0.179,0.205,0.304,0.509,34.0,0.0,0.0,1,1,0,1,0.237,79,36,11
Home or Away,Home,33,138,130,14.0,32,9,2,4,3,0,4,37,9.25,0.246,0.268,0.439,0.707,57.0,1.0,1.0,0,3,0,2,0.304,146,97,17
Home or Away,Away,27,91,80,1.0,9,2,0,0,4,1,8,24,3.0,0.113,0.202,0.138,0.34,11.0,1.0,1.0,2,0,0,0,0.161,26,-4,7
First or Second Half,1st Half,34,140,127,13.0,26,8,1,4,6,0,9,33,3.67,0.205,0.259,0.378,0.637,48.0,2.0,1.0,1,2,0,2,0.239,124,78,13
First or Second Half,2nd Half,26,89,83,2.0,15,3,1,0,1,1,3,28,9.33,0.181,0.216,0.241,0.457,20.0,0.0,1.0,1,1,0,0,0.268,64,26,11
Months,April/March,9,41,36,4.0,8,0,0,1,0,0,2,10,5.0,0.222,0.275,0.306,0.581,11.0,0.0,1.0,1,1,0,0,0.269,108,65,7
Months,May,13,48,44,1.0,5,3,0,0,1,0,4,10,2.5,0.114,0.188,0.182,0.369,8.0,2.0,0.0,0,0,0,2,0.147,34,5,2
Months,June,12,51,47,8.0,13,5,1,3,5,0,3,13,4.33,0.277,0.314,0.617,0.931,29.0,0.0,0.0,0,1,0,0,0.313,220,157,4
Months,July,3,10,9,0.0,2,0,0,0,0,1,1,2,2.0,0.222,0.3,0.222,0.522,2.0,0.0,0.0,0,0,0,0,0.286,93,49,2
Months,August,12,42,38,2.0,7,2,0,0,0,0,1,11,11.0,0.184,0.22,0.237,0.456,9.0,0.0,1.0,1,1,0,0,0.25,64,25,5
Months,Sept/Oct,11,37,36,0.0,6,1,1,0,1,0,1,15,15.0,0.167,0.189,0.25,0.439,9.0,0.0,0.0,0,0,0,0,0.286,55,20,4
Game Outcome for Pitcher,in Wins,2,7,7,1.0,1,0,0,1,0,0,0,2,,0.143,0.143,0.571,0.714,4.0,0.0,0.0,0,0,0,0,0.0,135,140,0
Game Outcome for Pitcher,in Losses,2,11,10,3.0,4,0,0,1,0,0,1,1,1.0,0.4,0.455,0.7,1.155,7.0,0.0,0.0,0,0,0,0,0.375,304,147,3
Game Outcome for Pitcher,in No Dec.,11,50,47,7.0,13,4,1,2,3,0,2,14,7.0,0.277,0.3,0.532,0.832,25.0,0.0,0.0,0,1,0,0,0.344,188,131,6
Game Outcome for Pitcher,in Saves,45,161,146,4.0,23,7,1,0,4,1,9,44,4.89,0.158,0.214,0.219,0.433,32.0,2.0,2.0,2,2,0,2,0.221,56,92,15
Game Outcome for Pitcher,in Sv Situ,49,180,163,9.0,30,9,1,2,6,1,10,49,4.9,0.184,0.236,0.288,0.524,47.0,2.0,2.0,2,3,0,2,0.244,86,58,18
Game Outcome for Pitcher,in non-Sv,11,49,47,6.0,11,2,1,2,1,0,2,12,6.0,0.234,0.265,0.447,0.712,21.0,0.0,0.0,0,0,0,0,0.273,148,99,6
Pitching Role,as Reliever,60,229,210,15.0,41,11,2,4,7,1,12,61,5.08,0.195,0.242,0.324,0.566,68.0,2.0,2.0,2,3,0,2,0.25,100,62,24
Batting Order Positions,Batting 1st,26,26,23,2.0,5,0,1,0,2,0,3,8,2.67,0.217,0.308,0.304,0.612,7.0,0.0,0.0,0,0,0,1,0.333,121,70,4
Batting Order Positions,Batting 2nd,23,23,21,2.0,2,0,0,0,0,0,1,7,7.0,0.095,0.13,0.095,0.226,2.0,0.0,0.0,0,1,0,0,0.133,-17,-35,2
Batting Order Positions,Batting 3rd,21,21,19,1.0,5,1,0,0,1,0,2,5,2.5,0.263,0.333,0.316,0.649,6.0,0.0,0.0,0,0,0,0,0.357,135,64,4
Batting Order Positions,Batting 4th,20,20,18,5.0,5,1,0,2,2,0,1,3,3.0,0.278,0.3,0.667,0.967,12.0,1.0,0.0,0,1,0,0,0.214,230,136,2
Batting Order Positions,Batting 5th,23,23,23,1.0,3,1,0,0,0,0,0,9,,0.13,0.13,0.174,0.304,4.0,0.0,0.0,0,0,0,1,0.214,7,-20,2
Batting Order Positions,Batting 6th,30,30,27,1.0,4,3,0,0,1,0,1,7,7.0,0.148,0.2,0.259,0.459,7.0,0.0,1.0,0,1,0,0,0.191,63,26,1
Batting Order Positions,Batting 7th,29,29,26,1.0,9,3,0,1,1,0,2,7,3.5,0.346,0.393,0.577,0.97,15.0,0.0,0.0,1,0,0,0,0.444,241,176,5
Batting Order Positions,Batting 8th,30,30,27,2.0,4,0,1,0,0,1,1,4,4.0,0.148,0.207,0.222,0.429,6.0,0.0,1.0,1,0,0,0,0.174,54,27,3
Batting Order Positions,Batting 9th,27,27,26,2.0,4,2,0,1,0,0,1,11,11.0,0.154,0.185,0.346,0.531,9.0,1.0,0.0,0,0,0,0,0.214,83,89,1
Batting Order Positions,"Bat1-2,non-P",32,49,44,4.0,7,0,1,0,2,0,4,15,3.75,0.159,0.225,0.205,0.429,9.0,0.0,0.0,0,1,0,1,0.233,56,21,6
Batting Order Positions,"Bat3-6,non-P",44,94,87,8.0,17,6,0,2,4,0,4,24,6.0,0.195,0.234,0.333,0.567,29.0,1.0,1.0,0,2,0,1,0.238,100,46,9
Batting Order Positions,"Bat7-9,non-P",43,86,79,5.0,17,5,1,2,1,1,4,22,5.5,0.215,0.262,0.38,0.642,30.0,1.0,1.0,2,0,0,0,0.273,126,89,9
Swung or Took First Pitch of PA,Swung at 1st Pitch,50,75,69,6.0,8,2,0,2,,,3,21,7.0,0.116,0.162,0.232,0.394,16.0,2.0,1.0,1,1,0,1,0.128,39,12,4
Swung or Took First Pitch of PA,Took 1st Pitch,59,154,141,10.0,33,9,2,2,,,9,40,4.44,0.234,0.281,0.369,0.65,52.0,0.0,1.0,1,2,0,1,0.307,130,79,20
Count/Balls-Strikes,First Pitch,24,27,26,3.0,4,1,0,1,,,0,0,,0.154,0.154,0.308,0.462,8.0,2.0,0.0,1,0,0,1,0.12,59,5,2
Count/Balls-Strikes,1-0 Count,15,16,15,3.0,4,2,0,2,,,0,0,,0.267,0.267,0.8,1.067,12.0,0.0,0.0,1,0,0,0,0.154,257,125,0
Count/Balls-Strikes,2-0 Count,6,6,6,0.0,2,1,0,0,,,0,0,,0.333,0.333,0.5,0.833,3.0,0.0,0.0,0,0,0,0,0.333,192,75,1
Count/Balls-Strikes,3-0 Count,3,3,0,0.0,0,0,0,0,,,3,0,0.0,,1.0,,,0.0,0.0,0.0,0,0,0,0,,,,0
Count/Balls-Strikes,0-1 Count,18,18,16,4.0,6,1,0,1,,,0,0,,0.375,0.389,0.625,1.014,10.0,0.0,1.0,0,1,0,0,0.313,254,152,4
Count/Balls-Strikes,1-1 Count,20,22,22,0.0,8,1,1,0,,,0,0,,0.364,0.364,0.5,0.864,11.0,0.0,0.0,0,0,0,0,0.364,205,115,6
Count/Balls-Strikes,2-1 Count,7,7,6,1.0,2,1,0,0,,,0,0,,0.333,0.429,0.5,0.929,3.0,0.0,1.0,0,0,0,0,0.333,232,118,1
Count/Balls-Strikes,3-1 Count,8,9,6,1.0,4,2,1,0,,,3,0,0.0,0.667,0.778,1.333,2.111,8.0,0.0,0.0,0,0,0,0,0.667,633,225,1
Count/Balls-Strikes,0-2 Count,27,32,32,0.0,2,0,0,0,,,0,19,,0.063,0.063,0.063,0.125,2.0,0.0,0.0,0,0,0,0,0.154,-55,-32,2
Count/Balls-Strikes,1-2 Count,36,44,44,1.0,5,1,0,0,,,0,24,,0.114,0.114,0.136,0.25,6.0,0.0,0.0,0,0,0,0,0.25,-11,20,4
Count/Balls-Strikes,2-2 Count,24,28,27,2.0,3,0,0,0,,,0,13,,0.111,0.107,0.111,0.218,3.0,0.0,0.0,0,1,0,1,0.2,-22,-5,3
Count/Balls-Strikes,Full Count,17,17,10,1.0,1,1,0,0,,,6,5,0.83,0.1,0.412,0.2,0.612,2.0,0.0,0.0,0,1,0,0,0.167,132,50,0
Count/Balls-Strikes,After 1-0,46,78,68,6.0,15,5,1,2,,,7,13,1.86,0.221,0.299,0.412,0.711,28.0,0.0,1.0,1,1,0,1,0.241,151,72,7
Count/Balls-Strikes,After 2-0,22,23,16,1.0,3,2,0,0,,,5,4,0.8,0.188,0.391,0.313,0.704,5.0,0.0,1.0,0,1,0,1,0.231,158,42,1
Count/Balls-Strikes,After 3-0,6,6,2,0.0,1,1,0,0,,,4,0,0.0,0.5,0.833,1.0,1.833,2.0,0.0,0.0,0,0,0,0,0.5,553,212,0
Count/Balls-Strikes,After 0-1,58,124,116,7.0,22,5,1,1,,,5,48,9.6,0.19,0.226,0.276,0.502,32.0,0.0,1.0,0,2,0,0,0.304,79,66,15
