Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2021 Totals,62,239.0,224,25.0,44,9,0,7,1,0,10,58,5.8,0.196,0.234,0.33,0.565,74.0,0.0,2.0,0,3,1,5,0.228,100,54,28
Platoon Splits,vs RHB,61,168.0,158,22.0,31,6,0,7,1,0,6,41,6.83,0.196,0.226,0.367,0.593,58.0,0.0,1.0,0,3,1,4,0.212,108,60,18
Platoon Splits,vs LHB,50,71.0,66,3.0,13,3,0,0,0,0,4,17,4.25,0.197,0.254,0.242,0.496,16.0,0.0,1.0,0,0,0,1,0.265,82,39,10
Platoon Splits,vs RHB as LHP,61,168.0,158,22.0,31,6,0,7,1,0,6,41,6.83,0.196,0.226,0.367,0.593,58.0,0.0,1.0,0,3,1,4,0.212,108,53,18
Platoon Splits,vs LHB as LHP,50,71.0,66,3.0,13,3,0,0,0,0,4,17,4.25,0.197,0.254,0.242,0.496,16.0,0.0,1.0,0,0,0,1,0.265,82,53,10
Home or Away,Home,32,123.0,114,12.0,22,3,0,4,0,0,5,32,6.4,0.193,0.228,0.325,0.552,37.0,0.0,1.0,0,3,0,3,0.222,96,54,15
Home or Away,Away,30,116.0,110,13.0,22,6,0,3,1,0,5,26,5.2,0.2,0.241,0.336,0.578,37.0,0.0,1.0,0,0,1,2,0.235,105,55,13
First or Second Half,1st Half,38,144.0,135,16.0,25,5,0,5,0,0,7,41,5.86,0.185,0.229,0.333,0.563,45.0,0.0,1.0,0,1,1,3,0.222,99,55,15
First or Second Half,2nd Half,24,95.0,89,9.0,19,4,0,2,1,0,3,17,5.67,0.214,0.242,0.326,0.568,29.0,0.0,1.0,0,2,0,2,0.236,102,53,13
Months,April/March,13,50.0,46,6.0,8,0,0,3,0,0,3,17,5.67,0.174,0.24,0.37,0.61,17.0,0.0,1.0,0,0,0,1,0.192,115,73,5
Months,May,11,44.0,42,8.0,11,2,0,2,0,0,2,12,6.0,0.262,0.296,0.452,0.748,19.0,0.0,0.0,0,0,0,1,0.321,163,108,7
Months,June,10,34.0,32,2.0,3,1,0,0,0,0,1,8,8.0,0.094,0.118,0.125,0.243,4.0,0.0,0.0,0,1,1,1,0.12,-12,-33,2
Months,July,11,39.0,38,0.0,5,3,0,0,0,0,1,9,9.0,0.132,0.154,0.211,0.364,8.0,0.0,0.0,0,0,0,0,0.172,30,-2,2
Months,August,12,49.0,43,6.0,10,1,0,1,1,0,3,10,3.33,0.233,0.286,0.326,0.611,14.0,0.0,1.0,0,2,0,1,0.265,121,69,8
Months,Sept/Oct,5,23.0,23,3.0,7,2,0,1,0,0,0,2,,0.304,0.304,0.522,0.826,12.0,0.0,0.0,0,0,0,1,0.3,188,118,4
Game Outcome for Pitcher,in Wins,3,9.0,8,1.0,0,0,0,0,0,0,0,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0,-100,-100,0
Game Outcome for Pitcher,in Losses,2,8.0,7,3.0,4,1,0,1,0,0,1,0,0.0,0.571,0.625,1.143,1.768,8.0,0.0,0.0,0,0,1,0,0.5,514,247,2
Game Outcome for Pitcher,in No Dec.,26,110.0,103,19.0,28,3,0,5,1,0,4,23,5.75,0.272,0.3,0.447,0.747,46.0,0.0,1.0,0,2,0,2,0.299,164,106,20
Game Outcome for Pitcher,in Saves,31,112.0,106,2.0,12,5,0,1,0,0,5,31,6.2,0.113,0.161,0.189,0.349,20.0,0.0,1.0,0,0,0,3,0.149,26,59,6
Game Outcome for Pitcher,in Sv Situ,44,169.0,156,10.0,27,6,0,2,0,0,9,41,4.56,0.173,0.225,0.25,0.475,39.0,0.0,2.0,0,2,0,3,0.217,72,39,19
Game Outcome for Pitcher,in non-Sv,18,70.0,68,15.0,17,3,0,5,1,0,1,17,17.0,0.25,0.257,0.515,0.772,35.0,0.0,0.0,0,1,1,2,0.255,166,108,9
Pitching Role,as Reliever,62,239.0,224,25.0,44,9,0,7,1,0,10,58,5.8,0.196,0.234,0.33,0.565,74.0,0.0,2.0,0,3,1,5,0.228,100,56,28
Batting Order Positions,Batting 1st,22,22.0,19,3.0,4,1,0,1,0,0,2,3,1.5,0.211,0.273,0.421,0.694,8.0,0.0,0.0,0,1,1,0,0.188,144,80,2
Batting Order Positions,Batting 2nd,21,21.0,20,4.0,6,0,0,1,0,0,0,3,,0.3,0.286,0.45,0.736,9.0,0.0,0.0,0,1,0,1,0.294,159,87,5
Batting Order Positions,Batting 3rd,25,25.0,21,5.0,6,2,0,1,0,0,3,6,2.0,0.286,0.4,0.524,0.924,11.0,0.0,1.0,0,0,0,0,0.357,230,130,3
Batting Order Positions,Batting 4th,32,32.0,31,3.0,8,1,0,1,0,0,0,7,,0.258,0.281,0.387,0.668,12.0,0.0,1.0,0,0,0,1,0.304,137,71,6
Batting Order Positions,Batting 5th,24,24.0,23,1.0,4,3,0,0,0,0,0,5,,0.174,0.167,0.304,0.471,7.0,0.0,0.0,0,1,0,0,0.211,64,25,1
Batting Order Positions,Batting 6th,29,29.0,28,2.0,6,1,0,1,0,0,1,7,7.0,0.214,0.241,0.357,0.599,10.0,0.0,0.0,0,0,0,0,0.25,111,64,4
Batting Order Positions,Batting 7th,29,29.0,26,3.0,5,0,0,1,0,0,3,7,2.33,0.192,0.276,0.308,0.584,8.0,0.0,0.0,0,0,0,1,0.222,111,70,4
Batting Order Positions,Batting 8th,29,29.0,29,1.0,2,1,0,0,1,0,0,9,,0.069,0.069,0.103,0.172,3.0,0.0,0.0,0,0,0,2,0.1,-39,-49,1
Batting Order Positions,Batting 9th,28,28.0,27,3.0,3,0,0,1,0,0,1,11,11.0,0.111,0.143,0.222,0.365,6.0,0.0,0.0,0,0,0,0,0.133,28,27,2
Batting Order Positions,"Bat1-2,non-P",25,43.0,39,7.0,10,1,0,2,0,0,2,6,3.0,0.256,0.279,0.436,0.715,17.0,0.0,0.0,0,2,1,1,0.242,151,83,7
Batting Order Positions,"Bat3-6,non-P",49,110.0,103,11.0,24,7,0,3,0,0,4,25,6.25,0.233,0.273,0.388,0.661,40.0,0.0,2.0,0,1,0,1,0.276,134,73,14
Batting Order Positions,"Bat7-9,non-P",40,86.0,82,7.0,10,1,0,2,1,0,4,27,6.75,0.122,0.163,0.207,0.37,17.0,0.0,0.0,0,0,0,3,0.151,32,10,7
Swung or Took First Pitch of PA,Swung at 1st Pitch,45,80.0,78,8.0,14,4,0,3,,,0,21,,0.18,0.188,0.346,0.534,27.0,0.0,1.0,0,1,0,3,0.2,85,44,7
Swung or Took First Pitch of PA,Took 1st Pitch,59,159.0,146,17.0,30,5,0,4,,,10,37,3.7,0.206,0.258,0.322,0.58,47.0,0.0,1.0,0,2,1,2,0.243,108,59,21
Count/Balls-Strikes,First Pitch,24,28.0,28,3.0,6,3,0,1,,,0,0,,0.214,0.214,0.429,0.643,12.0,0.0,0.0,0,0,0,1,0.185,122,34,2
Count/Balls-Strikes,1-0 Count,22,25.0,24,4.0,7,1,0,1,,,0,0,,0.292,0.28,0.458,0.738,11.0,0.0,0.0,0,1,0,1,0.25,158,63,5
Count/Balls-Strikes,2-0 Count,2,3.0,3,2.0,2,1,0,0,,,0,0,,0.667,0.667,1.0,1.667,3.0,0.0,0.0,0,0,0,0,0.667,488,239,1
Count/Balls-Strikes,3-0 Count,4,4.0,0,1.0,0,0,0,0,,,4,0,0.0,,1.0,,,0.0,0.0,0.0,0,0,1,0,,,,0
Count/Balls-Strikes,0-1 Count,19,25.0,23,4.0,8,0,0,1,,,0,0,,0.348,0.36,0.478,0.838,11.0,0.0,1.0,0,1,0,2,0.304,199,104,7
Count/Balls-Strikes,1-1 Count,16,20.0,19,7.0,8,2,0,3,,,0,0,,0.421,0.4,1.0,1.4,19.0,0.0,0.0,0,1,0,0,0.294,374,192,3
Count/Balls-Strikes,2-1 Count,5,5.0,5,0.0,3,1,0,0,,,0,0,,0.6,0.6,0.8,1.4,4.0,0.0,0.0,0,0,0,0,0.6,399,210,2
