Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2014 Totals,67,307.0,265,24.0,67,13,0,3,2,4,33,55,1.67,0.253,0.336,0.336,0.671,89.0,12.0,2.0,3,4,4,3,0.303,100,94,51
Platoon Splits,vs RHB,61,174.0,149,18.0,31,3,0,1,0,4,20,37,1.85,0.208,0.301,0.248,0.549,37.0,9.0,1.0,1,3,0,2,0.263,63,61,27
Platoon Splits,vs LHB,57,133.0,116,21.0,36,10,0,2,2,0,13,18,1.38,0.31,0.382,0.448,0.83,52.0,3.0,1.0,2,1,4,1,0.351,147,137,24
Platoon Splits,vs RHB as RHP,61,174.0,149,18.0,31,3,0,1,0,4,20,37,1.85,0.208,0.301,0.248,0.549,37.0,9.0,1.0,1,3,0,2,0.263,63,64,27
Platoon Splits,vs LHB as RHP,57,133.0,116,21.0,36,10,0,2,2,0,13,18,1.38,0.31,0.382,0.448,0.83,52.0,3.0,1.0,2,1,4,1,0.351,147,133,24
Home or Away,Home,35,164.0,137,9.0,33,5,0,1,1,2,20,32,1.6,0.241,0.342,0.299,0.641,41.0,6.0,2.0,3,2,1,1,0.302,91,90,27
Home or Away,Away,32,143.0,128,15.0,34,8,0,2,1,2,13,23,1.77,0.266,0.329,0.375,0.704,48.0,6.0,0.0,0,2,3,2,0.305,110,98,24
First or Second Half,1st Half,40,208.0,175,12.0,38,6,0,1,0,4,25,37,1.48,0.217,0.316,0.269,0.584,47.0,5.0,2.0,2,4,3,3,0.262,74,69,31
First or Second Half,2nd Half,27,99.0,90,12.0,29,7,0,2,2,0,8,18,2.25,0.322,0.378,0.467,0.844,42.0,7.0,0.0,1,0,1,0,0.386,152,144,20
Months,April/March,10,73.0,63,4.0,15,2,0,1,0,0,9,13,1.44,0.238,0.333,0.318,0.651,20.0,3.0,0.0,1,0,0,2,0.286,94,87,12
Months,May,12,53.0,41,1.0,5,0,0,0,0,2,7,7,1.0,0.122,0.269,0.122,0.391,5.0,1.0,2.0,1,2,0,0,0.139,16,16,5
Months,June,13,60.0,52,5.0,14,2,0,0,0,1,6,13,2.17,0.269,0.333,0.308,0.641,16.0,1.0,0.0,0,2,2,1,0.342,91,87,12
Months,July,10,39.0,35,2.0,7,2,0,0,0,1,4,8,2.0,0.2,0.282,0.257,0.539,9.0,1.0,0.0,0,0,1,0,0.259,60,56,5
Months,August,12,47.0,43,8.0,16,3,0,2,0,0,4,8,2.0,0.372,0.426,0.581,1.007,25.0,5.0,0.0,0,0,1,0,0.424,200,190,11
Months,Sept/Oct,10,35.0,31,4.0,10,4,0,0,2,0,3,6,2.0,0.323,0.382,0.452,0.834,14.0,1.0,0.0,1,0,0,0,0.4,148,143,6
Game Outcome for Pitcher,in Wins,1,4.0,3,0.0,2,2,0,0,0,0,0,1,,0.667,0.667,1.333,2.0,4.0,0.0,0.0,1,0,0,0,1.0,495,602,0
Game Outcome for Pitcher,in Losses,6,30.0,26,11.0,15,5,0,2,1,0,3,4,1.33,0.577,0.6,1.0,1.6,26.0,1.0,0.0,0,1,2,0,0.619,376,246,8
Game Outcome for Pitcher,in No Dec.,46,221.0,188,12.0,41,6,0,1,1,3,26,38,1.46,0.218,0.315,0.266,0.581,50.0,7.0,2.0,2,3,2,3,0.263,73,73,34
Game Outcome for Pitcher,in Saves,14,52.0,48,1.0,9,0,0,0,0,1,4,12,3.0,0.188,0.25,0.188,0.438,9.0,4.0,0.0,0,0,0,0,0.25,30,97,9
Game Outcome for Pitcher,in Sv Situ,30,121.0,104,8.0,26,4,0,0,1,2,14,22,1.57,0.25,0.336,0.289,0.625,30.0,7.0,0.0,2,1,0,1,0.313,86,98,22
Game Outcome for Pitcher,in non-Sv,37,186.0,161,16.0,41,9,0,3,1,2,19,33,1.74,0.255,0.335,0.367,0.702,59.0,5.0,2.0,1,3,4,2,0.297,109,102,29
Pitching Role,as Reliever,67,307.0,265,24.0,67,13,0,3,2,4,33,55,1.67,0.253,0.336,0.336,0.671,89.0,12.0,2.0,3,4,4,3,0.303,100,98,51
Batting Order Positions,Batting 1st,29,29.0,28,1.0,6,0,0,0,0,0,0,6,,0.214,0.214,0.214,0.429,6.0,2.0,0.0,1,0,0,0,0.273,27,21,6
Batting Order Positions,Batting 2nd,38,38.0,35,2.0,8,2,0,0,1,2,3,13,4.33,0.229,0.29,0.286,0.575,10.0,0.0,0.0,0,0,0,0,0.364,71,63,6
Batting Order Positions,Batting 3rd,38,38.0,32,11.0,13,3,0,0,0,0,4,5,1.25,0.406,0.447,0.5,0.947,16.0,3.0,0.0,0,2,0,1,0.448,182,139,10
Batting Order Positions,Batting 4th,41,42.0,28,1.0,5,2,0,0,0,1,11,7,0.64,0.179,0.429,0.25,0.679,7.0,1.0,2.0,0,1,2,0,0.227,102,90,3
Batting Order Positions,Batting 5th,34,35.0,30,5.0,7,1,0,1,0,0,5,6,1.2,0.233,0.343,0.367,0.71,11.0,1.0,0.0,0,0,2,1,0.261,111,97,5
Batting Order Positions,Batting 6th,31,34.0,26,9.0,10,1,0,1,1,0,7,2,0.29,0.385,0.5,0.539,1.039,14.0,2.0,0.0,0,1,0,0,0.375,209,206,8
Batting Order Positions,Batting 7th,33,36.0,34,6.0,8,1,0,1,0,0,1,7,7.0,0.235,0.257,0.353,0.61,12.0,2.0,0.0,1,0,0,0,0.269,82,77,6
Batting Order Positions,Batting 8th,29,30.0,28,3.0,4,1,0,0,0,0,2,5,2.5,0.143,0.2,0.179,0.379,5.0,1.0,0.0,0,0,0,1,0.174,13,17,3
Batting Order Positions,Batting 9th,24,25.0,24,1.0,6,2,0,0,0,1,0,4,,0.25,0.25,0.333,0.583,8.0,0.0,0.0,1,0,0,0,0.3,74,119,4
Batting Order Positions,"Bat1-2,non-P",43,67.0,63,3.0,14,2,0,0,1,2,3,19,6.33,0.222,0.258,0.254,0.512,16.0,2.0,0.0,1,0,0,0,0.318,52,45,12
Batting Order Positions,"Bat3-6,non-P",55,149.0,116,26.0,35,7,0,2,1,1,27,20,0.74,0.302,0.43,0.414,0.843,48.0,7.0,2.0,0,4,4,2,0.337,151,131,26
Batting Order Positions,"Bat7-9,non-P",40,91.0,86,10.0,18,4,0,1,0,1,3,16,5.33,0.209,0.236,0.291,0.527,25.0,3.0,0.0,2,0,0,1,0.246,57,60,13
Swung or Took First Pitch of PA,Swung at 1st Pitch,43,66.0,60,10.0,15,2,0,0,,,2,9,4.5,0.25,0.281,0.283,0.565,17.0,2.0,1.0,2,1,0,1,0.289,68,67,13
Swung or Took First Pitch of PA,Took 1st Pitch,66,241.0,205,27.0,52,11,0,3,,,31,46,1.48,0.254,0.35,0.351,0.701,72.0,10.0,1.0,1,3,4,2,0.308,109,101,38
Count/Balls-Strikes,First Pitch,24,31.0,29,5.0,7,1,0,0,,,0,0,,0.241,0.241,0.276,0.517,8.0,2.0,0.0,2,0,0,1,0.241,54,23,6
Count/Balls-Strikes,1-0 Count,18,21.0,19,5.0,7,1,0,0,,,0,0,,0.368,0.35,0.421,0.771,8.0,3.0,0.0,1,1,0,0,0.35,130,85,6
Count/Balls-Strikes,2-0 Count,3,3.0,3,1.0,0,0,0,0,,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,-100,-100,0
Count/Balls-Strikes,3-0 Count,9,10.0,0,0.0,0,0,0,0,,,10,0,0.0,,1.0,,,0.0,0.0,0.0,0,0,4,0,,,,0
Count/Balls-Strikes,0-1 Count,21,27.0,27,0.0,6,2,0,0,,,0,0,,0.222,0.222,0.296,0.519,8.0,2.0,0.0,0,0,0,0,0.222,54,30,4
Count/Balls-Strikes,1-1 Count,19,23.0,21,4.0,8,4,0,0,,,0,0,,0.381,0.391,0.571,0.963,12.0,1.0,1.0,0,1,0,0,0.364,186,140,4
Count/Balls-Strikes,2-1 Count,13,15.0,15,0.0,6,1,0,0,,,0,0,,0.4,0.4,0.467,0.867,7.0,0.0,0.0,0,0,0,0,0.4,158,111,5
Count/Balls-Strikes,3-1 Count,16,19.0,6,2.0,0,0,0,0,,,13,0,0.0,0.0,0.684,0.0,0.684,0.0,2.0,0.0,0,0,0,0,0.0,104,1,0
Count/Balls-Strikes,0-2 Count,22,28.0,27,2.0,5,0,0,0,,,0,11,,0.185,0.214,0.185,0.4,5.0,1.0,1.0,0,0,0,0,0.313,19,121,5
Count/Balls-Strikes,1-2 Count,33,49.0,47,8.0,13,1,0,1,,,0,18,,0.277,0.265,0.362,0.627,17.0,1.0,0.0,0,2,0,0,0.4,87,207,11
Count/Balls-Strikes,2-2 Count,41,51.0,51,3.0,9,2,0,0,,,0,19,,0.177,0.177,0.216,0.392,11.0,0.0,0.0,0,0,0,1,0.281,17,73,7
Count/Balls-Strikes,Full Count,23,30.0,20,7.0,6,1,0,2,,,10,7,0.7,0.3,0.533,0.65,1.183,13.0,0.0,0.0,0,0,0,0,0.364,252,208,3
Count/Balls-Strikes,After 1-0,59,119.0,91,20.0,24,6,0,3,,,26,16,0.62,0.264,0.424,0.429,0.852,39.0,5.0,0.0,1,1,4,2,0.288,154,116,15
Count/Balls-Strikes,After 2-0,35,49.0,29,6.0,3,1,0,1,,,20,7,0.35,0.103,0.469,0.241,0.711,7.0,2.0,0.0,0,0,4,1,0.095,111,48,1
Count/Balls-Strikes,After 3-0,14,16.0,4,0.0,0,0,0,0,,,12,1,0.08,0.0,0.75,0.0,0.75,0.0,1.0,0.0,0,0,4,0,0.0,123,2,0
Count/Balls-Strikes,After 0-1,60,157.0,145,12.0,36,6,0,0,,,7,39,5.57,0.248,0.287,0.29,0.576,42.0,5.0,2.0,0,3,0,0,0.33,72,98,30
Count/Balls-Strikes,After 1-1,58,110.0,97,15.0,29,7,0,2,,,11,23,2.09,0.299,0.373,0.433,0.806,42.0,2.0,1.0,0,1,0,1,0.37,140,147,20
Count/Balls-Strikes,After 2-1,43,60.0,43,9.0,9,1,0,2,,,17,11,0.65,0.209,0.433,0.372,0.805,16.0,1.0,0.0,0,0,0,1,0.233,140,108,6
Count/Balls-Strikes,After 3-1,25,32.0,14,2.0,0,0,0,0,,,18,5,0.28,0.0,0.563,0.0,0.563,0.0,2.0,0.0,0,0,0,0,0.0,68,-2,0
Count/Balls-Strikes,After 0-2,42,69.0,64,6.0,15,1,0,0,,,2,25,12.5,0.234,0.261,0.25,0.511,16.0,1.0,1.0,0,2,0,0,0.366,52,137,14
Count/Balls-Strikes,After 1-2,48,98.0,92,11.0,25,4,0,1,,,4,32,8.0,0.272,0.296,0.348,0.644,32.0,1.0,0.0,0,2,0,0,0.393,92,164,20
Count/Balls-Strikes,After 2-2,47,68.0,63,10.0,15,3,0,2,,,5,21,4.2,0.238,0.294,0.381,0.675,24.0,0.0,0.0,0,0,0,1,0.325,101,132,10
Count/Balls-Strikes,Zero Balls,46,86.0,83,9.0,18,3,0,0,,,0,11,,0.217,0.226,0.253,0.479,21.0,5.0,1.0,2,0,0,1,0.25,43,42,15
Count/Balls-Strikes,Zero Strikes,42,65.0,51,13.0,14,2,0,0,,,10,0,0.0,0.275,0.387,0.314,0.701,16.0,5.0,0.0,3,1,4,2,0.269,109,57,12
Count/Balls-Strikes,Three Balls,37,59.0,26,9.0,6,1,0,2,,,33,7,0.21,0.231,0.661,0.5,1.161,13.0,2.0,0.0,0,0,4,0,0.235,246,146,3
Count/Balls-Strikes,Two Strikes,59,158.0,145,20.0,33,4,0,3,,,10,55,5.5,0.228,0.279,0.317,0.596,46.0,2.0,1.0,0,2,0,1,0.337,77,135,26
Count/Balls-Strikes,Batter Ahead,53,98.0,63,15.0,19,3,0,2,,,33,7,0.21,0.302,0.536,0.444,0.981,28.0,5.0,0.0,1,1,4,1,0.309,192,110,14
Count/Balls-Strikes,Even Count,55,105.0,101,12.0,24,7,0,0,,,0,19,,0.238,0.243,0.307,0.55,31.0,3.0,1.0,2,1,0,2,0.289,64,64,17
Count/Balls-Strikes,Pitcher Ahead,53,104.0,101,10.0,24,3,0,1,,,0,29,,0.238,0.24,0.297,0.537,30.0,4.0,1.0,0,2,0,0,0.315,60,114,20
