Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2021 Totals,60,235.0,199,27.0,35,6,1,9,7,0,32,78,2.44,0.176,0.294,0.352,0.645,70.0,1.0,2.0,0,2,0,1,0.228,100,78,19
Platoon Splits,vs RHB,55,104.0,85,16.0,17,3,0,5,4,0,15,30,2.0,0.2,0.327,0.412,0.739,35.0,1.0,2.0,0,2,0,1,0.231,128,103,9
Platoon Splits,vs LHB,57,131.0,114,15.0,18,3,1,4,3,0,17,48,2.82,0.158,0.267,0.307,0.574,35.0,0.0,0.0,0,0,0,0,0.226,78,59,10
Platoon Splits,vs RHB as RHP,55,104.0,85,16.0,17,3,0,5,4,0,15,30,2.0,0.2,0.327,0.412,0.739,35.0,1.0,2.0,0,2,0,1,0.231,128,108,9
Platoon Splits,vs LHB as RHP,57,131.0,114,15.0,18,3,1,4,3,0,17,48,2.82,0.158,0.267,0.307,0.574,35.0,0.0,0.0,0,0,0,0,0.226,78,56,10
Home or Away,Home,30,119.0,101,15.0,19,3,0,5,6,0,16,44,2.75,0.188,0.303,0.366,0.669,37.0,1.0,1.0,0,1,0,0,0.264,107,89,11
Home or Away,Away,30,116.0,98,12.0,16,3,1,4,1,0,16,34,2.13,0.163,0.285,0.337,0.621,33.0,0.0,1.0,0,1,0,1,0.197,92,68,8
First or Second Half,1st Half,41,160.0,136,13.0,18,4,1,5,5,0,22,68,3.09,0.132,0.256,0.287,0.543,39.0,0.0,1.0,0,1,0,1,0.203,69,52,8
First or Second Half,2nd Half,19,75.0,63,14.0,17,2,0,4,2,0,10,10,1.0,0.27,0.373,0.492,0.865,31.0,1.0,1.0,0,1,0,0,0.26,167,134,11
Months,April/March,12,37.0,34,0.0,2,1,0,0,1,0,2,22,11.0,0.059,0.135,0.088,0.223,3.0,0.0,1.0,0,0,0,0,0.167,-29,-34,1
Months,May,13,56.0,45,8.0,6,0,1,3,1,0,10,21,2.1,0.133,0.286,0.378,0.664,17.0,0.0,0.0,0,1,0,1,0.136,105,86,2
Months,June,12,48.0,40,4.0,7,1,0,1,2,0,8,16,2.0,0.175,0.313,0.275,0.588,11.0,0.0,0.0,0,0,0,0,0.261,85,64,5
Months,July,12,53.0,44,9.0,12,3,0,3,1,0,7,11,1.57,0.273,0.377,0.546,0.923,24.0,0.0,1.0,0,1,0,0,0.29,183,147,6
Months,August,10,38.0,33,6.0,8,1,0,2,2,0,5,7,1.4,0.242,0.342,0.455,0.797,15.0,1.0,0.0,0,0,0,0,0.25,146,118,5
Months,Sept/Oct,1,3.0,3,0.0,0,0,0,0,0,0,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-100,-100,0
Game Outcome for Pitcher,in Wins,7,27.0,25,1.0,3,2,0,1,0,0,2,13,6.5,0.12,0.185,0.32,0.505,8.0,0.0,0.0,0,0,0,0,0.182,54,87,0
Game Outcome for Pitcher,in Losses,4,17.0,10,11.0,8,0,0,3,1,0,5,1,0.2,0.8,0.824,1.7,2.524,17.0,0.0,1.0,0,1,0,0,0.714,663,390,5
Game Outcome for Pitcher,in No Dec.,38,143.0,123,12.0,16,3,1,5,6,0,19,52,2.74,0.13,0.252,0.293,0.544,36.0,1.0,1.0,0,0,0,1,0.167,69,53,7
Game Outcome for Pitcher,in Saves,11,48.0,41,3.0,8,1,0,0,0,0,6,12,2.0,0.195,0.292,0.22,0.511,9.0,0.0,0.0,0,1,0,0,0.267,62,132,7
Game Outcome for Pitcher,in Sv Situ,29,117.0,103,10.0,20,4,0,3,5,0,13,36,2.77,0.194,0.282,0.32,0.603,33.0,1.0,0.0,0,1,0,0,0.262,87,76,13
Game Outcome for Pitcher,in non-Sv,31,118.0,96,17.0,15,2,1,6,2,0,19,42,2.21,0.156,0.305,0.385,0.691,37.0,0.0,2.0,0,1,0,1,0.184,113,90,6
Pitching Role,as Reliever,60,235.0,199,27.0,35,6,1,9,7,0,32,78,2.44,0.176,0.294,0.352,0.645,70.0,1.0,2.0,0,2,0,1,0.228,100,81,19
Batting Order Positions,Batting 1st,22,22.0,17,2.0,5,1,0,0,0,0,5,2,0.4,0.294,0.455,0.353,0.807,6.0,0.0,0.0,0,0,0,1,0.333,155,119,4
Batting Order Positions,Batting 2nd,21,21.0,19,1.0,5,1,0,0,2,0,2,7,3.5,0.263,0.333,0.316,0.649,6.0,0.0,0.0,0,0,0,0,0.417,103,71,4
Batting Order Positions,Batting 3rd,22,22.0,19,8.0,3,0,0,2,2,0,2,9,4.5,0.158,0.273,0.474,0.746,9.0,1.0,1.0,0,0,0,0,0.125,128,82,1
Batting Order Positions,Batting 4th,27,27.0,22,3.0,1,0,0,1,3,0,4,12,3.0,0.046,0.185,0.182,0.367,4.0,0.0,0.0,0,1,0,0,0.0,15,-4,0
Batting Order Positions,Batting 5th,27,27.0,22,2.0,2,1,0,1,0,0,5,9,1.8,0.091,0.259,0.273,0.532,6.0,0.0,0.0,0,0,0,0,0.083,66,46,0
Batting Order Positions,Batting 6th,27,27.0,23,4.0,6,2,0,2,0,0,4,8,2.0,0.261,0.37,0.609,0.979,14.0,0.0,0.0,0,0,0,0,0.308,199,167,2
Batting Order Positions,Batting 7th,32,32.0,26,2.0,3,0,0,1,0,0,6,10,1.67,0.115,0.281,0.231,0.512,6.0,0.0,0.0,0,0,0,0,0.133,61,52,2
Batting Order Positions,Batting 8th,32,32.0,31,4.0,6,0,1,1,0,0,0,13,,0.194,0.219,0.355,0.574,11.0,0.0,1.0,0,0,0,0,0.294,75,71,4
Batting Order Positions,Batting 9th,25,25.0,20,5.0,4,1,0,1,0,0,4,8,2.0,0.2,0.32,0.4,0.72,8.0,0.0,0.0,0,1,0,0,0.25,123,153,2
Batting Order Positions,"Bat1-2,non-P",26,43.0,36,3.0,10,2,0,0,2,0,7,9,1.29,0.278,0.395,0.333,0.729,12.0,0.0,0.0,0,0,0,1,0.37,129,95,8
Batting Order Positions,"Bat3-6,non-P",44,103.0,86,17.0,12,3,0,6,5,0,15,38,2.53,0.14,0.272,0.384,0.656,33.0,1.0,1.0,0,1,0,0,0.14,102,71,3
Batting Order Positions,"Bat7-9,non-P",41,89.0,77,11.0,13,1,1,3,0,0,10,31,3.1,0.169,0.27,0.325,0.594,25.0,0.0,1.0,0,1,0,0,0.227,84,77,8
Swung or Took First Pitch of PA,Swung at 1st Pitch,40,59.0,56,9.0,10,0,1,1,,,1,20,20.0,0.179,0.203,0.268,0.471,15.0,1.0,1.0,0,1,0,0,0.25,45,32,8
Swung or Took First Pitch of PA,Took 1st Pitch,58,176.0,143,22.0,25,6,0,8,,,31,58,1.87,0.175,0.324,0.385,0.709,55.0,0.0,1.0,0,1,0,1,0.218,120,95,11
Count/Balls-Strikes,First Pitch,17,21.0,19,7.0,5,0,0,1,,,0,0,,0.263,0.286,0.421,0.707,8.0,0.0,1.0,0,1,0,0,0.211,117,53,4
Count/Balls-Strikes,1-0 Count,8,9.0,9,2.0,2,0,0,1,,,0,0,,0.222,0.222,0.556,0.778,5.0,0.0,0.0,0,0,0,0,0.125,134,62,1
Count/Balls-Strikes,2-0 Count,4,4.0,4,2.0,1,0,0,1,,,0,0,,0.25,0.25,1.0,1.25,4.0,0.0,0.0,0,0,0,0,0.0,269,121,0
Count/Balls-Strikes,3-0 Count,4,4.0,0,0.0,0,0,0,0,,,4,0,0.0,,1.0,,,0.0,0.0,0.0,0,0,0,0,,,,0
