Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2022 Totals,67,237.0,211,12.0,31,3,1,5,12,0,17,75,4.41,0.147,0.229,0.242,0.471,51.0,8.0,6.0,0,2,2,0,0.196,100,35,22
Platoon Splits,vs RHB,66,151.0,130,11.0,20,2,0,3,6,0,12,50,4.17,0.154,0.253,0.239,0.492,31.0,4.0,6.0,0,2,0,0,0.215,109,40,15
Platoon Splits,vs LHB,52,86.0,81,3.0,11,1,1,2,6,0,5,25,5.0,0.136,0.186,0.247,0.433,20.0,4.0,0.0,0,0,2,0,0.167,83,24,7
Platoon Splits,vs RHB as RHP,66,151.0,130,11.0,20,2,0,3,6,0,12,50,4.17,0.154,0.253,0.239,0.492,31.0,4.0,6.0,0,2,0,0,0.215,109,43,15
Platoon Splits,vs LHB as RHP,52,86.0,81,3.0,11,1,1,2,6,0,5,25,5.0,0.136,0.186,0.247,0.433,20.0,4.0,0.0,0,0,2,0,0.167,83,22,7
Home or Away,Home,37,126.0,114,6.0,15,1,1,4,6,0,8,43,5.38,0.132,0.192,0.263,0.455,30.0,5.0,1.0,0,2,1,0,0.159,93,30,9
Home or Away,Away,30,111.0,97,6.0,16,2,0,1,6,0,9,32,3.56,0.165,0.27,0.217,0.487,21.0,3.0,5.0,0,0,1,0,0.234,107,39,13
First or Second Half,1st Half,42,141.0,127,7.0,19,3,1,2,7,0,8,46,5.75,0.15,0.221,0.236,0.458,30.0,6.0,4.0,0,1,1,0,0.213,94,31,13
First or Second Half,2nd Half,25,96.0,84,5.0,12,0,0,3,5,0,9,29,3.22,0.143,0.24,0.25,0.49,21.0,2.0,2.0,0,1,1,0,0.17,108,41,9
Months,April/March,8,31.0,24,1.0,0,0,0,0,2,0,4,10,2.5,0.0,0.2,0.0,0.2,0.0,0.0,2.0,0,0,1,0,0.0,-13,-35,0
Months,May,13,44.0,42,2.0,5,1,0,0,0,0,2,18,9.0,0.119,0.159,0.143,0.302,6.0,1.0,0.0,0,0,0,0,0.208,29,-13,4
Months,June,12,37.0,34,3.0,9,1,1,1,4,0,2,5,2.5,0.265,0.297,0.441,0.739,15.0,4.0,0.0,0,1,0,0,0.276,212,102,6
Months,July,11,37.0,34,1.0,5,1,0,1,1,0,0,15,,0.147,0.216,0.265,0.481,9.0,1.0,3.0,0,0,0,0,0.222,104,35,3
Months,August,13,46.0,40,1.0,3,0,0,1,1,0,5,16,3.2,0.075,0.196,0.15,0.346,6.0,1.0,1.0,0,0,0,0,0.087,48,1,2
Months,Sept/Oct,10,42.0,37,4.0,9,0,0,2,4,0,4,11,2.75,0.243,0.31,0.405,0.715,15.0,1.0,0.0,0,1,1,0,0.28,203,103,7
Game Outcome for Pitcher,in Wins,2,8.0,6,0.0,1,0,0,0,1,0,2,2,1.0,0.167,0.375,0.167,0.542,1.0,1.0,0.0,0,0,0,0,0.25,133,111,1
Game Outcome for Pitcher,in Losses,3,13.0,10,5.0,4,0,1,1,1,0,1,2,2.0,0.4,0.462,0.9,1.362,9.0,0.0,1.0,0,1,0,0,0.375,474,174,2
Game Outcome for Pitcher,in No Dec.,54,192.0,172,6.0,25,3,0,3,10,0,13,58,4.46,0.145,0.225,0.215,0.44,37.0,6.0,5.0,0,1,2,0,0.196,87,30,19
Game Outcome for Pitcher,in Saves,8,24.0,23,1.0,1,0,0,1,0,0,1,13,13.0,0.044,0.083,0.174,0.257,4.0,1.0,0.0,0,0,0,0,0.0,8,24,0
Game Outcome for Pitcher,in Sv Situ,34,113.0,104,6.0,16,2,0,4,7,0,7,37,5.29,0.154,0.212,0.289,0.501,30.0,4.0,1.0,0,1,1,0,0.188,112,52,10
Game Outcome for Pitcher,in non-Sv,33,124.0,107,6.0,15,1,1,1,5,0,10,38,3.8,0.14,0.244,0.196,0.44,21.0,4.0,5.0,0,1,1,0,0.203,88,28,12
