Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2009 Totals,61,227.0,206,17.0,43,4,0,4,6,2,16,56,3.5,0.209,0.27,0.286,0.556,59.0,4.0,2.0,1,2,3,1,0.264,100,50,35
Platoon Splits,vs RHB,54,110.0,100,5.0,14,1,0,1,2,1,7,27,3.86,0.14,0.211,0.18,0.391,18.0,3.0,2.0,1,0,0,0,0.181,41,8,12
Platoon Splits,vs LHB,49,117.0,106,19.0,29,3,0,3,4,1,9,29,3.22,0.274,0.325,0.387,0.712,41.0,1.0,0.0,0,2,3,1,0.342,156,87,23
Platoon Splits,vs RHB as RHP,54,110.0,100,5.0,14,1,0,1,2,1,7,27,3.86,0.14,0.211,0.18,0.391,18.0,3.0,2.0,1,0,0,0,0.181,41,10,12
Platoon Splits,vs LHB as RHP,49,117.0,106,19.0,29,3,0,3,4,1,9,29,3.22,0.274,0.325,0.387,0.712,41.0,1.0,0.0,0,2,3,1,0.342,156,84,23
Home or Away,Home,31,116.0,106,5.0,19,2,0,2,1,0,8,31,3.88,0.179,0.241,0.255,0.496,27.0,3.0,1.0,0,1,1,0,0.23,78,37,15
Home or Away,Away,30,111.0,100,12.0,24,2,0,2,5,2,8,25,3.13,0.24,0.3,0.32,0.62,32.0,1.0,1.0,1,1,2,1,0.297,123,63,20
First or Second Half,1st Half,36,129.0,116,9.0,25,3,0,1,4,2,10,29,2.9,0.216,0.281,0.267,0.549,31.0,2.0,1.0,1,1,2,0,0.276,97,49,21
First or Second Half,2nd Half,25,98.0,90,8.0,18,1,0,3,2,0,6,27,4.5,0.2,0.255,0.311,0.566,28.0,2.0,1.0,0,1,1,1,0.246,103,51,14
Months,April/March,9,29.0,28,0.0,3,0,0,0,0,0,1,6,6.0,0.107,0.138,0.107,0.245,3.0,2.0,0.0,0,0,0,0,0.136,-12,-34,3
Months,May,11,40.0,36,5.0,10,2,0,1,1,0,2,9,4.5,0.278,0.308,0.417,0.724,15.0,0.0,0.0,1,1,2,0,0.333,160,92,7
Months,June,10,32.0,28,1.0,7,0,0,0,1,2,3,5,1.67,0.25,0.344,0.25,0.594,7.0,0.0,1.0,0,0,0,0,0.304,115,67,7
Months,July,11,45.0,41,3.0,8,1,0,0,2,0,4,14,3.5,0.195,0.267,0.22,0.486,9.0,1.0,0.0,0,0,0,0,0.296,76,34,7
Months,August,8,26.0,23,0.0,2,0,0,0,0,0,3,9,3.0,0.087,0.192,0.087,0.279,2.0,1.0,0.0,0,0,1,0,0.143,2,-23,2
Months,Sept/Oct,12,55.0,50,8.0,13,1,0,3,2,0,3,13,4.33,0.26,0.309,0.46,0.769,23.0,0.0,1.0,0,1,0,1,0.286,175,106,9
Game Outcome for Pitcher,in Wins,7,24.0,24,0.0,3,0,0,0,1,1,0,6,,0.125,0.125,0.125,0.25,3.0,1.0,0.0,0,0,0,0,0.167,-10,-15,3
Game Outcome for Pitcher,in Losses,3,17.0,13,3.0,5,0,0,0,3,0,4,3,0.75,0.385,0.529,0.385,0.914,5.0,0.0,0.0,0,0,0,0,0.5,231,98,5
Game Outcome for Pitcher,in No Dec.,40,145.0,131,12.0,27,3,0,4,1,1,10,36,3.6,0.206,0.264,0.321,0.585,42.0,3.0,1.0,1,2,3,1,0.247,110,59,20
Game Outcome for Pitcher,in Saves,11,41.0,38,2.0,8,1,0,0,1,0,2,11,5.5,0.211,0.268,0.237,0.505,9.0,0.0,1.0,0,0,0,0,0.296,82,117,7
Game Outcome for Pitcher,in Sv Situ,18,62.0,59,6.0,15,1,0,1,1,2,2,12,6.0,0.254,0.29,0.322,0.612,19.0,0.0,1.0,0,0,0,1,0.304,120,78,13
Game Outcome for Pitcher,in non-Sv,43,165.0,147,11.0,28,3,0,3,5,0,14,44,3.14,0.191,0.262,0.272,0.534,40.0,4.0,1.0,1,2,3,0,0.245,92,45,22
Pitching Role,as Reliever,61,227.0,206,17.0,43,4,0,4,6,2,16,56,3.5,0.209,0.27,0.286,0.556,59.0,4.0,2.0,1,2,3,1,0.264,100,53,35
Batting Order Positions,Batting 1st,24,24.0,23,4.0,5,1,0,0,1,0,1,5,5.0,0.217,0.25,0.261,0.511,6.0,0.0,0.0,0,0,0,0,0.278,84,36,4
Batting Order Positions,Batting 2nd,23,23.0,21,2.0,6,0,0,0,0,0,2,6,3.0,0.286,0.348,0.286,0.634,6.0,0.0,0.0,0,0,1,0,0.4,129,72,6
Batting Order Positions,Batting 3rd,29,28.0,25,1.0,2,0,0,0,3,1,2,8,4.0,0.08,0.143,0.08,0.223,2.0,0.0,0.0,0,1,0,0,0.111,-19,-44,2
Batting Order Positions,Batting 4th,24,24.0,23,5.0,9,1,0,2,0,0,0,4,,0.391,0.417,0.696,1.112,16.0,0.0,1.0,0,0,0,0,0.412,298,166,6
Batting Order Positions,Batting 5th,28,28.0,24,0.0,2,0,0,0,1,0,3,6,2.0,0.083,0.185,0.083,0.269,2.0,3.0,0.0,1,0,0,0,0.111,-3,-27,2
Batting Order Positions,Batting 6th,24,24.0,19,2.0,4,2,0,1,0,0,4,8,2.0,0.211,0.375,0.474,0.849,9.0,0.0,1.0,0,0,1,0,0.3,205,121,1
Batting Order Positions,Batting 7th,27,26.0,23,3.0,3,0,0,0,0,0,3,5,1.67,0.13,0.231,0.13,0.361,3.0,0.0,0.0,0,0,1,1,0.167,31,4,3
Batting Order Positions,Batting 8th,26,26.0,24,3.0,4,0,0,0,1,0,1,8,8.0,0.167,0.192,0.167,0.359,4.0,1.0,0.0,0,1,0,0,0.235,30,3,4
Batting Order Positions,Batting 9th,24,24.0,24,4.0,8,0,0,1,0,1,0,6,,0.333,0.333,0.458,0.792,11.0,0.0,0.0,0,0,0,0,0.412,184,176,7
Batting Order Positions,"Bat1-2,non-P",27,47.0,44,6.0,11,1,0,0,1,0,3,11,3.67,0.25,0.298,0.273,0.571,12.0,0.0,0.0,0,0,1,0,0.333,106,53,10
Batting Order Positions,"Bat3-6,non-P",49,104.0,91,8.0,17,3,0,3,4,1,9,26,2.89,0.187,0.272,0.319,0.591,29.0,3.0,2.0,1,1,1,0,0.222,112,49,11
Batting Order Positions,"Bat7-9,non-P",40,76.0,71,10.0,15,0,0,1,1,1,4,19,4.75,0.211,0.25,0.254,0.504,18.0,1.0,0.0,0,1,1,1,0.269,81,44,14
Swung or Took First Pitch of PA,Swung at 1st Pitch,41,64.0,59,5.0,14,1,0,0,,,2,10,5.0,0.237,0.27,0.254,0.524,15.0,2.0,1.0,1,1,0,0,0.28,89,48,13
Swung or Took First Pitch of PA,Took 1st Pitch,59,163.0,147,19.0,29,3,0,4,,,14,46,3.29,0.197,0.27,0.299,0.569,44.0,2.0,1.0,0,1,3,1,0.255,105,51,22
Count/Balls-Strikes,First Pitch,18,20.0,20,1.0,8,0,0,0,,,0,0,,0.4,0.4,0.4,0.8,8.0,0.0,0.0,0,0,0,0,0.4,188,88,8
Count/Balls-Strikes,1-0 Count,12,13.0,13,3.0,6,1,0,1,,,0,0,,0.462,0.462,0.769,1.231,10.0,0.0,0.0,0,0,0,0,0.417,340,172,4
Count/Balls-Strikes,2-0 Count,3,3.0,3,3.0,2,0,0,1,,,0,0,,0.667,0.667,1.667,2.333,5.0,0.0,0.0,0,0,0,0,0.5,730,332,1
Count/Balls-Strikes,3-0 Count,6,6.0,0,0.0,0,0,0,0,,,6,0,0.0,,1.0,,,0.0,0.0,0.0,0,0,3,0,,,,0
