Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2012 Totals,67,279.0,257,23.0,49,9,0,9,3,2,17,86,5.06,0.191,0.246,0.331,0.576,85.0,4.0,2.0,2,1,1,1,0.245,100,59,31
Platoon Splits,vs RHB,61,145.0,134,19.0,34,7,0,7,2,2,7,43,6.14,0.254,0.294,0.463,0.756,62.0,4.0,1.0,2,1,0,1,0.318,160,107,20
Platoon Splits,vs LHB,64,134.0,123,7.0,15,2,0,2,1,0,10,43,4.3,0.122,0.194,0.187,0.381,23.0,0.0,1.0,0,0,1,0,0.167,36,6,11
Platoon Splits,vs RHB as RHP,61,145.0,134,19.0,34,7,0,7,2,2,7,43,6.14,0.254,0.294,0.463,0.756,62.0,4.0,1.0,2,1,0,1,0.318,160,112,20
Platoon Splits,vs LHB as RHP,64,134.0,123,7.0,15,2,0,2,1,0,10,43,4.3,0.122,0.194,0.187,0.381,23.0,0.0,1.0,0,0,1,0,0.167,36,3,11
Home or Away,Home,38,160.0,152,12.0,27,4,0,7,2,2,6,49,8.17,0.178,0.214,0.342,0.556,52.0,1.0,1.0,1,0,0,1,0.208,91,55,16
Home or Away,Away,29,119.0,105,11.0,22,5,0,2,1,0,11,37,3.36,0.21,0.288,0.314,0.602,33.0,3.0,1.0,1,1,1,0,0.299,112,64,15
First or Second Half,1st Half,35,150.0,134,13.0,27,2,0,5,1,1,12,39,3.25,0.202,0.27,0.328,0.599,44.0,4.0,1.0,2,1,1,0,0.242,109,65,20
First or Second Half,2nd Half,32,129.0,123,10.0,22,7,0,4,2,1,5,47,9.4,0.179,0.217,0.333,0.55,41.0,0.0,1.0,0,0,0,1,0.25,89,50,11
Months,April/March,8,30.0,27,3.0,5,0,0,1,0,1,3,9,3.0,0.185,0.267,0.296,0.563,8.0,0.0,0.0,0,0,0,0,0.235,98,59,4
Months,May,11,52.0,46,5.0,9,1,0,2,1,0,4,11,2.75,0.196,0.255,0.348,0.603,16.0,1.0,0.0,1,1,1,0,0.206,109,65,6
Months,June,12,53.0,46,5.0,9,1,0,2,0,0,5,14,2.8,0.196,0.289,0.348,0.636,16.0,3.0,1.0,1,0,0,0,0.233,123,75,6
