Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2016 Totals,70,297.0,270,38.0,78,13,2,6,1,0,22,47,2.14,0.289,0.343,0.419,0.762,113.0,10.0,2.0,0,3,2,2,0.327,100,107,57
Platoon Splits,vs RHB,67,166.0,155,19.0,45,7,0,2,0,0,9,32,3.56,0.29,0.331,0.374,0.706,58.0,7.0,1.0,0,1,1,1,0.353,86,93,36
Platoon Splits,vs LHB,62,131.0,115,19.0,33,6,2,4,1,0,13,15,1.15,0.287,0.359,0.478,0.837,55.0,3.0,1.0,0,2,1,1,0.296,119,125,21
Platoon Splits,vs RHB as RHP,67,166.0,155,19.0,45,7,0,2,0,0,9,32,3.56,0.29,0.331,0.374,0.706,58.0,7.0,1.0,0,1,1,1,0.353,86,96,36
Platoon Splits,vs LHB as RHP,62,131.0,115,19.0,33,6,2,4,1,0,13,15,1.15,0.287,0.359,0.478,0.837,55.0,3.0,1.0,0,2,1,1,0.296,119,121,21
Home or Away,Home,35,156.0,140,22.0,42,8,1,4,1,0,13,26,2.0,0.3,0.359,0.457,0.816,64.0,4.0,1.0,0,2,0,1,0.339,114,125,29
Home or Away,Away,35,141.0,130,16.0,36,5,1,2,0,0,9,21,2.33,0.277,0.326,0.377,0.703,49.0,6.0,1.0,0,1,2,1,0.315,85,88,28
First or Second Half,1st Half,39,166.0,152,12.0,36,7,1,3,1,0,10,26,2.6,0.237,0.283,0.355,0.638,54.0,6.0,1.0,0,3,1,1,0.262,67,72,25
First or Second Half,2nd Half,31,131.0,118,26.0,42,6,1,3,0,0,12,21,1.75,0.356,0.42,0.5,0.92,59.0,4.0,1.0,0,0,1,1,0.415,142,152,32
Months,April/March,13,59.0,56,3.0,12,4,0,1,1,0,3,11,3.67,0.214,0.254,0.339,0.594,19.0,1.0,0.0,0,0,0,0,0.25,55,63,7
Months,May,12,47.0,42,4.0,10,2,0,1,0,0,3,7,2.33,0.238,0.298,0.357,0.655,15.0,2.0,1.0,0,1,1,0,0.257,72,80,7
Months,June,10,45.0,40,5.0,12,1,1,1,0,0,3,6,2.0,0.3,0.333,0.45,0.783,18.0,2.0,0.0,0,2,0,1,0.314,105,106,9
Months,July,11,43.0,40,3.0,9,1,0,0,0,0,3,7,2.33,0.225,0.279,0.25,0.529,10.0,2.0,0.0,0,0,0,0,0.273,41,48,8
Months,August,12,52.0,47,5.0,14,1,0,1,0,0,5,7,1.4,0.298,0.365,0.383,0.748,18.0,3.0,0.0,0,0,0,0,0.333,98,103,12
Months,Sept/Oct,12,51.0,45,18.0,21,4,1,2,0,0,5,9,1.8,0.467,0.529,0.733,1.263,33.0,0.0,1.0,0,0,1,1,0.559,229,243,14
Game Outcome for Pitcher,in Wins,3,22.0,20,1.0,5,2,0,1,0,0,2,5,2.5,0.25,0.318,0.5,0.818,10.0,1.0,0.0,0,0,0,0,0.286,112,181,2
Game Outcome for Pitcher,in Losses,5,26.0,19,15.0,15,4,0,1,0,0,6,1,0.17,0.79,0.846,1.158,2.004,22.0,0.0,1.0,0,0,2,0,0.824,423,314,10
Game Outcome for Pitcher,in No Dec.,25,105.0,97,15.0,28,5,2,3,0,0,7,16,2.29,0.289,0.333,0.474,0.808,46.0,1.0,0.0,0,1,0,1,0.317,110,121,18
Game Outcome for Pitcher,in Saves,37,144.0,134,7.0,30,2,0,1,1,0,7,25,3.57,0.224,0.264,0.261,0.525,35.0,8.0,1.0,0,2,0,1,0.264,39,127,27
Game Outcome for Pitcher,in Sv Situ,44,176.0,161,20.0,45,5,0,4,1,0,12,28,2.33,0.28,0.33,0.385,0.715,62.0,8.0,1.0,0,2,1,1,0.313,88,115,36
Game Outcome for Pitcher,in non-Sv,26,121.0,109,18.0,33,8,2,2,0,0,10,19,1.9,0.303,0.364,0.468,0.832,51.0,2.0,1.0,0,1,1,1,0.348,118,127,21
Pitching Role,as Reliever,70,297.0,270,38.0,78,13,2,6,1,0,22,47,2.14,0.289,0.343,0.419,0.762,113.0,10.0,2.0,0,3,2,2,0.327,100,113,57
Batting Order Positions,Batting 1st,28,28.0,22,8.0,5,1,0,2,1,0,4,8,2.0,0.227,0.321,0.546,0.867,12.0,0.0,0.0,0,2,1,0,0.214,124,123,2
Batting Order Positions,Batting 2nd,30,30.0,27,3.0,9,0,1,0,0,0,3,3,1.0,0.333,0.4,0.407,0.807,11.0,1.0,0.0,0,0,0,1,0.375,114,116,8
Batting Order Positions,Batting 3rd,29,29.0,28,6.0,9,3,0,2,0,0,0,5,,0.321,0.345,0.643,0.988,18.0,0.0,1.0,0,0,0,0,0.333,154,133,4
Batting Order Positions,Batting 4th,32,32.0,31,3.0,8,1,1,0,0,0,1,7,7.0,0.258,0.281,0.355,0.636,11.0,2.0,0.0,0,0,0,0,0.333,67,61,6
Batting Order Positions,Batting 5th,34,34.0,30,1.0,10,2,0,0,0,0,4,6,1.5,0.333,0.412,0.4,0.812,12.0,0.0,0.0,0,0,1,0,0.417,116,117,8
Batting Order Positions,Batting 6th,37,37.0,35,5.0,12,2,0,1,0,0,1,6,6.0,0.343,0.378,0.486,0.864,17.0,2.0,1.0,0,0,0,0,0.393,126,135,9
Batting Order Positions,Batting 7th,40,40.0,33,4.0,8,0,0,0,0,0,6,3,0.5,0.242,0.35,0.242,0.592,8.0,3.0,0.0,0,1,0,0,0.258,60,76,8
Batting Order Positions,Batting 8th,34,34.0,33,3.0,12,3,0,0,0,0,1,4,4.0,0.364,0.382,0.455,0.837,15.0,1.0,0.0,0,0,0,1,0.414,120,142,9
Batting Order Positions,Batting 9th,33,33.0,31,5.0,5,1,0,1,0,0,2,5,2.5,0.161,0.212,0.29,0.502,9.0,1.0,0.0,0,0,0,0,0.16,31,74,3
Batting Order Positions,"Bat1-2,non-P",38,58.0,49,11.0,14,1,1,2,1,0,7,11,1.57,0.286,0.362,0.469,0.832,23.0,1.0,0.0,0,2,1,1,0.316,118,118,10
Batting Order Positions,"Bat3-6,non-P",57,132.0,124,15.0,39,8,1,3,0,0,6,24,4.0,0.315,0.356,0.468,0.824,58.0,4.0,2.0,0,0,1,0,0.371,116,111,27
Batting Order Positions,"Bat7-9,non-P",50,107.0,97,12.0,25,4,0,1,0,0,9,12,1.33,0.258,0.318,0.33,0.648,32.0,5.0,0.0,0,1,0,1,0.282,72,90,20
Swung or Took First Pitch of PA,Swung at 1st Pitch,42,65.0,60,13.0,21,6,1,1,,,4,6,1.5,0.35,0.4,0.533,0.933,32.0,1.0,1.0,0,0,0,0,0.377,144,158,13
Swung or Took First Pitch of PA,Took 1st Pitch,70,232.0,210,25.0,57,7,1,5,,,18,41,2.28,0.271,0.328,0.386,0.713,81.0,9.0,1.0,0,3,2,2,0.311,88,93,44
