Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2008 Totals,51,292.0,256,29.0,68,15,1,8,1,1,27,52,1.93,0.266,0.345,0.426,0.771,109.0,4.0,5.0,2,2,3,2,0.303,100,106,44
Platoon Splits,vs RHB,50,140.0,121,19.0,32,5,0,4,1,1,13,23,1.77,0.265,0.353,0.405,0.758,49.0,3.0,4.0,1,1,1,2,0.295,97,106,23
Platoon Splits,vs LHB,45,152.0,135,17.0,36,10,1,4,0,0,14,29,2.07,0.267,0.338,0.444,0.782,60.0,1.0,1.0,1,1,2,0,0.311,102,105,21
Platoon Splits,vs RHB as RHP,50,140.0,121,19.0,32,5,0,4,1,1,13,23,1.77,0.265,0.353,0.405,0.758,49.0,3.0,4.0,1,1,1,2,0.295,97,112,23
Platoon Splits,vs LHB as RHP,45,152.0,135,17.0,36,10,1,4,0,0,14,29,2.07,0.267,0.338,0.444,0.782,60.0,1.0,1.0,1,1,2,0,0.311,102,101,21
Home or Away,Home,27,154.0,135,12.0,36,9,1,2,1,1,14,28,2.0,0.267,0.34,0.393,0.733,53.0,3.0,2.0,1,2,2,1,0.318,91,102,24
Home or Away,Away,24,138.0,121,17.0,32,6,0,6,0,0,13,24,1.85,0.265,0.35,0.463,0.813,56.0,1.0,3.0,1,0,1,1,0.286,110,111,20
First or Second Half,1st Half,23,149.0,128,17.0,36,9,1,4,1,0,17,25,1.47,0.281,0.372,0.461,0.833,59.0,1.0,2.0,1,1,3,0,0.32,116,125,22
First or Second Half,2nd Half,28,143.0,128,12.0,32,6,0,4,0,1,10,27,2.7,0.25,0.317,0.391,0.708,50.0,3.0,3.0,1,1,0,2,0.286,84,86,22
Months,April/March,12,77.0,68,7.0,19,5,1,2,0,0,8,13,1.63,0.279,0.364,0.471,0.834,32.0,1.0,1.0,0,0,2,0,0.321,116,127,11
Months,May,8,49.0,40,4.0,10,3,0,0,1,0,7,6,0.86,0.25,0.367,0.325,0.692,13.0,0.0,1.0,0,1,1,0,0.286,83,91,7
Months,June,1,13.0,11,2.0,3,0,0,1,0,0,1,3,3.0,0.273,0.333,0.546,0.879,6.0,0.0,0.0,1,0,0,0,0.286,125,131,2
Months,July,7,51.0,45,9.0,15,3,0,1,0,0,5,8,1.6,0.333,0.412,0.467,0.879,21.0,2.0,1.0,0,0,0,1,0.389,129,133,11
Months,August,12,56.0,51,5.0,13,2,0,2,0,0,2,12,6.0,0.255,0.309,0.412,0.721,21.0,0.0,2.0,1,0,0,0,0.297,86,89,9
Months,Sept/Oct,11,46.0,41,2.0,8,2,0,2,0,1,4,10,2.5,0.195,0.261,0.39,0.651,16.0,1.0,0.0,0,1,0,1,0.2,67,71,4
Game Outcome for Pitcher,in Losses,4,27.0,20,7.0,12,3,0,2,0,0,6,2,0.33,0.6,0.704,1.05,1.754,21.0,1.0,1.0,0,0,2,0,0.625,351,259,7
Game Outcome for Pitcher,in No Dec.,34,212.0,188,20.0,46,10,1,4,1,1,17,35,2.06,0.245,0.318,0.372,0.69,70.0,2.0,4.0,1,2,1,2,0.278,80,87,31
Game Outcome for Pitcher,in Saves,13,53.0,48,2.0,10,2,0,2,0,0,4,15,3.75,0.208,0.269,0.375,0.644,18.0,1.0,0.0,1,0,0,0,0.258,66,182,6
Game Outcome for Pitcher,in Sv Situ,18,76.0,70,5.0,17,3,1,2,1,0,5,21,4.2,0.243,0.293,0.4,0.693,28.0,1.0,0.0,1,0,0,1,0.319,79,97,11
Game Outcome for Pitcher,in non-Sv,33,216.0,186,24.0,51,12,0,6,0,1,22,31,1.41,0.274,0.363,0.436,0.798,81.0,3.0,5.0,1,2,3,1,0.298,107,115,33
Pitching Role,as Reliever,51,292.0,256,29.0,68,15,1,8,1,1,27,52,1.93,0.266,0.345,0.426,0.771,109.0,4.0,5.0,2,2,3,2,0.303,100,111,44
Batting Order Positions,Batting 1st,36,38.0,35,1.0,6,1,0,1,0,0,3,6,2.0,0.171,0.237,0.286,0.523,10.0,1.0,0.0,0,0,0,0,0.179,36,38,4
Batting Order Positions,Batting 2nd,35,37.0,34,1.0,10,2,0,0,0,0,3,6,2.0,0.294,0.351,0.353,0.704,12.0,0.0,0.0,0,0,0,0,0.357,85,91,8
Batting Order Positions,Batting 3rd,35,36.0,34,8.0,11,2,0,3,1,0,2,7,3.5,0.324,0.361,0.647,1.008,22.0,0.0,0.0,0,0,0,0,0.333,157,139,6
Batting Order Positions,Batting 4th,32,34.0,25,4.0,8,3,0,1,0,0,8,5,0.63,0.32,0.5,0.56,1.06,14.0,0.0,1.0,0,0,1,0,0.368,176,156,4
