Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2018 Totals,73,299.0,269,12.0,49,5,2,5,4,1,27,89,3.3,0.182,0.258,0.271,0.53,73.0,7.0,1.0,1,1,4,3,0.25,100,47,37
Platoon Splits,vs RHB,73,183.0,165,15.0,30,3,2,5,1,1,15,60,4.0,0.182,0.253,0.315,0.568,52.0,2.0,1.0,1,1,0,2,0.248,114,58,20
Platoon Splits,vs LHB,60,116.0,104,5.0,19,2,0,0,3,0,12,29,2.42,0.183,0.267,0.202,0.469,21.0,5.0,0.0,0,0,4,1,0.253,78,31,17
Platoon Splits,vs RHB as RHP,73,183.0,165,15.0,30,3,2,5,1,1,15,60,4.0,0.182,0.253,0.315,0.568,52.0,2.0,1.0,1,1,0,2,0.248,114,60,20
Platoon Splits,vs LHB as RHP,60,116.0,104,5.0,19,2,0,0,3,0,12,29,2.42,0.183,0.267,0.202,0.469,21.0,5.0,0.0,0,0,4,1,0.253,78,29,17
Home or Away,Home,36,139.0,126,6.0,24,0,2,2,2,0,10,39,3.9,0.191,0.254,0.27,0.523,34.0,4.0,1.0,1,1,1,1,0.256,98,48,20
Home or Away,Away,37,160.0,143,6.0,25,5,0,3,2,1,17,50,2.94,0.175,0.263,0.273,0.535,39.0,3.0,0.0,0,0,3,2,0.244,103,47,17
First or Second Half,1st Half,46,177.0,162,8.0,29,4,2,3,1,1,13,50,3.85,0.179,0.239,0.284,0.523,46.0,5.0,0.0,1,1,2,2,0.236,97,45,20
First or Second Half,2nd Half,27,122.0,107,4.0,20,1,0,2,3,0,14,39,2.79,0.187,0.287,0.252,0.539,27.0,2.0,1.0,0,0,2,1,0.273,104,51,17
Months,April/March,15,50.0,47,1.0,8,0,2,0,1,0,3,12,4.0,0.17,0.22,0.255,0.475,12.0,3.0,0.0,0,0,1,1,0.229,79,33,6
Months,May,13,55.0,47,2.0,5,0,0,1,0,0,6,13,2.17,0.106,0.204,0.17,0.374,8.0,1.0,0.0,1,1,1,1,0.118,42,6,4
Months,June,12,45.0,42,3.0,8,2,0,2,0,0,3,18,6.0,0.191,0.244,0.381,0.625,16.0,0.0,0.0,0,0,0,0,0.273,135,72,4
Months,July,11,49.0,45,3.0,13,2,0,0,0,1,4,15,3.75,0.289,0.347,0.333,0.68,15.0,1.0,0.0,0,0,0,0,0.433,157,86,11
Months,August,12,63.0,55,3.0,12,1,0,2,1,0,8,16,2.0,0.218,0.318,0.346,0.663,19.0,1.0,0.0,0,0,2,1,0.27,150,82,9
Months,Sept/Oct,10,37.0,33,0.0,3,0,0,0,2,0,3,15,5.0,0.091,0.189,0.091,0.28,3.0,1.0,1.0,0,0,0,0,0.167,7,-18,3
Game Outcome for Pitcher,in Wins,8,45.0,37,3.0,7,0,0,2,1,0,6,9,1.5,0.189,0.296,0.351,0.647,13.0,1.0,0.0,1,1,2,1,0.185,144,135,5
Game Outcome for Pitcher,in Losses,1,5.0,5,2.0,2,0,0,1,0,0,0,1,,0.4,0.4,1.0,1.4,5.0,0.0,0.0,0,0,0,0,0.333,424,173,1
