Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2018 Totals,70,302.0,271,26.0,60,11,1,3,3,1,28,83,2.96,0.221,0.298,0.303,0.601,82.0,3.0,2.0,0,1,1,2,0.307,100,68,45
Platoon Splits,vs RHB,66,161.0,145,8.0,28,2,0,1,3,0,13,51,3.92,0.193,0.267,0.228,0.495,33.0,1.0,2.0,0,1,0,1,0.287,65,41,25
Platoon Splits,vs LHB,65,141.0,126,16.0,32,9,1,2,0,1,15,32,2.13,0.254,0.333,0.389,0.722,49.0,2.0,0.0,0,0,1,1,0.326,140,97,20
Platoon Splits,vs RHB as RHP,66,161.0,145,8.0,28,2,0,1,3,0,13,51,3.92,0.193,0.267,0.228,0.495,33.0,1.0,2.0,0,1,0,1,0.287,65,43,25
Platoon Splits,vs LHB as RHP,65,141.0,126,16.0,32,9,1,2,0,1,15,32,2.13,0.254,0.333,0.389,0.722,49.0,2.0,0.0,0,0,1,1,0.326,140,93,20
Home or Away,Home,41,177.0,152,13.0,35,6,0,0,2,1,22,47,2.14,0.23,0.333,0.27,0.603,41.0,2.0,2.0,0,1,1,0,0.33,101,73,29
Home or Away,Away,29,125.0,119,13.0,25,5,1,3,1,0,6,36,6.0,0.21,0.248,0.345,0.593,41.0,1.0,0.0,0,0,0,2,0.275,97,60,16
First or Second Half,1st Half,40,171.0,154,13.0,36,7,1,1,3,1,14,43,3.07,0.234,0.304,0.312,0.616,48.0,2.0,2.0,0,1,1,1,0.315,105,72,27
First or Second Half,2nd Half,30,131.0,117,13.0,24,4,0,2,0,0,14,40,2.86,0.205,0.29,0.291,0.581,34.0,1.0,0.0,0,0,0,1,0.293,93,62,18
Months,April/March,15,61.0,54,3.0,10,2,1,0,2,0,6,18,3.0,0.185,0.279,0.259,0.538,14.0,1.0,1.0,0,0,0,0,0.278,79,52,7
Months,May,10,43.0,41,3.0,10,3,0,1,0,0,2,13,6.5,0.244,0.279,0.39,0.669,16.0,1.0,0.0,0,0,1,0,0.333,122,82,6
Months,June,8,43.0,37,7.0,15,2,0,0,1,1,5,6,1.2,0.405,0.465,0.46,0.925,17.0,0.0,0.0,0,1,0,1,0.469,208,161,13
Months,July,12,50.0,46,1.0,4,0,0,0,0,0,3,14,4.67,0.087,0.16,0.087,0.247,4.0,1.0,1.0,0,0,0,1,0.125,-18,-30,4
