Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2022 Totals,57,266.0,242,15.0,50,4,1,6,4,2,16,89,5.56,0.207,0.265,0.306,0.571,74.0,8.0,4.0,2,2,3,4,0.295,100,62,39
Platoon Splits,vs RHB,56,142.0,134,10.0,28,3,1,3,2,2,4,55,13.75,0.209,0.239,0.313,0.553,42.0,4.0,2.0,0,2,0,4,0.321,93,55,21
Platoon Splits,vs LHB,54,124.0,108,7.0,22,1,0,3,2,0,12,34,2.83,0.204,0.295,0.296,0.591,32.0,4.0,2.0,2,0,3,0,0.268,108,72,18
Platoon Splits,vs RHB as RHP,56,142.0,134,10.0,28,3,1,3,2,2,4,55,13.75,0.209,0.239,0.313,0.553,42.0,4.0,2.0,0,2,0,4,0.321,93,58,21
Platoon Splits,vs LHB as RHP,54,124.0,108,7.0,22,1,0,3,2,0,12,34,2.83,0.204,0.295,0.296,0.591,32.0,4.0,2.0,2,0,3,0,0.268,108,69,18
Home or Away,Home,28,131.0,119,3.0,27,2,0,0,1,0,7,44,6.29,0.227,0.285,0.244,0.528,29.0,5.0,3.0,1,1,1,2,0.355,87,56,25
Home or Away,Away,29,135.0,123,12.0,23,2,1,6,3,2,9,45,5.0,0.187,0.246,0.366,0.612,45.0,3.0,1.0,1,1,2,2,0.233,112,69,14
First or Second Half,1st Half,33,165.0,151,12.0,33,4,1,5,2,0,8,51,6.38,0.219,0.274,0.358,0.632,54.0,7.0,4.0,1,1,2,2,0.292,120,79,23
First or Second Half,2nd Half,24,101.0,91,3.0,17,0,0,1,2,2,8,38,4.75,0.187,0.25,0.22,0.47,20.0,1.0,0.0,1,1,1,2,0.302,66,36,16
Months,April/March,7,41.0,39,4.0,8,2,0,2,0,0,2,18,9.0,0.205,0.244,0.41,0.654,16.0,2.0,0.0,0,0,0,0,0.316,126,91,4
Months,May,10,45.0,39,2.0,6,0,0,2,0,0,2,14,7.0,0.154,0.244,0.308,0.552,12.0,1.0,3.0,0,1,0,1,0.167,93,55,4
Months,June,10,48.0,45,2.0,9,1,0,0,2,0,2,14,7.0,0.2,0.25,0.222,0.472,10.0,2.0,1.0,0,0,1,1,0.29,67,34,8
Months,July,9,43.0,38,4.0,11,1,1,1,0,0,4,10,2.5,0.29,0.357,0.447,0.805,17.0,2.0,0.0,1,0,1,0,0.37,181,126,8
Months,August,12,44.0,41,1.0,7,0,0,1,0,1,3,17,5.67,0.171,0.227,0.244,0.471,10.0,0.0,0.0,0,0,0,0,0.261,65,35,6
Months,Sept/Oct,9,45.0,40,2.0,9,0,0,0,2,1,3,16,5.33,0.225,0.273,0.225,0.498,9.0,1.0,0.0,1,1,1,2,0.36,77,46,9
Game Outcome for Pitcher,in Wins,2,7.0,6,0.0,1,1,0,0,0,0,1,1,1.0,0.167,0.286,0.333,0.619,2.0,1.0,0.0,0,0,0,0,0.2,117,132,0
Game Outcome for Pitcher,in Losses,4,22.0,18,7.0,11,1,1,2,2,0,2,1,0.5,0.611,0.667,1.111,1.778,20.0,1.0,1.0,1,0,2,1,0.6,515,263,7
Game Outcome for Pitcher,in No Dec.,43,198.0,184,8.0,32,2,0,4,2,2,11,70,6.36,0.174,0.222,0.25,0.472,46.0,5.0,1.0,0,2,1,3,0.25,66,38,26
Game Outcome for Pitcher,in Saves,8,39.0,34,0.0,6,0,0,0,0,0,2,17,8.5,0.177,0.263,0.177,0.44,6.0,1.0,2.0,1,0,0,0,0.353,57,109,6
Game Outcome for Pitcher,in Sv Situ,26,117.0,107,3.0,16,0,0,3,0,0,5,49,9.8,0.15,0.207,0.234,0.441,25.0,1.0,3.0,1,1,0,0,0.232,55,35,13
Game Outcome for Pitcher,in non-Sv,31,149.0,135,12.0,34,4,1,3,4,2,11,40,3.64,0.252,0.311,0.363,0.674,49.0,7.0,1.0,1,1,3,4,0.333,136,92,26
Pitching Role,as Reliever,57,266.0,242,15.0,50,4,1,6,4,2,16,89,5.56,0.207,0.265,0.306,0.571,74.0,8.0,4.0,2,2,3,4,0.295,100,65,39
Batting Order Positions,Batting 1st,32,32.0,26,3.0,6,1,1,0,0,0,4,9,2.25,0.231,0.344,0.346,0.69,9.0,1.0,1.0,0,1,0,1,0.333,143,96,4
Batting Order Positions,Batting 2nd,33,33.0,30,4.0,7,1,0,2,0,0,1,9,9.0,0.233,0.273,0.467,0.739,14.0,1.0,1.0,0,1,1,0,0.25,156,91,4
Batting Order Positions,Batting 3rd,37,37.0,35,3.0,10,0,0,1,0,0,2,12,6.0,0.286,0.324,0.371,0.696,13.0,0.0,0.0,0,0,0,0,0.409,144,83,9
Batting Order Positions,Batting 4th,35,35.0,33,1.0,7,0,0,1,1,0,2,12,6.0,0.212,0.257,0.303,0.56,10.0,1.0,0.0,0,0,1,0,0.3,96,53,6
Batting Order Positions,Batting 5th,34,34.0,30,2.0,5,1,0,1,1,0,1,10,10.0,0.167,0.242,0.3,0.542,9.0,2.0,2.0,1,0,0,2,0.211,89,55,3
Batting Order Positions,Batting 6th,29,28.0,27,2.0,3,0,0,0,0,2,1,13,13.0,0.111,0.143,0.111,0.254,3.0,1.0,0.0,0,0,0,0,0.214,-10,-24,3
Batting Order Positions,Batting 7th,20,20.0,20,1.0,3,0,0,0,1,0,0,6,,0.15,0.15,0.15,0.3,3.0,1.0,0.0,0,0,0,0,0.214,6,-10,3
Batting Order Positions,Batting 8th,22,22.0,20,1.0,5,1,0,1,0,0,2,9,4.5,0.25,0.318,0.45,0.768,9.0,0.0,0.0,0,0,1,0,0.4,167,132,3
Batting Order Positions,Batting 9th,25,25.0,21,0.0,4,0,0,0,1,0,3,9,3.0,0.191,0.292,0.191,0.482,4.0,1.0,0.0,1,0,0,1,0.333,72,56,4
Batting Order Positions,"Bat1-2,non-P",36,65.0,56,7.0,13,2,1,2,0,0,5,18,3.6,0.232,0.308,0.411,0.718,23.0,2.0,2.0,0,2,1,1,0.29,151,95,8
Batting Order Positions,"Bat3-6,non-P",51,134.0,125,8.0,25,1,0,3,2,2,6,47,7.83,0.2,0.248,0.28,0.528,35.0,4.0,2.0,1,0,1,2,0.293,85,47,21
Batting Order Positions,"Bat7-9,non-P",35,67.0,61,2.0,12,1,0,1,2,0,5,24,4.8,0.197,0.258,0.262,0.52,16.0,2.0,0.0,1,0,1,1,0.306,83,60,10
Swung or Took First Pitch of PA,Swung at 1st Pitch,51,98.0,88,8.0,19,4,0,3,,,5,22,4.4,0.216,0.26,0.364,0.624,32.0,2.0,1.0,2,2,0,2,0.246,117,79,12
Swung or Took First Pitch of PA,Took 1st Pitch,57,168.0,154,8.0,31,0,1,3,,,11,67,6.09,0.201,0.268,0.273,0.541,42.0,6.0,3.0,0,0,3,2,0.333,90,54,27
Count/Balls-Strikes,First Pitch,27,31.0,26,3.0,4,1,0,0,,,0,0,,0.154,0.172,0.192,0.365,5.0,2.0,1.0,2,2,0,1,0.143,28,-16,3
Count/Balls-Strikes,1-0 Count,10,12.0,12,1.0,6,0,0,1,,,0,0,,0.5,0.5,0.75,1.25,9.0,1.0,0.0,0,0,0,0,0.455,334,177,5
Count/Balls-Strikes,2-0 Count,4,4.0,4,0.0,0,0,0,0,,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-100,-100,0
Count/Balls-Strikes,3-0 Count,3,3.0,0,0.0,0,0,0,0,,,3,0,0.0,,1.0,,,0.0,0.0,0.0,0,0,3,0,,,,0
Count/Balls-Strikes,0-1 Count,12,18.0,18,2.0,8,2,0,0,,,0,0,,0.444,0.444,0.556,1.0,10.0,1.0,0.0,0,0,0,0,0.444,249,147,6
Count/Balls-Strikes,1-1 Count,17,20.0,19,4.0,6,0,0,2,,,0,0,,0.316,0.35,0.632,0.982,12.0,1.0,1.0,0,0,0,2,0.235,239,130,4
Count/Balls-Strikes,2-1 Count,10,12.0,12,3.0,6,0,0,2,,,0,0,,0.5,0.5,1.0,1.5,12.0,1.0,0.0,0,0,0,0,0.4,416,223,4
Count/Balls-Strikes,3-1 Count,9,9.0,4,0.0,3,0,0,0,,,5,0,0.0,0.75,0.889,0.75,1.639,3.0,0.0,0.0,0,0,0,0,0.75,481,149,3
Count/Balls-Strikes,0-2 Count,29,41.0,40,0.0,5,1,0,0,,,0,26,,0.125,0.146,0.15,0.296,6.0,0.0,1.0,0,0,0,0,0.357,4,58,4
Count/Balls-Strikes,1-2 Count,42,56.0,55,2.0,4,0,1,0,,,0,34,,0.073,0.089,0.109,0.198,6.0,1.0,1.0,0,0,0,0,0.191,-31,-3,3
Count/Balls-Strikes,2-2 Count,28,34.0,34,0.0,6,0,0,0,,,0,18,,0.177,0.177,0.177,0.353,6.0,1.0,0.0,0,0,0,0,0.375,24,64,6
Count/Balls-Strikes,Full Count,22,26.0,18,1.0,2,0,0,1,,,8,11,1.38,0.111,0.385,0.278,0.662,5.0,0.0,0.0,0,0,0,1,0.167,136,71,1
Count/Balls-Strikes,After 1-0,46,96.0,85,5.0,20,0,1,3,,,9,27,3.0,0.235,0.323,0.365,0.688,31.0,5.0,2.0,0,0,3,2,0.309,141,72,16
Count/Balls-Strikes,After 2-0,20,27.0,20,3.0,5,0,0,2,,,7,4,0.57,0.25,0.444,0.55,0.994,11.0,2.0,0.0,0,0,3,0,0.214,247,110,3
Count/Balls-Strikes,After 3-0,6,6.0,0,0.0,0,0,0,0,,,6,0,0.0,,1.0,,,0.0,0.0,0.0,0,0,3,0,,,,0
Count/Balls-Strikes,After 0-1,56,139.0,131,8.0,26,3,0,3,,,7,62,8.86,0.199,0.245,0.29,0.535,38.0,1.0,1.0,0,0,0,1,0.349,87,82,20
Count/Balls-Strikes,After 1-1,49,95.0,87,6.0,16,0,1,3,,,6,40,6.67,0.184,0.253,0.31,0.563,27.0,2.0,2.0,0,0,0,3,0.296,97,70,12
Count/Balls-Strikes,After 2-1,34,46.0,40,4.0,12,0,0,3,,,6,15,2.5,0.3,0.391,0.525,0.916,21.0,2.0,0.0,0,0,0,1,0.409,219,134,9
Count/Balls-Strikes,After 3-1,15,18.0,11,0.0,3,0,0,0,,,7,5,0.71,0.273,0.556,0.273,0.828,3.0,0.0,0.0,0,0,0,1,0.5,199,57,3
Count/Balls-Strikes,After 0-2,45,83.0,79,1.0,11,1,0,0,,,3,45,15.0,0.139,0.181,0.152,0.333,12.0,0.0,1.0,0,0,0,0,0.324,18,57,10
Count/Balls-Strikes,After 1-2,51,88.0,83,2.0,9,0,1,0,,,4,48,12.0,0.108,0.159,0.133,0.292,11.0,1.0,1.0,0,0,0,0,0.257,4,23,8
Count/Balls-Strikes,After 2-2,36,51.0,45,1.0,8,0,0,1,,,6,24,4.0,0.178,0.275,0.244,0.519,11.0,1.0,0.0,0,0,0,0,0.35,84,83,7
