Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2013 Totals,61,247.0,220,18.0,44,7,0,8,8,2,24,75,3.13,0.2,0.285,0.341,0.626,75.0,1.0,2.0,1,0,2,2,0.263,100,76,29
Platoon Splits,vs RHB,57,125.0,115,7.0,19,3,0,2,4,1,8,35,4.38,0.165,0.232,0.244,0.476,28.0,0.0,2.0,0,0,1,1,0.218,53,36,14
Platoon Splits,vs LHB,53,122.0,105,12.0,25,4,0,6,4,1,16,40,2.5,0.238,0.339,0.448,0.786,47.0,1.0,0.0,1,0,1,1,0.322,150,118,15
Platoon Splits,vs RHB as RHP,57,125.0,115,7.0,19,3,0,2,4,1,8,35,4.38,0.165,0.232,0.244,0.476,28.0,0.0,2.0,0,0,1,1,0.218,53,39,14
Platoon Splits,vs LHB as RHP,53,122.0,105,12.0,25,4,0,6,4,1,16,40,2.5,0.238,0.339,0.448,0.786,47.0,1.0,0.0,1,0,1,1,0.322,150,112,15
Home or Away,Home,31,127.0,112,9.0,25,4,0,3,7,1,13,42,3.23,0.223,0.315,0.339,0.654,38.0,1.0,2.0,0,0,1,0,0.328,110,87,18
Home or Away,Away,30,120.0,108,9.0,19,3,0,5,1,1,11,33,3.0,0.176,0.252,0.343,0.595,37.0,0.0,0.0,1,0,1,2,0.2,89,63,11
First or Second Half,1st Half,35,138.0,122,9.0,25,3,0,2,5,2,14,35,2.5,0.205,0.292,0.279,0.571,34.0,1.0,1.0,1,0,1,2,0.271,84,62,20
First or Second Half,2nd Half,26,109.0,98,9.0,19,4,0,6,3,0,10,40,4.0,0.194,0.275,0.418,0.694,41.0,0.0,1.0,0,0,1,0,0.25,119,93,9
Months,April/March,12,45.0,42,1.0,6,1,0,0,3,1,3,15,5.0,0.143,0.2,0.167,0.367,7.0,0.0,0.0,0,0,0,2,0.222,19,5,5
Months,May,8,30.0,28,1.0,5,1,0,0,1,0,2,8,4.0,0.179,0.233,0.214,0.448,6.0,0.0,0.0,0,0,0,0,0.25,45,26,4
Months,June,10,41.0,37,5.0,10,1,0,2,1,1,4,8,2.0,0.27,0.342,0.46,0.801,17.0,1.0,0.0,0,0,0,0,0.296,154,123,7
Months,July,12,49.0,39,2.0,7,0,0,0,2,0,8,16,2.0,0.18,0.333,0.18,0.513,7.0,0.0,1.0,1,0,1,0,0.304,69,51,7
Months,August,9,41.0,36,3.0,7,2,0,2,0,0,4,11,2.75,0.194,0.293,0.417,0.709,15.0,0.0,1.0,0,0,0,0,0.217,125,97,3
Months,Sept/Oct,10,41.0,38,6.0,9,2,0,4,1,0,3,17,5.67,0.237,0.293,0.605,0.898,23.0,0.0,0.0,0,0,1,0,0.294,180,148,3
Game Outcome for Pitcher,in Wins,5,20.0,17,0.0,2,1,0,0,2,0,3,6,2.0,0.118,0.25,0.177,0.427,3.0,0.0,0.0,0,0,1,0,0.182,39,55,1
Game Outcome for Pitcher,in Losses,5,28.0,22,8.0,8,1,0,3,1,0,5,10,2.0,0.364,0.482,0.818,1.3,18.0,0.0,0.0,1,0,1,0,0.556,309,171,4
Game Outcome for Pitcher,in No Dec.,23,81.0,76,5.0,16,1,0,2,1,1,4,21,5.25,0.211,0.259,0.303,0.562,23.0,1.0,1.0,0,0,0,0,0.264,80,62,13
Game Outcome for Pitcher,in Saves,28,118.0,105,5.0,18,4,0,3,4,1,12,38,3.17,0.171,0.263,0.295,0.558,31.0,0.0,1.0,0,0,0,2,0.234,79,142,11
Game Outcome for Pitcher,in Sv Situ,37,154.0,139,11.0,29,5,0,6,4,2,13,47,3.62,0.209,0.286,0.374,0.66,52.0,0.0,2.0,0,0,0,2,0.267,110,98,18
Game Outcome for Pitcher,in non-Sv,24,93.0,81,7.0,15,2,0,2,4,0,11,28,2.55,0.185,0.283,0.284,0.567,23.0,1.0,0.0,1,0,2,0,0.255,83,64,11
Pitching Role,as Reliever,61,247.0,220,18.0,44,7,0,8,8,2,24,75,3.13,0.2,0.285,0.341,0.626,75.0,1.0,2.0,1,0,2,2,0.263,100,81,29
Batting Order Positions,Batting 1st,25,24.0,21,2.0,6,0,0,1,0,1,3,6,2.0,0.286,0.375,0.429,0.804,9.0,0.0,0.0,0,0,0,1,0.357,157,124,5
Batting Order Positions,Batting 2nd,28,28.0,26,0.0,3,0,0,0,1,0,1,11,11.0,0.115,0.148,0.115,0.264,3.0,1.0,0.0,1,0,0,0,0.2,-14,-25,3
Batting Order Positions,Batting 3rd,29,29.0,26,5.0,9,2,0,2,1,0,3,8,2.67,0.346,0.414,0.654,1.068,17.0,0.0,0.0,0,0,2,0,0.438,237,164,5
Batting Order Positions,Batting 4th,30,30.0,26,3.0,5,2,0,2,0,0,4,12,3.0,0.192,0.3,0.5,0.8,13.0,0.0,0.0,0,0,0,0,0.25,152,100,1
Batting Order Positions,Batting 5th,28,27.0,25,0.0,3,1,0,0,1,1,2,11,5.5,0.12,0.185,0.16,0.345,4.0,0.0,0.0,0,0,0,0,0.214,12,-4,2
Batting Order Positions,Batting 6th,24,24.0,22,4.0,7,0,0,1,1,0,2,5,2.5,0.318,0.375,0.455,0.83,10.0,0.0,0.0,0,0,0,0,0.375,165,131,6
Batting Order Positions,Batting 7th,32,32.0,28,3.0,6,1,0,0,3,0,3,8,2.67,0.214,0.313,0.25,0.563,7.0,0.0,1.0,0,0,0,0,0.3,83,66,5
Batting Order Positions,Batting 8th,25,25.0,22,0.0,1,0,0,0,1,0,3,5,1.67,0.046,0.16,0.046,0.206,1.0,0.0,0.0,0,0,0,0,0.059,-31,-35,1
Batting Order Positions,Batting 9th,28,28.0,24,2.0,4,1,0,2,0,0,3,9,3.0,0.167,0.286,0.458,0.744,11.0,0.0,1.0,0,0,0,1,0.154,135,168,1
Batting Order Positions,"Bat1-2,non-P",32,52.0,47,2.0,9,0,0,1,1,1,4,17,4.25,0.192,0.255,0.255,0.51,12.0,1.0,0.0,1,0,0,1,0.276,64,43,8
Batting Order Positions,"Bat3-6,non-P",47,110.0,99,12.0,24,5,0,5,3,1,11,36,3.27,0.242,0.318,0.444,0.763,44.0,0.0,0.0,0,0,2,0,0.328,142,99,14
Batting Order Positions,"Bat7-9,non-P",45,85.0,74,5.0,11,2,0,2,4,0,9,22,2.44,0.149,0.259,0.257,0.516,19.0,0.0,2.0,0,0,0,1,0.18,66,56,7
Swung or Took First Pitch of PA,Swung at 1st Pitch,43,66.0,63,6.0,16,3,0,3,,,2,16,8.0,0.254,0.277,0.444,0.721,28.0,0.0,0.0,1,0,0,0,0.296,127,102,10
Swung or Took First Pitch of PA,Took 1st Pitch,60,181.0,157,13.0,28,4,0,5,,,22,59,2.68,0.178,0.287,0.299,0.587,47.0,1.0,2.0,0,0,2,2,0.247,88,65,19
Count/Balls-Strikes,First Pitch,18,21.0,20,3.0,6,2,0,2,,,0,0,,0.3,0.3,0.7,1.0,14.0,0.0,0.0,1,0,0,0,0.222,211,118,2
Count/Balls-Strikes,1-0 Count,13,13.0,13,0.0,3,1,0,0,,,0,0,,0.231,0.231,0.308,0.539,4.0,0.0,0.0,0,0,0,0,0.231,71,26,2
Count/Balls-Strikes,2-0 Count,5,6.0,6,0.0,3,0,0,0,,,0,0,,0.5,0.5,0.5,1.0,3.0,0.0,0.0,0,0,0,0,0.5,222,142,3
Count/Balls-Strikes,3-0 Count,6,7.0,0,0.0,0,0,0,0,,,7,0,0.0,,1.0,,,0.0,0.0,0.0,0,0,2,0,,,,0
Count/Balls-Strikes,0-1 Count,6,8.0,8,0.0,3,0,0,0,,,0,0,,0.375,0.375,0.375,0.75,3.0,0.0,0.0,0,0,0,0,0.375,142,99,3
Count/Balls-Strikes,1-1 Count,11,14.0,13,1.0,6,2,0,0,,,0,0,,0.462,0.5,0.615,1.115,8.0,0.0,1.0,0,0,0,0,0.462,256,171,4
Count/Balls-Strikes,2-1 Count,11,11.0,11,7.0,4,0,0,2,,,0,0,,0.364,0.364,0.909,1.273,10.0,0.0,0.0,0,0,0,0,0.222,294,160,2
Count/Balls-Strikes,3-1 Count,10,12.0,3,0.0,1,1,0,0,,,9,0,0.0,0.333,0.833,0.667,1.5,2.0,0.0,0.0,0,0,0,0,0.333,388,130,0
Count/Balls-Strikes,0-2 Count,17,18.0,17,1.0,4,0,0,0,,,0,7,,0.235,0.278,0.235,0.513,4.0,0.0,1.0,0,0,0,0,0.4,67,182,4
Count/Balls-Strikes,1-2 Count,39,50.0,50,2.0,3,0,0,0,,,0,29,,0.06,0.06,0.06,0.12,3.0,0.0,0.0,0,0,0,0,0.143,-61,-40,3
Count/Balls-Strikes,2-2 Count,41,53.0,53,4.0,6,0,0,3,,,0,29,,0.113,0.113,0.283,0.396,15.0,1.0,0.0,0,0,0,2,0.143,23,63,3
Count/Balls-Strikes,Full Count,28,34.0,26,1.0,5,1,0,1,,,8,10,1.25,0.192,0.382,0.346,0.729,9.0,0.0,0.0,0,0,0,0,0.267,136,83,3
Count/Balls-Strikes,After 1-0,57,129.0,106,11.0,22,4,0,4,,,22,32,1.45,0.208,0.349,0.359,0.707,38.0,0.0,1.0,0,0,2,1,0.257,127,75,14
Count/Balls-Strikes,After 2-0,40,54.0,35,3.0,8,1,0,2,,,19,10,0.53,0.229,0.5,0.429,0.929,15.0,0.0,0.0,0,0,2,1,0.261,201,95,5
Count/Balls-Strikes,After 3-0,14,18.0,9,0.0,2,1,0,0,,,9,3,0.33,0.222,0.611,0.333,0.944,3.0,0.0,0.0,0,0,2,0,0.333,212,51,1
Count/Balls-Strikes,After 0-1,53,97.0,94,5.0,16,1,0,2,,,2,43,21.5,0.17,0.196,0.245,0.441,23.0,1.0,1.0,0,0,0,1,0.286,41,47,13
Count/Balls-Strikes,After 1-1,55,99.0,94,9.0,17,3,0,3,,,4,37,9.25,0.181,0.222,0.309,0.531,29.0,1.0,1.0,0,0,0,0,0.259,69,55,11
Count/Balls-Strikes,After 2-1,42,59.0,46,8.0,9,1,0,3,,,13,16,1.23,0.196,0.373,0.413,0.786,19.0,0.0,0.0,0,0,0,1,0.222,152,96,5
Count/Balls-Strikes,After 3-1,25,29.0,18,0.0,3,2,0,0,,,11,6,0.55,0.167,0.483,0.278,0.761,5.0,0.0,0.0,0,0,0,0,0.25,151,43,1
Count/Balls-Strikes,After 0-2,41,52.0,50,4.0,7,0,0,1,,,1,28,28.0,0.14,0.173,0.2,0.373,10.0,0.0,1.0,0,0,0,1,0.286,19,69,6
Count/Balls-Strikes,After 1-2,54,90.0,88,6.0,8,0,0,3,,,2,49,24.5,0.091,0.111,0.193,0.304,17.0,1.0,0.0,0,0,0,1,0.139,-5,20,5
Count/Balls-Strikes,After 2-2,48,70.0,64,5.0,9,0,0,4,,,6,33,5.5,0.141,0.214,0.328,0.542,21.0,1.0,0.0,0,0,0,2,0.185,71,83,5
Count/Balls-Strikes,Zero Balls,40,47.0,45,4.0,13,2,0,2,,,0,7,,0.289,0.304,0.467,0.771,21.0,0.0,1.0,1,0,0,0,0.306,144,122,9
Count/Balls-Strikes,Zero Strikes,38,47.0,39,3.0,12,3,0,2,,,7,0,0.0,0.308,0.413,0.539,0.952,21.0,0.0,0.0,1,0,2,0,0.27,203,103,7
Count/Balls-Strikes,Three Balls,37,53.0,29,1.0,6,2,0,1,,,24,10,0.42,0.207,0.566,0.379,0.945,11.0,0.0,0.0,0,0,2,0,0.278,210,95,3
Count/Balls-Strikes,Two Strikes,60,155.0,146,8.0,18,1,0,4,,,8,75,9.38,0.123,0.174,0.212,0.387,31.0,1.0,1.0,0,0,0,2,0.209,23,50,13
Count/Balls-Strikes,Batter Ahead,49,83.0,59,8.0,16,3,0,3,,,24,10,0.42,0.271,0.482,0.475,0.957,28.0,0.0,0.0,0,0,2,0,0.283,208,100,10
Count/Balls-Strikes,Even Count,51,88.0,86,8.0,18,4,0,5,,,0,29,,0.209,0.218,0.43,0.649,37.0,1.0,1.0,1,0,0,2,0.25,103,81,9
Count/Balls-Strikes,Pitcher Ahead,50,76.0,75,3.0,10,0,0,0,,,0,36,,0.133,0.145,0.133,0.278,10.0,0.0,1.0,0,0,0,0,0.256,-10,14,10
Leading Off Inning,First Batter,61,61.0,60,4.0,11,2,0,3,,,1,20,20.0,0.183,0.197,0.367,0.563,22.0,0.0,0.0,0,0,0,0,0.216,77,62,6
Leading Off Inning,Leadoff Inn.,57,57.0,54,3.0,10,2,0,3,,,3,18,6.0,0.185,0.228,0.389,0.617,21.0,0.0,0.0,0,0,0,0,0.212,94,67,5
Opposition Defensive Position,vs. Non-P,61,247.0,220,19.0,44,7,0,8,8,2,24,75,3.13,0.2,0.285,0.341,0.626,75.0,1.0,2.0,1,0,2,2,0.263,100,73,29
Number of Outs in Inning,0 outs,60,75.0,71,7.0,13,2,0,4,1,0,3,29,9.67,0.183,0.216,0.38,0.597,27.0,1.0,0.0,1,0,0,0,0.237,87,59,7
Number of Outs in Inning,1 out,59,81.0,73,3.0,13,2,0,1,1,0,8,27,3.38,0.178,0.259,0.247,0.506,18.0,0.0,0.0,0,0,1,1,0.267,63,44,10
Number of Outs in Inning,2 outs,60,91.0,76,9.0,18,3,0,3,6,2,13,19,1.46,0.237,0.363,0.395,0.757,30.0,0.0,2.0,0,0,1,1,0.278,143,120,12
Bases Occupied,RISP,31,63.0,55,10.0,9,0,0,1,2,0,8,19,2.38,0.164,0.27,0.218,0.488,12.0,0.0,0.0,0,0,2,2,0.229,59,37,8
Bases Occupied,---,58,148.0,133,5.0,29,7,0,5,0,0,14,42,3.0,0.218,0.297,0.384,0.681,51.0,0.0,1.0,0,0,0,0,0.279,117,93,17
Bases Occupied,Men On,42,99.0,87,14.0,15,0,0,3,8,2,10,33,3.3,0.172,0.265,0.276,0.541,24.0,1.0,1.0,1,0,2,2,0.235,74,50,12
Bases Occupied,1--,35,36.0,32,4.0,6,0,0,2,6,2,2,14,7.0,0.188,0.257,0.375,0.632,12.0,1.0,1.0,1,0,0,0,0.25,100,72,4
Bases Occupied,-2-,23,29.0,23,4.0,3,0,0,1,1,0,6,8,1.33,0.13,0.31,0.261,0.571,6.0,0.0,0.0,0,0,2,1,0.143,85,62,2
Bases Occupied,--3,2,2.0,2,1.0,1,0,0,0,0,0,0,0,,0.5,0.5,0.5,1.0,1.0,0.0,0.0,0,0,0,0,0.5,222,162,1
Bases Occupied,12-,13,22.0,20,2.0,3,0,0,0,0,0,2,7,3.5,0.15,0.227,0.15,0.377,3.0,0.0,0.0,0,0,0,1,0.231,24,13,3
Bases Occupied,1-3,4,4.0,4,1.0,1,0,0,0,1,0,0,2,,0.25,0.25,0.25,0.5,1.0,0.0,0.0,0,0,0,0,0.5,61,32,1
Bases Occupied,-23,1,1.0,1,0.0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-100,-100,0
Bases Occupied,123,3,5.0,5,2.0,1,0,0,0,0,0,0,2,,0.2,0.2,0.2,0.4,1.0,0.0,0.0,0,0,0,0,0.333,29,15,1
Bases Occupied,"on 1st, <2 out",23,38.0,37,4.0,6,0,0,1,0,0,0,17,,0.162,0.162,0.243,0.405,9.0,1.0,0.0,1,0,0,1,0.263,28,9,5
Bases Occupied,"on 3rd, <2 out",4,4.0,4,2.0,2,0,0,0,0,0,0,2,,0.5,0.5,0.5,1.0,2.0,0.0,0.0,0,0,0,0,1.0,222,146,2
Bases Occupied,"on 3rd, 2 out",6,8.0,8,2.0,1,0,0,0,0,0,0,2,,0.125,0.125,0.125,0.25,1.0,0.0,0.0,0,0,0,0,0.167,-20,-28,1
Bases Occupied,"0 out, ---",57,60.0,57,3.0,10,2,0,3,0,0,3,21,7.0,0.175,0.217,0.368,0.585,21.0,0.0,0.0,0,0,0,0,0.212,84,58,5
Bases Occupied,"0 out, 1--",10,10.0,9,2.0,1,0,0,1,0,0,0,5,,0.111,0.111,0.444,0.556,4.0,1.0,0.0,1,0,0,0,0.0,69,41,0
