Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2013 Totals,74,291.0,264,26.0,72,9,0,5,1,1,18,56,3.11,0.273,0.336,0.364,0.699,96.0,17.0,7.0,2,0,4,4,0.33,100,98,58
Platoon Splits,vs RHB,66,137.0,125,15.0,33,1,0,2,1,0,7,28,4.0,0.264,0.329,0.32,0.649,40.0,11.0,5.0,0,0,2,1,0.326,86,86,30
Platoon Splits,vs LHB,73,154.0,139,13.0,39,8,0,3,0,1,11,28,2.55,0.281,0.342,0.403,0.745,56.0,6.0,2.0,2,0,2,3,0.333,113,107,28
Platoon Splits,vs RHB as RHP,66,137.0,125,15.0,33,1,0,2,1,0,7,28,4.0,0.264,0.329,0.32,0.649,40.0,11.0,5.0,0,0,2,1,0.326,86,90,30
Platoon Splits,vs LHB as RHP,73,154.0,139,13.0,39,8,0,3,0,1,11,28,2.55,0.281,0.342,0.403,0.745,56.0,6.0,2.0,2,0,2,3,0.333,113,102,28
Home or Away,Home,43,166.0,149,16.0,37,4,0,3,1,1,11,33,3.0,0.248,0.321,0.336,0.657,50.0,10.0,5.0,1,0,2,2,0.301,88,89,30
Home or Away,Away,31,125.0,115,10.0,35,5,0,2,0,0,7,23,3.29,0.304,0.355,0.4,0.755,46.0,7.0,2.0,1,0,2,2,0.367,116,109,28
First or Second Half,1st Half,47,183.0,163,20.0,42,7,0,3,0,1,14,36,2.57,0.258,0.335,0.356,0.691,58.0,9.0,5.0,1,0,2,3,0.315,98,95,32
First or Second Half,2nd Half,27,108.0,101,6.0,30,2,0,2,1,0,4,20,5.0,0.297,0.336,0.376,0.713,38.0,8.0,2.0,1,0,2,1,0.354,103,102,26
Months,April/March,14,54.0,49,2.0,10,1,0,0,0,1,4,12,3.0,0.204,0.278,0.225,0.502,11.0,2.0,1.0,0,0,0,1,0.27,44,43,9
