Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2022 Totals,49,266.0,245,20.0,48,15,1,4,6,0,15,63,4.2,0.196,0.25,0.314,0.564,77.0,5.0,3.0,2,1,3,1,0.246,100,60,28
Platoon Splits,vs RHB,44,158.0,149,12.0,26,8,0,2,5,0,6,41,6.83,0.175,0.212,0.269,0.48,40.0,4.0,1.0,2,0,0,0,0.226,70,35,16
Platoon Splits,vs LHB,47,108.0,96,15.0,22,7,1,2,1,0,9,22,2.44,0.229,0.306,0.385,0.691,37.0,1.0,2.0,0,1,3,1,0.274,145,98,12
Platoon Splits,vs RHB as RHP,44,158.0,149,12.0,26,8,0,2,5,0,6,41,6.83,0.175,0.212,0.269,0.48,40.0,4.0,1.0,2,0,0,0,0.226,70,37,16
Platoon Splits,vs LHB as RHP,47,108.0,96,15.0,22,7,1,2,1,0,9,22,2.44,0.229,0.306,0.385,0.691,37.0,1.0,2.0,0,1,3,1,0.274,145,95,12
Home or Away,Home,28,140.0,128,11.0,25,7,0,1,5,0,10,40,4.0,0.195,0.252,0.273,0.525,35.0,0.0,0.0,1,1,2,0,0.273,88,52,17
Home or Away,Away,21,126.0,117,9.0,23,8,1,3,1,0,5,23,4.6,0.197,0.248,0.359,0.607,42.0,5.0,3.0,1,0,1,1,0.22,114,68,11
First or Second Half,1st Half,25,144.0,136,16.0,30,9,0,4,2,0,6,34,5.67,0.221,0.259,0.375,0.634,51.0,2.0,1.0,1,0,0,1,0.265,123,78,17
First or Second Half,2nd Half,24,122.0,109,4.0,18,6,1,0,4,0,9,29,3.22,0.165,0.24,0.239,0.478,26.0,3.0,2.0,1,1,3,0,0.222,72,38,11
Months,April/March,9,48.0,48,7.0,14,4,0,1,1,0,0,12,,0.292,0.292,0.438,0.729,21.0,1.0,0.0,0,0,0,1,0.371,156,114,9
Months,May,8,49.0,46,2.0,6,1,0,1,0,0,2,12,6.0,0.13,0.184,0.217,0.401,10.0,1.0,1.0,0,0,0,0,0.152,43,13,4
Months,June,8,47.0,42,7.0,10,4,0,2,1,0,4,10,2.5,0.238,0.304,0.476,0.781,20.0,0.0,0.0,1,0,0,0,0.267,173,113,4
Months,August,11,64.0,56,1.0,8,4,0,0,2,0,6,18,3.0,0.143,0.234,0.214,0.449,12.0,0.0,1.0,0,1,1,0,0.205,62,29,4
Months,Sept/Oct,13,58.0,53,3.0,10,2,1,0,2,0,3,11,3.67,0.189,0.246,0.264,0.51,14.0,3.0,1.0,1,0,2,0,0.238,83,47,7
Game Outcome for Pitcher,in Wins,2,16.0,16,0.0,2,1,0,0,0,0,0,3,,0.125,0.125,0.188,0.313,3.0,0.0,0.0,0,0,0,0,0.154,10,16,1
Game Outcome for Pitcher,in Losses,1,5.0,4,1.0,2,1,0,0,0,0,1,2,2.0,0.5,0.6,0.75,1.35,3.0,0.0,0.0,0,0,0,0,1.0,379,183,1
Game Outcome for Pitcher,in No Dec.,37,206.0,189,19.0,41,12,1,4,5,0,12,51,4.25,0.217,0.27,0.355,0.624,67.0,4.0,2.0,2,1,3,1,0.274,121,81,24
Game Outcome for Pitcher,in Saves,9,39.0,36,0.0,3,1,0,0,1,0,2,7,3.5,0.083,0.154,0.111,0.265,4.0,1.0,1.0,0,0,0,0,0.103,-3,26,2
Game Outcome for Pitcher,in Sv Situ,19,82.0,76,2.0,11,3,0,1,1,0,4,23,5.75,0.145,0.198,0.224,0.421,17.0,2.0,1.0,1,0,1,0,0.192,51,29,7
Game Outcome for Pitcher,in non-Sv,29,174.0,159,17.0,36,11,1,3,5,0,11,38,3.45,0.226,0.283,0.365,0.648,58.0,2.0,2.0,1,1,2,0,0.277,129,84,21
Pitching Role,as Starter,1,10.0,10,1.0,1,1,0,0,0,0,0,2,,0.1,0.1,0.2,0.3,2.0,1.0,0.0,0,0,0,1,0.125,4,-19,0
Pitching Role,as Reliever,48,256.0,235,19.0,47,14,1,4,6,0,15,61,4.07,0.2,0.256,0.319,0.575,75.0,4.0,3.0,2,1,3,0,0.252,104,66,28
Run Support,3-5 Runs Scored,1,10.0,10,1.0,1,1,0,0,0,0,0,2,,0.1,0.1,0.2,0.3,2.0,1.0,0.0,0,0,0,1,0.125,4,-18,0
Batting Order Positions,Batting 1st,26,27.0,25,3.0,8,4,0,1,0,0,1,6,6.0,0.32,0.37,0.6,0.97,15.0,1.0,1.0,0,0,0,0,0.389,239,168,3
Batting Order Positions,Batting 2nd,30,31.0,27,2.0,4,1,0,0,0,0,4,3,0.75,0.148,0.258,0.185,0.443,5.0,0.0,0.0,0,0,0,0,0.167,62,21,3
Batting Order Positions,Batting 3rd,26,28.0,26,7.0,5,2,0,1,2,0,1,7,7.0,0.192,0.214,0.385,0.599,10.0,0.0,0.0,0,1,0,1,0.211,108,53,2
Batting Order Positions,Batting 4th,29,30.0,26,1.0,6,4,0,0,1,0,3,5,1.67,0.231,0.333,0.385,0.718,10.0,1.0,1.0,0,0,2,0,0.286,156,96,2
Batting Order Positions,Batting 5th,31,32.0,31,3.0,6,0,1,1,1,0,1,12,12.0,0.194,0.219,0.355,0.574,11.0,1.0,0.0,0,0,1,0,0.278,101,62,4
Batting Order Positions,Batting 6th,32,32.0,29,1.0,2,0,0,0,0,0,2,12,6.0,0.069,0.156,0.069,0.225,2.0,2.0,1.0,0,0,0,0,0.118,-16,-31,2
