Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2010 Totals,66,270.0,245,13.0,53,9,0,4,1,1,16,71,4.44,0.216,0.266,0.302,0.568,74.0,3.0,2.0,3,4,1,7,0.282,100,57,40
Platoon Splits,vs RHB,59,115.0,102,6.0,20,3,0,2,0,1,8,35,4.38,0.196,0.257,0.284,0.541,29.0,1.0,1.0,2,2,0,3,0.269,91,51,15
Platoon Splits,vs LHB,65,155.0,143,10.0,33,6,0,2,1,0,8,36,4.5,0.231,0.273,0.315,0.587,45.0,2.0,1.0,1,2,1,4,0.29,107,60,25
Platoon Splits,vs RHB as RHP,59,115.0,102,6.0,20,3,0,2,0,1,8,35,4.38,0.196,0.257,0.284,0.541,29.0,1.0,1.0,2,2,0,3,0.269,91,54,15
Platoon Splits,vs LHB as RHP,65,155.0,143,10.0,33,6,0,2,1,0,8,36,4.5,0.231,0.273,0.315,0.587,45.0,2.0,1.0,1,2,1,4,0.29,107,57,25
Home or Away,Home,40,164.0,151,7.0,32,5,0,2,1,1,8,37,4.63,0.212,0.258,0.285,0.543,43.0,3.0,2.0,1,2,0,4,0.263,91,55,25
Home or Away,Away,26,106.0,94,6.0,21,4,0,2,0,0,8,34,4.25,0.223,0.279,0.33,0.609,31.0,0.0,0.0,2,2,1,3,0.317,114,63,15
First or Second Half,1st Half,35,147.0,131,9.0,31,6,0,4,0,0,9,43,4.78,0.237,0.285,0.374,0.659,49.0,1.0,1.0,3,3,1,2,0.31,131,79,21
First or Second Half,2nd Half,31,123.0,114,4.0,22,3,0,0,1,1,7,28,4.0,0.193,0.244,0.219,0.463,25.0,2.0,1.0,0,1,0,5,0.253,64,31,19
Months,April/March,9,43.0,38,3.0,7,1,0,1,0,0,3,16,5.33,0.184,0.238,0.29,0.528,11.0,0.0,0.0,1,1,0,1,0.273,85,43,5
Months,May,10,38.0,34,3.0,9,2,0,3,0,0,3,10,3.33,0.265,0.324,0.588,0.913,20.0,1.0,0.0,1,0,1,0,0.286,217,144,4
Months,June,10,42.0,38,2.0,9,2,0,0,0,0,1,10,10.0,0.237,0.268,0.29,0.558,11.0,0.0,1.0,1,1,0,1,0.31,96,53,7
Months,July,14,60.0,52,3.0,14,3,0,0,0,0,5,12,2.4,0.269,0.333,0.327,0.66,17.0,1.0,1.0,0,2,0,1,0.333,134,82,11
Months,August,13,49.0,47,0.0,9,0,0,0,0,1,2,13,6.5,0.192,0.225,0.192,0.416,9.0,1.0,0.0,0,0,0,1,0.265,48,17,9
Months,Sept/Oct,10,38.0,36,2.0,5,1,0,0,1,0,2,10,5.0,0.139,0.184,0.167,0.351,6.0,0.0,0.0,0,0,0,3,0.192,25,1,4
Game Outcome for Pitcher,in Wins,1,4.0,4,0.0,1,0,0,0,0,0,0,1,,0.25,0.25,0.25,0.5,1.0,0.0,0.0,0,0,0,0,0.333,77,74,1
Game Outcome for Pitcher,in Losses,2,9.0,9,3.0,5,2,0,2,0,0,0,3,,0.556,0.556,1.444,2.0,13.0,0.0,0.0,0,0,0,0,0.75,587,306,1
Game Outcome for Pitcher,in No Dec.,20,79.0,75,5.0,15,4,0,2,0,1,2,21,10.5,0.2,0.228,0.333,0.561,25.0,1.0,1.0,0,1,0,3,0.245,96,55,9
Game Outcome for Pitcher,in Saves,43,178.0,157,5.0,32,3,0,0,1,0,14,46,3.29,0.204,0.269,0.223,0.492,35.0,2.0,1.0,3,3,1,4,0.281,75,110,29
Game Outcome for Pitcher,in Sv Situ,46,194.0,173,10.0,40,5,0,3,1,0,14,52,3.71,0.231,0.288,0.312,0.6,54.0,2.0,1.0,3,3,1,4,0.306,112,78,32
Game Outcome for Pitcher,in non-Sv,20,76.0,72,3.0,13,4,0,1,0,1,2,19,9.5,0.181,0.211,0.278,0.488,20.0,1.0,1.0,0,1,0,3,0.226,71,34,8
Pitching Role,as Reliever,66,270.0,245,13.0,53,9,0,4,1,1,16,71,4.44,0.216,0.266,0.302,0.568,74.0,3.0,2.0,3,4,1,7,0.282,100,59,40
Batting Order Positions,Batting 1st,26,26.0,23,0.0,5,1,0,0,0,0,1,7,7.0,0.217,0.25,0.261,0.511,6.0,0.0,0.0,2,0,0,2,0.313,80,44,4
Batting Order Positions,Batting 2nd,29,29.0,27,1.0,4,0,0,0,0,0,2,4,2.0,0.148,0.207,0.148,0.355,4.0,1.0,0.0,0,0,1,1,0.174,27,-1,4
Batting Order Positions,Batting 3rd,32,31.0,28,2.0,10,3,0,1,0,1,3,9,3.0,0.357,0.419,0.571,0.991,16.0,0.0,0.0,0,0,0,0,0.5,247,141,6
Batting Order Positions,Batting 4th,33,33.0,30,5.0,8,1,0,2,0,0,2,7,3.5,0.267,0.303,0.5,0.803,15.0,0.0,0.0,0,1,0,2,0.273,180,96,5
Batting Order Positions,Batting 5th,35,35.0,30,3.0,9,2,0,0,0,0,3,10,3.33,0.3,0.343,0.367,0.71,11.0,0.0,0.0,0,2,0,0,0.409,151,86,7
Batting Order Positions,Batting 6th,35,35.0,32,4.0,9,2,0,1,0,0,0,11,,0.281,0.314,0.438,0.752,14.0,1.0,2.0,0,1,0,0,0.381,163,101,6
Batting Order Positions,Batting 7th,29,29.0,28,1.0,3,0,0,0,0,0,1,12,12.0,0.107,0.138,0.107,0.245,3.0,0.0,0.0,0,0,0,0,0.188,-13,-28,3
Batting Order Positions,Batting 8th,26,26.0,23,0.0,1,0,0,0,1,0,3,4,1.33,0.044,0.154,0.044,0.197,1.0,0.0,0.0,0,0,0,1,0.053,-28,-39,1
Batting Order Positions,Batting 9th,26,26.0,24,0.0,4,0,0,0,0,0,1,7,7.0,0.167,0.2,0.167,0.367,4.0,1.0,0.0,1,0,0,1,0.235,31,34,4
Batting Order Positions,"Bat1-2,non-P",31,55.0,50,1.0,9,1,0,0,0,0,3,11,3.67,0.18,0.226,0.2,0.426,10.0,1.0,0.0,2,0,1,3,0.231,51,20,8
Batting Order Positions,"Bat3-6,non-P",52,134.0,120,14.0,36,8,0,4,0,1,8,37,4.63,0.3,0.343,0.467,0.81,56.0,1.0,2.0,0,4,0,2,0.386,184,105,24
Batting Order Positions,"Bat7-9,non-P",46,81.0,75,1.0,8,0,0,0,1,0,5,23,4.6,0.107,0.163,0.107,0.269,8.0,1.0,0.0,1,0,0,2,0.154,-3,-19,8
Swung or Took First Pitch of PA,Swung at 1st Pitch,48,75.0,70,8.0,16,2,0,2,,,1,21,21.0,0.229,0.233,0.343,0.576,24.0,2.0,0.0,2,2,0,4,0.286,101,60,12
Swung or Took First Pitch of PA,Took 1st Pitch,66,195.0,175,8.0,37,7,0,2,,,15,50,3.33,0.211,0.278,0.286,0.564,50.0,1.0,2.0,1,2,1,3,0.28,99,55,28
Count/Balls-Strikes,First Pitch,26,34.0,29,5.0,6,2,0,0,,,0,0,,0.207,0.219,0.276,0.495,8.0,2.0,1.0,2,2,0,1,0.194,74,16,4
