Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2013 Totals,66,265.0,238,15.0,47,11,0,5,10,0,22,73,3.32,0.198,0.268,0.307,0.575,73.0,3.0,1.0,4,0,2,0,0.263,100,62,31
Platoon Splits,vs RHB,55,113.0,99,13.0,20,4,0,4,5,0,10,29,2.9,0.202,0.282,0.364,0.645,36.0,2.0,1.0,3,0,1,0,0.242,124,82,12
Platoon Splits,vs LHB,62,152.0,139,4.0,27,7,0,1,5,0,12,44,3.67,0.194,0.258,0.266,0.525,37.0,1.0,0.0,1,0,1,0,0.277,83,47,19
Platoon Splits,vs RHB as RHP,55,113.0,99,13.0,20,4,0,4,5,0,10,29,2.9,0.202,0.282,0.364,0.645,36.0,2.0,1.0,3,0,1,0,0.242,124,87,12
Platoon Splits,vs LHB as RHP,62,152.0,139,4.0,27,7,0,1,5,0,12,44,3.67,0.194,0.258,0.266,0.525,37.0,1.0,0.0,1,0,1,0,0.277,83,43,19
Home or Away,Home,35,133.0,118,11.0,24,6,0,4,7,0,12,32,2.67,0.203,0.282,0.356,0.638,42.0,1.0,1.0,2,0,1,0,0.244,121,81,14
Home or Away,Away,31,132.0,120,4.0,23,5,0,1,3,0,10,41,4.1,0.192,0.254,0.258,0.512,31.0,2.0,0.0,2,0,1,0,0.282,79,43,17
First or Second Half,1st Half,38,152.0,138,7.0,28,7,0,2,5,0,12,50,4.17,0.203,0.272,0.297,0.569,41.0,1.0,1.0,1,0,1,0,0.302,98,60,19
First or Second Half,2nd Half,28,113.0,100,8.0,19,4,0,3,5,0,10,23,2.3,0.19,0.264,0.32,0.584,32.0,2.0,0.0,3,0,1,0,0.216,103,65,12
Months,April/March,12,50.0,44,3.0,8,2,0,2,3,0,6,14,2.33,0.182,0.28,0.364,0.644,16.0,0.0,0.0,0,0,1,0,0.214,123,79,4
Months,May,11,42.0,39,2.0,8,2,0,0,1,0,2,15,7.5,0.205,0.244,0.256,0.5,10.0,1.0,0.0,1,0,0,0,0.333,74,40,6
Months,June,9,39.0,37,2.0,9,3,0,0,1,0,2,12,6.0,0.243,0.282,0.324,0.606,12.0,0.0,0.0,0,0,0,0,0.36,111,71,6
Months,July,11,38.0,35,0.0,7,1,0,0,2,0,2,11,5.5,0.2,0.263,0.229,0.492,8.0,1.0,1.0,0,0,0,0,0.292,73,42,6
Months,August,11,47.0,41,2.0,8,1,0,1,2,0,4,8,2.0,0.195,0.267,0.293,0.559,12.0,0.0,0.0,2,0,0,0,0.219,95,57,6
Months,Sept/Oct,12,49.0,42,6.0,7,2,0,2,1,0,6,13,2.17,0.167,0.271,0.357,0.628,15.0,1.0,0.0,1,0,1,0,0.185,117,77,3
Game Outcome for Pitcher,in Wins,4,18.0,16,1.0,4,1,0,0,1,0,1,3,3.0,0.25,0.294,0.313,0.607,5.0,0.0,0.0,1,0,0,0,0.308,112,117,3
Game Outcome for Pitcher,in Losses,1,5.0,1,4.0,1,0,0,1,0,0,3,0,0.0,1.0,1.0,4.0,5.0,4.0,0.0,0.0,1,0,1,0,,1576,878,0
Game Outcome for Pitcher,in No Dec.,37,150.0,136,9.0,27,6,0,4,4,0,12,44,3.67,0.199,0.269,0.331,0.599,45.0,1.0,1.0,1,0,1,0,0.261,108,72,17
Game Outcome for Pitcher,in Saves,24,92.0,85,1.0,15,4,0,0,5,0,6,26,4.33,0.177,0.231,0.224,0.454,19.0,2.0,0.0,1,0,0,0,0.254,59,98,11
Game Outcome for Pitcher,in Sv Situ,35,142.0,129,7.0,26,6,0,2,5,0,12,36,3.0,0.202,0.27,0.295,0.564,38.0,3.0,0.0,1,0,0,0,0.264,97,71,18
Game Outcome for Pitcher,in non-Sv,31,123.0,109,8.0,21,5,0,3,5,0,10,37,3.7,0.193,0.267,0.321,0.588,35.0,0.0,1.0,3,0,2,0,0.261,104,68,13
Pitching Role,as Reliever,66,265.0,238,15.0,47,11,0,5,10,0,22,73,3.32,0.198,0.268,0.307,0.575,73.0,3.0,1.0,4,0,2,0,0.263,100,67,31
Batting Order Positions,Batting 1st,27,27.0,22,2.0,3,1,0,0,1,0,4,5,1.25,0.136,0.269,0.182,0.451,4.0,0.0,0.0,1,0,0,0,0.177,60,28,2
Batting Order Positions,Batting 2nd,25,25.0,24,0.0,3,0,0,0,1,0,1,7,7.0,0.125,0.16,0.125,0.285,3.0,0.0,0.0,0,0,0,0,0.177,0,-19,3
Batting Order Positions,Batting 3rd,27,27.0,24,3.0,9,0,0,3,1,0,3,5,1.67,0.375,0.444,0.75,1.194,18.0,0.0,0.0,0,0,0,0,0.375,310,194,6
