Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2019 Totals,66,257.0,230,33.0,56,12,1,13,2,2,23,82,3.57,0.244,0.323,0.474,0.797,109.0,2.0,4.0,0,0,1,1,0.319,100,109,30
Platoon Splits,vs RHB,64,140.0,127,12.0,29,8,0,8,2,0,10,44,4.4,0.228,0.3,0.48,0.78,61.0,2.0,3.0,0,0,0,1,0.28,94,105,13
Platoon Splits,vs LHB,63,117.0,103,13.0,27,4,1,5,0,2,13,38,2.92,0.262,0.35,0.466,0.816,48.0,0.0,1.0,0,0,1,0,0.367,107,114,17
Platoon Splits,vs RHB as RHP,64,140.0,127,12.0,29,8,0,8,2,0,10,44,4.4,0.228,0.3,0.48,0.78,61.0,2.0,3.0,0,0,0,1,0.28,94,110,13
Platoon Splits,vs LHB as RHP,63,117.0,103,13.0,27,4,1,5,0,2,13,38,2.92,0.262,0.35,0.466,0.816,48.0,0.0,1.0,0,0,1,0,0.367,107,111,17
Home or Away,Home,35,127.0,116,11.0,24,4,0,5,1,1,10,45,4.5,0.207,0.276,0.371,0.646,43.0,1.0,1.0,0,0,1,0,0.288,64,73,15
Home or Away,Away,31,130.0,114,22.0,32,8,1,8,1,1,13,37,2.85,0.281,0.369,0.579,0.948,66.0,1.0,3.0,0,0,0,1,0.348,136,145,15
First or Second Half,1st Half,38,148.0,128,21.0,29,7,1,7,0,2,16,51,3.19,0.227,0.331,0.461,0.792,59.0,0.0,4.0,0,0,1,0,0.314,100,110,14
First or Second Half,2nd Half,28,109.0,102,12.0,27,5,0,6,2,0,7,31,4.43,0.265,0.312,0.49,0.802,50.0,2.0,0.0,0,0,0,1,0.323,100,109,16
Months,April/March,13,50.0,42,6.0,11,1,0,2,0,2,6,17,2.83,0.262,0.38,0.429,0.809,18.0,0.0,2.0,0,0,0,0,0.391,108,120,8
Months,May,12,49.0,44,4.0,8,4,0,3,0,0,4,18,4.5,0.182,0.265,0.477,0.743,21.0,0.0,1.0,0,0,1,0,0.217,83,93,1
Months,June,11,42.0,35,11.0,9,2,1,2,0,0,6,12,2.0,0.257,0.381,0.543,0.924,19.0,0.0,1.0,0,0,0,0,0.333,133,141,4
Months,July,11,40.0,39,5.0,9,2,0,2,0,0,1,12,12.0,0.231,0.25,0.436,0.686,17.0,1.0,0.0,0,0,0,0,0.28,69,75,5
Months,August,10,41.0,36,6.0,10,2,0,3,1,0,5,11,2.2,0.278,0.366,0.583,0.949,21.0,0.0,0.0,0,0,0,1,0.318,136,141,5
Months,Sept/Oct,9,35.0,34,1.0,9,1,0,1,1,0,1,12,12.0,0.265,0.286,0.382,0.668,13.0,1.0,0.0,0,0,0,0,0.381,69,81,7
Game Outcome for Pitcher,in Wins,4,15.0,13,1.0,2,1,0,1,0,0,1,6,6.0,0.154,0.267,0.462,0.728,6.0,0.0,1.0,0,0,0,0,0.167,80,152,0
Game Outcome for Pitcher,in Losses,7,31.0,26,13.0,12,3,1,3,0,0,5,8,1.6,0.462,0.548,1.0,1.548,26.0,0.0,0.0,0,0,1,1,0.6,281,198,5
Game Outcome for Pitcher,in No Dec.,46,177.0,159,18.0,33,7,0,8,1,2,15,58,3.87,0.208,0.288,0.403,0.691,64.0,1.0,3.0,0,0,0,0,0.269,74,84,18
Game Outcome for Pitcher,in Saves,9,34.0,32,1.0,9,1,0,1,1,0,2,10,5.0,0.281,0.324,0.406,0.73,13.0,1.0,0.0,0,0,0,0,0.381,86,203,7
Game Outcome for Pitcher,in Sv Situ,30,123.0,108,12.0,30,5,0,6,1,2,12,37,3.08,0.278,0.366,0.491,0.857,53.0,1.0,3.0,0,0,0,1,0.369,117,141,19
Game Outcome for Pitcher,in non-Sv,36,134.0,122,21.0,26,7,1,7,1,0,11,45,4.09,0.213,0.284,0.459,0.743,56.0,1.0,1.0,0,0,1,0,0.271,85,93,11
Pitching Role,as Reliever,66,257.0,230,33.0,56,12,1,13,2,2,23,82,3.57,0.244,0.323,0.474,0.797,109.0,2.0,4.0,0,0,1,1,0.319,100,111,30
Batting Order Positions,Batting 1st,25,25.0,22,2.0,7,0,0,2,0,0,3,6,2.0,0.318,0.4,0.591,0.991,13.0,0.0,0.0,0,0,1,0,0.357,149,152,5
Batting Order Positions,Batting 2nd,33,33.0,28,1.0,1,0,0,1,0,1,4,9,2.25,0.036,0.182,0.143,0.325,4.0,1.0,1.0,0,0,0,0,0.0,-14,-17,0
Batting Order Positions,Batting 3rd,33,33.0,30,4.0,8,2,0,3,1,0,2,13,6.5,0.267,0.333,0.633,0.967,19.0,0.0,1.0,0,0,0,0,0.357,137,129,3
Batting Order Positions,Batting 4th,33,33.0,28,2.0,2,0,0,1,0,0,4,10,2.5,0.071,0.212,0.179,0.391,5.0,0.0,1.0,0,0,0,1,0.059,3,0,1
Batting Order Positions,Batting 5th,32,32.0,30,5.0,12,1,0,3,0,0,2,14,7.0,0.4,0.438,0.733,1.171,22.0,0.0,0.0,0,0,0,0,0.692,190,197,8
Batting Order Positions,Batting 6th,28,27.0,25,2.0,6,2,1,0,0,1,2,9,4.5,0.24,0.296,0.4,0.696,10.0,1.0,0.0,0,0,0,0,0.375,76,86,3
Batting Order Positions,Batting 7th,25,25.0,21,2.0,5,1,0,1,0,0,4,7,1.75,0.238,0.36,0.429,0.789,9.0,0.0,0.0,0,0,0,0,0.308,102,121,3
Batting Order Positions,Batting 8th,26,26.0,23,2.0,7,4,0,0,1,0,2,7,3.5,0.304,0.385,0.478,0.863,11.0,0.0,1.0,0,0,0,0,0.438,120,146,3
Batting Order Positions,Batting 9th,23,23.0,23,5.0,8,2,0,2,0,0,0,7,,0.348,0.348,0.696,1.044,16.0,0.0,0.0,0,0,0,0,0.429,155,241,4
Batting Order Positions,"Bat1-2,non-P",36,58.0,50,3.0,8,0,0,3,0,1,7,15,2.14,0.16,0.276,0.34,0.616,17.0,1.0,1.0,0,0,1,0,0.156,57,55,5
Batting Order Positions,"Bat3-6,non-P",56,125.0,113,13.0,28,5,1,7,1,1,10,46,4.6,0.248,0.32,0.496,0.816,56.0,1.0,2.0,0,0,0,1,0.35,104,104,15
Batting Order Positions,"Bat7-9,non-P",34,74.0,67,9.0,20,7,0,3,1,0,6,21,3.5,0.299,0.365,0.537,0.902,36.0,0.0,1.0,0,0,0,0,0.395,126,153,10
