Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2009 Totals,70,271.0,246,16.0,42,8,2,7,5,0,22,89,4.05,0.171,0.244,0.305,0.549,75.0,2.0,2.0,1,0,1,2,0.233,100,46,25
Platoon Splits,vs RHB,65,139.0,127,6.0,23,3,0,4,4,0,10,47,4.7,0.181,0.252,0.299,0.551,38.0,2.0,2.0,0,0,0,1,0.25,101,49,16
Platoon Splits,vs LHB,65,132.0,119,8.0,19,5,2,3,1,0,12,42,3.5,0.16,0.237,0.311,0.548,37.0,0.0,0.0,1,0,1,1,0.216,99,43,9
Platoon Splits,vs RHB as RHP,65,139.0,127,6.0,23,3,0,4,4,0,10,47,4.7,0.181,0.252,0.299,0.551,38.0,2.0,2.0,0,0,0,1,0.25,101,53,16
Platoon Splits,vs LHB as RHP,65,132.0,119,8.0,19,5,2,3,1,0,12,42,3.5,0.16,0.237,0.311,0.548,37.0,0.0,0.0,1,0,1,1,0.216,99,41,9
Home or Away,Home,39,149.0,135,7.0,20,3,0,4,5,0,14,51,3.64,0.148,0.228,0.259,0.488,35.0,2.0,0.0,0,0,0,2,0.2,78,34,13
Home or Away,Away,31,122.0,111,9.0,22,5,2,3,0,0,8,38,4.75,0.198,0.265,0.36,0.625,40.0,0.0,2.0,1,0,1,0,0.271,126,61,12
First or Second Half,1st Half,36,126.0,118,5.0,18,3,1,2,3,0,7,43,6.14,0.153,0.2,0.246,0.446,29.0,2.0,0.0,1,0,1,0,0.219,63,19,12
First or Second Half,2nd Half,34,145.0,128,11.0,24,5,1,5,2,0,15,46,3.07,0.188,0.283,0.359,0.642,46.0,0.0,2.0,0,0,0,2,0.247,134,71,13
Months,April/March,7,28.0,26,2.0,5,1,0,2,1,0,2,7,3.5,0.192,0.25,0.462,0.712,12.0,0.0,0.0,0,0,0,0,0.177,154,83,2
Months,May,13,47.0,44,3.0,9,0,1,0,1,0,3,14,4.67,0.205,0.255,0.25,0.505,11.0,2.0,0.0,0,0,1,0,0.3,87,36,8
Months,June,12,40.0,38,0.0,4,2,0,0,0,0,1,18,18.0,0.105,0.128,0.158,0.286,6.0,0.0,0.0,1,0,0,0,0.2,4,-22,2
Months,July,12,41.0,37,2.0,5,0,0,0,1,0,3,13,4.33,0.135,0.22,0.135,0.355,5.0,0.0,1.0,0,0,0,0,0.208,34,-1,5
Months,August,10,50.0,44,3.0,10,4,1,1,0,0,6,17,2.83,0.227,0.32,0.432,0.752,19.0,0.0,0.0,0,0,0,1,0.346,173,95,4
Months,Sept/Oct,16,65.0,57,6.0,9,1,0,4,2,0,7,20,2.86,0.158,0.262,0.386,0.648,22.0,0.0,1.0,0,0,0,1,0.152,134,73,4
Game Outcome for Pitcher,in Wins,2,16.0,15,2.0,6,1,0,2,0,0,1,1,1.0,0.4,0.438,0.867,1.304,13.0,0.0,0.0,0,0,0,0,0.333,364,330,3
Game Outcome for Pitcher,in Losses,2,13.0,9,7.0,5,0,1,2,1,0,4,2,0.5,0.556,0.692,1.444,2.137,13.0,0.0,0.0,0,0,1,0,0.6,657,323,2
Game Outcome for Pitcher,in No Dec.,19,76.0,70,4.0,14,2,1,1,2,0,5,26,5.2,0.2,0.263,0.3,0.563,21.0,1.0,1.0,0,0,0,0,0.302,106,53,10
Game Outcome for Pitcher,in Saves,47,166.0,152,3.0,17,5,0,2,2,0,12,60,5.0,0.112,0.182,0.184,0.366,28.0,1.0,1.0,1,0,0,2,0.167,35,57,10
Game Outcome for Pitcher,in Sv Situ,52,202.0,181,14.0,30,6,1,6,3,0,18,63,3.5,0.166,0.249,0.309,0.558,56.0,1.0,2.0,1,0,1,2,0.214,103,61,17
Game Outcome for Pitcher,in non-Sv,18,69.0,65,2.0,12,2,1,1,2,0,4,26,6.5,0.185,0.232,0.292,0.524,19.0,1.0,0.0,0,0,0,0,0.29,91,41,8
