Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2014 Totals,76,285.0,261,16.0,45,6,2,4,3,0,15,68,4.53,0.172,0.234,0.257,0.491,67.0,8.0,6.0,3,0,3,3,0.217,100,41,33
Platoon Splits,vs RHB,67,133.0,125,12.0,17,2,1,2,2,0,4,32,8.0,0.136,0.169,0.216,0.385,27.0,6.0,1.0,3,0,0,0,0.165,56,10,12
Platoon Splits,vs LHB,68,152.0,136,15.0,28,4,1,2,1,0,11,36,3.27,0.206,0.29,0.294,0.584,40.0,2.0,5.0,0,0,3,3,0.265,138,68,21
Platoon Splits,vs RHB as RHP,67,133.0,125,12.0,17,2,1,2,2,0,4,32,8.0,0.136,0.169,0.216,0.385,27.0,6.0,1.0,3,0,0,0,0.165,56,13,12
Platoon Splits,vs LHB as RHP,68,152.0,136,15.0,28,4,1,2,1,0,11,36,3.27,0.206,0.29,0.294,0.584,40.0,2.0,5.0,0,0,3,3,0.265,138,65,21
Home or Away,Home,37,139.0,128,10.0,26,3,1,2,1,0,6,37,6.17,0.203,0.261,0.289,0.55,37.0,4.0,4.0,1,0,1,1,0.27,124,61,20
Home or Away,Away,39,146.0,133,6.0,19,3,1,2,2,0,9,31,3.44,0.143,0.208,0.226,0.434,30.0,4.0,2.0,2,0,2,2,0.17,77,22,13
First or Second Half,1st Half,44,166.0,151,11.0,29,3,1,3,2,0,9,46,5.11,0.192,0.256,0.285,0.541,43.0,6.0,4.0,2,0,2,2,0.255,120,54,22
First or Second Half,2nd Half,32,119.0,110,5.0,16,3,1,1,1,0,6,22,3.67,0.146,0.203,0.218,0.422,24.0,2.0,2.0,1,0,1,1,0.172,72,23,11
Months,April/March,13,50.0,45,4.0,9,0,0,0,1,0,3,13,4.33,0.2,0.28,0.2,0.48,9.0,1.0,2.0,0,0,0,1,0.281,98,40,9
Months,May,10,43.0,38,4.0,10,1,1,1,0,0,4,9,2.25,0.263,0.333,0.421,0.754,16.0,3.0,0.0,1,0,1,0,0.321,206,112,7
Months,June,12,46.0,42,3.0,10,2,0,2,1,0,1,17,17.0,0.238,0.289,0.429,0.718,18.0,1.0,2.0,1,0,1,1,0.348,190,104,6
Months,July,16,54.0,52,0.0,4,0,0,0,0,0,1,12,12.0,0.077,0.094,0.077,0.171,4.0,2.0,0.0,1,0,0,0,0.1,-30,-50,4
Months,August,15,58.0,54,5.0,9,1,1,1,1,0,3,10,3.33,0.167,0.224,0.278,0.502,15.0,0.0,1.0,0,0,0,1,0.186,104,45,6
Months,Sept/Oct,10,34.0,30,0.0,3,2,0,0,0,0,3,7,2.33,0.1,0.206,0.167,0.373,5.0,1.0,1.0,0,0,1,0,0.13,53,11,1
Game Outcome for Pitcher,in Wins,7,26.0,24,1.0,3,1,0,1,0,0,1,6,6.0,0.125,0.192,0.292,0.484,7.0,0.0,1.0,0,0,1,0,0.118,96,72,1
Game Outcome for Pitcher,in Losses,2,11.0,10,4.0,3,0,0,1,0,0,0,3,,0.3,0.364,0.6,0.964,6.0,0.0,1.0,0,0,0,1,0.333,289,108,2
Game Outcome for Pitcher,in No Dec.,52,201.0,181,11.0,33,4,2,2,3,0,13,48,3.69,0.182,0.253,0.26,0.512,47.0,5.0,4.0,3,0,2,2,0.237,109,51,25
Game Outcome for Pitcher,in Saves,15,47.0,46,0.0,6,1,0,0,0,0,1,11,11.0,0.13,0.149,0.152,0.301,7.0,3.0,0.0,0,0,0,0,0.171,23,35,5
Game Outcome for Pitcher,in Sv Situ,37,137.0,123,9.0,21,3,2,1,1,0,12,25,2.08,0.171,0.25,0.252,0.502,31.0,5.0,1.0,1,0,1,1,0.206,105,58,15
