Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2011 Totals,70,274.0,254,17.0,56,11,0,1,3,0,16,61,3.81,0.221,0.267,0.276,0.543,70.0,6.0,1.0,1,2,2,3,0.284,100,52,44
Platoon Splits,vs RHB,65,151.0,141,15.0,34,5,0,0,1,0,7,29,4.14,0.241,0.278,0.277,0.555,39.0,5.0,1.0,0,2,1,1,0.298,105,58,29
Platoon Splits,vs LHB,59,123.0,113,4.0,22,6,0,1,2,0,9,32,3.56,0.195,0.254,0.274,0.528,31.0,1.0,0.0,1,0,1,2,0.263,94,46,15
Platoon Splits,vs RHB as RHP,65,151.0,141,15.0,34,5,0,0,1,0,7,29,4.14,0.241,0.278,0.277,0.555,39.0,5.0,1.0,0,2,1,1,0.298,105,62,29
Platoon Splits,vs LHB as RHP,59,123.0,113,4.0,22,6,0,1,2,0,9,32,3.56,0.195,0.254,0.274,0.528,31.0,1.0,0.0,1,0,1,2,0.263,94,43,15
Home or Away,Home,41,168.0,150,14.0,37,7,0,0,2,0,14,32,2.29,0.247,0.311,0.293,0.605,44.0,4.0,1.0,1,2,2,2,0.308,123,74,30
Home or Away,Away,29,106.0,104,3.0,19,4,0,1,1,0,2,29,14.5,0.183,0.198,0.25,0.448,26.0,2.0,0.0,0,0,0,1,0.243,65,22,14
First or Second Half,1st Half,40,152.0,144,7.0,29,7,0,1,1,0,8,35,4.38,0.201,0.243,0.271,0.514,39.0,5.0,0.0,0,0,0,2,0.259,89,46,21
First or Second Half,2nd Half,30,122.0,110,10.0,27,4,0,0,2,0,8,26,3.25,0.246,0.298,0.282,0.579,31.0,1.0,1.0,1,2,2,1,0.314,114,62,23
Months,April/March,13,56.0,52,4.0,15,5,0,0,0,0,4,12,3.0,0.289,0.339,0.385,0.724,20.0,3.0,0.0,0,0,0,1,0.375,167,105,10
Months,May,11,39.0,38,1.0,7,0,0,1,1,0,1,9,9.0,0.184,0.205,0.263,0.468,10.0,2.0,0.0,0,0,0,1,0.214,72,32,6
