Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2011 Totals,74,305.0,278,19.0,59,3,2,4,6,2,25,86,3.44,0.212,0.276,0.281,0.557,78.0,4.0,0.0,1,1,1,7,0.291,100,56,50
Platoon Splits,vs RHB,71,167.0,150,11.0,35,2,1,3,2,2,15,41,2.73,0.233,0.301,0.32,0.621,48.0,2.0,0.0,1,1,1,4,0.299,123,76,29
Platoon Splits,vs LHB,69,138.0,128,8.0,24,1,1,1,4,0,10,45,4.5,0.188,0.246,0.234,0.481,30.0,2.0,0.0,0,0,0,3,0.281,72,34,21
Platoon Splits,vs RHB as RHP,71,167.0,150,11.0,35,2,1,3,2,2,15,41,2.73,0.233,0.301,0.32,0.621,48.0,2.0,0.0,1,1,1,4,0.299,123,80,29
Platoon Splits,vs LHB as RHP,69,138.0,128,8.0,24,1,1,1,4,0,10,45,4.5,0.188,0.246,0.234,0.481,30.0,2.0,0.0,0,0,0,3,0.281,72,31,21
Home or Away,Home,46,187.0,175,7.0,34,0,2,2,4,2,12,53,4.42,0.194,0.246,0.251,0.497,44.0,2.0,0.0,0,0,0,4,0.267,79,42,30
Home or Away,Away,28,118.0,103,12.0,25,3,0,2,2,0,13,33,2.54,0.243,0.325,0.33,0.655,34.0,2.0,0.0,1,1,1,3,0.333,135,81,20
First or Second Half,1st Half,42,180.0,161,15.0,39,1,1,2,3,2,17,53,3.12,0.242,0.313,0.298,0.611,48.0,2.0,0.0,1,1,1,2,0.346,120,74,35
First or Second Half,2nd Half,32,125.0,117,4.0,20,2,1,2,3,0,8,33,4.13,0.171,0.224,0.256,0.48,30.0,2.0,0.0,0,0,0,5,0.22,72,32,15
Months,April/March,11,46.0,38,6.0,9,0,0,1,0,1,6,11,1.83,0.237,0.333,0.316,0.649,12.0,0.0,0.0,1,1,0,0,0.296,133,85,8
Months,May,14,64.0,60,5.0,17,1,1,0,1,0,4,22,5.5,0.283,0.328,0.333,0.661,20.0,1.0,0.0,0,0,0,1,0.447,137,88,15
Months,June,12,48.0,42,1.0,6,0,0,0,1,0,6,14,2.33,0.143,0.25,0.143,0.393,6.0,1.0,0.0,0,0,1,1,0.214,42,15,6
Months,July,14,56.0,53,5.0,13,1,0,1,3,1,3,16,5.33,0.245,0.286,0.321,0.607,17.0,1.0,0.0,0,0,0,1,0.333,118,70,11
Months,August,13,52.0,47,2.0,9,1,1,2,1,0,5,10,2.0,0.192,0.269,0.383,0.652,18.0,0.0,0.0,0,0,0,3,0.2,134,75,5
Months,Sept/Oct,10,39.0,38,0.0,5,0,0,0,0,0,1,13,13.0,0.132,0.154,0.132,0.285,5.0,1.0,0.0,0,0,0,1,0.2,3,-20,5
Game Outcome for Pitcher,in Wins,2,8.0,7,0.0,1,0,0,0,1,0,1,1,1.0,0.143,0.25,0.143,0.393,1.0,0.0,0.0,0,0,0,0,0.167,42,41,1
Game Outcome for Pitcher,in Losses,2,13.0,11,6.0,6,0,0,1,1,0,1,2,2.0,0.546,0.539,0.818,1.357,9.0,0.0,0.0,0,1,0,0,0.556,386,190,5
Game Outcome for Pitcher,in No Dec.,24,101.0,92,6.0,21,1,0,0,1,0,8,28,3.5,0.228,0.29,0.239,0.529,22.0,2.0,0.0,1,0,0,3,0.328,90,52,20
Game Outcome for Pitcher,in Saves,46,183.0,168,7.0,31,2,2,3,3,2,15,55,3.67,0.185,0.251,0.274,0.525,46.0,2.0,0.0,0,0,1,4,0.255,89,132,24
Game Outcome for Pitcher,in Sv Situ,48,195.0,175,12.0,34,2,2,4,3,2,18,57,3.17,0.194,0.268,0.297,0.565,52.0,2.0,0.0,1,1,1,4,0.261,103,71,26
Game Outcome for Pitcher,in non-Sv,26,110.0,103,7.0,25,1,0,0,3,0,7,29,4.14,0.243,0.291,0.252,0.543,26.0,2.0,0.0,0,0,0,3,0.338,95,56,24
Pitching Role,as Reliever,74,305.0,278,19.0,59,3,2,4,6,2,25,86,3.44,0.212,0.276,0.281,0.557,78.0,4.0,0.0,1,1,1,7,0.291,100,61,50
Batting Order Positions,Batting 1st,30,30.0,27,1.0,5,0,0,0,2,0,3,11,3.67,0.185,0.267,0.185,0.452,5.0,0.0,0.0,0,0,0,0,0.313,63,28,5
Batting Order Positions,Batting 2nd,30,30.0,28,0.0,10,0,0,0,1,1,2,8,4.0,0.357,0.4,0.357,0.757,10.0,1.0,0.0,0,0,0,0,0.5,172,116,10
Batting Order Positions,Batting 3rd,34,34.0,29,1.0,5,0,0,0,0,0,5,9,1.8,0.172,0.294,0.172,0.467,5.0,0.0,0.0,0,0,0,0,0.25,68,21,5
Batting Order Positions,Batting 4th,34,34.0,33,1.0,4,1,1,0,0,1,1,12,12.0,0.121,0.147,0.212,0.359,7.0,0.0,0.0,0,0,0,0,0.191,29,-10,2
Batting Order Positions,Batting 5th,34,34.0,32,5.0,6,1,0,1,1,0,2,6,3.0,0.188,0.235,0.313,0.548,10.0,0.0,0.0,0,0,1,3,0.2,97,45,4
Batting Order Positions,Batting 6th,38,38.0,33,1.0,8,0,0,0,0,0,4,7,1.75,0.242,0.316,0.242,0.558,8.0,1.0,0.0,0,1,0,1,0.296,101,58,8
Batting Order Positions,Batting 7th,39,39.0,37,4.0,9,0,0,2,1,0,2,15,7.5,0.243,0.282,0.405,0.688,15.0,0.0,0.0,0,0,0,0,0.35,146,96,7
Batting Order Positions,Batting 8th,34,34.0,28,4.0,6,0,0,1,1,0,5,7,1.4,0.214,0.333,0.321,0.655,9.0,0.0,0.0,1,0,0,3,0.25,135,95,5
Batting Order Positions,Batting 9th,32,32.0,31,2.0,6,1,1,0,0,0,1,11,11.0,0.194,0.219,0.29,0.509,9.0,2.0,0.0,0,0,0,0,0.3,83,83,4
Batting Order Positions,"Bat1-2,non-P",38,60.0,55,1.0,15,0,0,0,3,1,5,19,3.8,0.273,0.333,0.273,0.606,15.0,1.0,0.0,0,0,0,0,0.417,118,72,15
Batting Order Positions,"Bat3-6,non-P",63,140.0,127,8.0,23,2,1,1,1,1,12,34,2.83,0.181,0.25,0.236,0.486,30.0,1.0,0.0,0,1,1,4,0.237,75,29,19
Batting Order Positions,"Bat7-9,non-P",52,105.0,96,10.0,21,1,1,3,2,0,8,33,4.13,0.219,0.279,0.344,0.623,33.0,2.0,0.0,1,0,0,3,0.3,124,84,16
Swung or Took First Pitch of PA,Swung at 1st Pitch,46,76.0,74,9.0,27,1,2,2,,,0,9,,0.365,0.36,0.514,0.874,38.0,0.0,0.0,1,1,0,0,0.391,213,148,22
Swung or Took First Pitch of PA,Took 1st Pitch,73,229.0,204,9.0,32,2,0,2,,,25,77,3.08,0.157,0.249,0.196,0.445,40.0,4.0,0.0,0,0,1,7,0.24,60,25,28
Count/Balls-Strikes,First Pitch,25,30.0,28,5.0,14,1,0,1,,,0,0,,0.5,0.483,0.643,1.126,18.0,0.0,0.0,1,1,0,0,0.464,304,167,12
Count/Balls-Strikes,1-0 Count,16,17.0,17,1.0,6,1,0,0,,,0,0,,0.353,0.353,0.412,0.765,7.0,1.0,0.0,0,0,0,0,0.353,175,80,5
Count/Balls-Strikes,2-0 Count,4,4.0,4,0.0,1,0,0,0,,,0,0,,0.25,0.25,0.25,0.5,1.0,0.0,0.0,0,0,0,1,0.25,80,11,1
Count/Balls-Strikes,3-0 Count,4,4.0,0,0.0,0,0,0,0,,,4,0,0.0,,1.0,,,0.0,0.0,0.0,0,0,1,0,,,,0
Count/Balls-Strikes,0-1 Count,14,16.0,16,3.0,4,1,0,1,,,0,0,,0.25,0.25,0.5,0.75,8.0,0.0,0.0,0,0,0,3,0.2,169,83,2
Count/Balls-Strikes,1-1 Count,21,21.0,21,3.0,6,0,0,1,,,0,0,,0.286,0.286,0.429,0.714,9.0,0.0,0.0,0,0,0,0,0.25,156,76,5
Count/Balls-Strikes,2-1 Count,10,12.0,12,0.0,2,0,0,0,,,0,0,,0.167,0.167,0.167,0.333,2.0,0.0,0.0,0,0,0,1,0.167,20,-20,2
Count/Balls-Strikes,3-1 Count,17,21.0,12,1.0,2,0,0,0,,,9,0,0.0,0.167,0.524,0.167,0.691,2.0,0.0,0.0,0,0,0,0,0.167,149,3,2
Count/Balls-Strikes,0-2 Count,25,30.0,30,1.0,5,0,0,1,,,0,15,,0.167,0.167,0.267,0.433,8.0,0.0,0.0,0,0,0,1,0.286,56,127,4
Count/Balls-Strikes,1-2 Count,43,61.0,61,0.0,5,0,0,0,,,0,36,,0.082,0.082,0.082,0.164,5.0,2.0,0.0,0,0,0,0,0.2,-41,-20,5
Count/Balls-Strikes,2-2 Count,36,50.0,50,4.0,9,0,1,0,,,0,24,,0.18,0.18,0.22,0.4,11.0,1.0,0.0,0,0,0,1,0.346,44,72,8
Count/Balls-Strikes,Full Count,32,39.0,27,0.0,5,0,1,0,,,12,11,0.92,0.185,0.436,0.259,0.695,7.0,0.0,0.0,0,0,0,0,0.313,150,72,4
Count/Balls-Strikes,After 1-0,64,118.0,97,4.0,17,1,0,0,,,21,31,1.48,0.175,0.322,0.186,0.508,18.0,2.0,0.0,0,0,1,2,0.258,83,27,16
Count/Balls-Strikes,After 2-0,29,42.0,28,1.0,7,0,0,0,,,14,6,0.43,0.25,0.5,0.25,0.75,7.0,0.0,0.0,0,0,1,1,0.318,170,50,7
Count/Balls-Strikes,After 3-0,14,15.0,8,1.0,1,0,0,0,,,7,2,0.29,0.125,0.533,0.125,0.658,1.0,0.0,0.0,0,0,1,0,0.167,138,-4,1
Count/Balls-Strikes,After 0-1,69,157.0,153,9.0,28,1,2,3,,,4,55,13.75,0.183,0.204,0.275,0.478,42.0,2.0,0.0,0,0,0,5,0.263,72,58,22
Count/Balls-Strikes,After 1-1,68,127.0,118,4.0,16,0,1,1,,,9,45,5.0,0.136,0.197,0.178,0.375,21.0,3.0,0.0,0,0,0,1,0.208,35,13,14
Count/Balls-Strikes,After 2-1,46,59.0,45,0.0,9,0,1,0,,,14,12,0.86,0.2,0.39,0.244,0.634,11.0,0.0,0.0,0,0,0,1,0.273,128,60,8
Count/Balls-Strikes,After 3-1,28,33.0,21,1.0,4,0,0,0,,,12,6,0.5,0.191,0.485,0.191,0.675,4.0,0.0,0.0,0,0,0,0,0.267,143,24,4
Count/Balls-Strikes,After 0-2,50,73.0,71,4.0,12,0,1,1,,,2,35,17.5,0.169,0.192,0.239,0.431,17.0,0.0,0.0,0,0,0,2,0.314,55,91,10
Count/Balls-Strikes,After 1-2,63,113.0,109,4.0,13,0,1,0,,,4,57,14.25,0.119,0.15,0.138,0.288,15.0,3.0,0.0,0,0,0,1,0.25,4,16,12
Count/Balls-Strikes,After 2-2,52,77.0,68,4.0,12,0,2,0,,,9,29,3.22,0.177,0.273,0.235,0.508,16.0,1.0,0.0,0,0,0,1,0.308,83,73,10
Count/Balls-Strikes,Zero Balls,54,76.0,74,10.0,23,2,0,3,,,0,15,,0.311,0.307,0.46,0.766,34.0,0.0,0.0,1,1,0,4,0.351,175,120,18
Count/Balls-Strikes,Zero Strikes,46,55.0,49,6.0,21,2,0,1,,,4,0,0.0,0.429,0.463,0.531,0.994,26.0,1.0,0.0,1,1,1,1,0.408,257,113,18
Count/Balls-Strikes,Three Balls,43,64.0,39,1.0,7,0,1,0,,,25,11,0.44,0.18,0.5,0.231,0.731,9.0,0.0,0.0,0,0,1,0,0.25,163,46,6
Count/Balls-Strikes,Two Strikes,72,180.0,168,6.0,24,0,2,1,,,12,86,7.17,0.143,0.2,0.185,0.385,31.0,3.0,0.0,0,0,0,2,0.284,38,49,21
Count/Balls-Strikes,Batter Ahead,55,97.0,72,2.0,16,1,1,0,,,25,11,0.44,0.222,0.423,0.264,0.687,19.0,1.0,0.0,0,0,1,2,0.262,147,44,14
Count/Balls-Strikes,Even Count,58,101.0,99,12.0,29,1,1,2,,,0,24,,0.293,0.29,0.384,0.674,38.0,1.0,0.0,1,1,0,1,0.365,142,99,25
Count/Balls-Strikes,Pitcher Ahead,62,107.0,107,4.0,14,1,0,2,,,0,51,,0.131,0.131,0.196,0.327,21.0,2.0,0.0,0,0,0,4,0.222,17,26,11
Leading Off Inning,First Batter,74,74.0,68,1.0,9,0,1,1,,,6,20,3.33,0.132,0.203,0.206,0.409,14.0,0.0,0.0,0,0,0,3,0.17,47,21,7
Leading Off Inning,Leadoff Inn.,73,74.0,68,1.0,10,0,1,1,,,6,20,3.33,0.147,0.216,0.221,0.437,15.0,0.0,0.0,0,0,0,3,0.192,57,23,8
Opposition Defensive Position,vs. Non-P,74,305.0,278,19.0,59,3,2,4,6,2,25,86,3.44,0.212,0.276,0.281,0.557,78.0,4.0,0.0,1,1,1,7,0.291,100,54,50
Number of Outs in Inning,0 outs,73,97.0,89,3.0,13,1,1,1,0,1,7,26,3.71,0.146,0.208,0.214,0.422,19.0,2.0,0.0,1,0,0,3,0.194,51,17,10
Number of Outs in Inning,1 out,70,103.0,97,5.0,26,1,1,2,2,1,5,28,5.6,0.268,0.301,0.361,0.662,35.0,2.0,0.0,0,1,0,2,0.353,138,82,22
Number of Outs in Inning,2 outs,70,105.0,92,11.0,20,1,0,1,4,0,13,32,2.46,0.217,0.314,0.261,0.575,24.0,0.0,0.0,0,0,1,2,0.322,107,68,18
Bases Occupied,RISP,36,71.0,59,15.0,9,0,0,1,0,0,11,22,2.0,0.153,0.282,0.203,0.485,12.0,2.0,0.0,0,1,1,0,0.216,74,35,8
Bases Occupied,---,74,175.0,163,3.0,36,1,2,3,0,0,12,46,3.83,0.221,0.274,0.307,0.581,50.0,0.0,0.0,0,0,0,6,0.29,109,65,30
Bases Occupied,Men On,48,130.0,115,16.0,23,2,0,1,6,2,13,40,3.08,0.2,0.279,0.244,0.523,28.0,4.0,0.0,1,1,1,1,0.293,88,44,20
Bases Occupied,1--,46,59.0,56,1.0,14,2,0,0,6,2,2,18,9.0,0.25,0.276,0.286,0.562,16.0,2.0,0.0,1,0,0,1,0.368,102,55,12
Bases Occupied,-2-,20,25.0,20,4.0,4,0,0,0,0,0,5,7,1.4,0.2,0.36,0.2,0.56,4.0,0.0,0.0,0,0,1,0,0.308,102,57,4
Bases Occupied,--3,8,10.0,8,3.0,2,0,0,0,0,0,2,2,1.0,0.25,0.4,0.25,0.65,2.0,0.0,0.0,0,0,0,0,0.333,134,74,2
Bases Occupied,12-,16,23.0,20,4.0,2,0,0,1,0,0,3,8,2.67,0.1,0.217,0.25,0.467,5.0,1.0,0.0,0,0,0,0,0.091,68,35,1
Bases Occupied,1-3,5,4.0,4,0.0,0,0,0,0,0,0,0,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-100,-100,0
Bases Occupied,-23,4,4.0,3,2.0,1,0,0,0,0,0,1,1,1.0,0.333,0.5,0.333,0.833,1.0,0.0,0.0,0,0,0,0,0.5,200,113,1
Bases Occupied,123,5,5.0,4,2.0,0,0,0,0,0,0,0,2,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0.0,-100,-100,0
Bases Occupied,"on 1st, <2 out",32,51.0,48,3.0,9,1,0,0,0,0,1,18,18.0,0.188,0.2,0.208,0.408,10.0,4.0,0.0,1,1,0,0,0.29,47,10,8
Bases Occupied,"on 3rd, <2 out",4,7.0,5,2.0,0,0,0,0,0,0,1,1,1.0,0.0,0.143,0.0,0.143,0.0,1.0,0.0,0,1,0,0,0.0,-48,-60,0
Bases Occupied,"on 3rd, 2 out",14,16.0,14,4.0,3,0,0,0,0,0,2,6,3.0,0.214,0.313,0.214,0.527,3.0,0.0,0.0,0,0,0,0,0.375,90,54,3
Bases Occupied,"0 out, ---",73,75.0,69,1.0,10,0,1,1,0,0,6,20,3.33,0.145,0.213,0.217,0.431,15.0,0.0,0.0,0,0,0,3,0.188,54,21,8
Bases Occupied,"0 out, 1--",17,16.0,14,1.0,2,1,0,0,0,1,1,5,5.0,0.143,0.2,0.214,0.414,3.0,2.0,0.0,1,0,0,0,0.222,49,12,1
Bases Occupied,"0 out, -2-",1,1.0,1,0.0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-100,-100,0
Bases Occupied,"0 out, --3",1,1.0,1,0.0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-100,-100,0
