Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2022 Totals,64,257.0,231,19.0,45,14,2,3,1,2,19,74,3.89,0.195,0.266,0.312,0.577,72.0,6.0,4.0,1,2,0,2,0.269,100,64,26
Platoon Splits,vs RHB,62,161.0,150,17.0,29,8,1,1,0,1,8,55,6.88,0.193,0.242,0.28,0.522,42.0,4.0,2.0,0,1,0,1,0.295,81,47,19
Platoon Splits,vs LHB,51,96.0,81,16.0,16,6,1,2,1,1,11,19,1.73,0.198,0.305,0.37,0.676,30.0,2.0,2.0,1,1,0,1,0.23,133,94,7
Platoon Splits,vs RHB as RHP,62,161.0,150,17.0,29,8,1,1,0,1,8,55,6.88,0.193,0.242,0.28,0.522,42.0,4.0,2.0,0,1,0,1,0.295,81,50,19
Platoon Splits,vs LHB as RHP,51,96.0,81,16.0,16,6,1,2,1,1,11,19,1.73,0.198,0.305,0.37,0.676,30.0,2.0,2.0,1,1,0,1,0.23,133,91,7
Home or Away,Home,33,130.0,121,7.0,20,5,0,1,1,1,9,40,4.44,0.165,0.223,0.231,0.455,28.0,2.0,0.0,0,0,0,1,0.238,58,32,14
Home or Away,Away,31,127.0,110,12.0,25,9,2,2,0,1,10,34,3.4,0.227,0.31,0.4,0.71,44.0,4.0,4.0,1,2,0,1,0.303,145,97,12
First or Second Half,1st Half,34,125.0,115,7.0,18,5,0,2,0,1,6,39,6.5,0.157,0.218,0.252,0.47,29.0,3.0,3.0,1,0,0,2,0.216,63,34,11
First or Second Half,2nd Half,30,132.0,116,12.0,27,9,2,1,1,1,13,35,2.69,0.233,0.311,0.371,0.681,43.0,3.0,1.0,0,2,0,0,0.317,136,94,15
Months,April/March,2,8.0,8,0.0,1,1,0,0,0,0,0,1,,0.125,0.125,0.25,0.375,2.0,0.0,0.0,0,0,0,0,0.143,27,9,0
Months,May,10,39.0,37,3.0,5,0,0,1,0,0,1,13,13.0,0.135,0.18,0.216,0.396,8.0,0.0,1.0,0,0,0,1,0.174,37,12,4
Months,June,14,45.0,41,0.0,6,2,0,0,0,0,4,15,3.75,0.146,0.222,0.195,0.417,8.0,2.0,0.0,0,0,0,1,0.231,46,18,4
Months,July,12,53.0,47,5.0,9,3,0,1,0,2,3,15,5.0,0.192,0.269,0.319,0.588,15.0,1.0,2.0,1,0,0,0,0.258,103,66,5
Months,August,13,60.0,54,8.0,14,5,2,0,0,0,4,17,4.25,0.259,0.317,0.426,0.743,23.0,1.0,1.0,0,1,0,0,0.368,156,110,7
Months,Sept/Oct,13,52.0,44,3.0,10,3,0,1,1,0,7,13,1.86,0.227,0.327,0.364,0.691,16.0,2.0,0.0,0,1,0,0,0.29,140,98,6
Game Outcome for Pitcher,in Wins,4,16.0,16,0.0,2,0,0,0,0,0,0,7,,0.125,0.125,0.125,0.25,2.0,1.0,0.0,0,0,0,0,0.222,-13,-6,2
Game Outcome for Pitcher,in Losses,4,27.0,22,6.0,8,2,0,1,0,0,3,7,2.33,0.364,0.462,0.591,1.052,13.0,0.0,1.0,1,0,0,0,0.5,263,120,5
Game Outcome for Pitcher,in No Dec.,48,182.0,163,13.0,33,12,2,2,1,2,15,50,3.33,0.203,0.28,0.337,0.618,55.0,5.0,3.0,0,1,0,2,0.277,113,80,17
Game Outcome for Pitcher,in Saves,8,32.0,30,0.0,2,0,0,0,0,0,1,10,10.0,0.067,0.094,0.067,0.161,2.0,0.0,0.0,0,1,0,0,0.095,-43,-23,2
Game Outcome for Pitcher,in Sv Situ,33,132.0,117,8.0,21,7,0,1,0,1,11,38,3.45,0.18,0.26,0.265,0.525,31.0,3.0,2.0,1,1,0,1,0.253,83,61,13
Game Outcome for Pitcher,in non-Sv,31,125.0,114,11.0,24,7,2,2,1,1,8,36,4.5,0.211,0.272,0.36,0.632,41.0,3.0,2.0,0,1,0,1,0.286,118,79,13
Pitching Role,as Reliever,64,257.0,231,19.0,45,14,2,3,1,2,19,74,3.89,0.195,0.266,0.312,0.577,72.0,6.0,4.0,1,2,0,2,0.269,100,67,26
Batting Order Positions,Batting 1st,23,24.0,21,6.0,5,1,0,0,0,0,1,6,6.0,0.238,0.292,0.286,0.577,6.0,1.0,1.0,0,1,0,0,0.313,101,64,4
Batting Order Positions,Batting 2nd,29,29.0,27,4.0,5,2,0,2,0,0,2,8,4.0,0.185,0.241,0.482,0.723,13.0,1.0,0.0,0,0,0,0,0.177,145,85,1
Batting Order Positions,Batting 3rd,36,36.0,32,1.0,3,0,0,0,0,1,3,9,3.0,0.094,0.167,0.094,0.261,3.0,1.0,0.0,0,1,0,2,0.125,-7,-28,3
Batting Order Positions,Batting 4th,38,38.0,34,6.0,6,2,0,1,0,0,3,12,4.0,0.177,0.263,0.324,0.587,11.0,0.0,1.0,0,0,0,0,0.238,103,60,3
Batting Order Positions,Batting 5th,38,38.0,35,1.0,4,1,0,0,0,0,3,14,4.67,0.114,0.184,0.143,0.327,5.0,1.0,0.0,0,0,0,0,0.191,15,-4,3
Batting Order Positions,Batting 6th,28,28.0,26,3.0,9,5,0,0,0,0,2,5,2.5,0.346,0.393,0.539,0.931,14.0,0.0,0.0,0,0,0,0,0.429,220,168,4
Batting Order Positions,Batting 7th,25,25.0,22,5.0,5,0,0,0,1,0,2,11,5.5,0.227,0.32,0.227,0.547,5.0,1.0,1.0,0,0,0,0,0.455,93,68,5
Batting Order Positions,Batting 8th,20,19.0,16,1.0,4,0,1,0,0,1,2,3,1.5,0.25,0.368,0.375,0.743,6.0,1.0,1.0,0,0,0,0,0.308,159,128,3
Batting Order Positions,Batting 9th,20,20.0,18,6.0,4,3,1,0,0,0,1,6,6.0,0.222,0.263,0.5,0.763,9.0,0.0,0.0,1,0,0,0,0.333,159,135,0
Batting Order Positions,"Bat1-2,non-P",31,53.0,48,10.0,10,3,0,2,0,0,3,14,4.67,0.208,0.264,0.396,0.66,19.0,2.0,1.0,0,1,0,0,0.242,126,77,5
Batting Order Positions,"Bat3-6,non-P",53,140.0,127,11.0,22,8,0,1,0,1,11,40,3.64,0.173,0.243,0.26,0.503,33.0,2.0,1.0,0,1,0,2,0.241,75,41,13
Batting Order Positions,"Bat7-9,non-P",35,64.0,56,12.0,13,3,2,0,1,1,5,20,4.0,0.232,0.318,0.357,0.675,20.0,2.0,2.0,1,0,0,0,0.361,134,107,8
Swung or Took First Pitch of PA,Swung at 1st Pitch,41,65.0,61,6.0,12,2,0,0,,,2,18,9.0,0.197,0.234,0.23,0.464,14.0,2.0,1.0,1,0,0,0,0.279,62,38,10
Swung or Took First Pitch of PA,Took 1st Pitch,62,192.0,170,26.0,33,12,2,3,,,17,56,3.29,0.194,0.276,0.341,0.617,58.0,4.0,3.0,0,2,0,2,0.266,113,74,16
Count/Balls-Strikes,First Pitch,23,28.0,26,2.0,8,0,0,0,,,0,0,,0.308,0.357,0.308,0.665,8.0,0.0,2.0,0,0,0,0,0.308,133,58,8
Count/Balls-Strikes,1-0 Count,14,15.0,14,6.0,6,3,0,1,,,0,0,,0.429,0.4,0.857,1.257,12.0,0.0,0.0,0,1,0,1,0.357,325,166,2
Count/Balls-Strikes,2-0 Count,6,7.0,7,2.0,2,0,0,0,,,0,0,,0.286,0.286,0.286,0.571,2.0,0.0,0.0,0,0,0,0,0.286,99,29,2
Count/Balls-Strikes,3-0 Count,4,4.0,0,0.0,0,0,0,0,,,4,0,0.0,,1.0,,,0.0,0.0,0.0,0,0,0,0,,,,0
Count/Balls-Strikes,0-1 Count,18,21.0,19,2.0,6,1,0,1,,,0,0,,0.316,0.35,0.526,0.876,10.0,0.0,1.0,1,0,0,0,0.278,200,112,4
Count/Balls-Strikes,1-1 Count,19,22.0,21,3.0,5,1,1,0,,,0,0,,0.238,0.273,0.381,0.654,8.0,2.0,1.0,0,0,0,0,0.238,125,58,3
Count/Balls-Strikes,2-1 Count,10,10.0,10,5.0,3,2,0,1,,,0,0,,0.3,0.3,0.8,1.1,8.0,1.0,0.0,0,0,0,0,0.222,269,129,0
Count/Balls-Strikes,3-1 Count,8,8.0,3,0.0,1,1,0,0,,,5,0,0.0,0.333,0.75,0.667,1.417,2.0,0.0,0.0,0,0,0,1,0.333,396,116,0
Count/Balls-Strikes,0-2 Count,19,23.0,23,3.0,2,0,0,0,,,0,15,,0.087,0.087,0.087,0.174,2.0,1.0,0.0,0,0,0,0,0.25,-39,-7,2
Count/Balls-Strikes,1-2 Count,25,28.0,28,0.0,3,1,1,0,,,0,18,,0.107,0.107,0.214,0.321,6.0,0.0,0.0,0,0,0,0,0.3,9,51,1
Count/Balls-Strikes,2-2 Count,43,58.0,57,5.0,4,2,0,0,,,0,32,,0.07,0.069,0.105,0.174,6.0,0.0,0.0,0,1,0,0,0.154,-40,-22,2
Count/Balls-Strikes,Full Count,25,33.0,23,4.0,5,3,0,0,,,10,9,0.9,0.217,0.455,0.348,0.802,8.0,2.0,0.0,0,0,0,0,0.357,183,108,2
Count/Balls-Strikes,After 1-0,54,112.0,97,22.0,23,9,2,2,,,13,24,1.85,0.237,0.321,0.433,0.754,42.0,4.0,0.0,0,2,0,2,0.288,160,88,10
Count/Balls-Strikes,After 2-0,29,42.0,31,9.0,6,1,0,1,,,11,8,0.73,0.194,0.405,0.323,0.727,10.0,2.0,0.0,0,0,0,1,0.227,156,53,4
Count/Balls-Strikes,After 3-0,9,11.0,5,0.0,1,0,0,0,,,6,1,0.17,0.2,0.636,0.2,0.836,1.0,0.0,0.0,0,0,0,0,0.25,203,29,1
Count/Balls-Strikes,After 0-1,54,117.0,108,8.0,14,5,0,1,,,6,50,8.33,0.13,0.19,0.204,0.393,22.0,2.0,2.0,1,0,0,0,0.228,37,35,8
Count/Balls-Strikes,After 1-1,55,97.0,91,10.0,15,7,2,0,,,4,36,9.0,0.165,0.206,0.286,0.492,26.0,3.0,1.0,0,1,0,0,0.268,69,48,6
Count/Balls-Strikes,After 2-1,40,59.0,50,13.0,8,5,0,1,,,9,21,2.33,0.16,0.288,0.32,0.608,16.0,2.0,0.0,0,0,0,1,0.25,111,55,2
Count/Balls-Strikes,After 3-1,16,19.0,12,4.0,4,2,0,0,,,7,3,0.43,0.333,0.579,0.5,1.079,6.0,0.0,0.0,0,0,0,1,0.444,278,112,2
Count/Balls-Strikes,After 0-2,38,54.0,50,3.0,4,2,0,0,,,4,30,7.5,0.08,0.148,0.12,0.268,6.0,1.0,0.0,0,0,0,0,0.2,-6,27,2
Count/Balls-Strikes,After 1-2,48,71.0,66,1.0,7,4,1,0,,,4,37,9.25,0.106,0.155,0.197,0.352,13.0,1.0,0.0,0,1,0,0,0.233,21,45,2
