Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2010 Totals,59,245.0,228,20.0,61,12,0,3,0,1,14,46,3.29,0.268,0.312,0.36,0.671,82.0,2.0,1.0,1,1,0,1,0.322,100,85,46
Platoon Splits,vs RHB,58,125.0,117,14.0,29,8,0,0,0,0,7,22,3.14,0.248,0.29,0.316,0.607,37.0,0.0,0.0,1,0,0,1,0.305,81,69,21
Platoon Splits,vs LHB,57,120.0,111,7.0,32,4,0,3,0,1,7,24,3.43,0.288,0.333,0.405,0.739,45.0,2.0,1.0,0,1,0,0,0.341,120,100,25
Platoon Splits,vs RHB as RHP,58,125.0,117,14.0,29,8,0,0,0,0,7,22,3.14,0.248,0.29,0.316,0.607,37.0,0.0,0.0,1,0,0,1,0.305,81,72,21
Platoon Splits,vs LHB as RHP,57,120.0,111,7.0,32,4,0,3,0,1,7,24,3.43,0.288,0.333,0.405,0.739,45.0,2.0,1.0,0,1,0,0,0.341,120,97,25
Home or Away,Home,30,127.0,117,14.0,34,7,0,2,0,0,8,21,2.63,0.291,0.333,0.402,0.735,47.0,0.0,0.0,1,1,0,1,0.337,119,108,25
Home or Away,Away,29,118.0,111,6.0,27,5,0,1,0,1,6,25,4.17,0.243,0.288,0.315,0.603,35.0,2.0,1.0,0,0,0,0,0.306,80,62,21
First or Second Half,1st Half,32,138.0,132,9.0,34,8,0,3,0,1,5,25,5.0,0.258,0.285,0.386,0.671,51.0,1.0,0.0,1,0,0,1,0.298,99,82,23
First or Second Half,2nd Half,27,107.0,96,11.0,27,4,0,0,0,0,9,21,2.33,0.281,0.346,0.323,0.669,31.0,1.0,1.0,0,1,0,0,0.355,101,88,23
Months,April/March,9,41.0,38,2.0,10,2,0,0,0,1,2,7,3.5,0.263,0.3,0.316,0.616,12.0,0.0,0.0,1,0,0,0,0.323,84,69,8
Months,May,11,45.0,44,5.0,14,4,0,2,0,0,1,7,7.0,0.318,0.333,0.546,0.879,24.0,1.0,0.0,0,0,0,0,0.343,159,136,8
Months,June,8,34.0,34,1.0,6,1,0,1,0,0,0,8,,0.177,0.177,0.294,0.471,10.0,0.0,0.0,0,0,0,1,0.2,38,26,4
Months,July,9,43.0,36,5.0,13,1,0,0,0,0,6,5,0.83,0.361,0.442,0.389,0.831,14.0,1.0,0.0,0,1,0,0,0.406,150,131,12
Months,August,10,42.0,38,5.0,11,3,0,0,0,0,3,11,3.67,0.29,0.357,0.368,0.726,14.0,0.0,1.0,0,0,0,0,0.407,117,103,8
Months,Sept/Oct,12,40.0,38,2.0,7,1,0,0,0,0,2,8,4.0,0.184,0.225,0.211,0.436,8.0,0.0,0.0,0,0,0,0,0.233,31,25,6
Game Outcome for Pitcher,in Wins,3,21.0,20,2.0,5,2,0,1,0,0,1,1,1.0,0.25,0.286,0.5,0.786,10.0,0.0,0.0,0,0,0,0,0.222,131,169,2
Game Outcome for Pitcher,in Losses,1,4.0,4,1.0,2,0,0,1,0,0,0,0,,0.5,0.5,1.25,1.75,5.0,0.0,0.0,0,0,0,0,0.333,408,256,1
Game Outcome for Pitcher,in No Dec.,34,136.0,124,14.0,34,7,0,0,0,0,10,25,2.5,0.274,0.331,0.331,0.662,41.0,1.0,1.0,0,1,0,1,0.34,98,86,27
