Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2008 Totals,70,285.0,249,29.0,54,10,2,2,10,3,27,88,3.26,0.217,0.298,0.297,0.595,74.0,6.0,3.0,3,3,5,3,0.321,100,61,40
Platoon Splits,vs RHB,67,159.0,149,19.0,27,4,0,1,8,1,5,60,12.0,0.181,0.217,0.228,0.445,34.0,4.0,2.0,2,1,0,1,0.292,50,22,22
Platoon Splits,vs LHB,65,126.0,100,15.0,27,6,2,1,2,2,22,28,1.27,0.27,0.4,0.4,0.8,40.0,2.0,1.0,1,2,5,2,0.356,169,112,18
Platoon Splits,vs RHB as RHP,67,159.0,149,19.0,27,4,0,1,8,1,5,60,12.0,0.181,0.217,0.228,0.445,34.0,4.0,2.0,2,1,0,1,0.292,50,25,22
Platoon Splits,vs LHB as RHP,65,126.0,100,15.0,27,6,2,1,2,2,22,28,1.27,0.27,0.4,0.4,0.8,40.0,2.0,1.0,1,2,5,2,0.356,169,108,18
Home or Away,Home,39,154.0,137,14.0,26,6,0,0,5,2,13,49,3.77,0.19,0.261,0.234,0.495,32.0,3.0,1.0,1,2,1,2,0.289,66,38,20
Home or Away,Away,31,131.0,112,15.0,28,4,2,2,5,1,14,39,2.79,0.25,0.341,0.375,0.716,42.0,3.0,2.0,2,1,4,1,0.361,141,88,20
First or Second Half,1st Half,40,162.0,144,17.0,33,5,2,2,4,2,15,46,3.07,0.229,0.304,0.333,0.638,48.0,6.0,1.0,1,1,4,2,0.32,114,73,24
First or Second Half,2nd Half,30,123.0,105,12.0,21,5,0,0,6,1,12,42,3.5,0.2,0.289,0.248,0.537,26.0,0.0,2.0,2,2,1,1,0.323,81,44,16
Months,April/March,11,49.0,42,3.0,8,0,2,0,2,1,6,16,2.67,0.191,0.306,0.286,0.592,12.0,1.0,1.0,0,0,1,1,0.308,99,64,6
Months,May,13,54.0,49,11.0,15,3,0,2,1,0,3,15,5.0,0.306,0.34,0.49,0.829,24.0,1.0,0.0,1,1,1,1,0.394,179,124,10
Months,June,10,37.0,33,0.0,5,1,0,0,0,0,4,12,3.0,0.152,0.243,0.182,0.425,6.0,2.0,0.0,0,0,1,0,0.238,43,17,4
Months,July,11,41.0,38,4.0,6,1,0,0,1,1,3,11,3.67,0.158,0.22,0.184,0.404,7.0,2.0,0.0,0,0,1,0,0.222,36,9,5
Months,August,13,55.0,47,7.0,12,2,0,0,3,1,5,21,4.2,0.255,0.352,0.298,0.65,14.0,0.0,2.0,1,0,0,0,0.462,119,75,10
Months,Sept/Oct,12,49.0,40,4.0,8,3,0,0,3,0,6,13,2.17,0.2,0.292,0.275,0.567,11.0,0.0,0.0,1,2,1,1,0.276,91,52,5
Game Outcome for Pitcher,in Wins,3,11.0,10,0.0,1,0,0,0,0,0,0,3,,0.1,0.182,0.1,0.282,1.0,0.0,1.0,0,0,0,0,0.143,-5,-2,1
Game Outcome for Pitcher,in Losses,5,27.0,22,13.0,15,2,0,1,3,1,2,3,1.5,0.682,0.731,0.909,1.64,20.0,0.0,2.0,1,0,1,0,0.778,451,241,12
Game Outcome for Pitcher,in No Dec.,48,186.0,163,13.0,30,6,2,1,4,2,18,58,3.22,0.184,0.261,0.264,0.525,43.0,6.0,0.0,2,3,3,3,0.271,77,43,21
Game Outcome for Pitcher,in Saves,14,61.0,54,3.0,8,2,0,0,3,0,7,24,3.43,0.148,0.246,0.185,0.431,10.0,0.0,0.0,0,0,1,0,0.267,45,89,6
Game Outcome for Pitcher,in Sv Situ,35,159.0,137,19.0,32,7,0,1,6,1,17,51,3.0,0.234,0.319,0.307,0.625,42.0,0.0,1.0,2,2,4,1,0.356,110,81,24
Game Outcome for Pitcher,in non-Sv,35,126.0,112,10.0,22,3,2,1,4,2,10,37,3.7,0.196,0.272,0.286,0.558,32.0,6.0,2.0,1,1,1,2,0.28,88,51,16
Pitching Role,as Reliever,70,285.0,249,29.0,54,10,2,2,10,3,27,88,3.26,0.217,0.298,0.297,0.595,74.0,6.0,3.0,3,3,5,3,0.321,100,64,40
Batting Order Positions,Batting 1st,26,26.0,21,3.0,5,0,0,0,0,0,4,8,2.0,0.238,0.346,0.238,0.584,5.0,0.0,0.0,0,1,0,0,0.357,96,58,5
Batting Order Positions,Batting 2nd,33,33.0,31,4.0,8,2,0,0,2,0,2,4,2.0,0.258,0.303,0.323,0.626,10.0,2.0,0.0,0,0,0,1,0.296,110,70,6
Batting Order Positions,Batting 3rd,38,37.0,29,5.0,8,1,0,1,1,1,5,10,2.0,0.276,0.432,0.414,0.846,12.0,0.0,3.0,0,0,2,1,0.389,184,109,6
Batting Order Positions,Batting 4th,37,37.0,31,9.0,8,1,0,1,4,0,5,9,1.8,0.258,0.351,0.387,0.739,12.0,0.0,0.0,0,1,1,0,0.318,148,78,6
Batting Order Positions,Batting 5th,35,35.0,32,3.0,8,2,0,0,0,1,3,11,3.67,0.25,0.314,0.313,0.627,10.0,0.0,0.0,0,0,1,0,0.381,111,64,6
Batting Order Positions,Batting 6th,32,32.0,29,1.0,6,1,1,0,1,0,1,11,11.0,0.207,0.233,0.31,0.544,9.0,1.0,0.0,2,0,0,0,0.333,83,42,4
Batting Order Positions,Batting 7th,29,29.0,28,1.0,3,0,0,0,2,0,1,15,15.0,0.107,0.138,0.107,0.245,3.0,2.0,0.0,0,0,1,1,0.231,-18,-31,3
Batting Order Positions,Batting 8th,30,30.0,26,5.0,4,2,0,0,0,0,4,10,2.5,0.154,0.267,0.231,0.498,6.0,1.0,0.0,0,0,0,0,0.25,67,47,2
Batting Order Positions,Batting 9th,27,26.0,22,3.0,4,1,1,0,0,1,2,10,5.0,0.182,0.24,0.318,0.558,7.0,0.0,0.0,1,1,0,0,0.308,88,91,2
Batting Order Positions,"Bat1-2,non-P",40,59.0,52,7.0,13,2,0,0,2,0,6,12,2.0,0.25,0.322,0.289,0.611,15.0,2.0,0.0,0,1,0,1,0.317,105,65,11
Batting Order Positions,"Bat3-6,non-P",55,141.0,121,18.0,30,5,1,2,6,2,14,41,2.93,0.248,0.338,0.355,0.694,43.0,1.0,3.0,2,1,4,1,0.354,133,75,22
Batting Order Positions,"Bat7-9,non-P",45,85.0,76,9.0,11,3,1,0,2,1,7,35,5.0,0.145,0.214,0.211,0.425,16.0,3.0,0.0,1,1,1,1,0.262,43,22,7
Swung or Took First Pitch of PA,Swung at 1st Pitch,57,97.0,86,16.0,21,2,1,2,,,3,28,9.33,0.244,0.277,0.361,0.637,31.0,2.0,2.0,3,3,0,1,0.322,114,74,16
Swung or Took First Pitch of PA,Took 1st Pitch,67,188.0,163,18.0,33,8,1,0,,,24,60,2.5,0.203,0.309,0.264,0.572,43.0,4.0,1.0,0,0,5,2,0.32,93,55,24
Count/Balls-Strikes,First Pitch,24,28.0,24,5.0,7,1,1,0,,,0,0,,0.292,0.269,0.417,0.686,10.0,1.0,0.0,2,2,0,1,0.269,131,55,5
Count/Balls-Strikes,1-0 Count,12,12.0,12,1.0,4,0,0,0,,,0,0,,0.333,0.333,0.333,0.667,4.0,1.0,0.0,0,0,0,0,0.333,124,58,4
