Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2010 Totals,65,287.0,252,34.0,57,14,0,7,11,0,28,76,2.71,0.226,0.309,0.365,0.674,92.0,2.0,2.0,5,0,4,2,0.296,100,86,36
Platoon Splits,vs RHB,60,129.0,111,18.0,21,7,0,3,6,0,13,29,2.23,0.189,0.286,0.333,0.619,37.0,2.0,2.0,3,0,1,1,0.228,84,72,11
Platoon Splits,vs LHB,63,158.0,141,17.0,36,7,0,4,5,0,15,47,3.13,0.255,0.327,0.39,0.717,55.0,0.0,0.0,2,0,3,1,0.356,113,95,25
Platoon Splits,vs RHB as RHP,60,129.0,111,18.0,21,7,0,3,6,0,13,29,2.23,0.189,0.286,0.333,0.619,37.0,2.0,2.0,3,0,1,1,0.228,84,75,11
Platoon Splits,vs LHB as RHP,63,158.0,141,17.0,36,7,0,4,5,0,15,47,3.13,0.255,0.327,0.39,0.717,55.0,0.0,0.0,2,0,3,1,0.356,113,92,25
Home or Away,Home,33,138.0,124,16.0,27,4,0,2,5,0,11,40,3.64,0.218,0.287,0.298,0.585,37.0,2.0,1.0,2,0,1,1,0.305,75,67,21
Home or Away,Away,32,149.0,128,18.0,30,10,0,5,6,0,17,36,2.12,0.234,0.329,0.43,0.759,55.0,0.0,1.0,3,0,3,1,0.287,124,102,15
First or Second Half,1st Half,35,148.0,132,16.0,28,7,0,6,3,0,12,31,2.58,0.212,0.283,0.402,0.684,53.0,1.0,1.0,3,0,1,1,0.232,102,85,15
First or Second Half,2nd Half,30,139.0,120,18.0,29,7,0,1,8,0,16,45,2.81,0.242,0.336,0.325,0.661,39.0,1.0,1.0,2,0,3,1,0.378,98,86,21
Months,April/March,11,49.0,41,3.0,7,0,0,1,2,0,8,9,1.13,0.171,0.306,0.244,0.55,10.0,1.0,0.0,0,0,1,0,0.194,66,53,6
Months,May,9,42.0,37,6.0,7,5,0,2,0,0,3,8,2.67,0.189,0.268,0.487,0.755,18.0,0.0,1.0,1,0,0,1,0.185,120,102,0
Months,June,12,47.0,44,7.0,13,2,0,3,1,0,1,11,11.0,0.296,0.311,0.546,0.857,24.0,0.0,0.0,2,0,0,0,0.333,150,129,8
