Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2022 Totals,63,258.0,232,18.0,44,5,0,4,6,0,21,73,3.48,0.19,0.269,0.263,0.531,61.0,5.0,4.0,0,0,4,1,0.258,100,53,35
Platoon Splits,vs RHB,61,139.0,123,11.0,22,3,0,2,3,0,11,35,3.18,0.179,0.268,0.252,0.52,31.0,4.0,4.0,0,0,2,0,0.233,96,49,17
Platoon Splits,vs LHB,56,119.0,109,10.0,22,2,0,2,3,0,10,38,3.8,0.202,0.269,0.275,0.544,30.0,1.0,0.0,0,0,2,1,0.29,105,58,18
Platoon Splits,vs RHB as RHP,61,139.0,123,11.0,22,3,0,2,3,0,11,35,3.18,0.179,0.268,0.252,0.52,31.0,4.0,4.0,0,0,2,0,0.233,96,51,17
Platoon Splits,vs LHB as RHP,56,119.0,109,10.0,22,2,0,2,3,0,10,38,3.8,0.202,0.269,0.275,0.544,30.0,1.0,0.0,0,0,2,1,0.29,105,56,18
Home or Away,Home,32,124.0,113,5.0,17,1,0,1,3,0,9,34,3.78,0.15,0.226,0.186,0.412,21.0,2.0,2.0,0,0,1,1,0.205,55,22,15
Home or Away,Away,31,134.0,119,13.0,27,4,0,3,3,0,12,39,3.25,0.227,0.308,0.336,0.644,40.0,3.0,2.0,0,0,3,0,0.312,143,81,20
First or Second Half,1st Half,35,139.0,124,12.0,26,4,0,3,2,0,14,39,2.79,0.21,0.295,0.315,0.61,39.0,3.0,1.0,0,0,1,0,0.281,130,74,19
First or Second Half,2nd Half,28,119.0,108,6.0,18,1,0,1,4,0,7,34,4.86,0.167,0.237,0.204,0.441,22.0,2.0,3.0,0,0,3,1,0.233,66,28,16
Months,April/March,12,43.0,41,3.0,8,1,0,1,0,0,2,13,6.5,0.195,0.233,0.293,0.525,12.0,1.0,0.0,0,0,0,0,0.259,98,55,6
Months,May,10,42.0,36,5.0,10,2,0,1,0,0,5,12,2.4,0.278,0.381,0.417,0.798,15.0,1.0,1.0,0,0,0,0,0.391,201,127,7
Months,June,7,33.0,27,2.0,5,1,0,0,2,0,6,6,1.0,0.185,0.333,0.222,0.556,6.0,1.0,0.0,0,0,0,0,0.238,109,60,4
Months,July,10,36.0,35,2.0,4,0,0,1,0,0,1,12,12.0,0.114,0.139,0.2,0.339,7.0,0.0,0.0,0,0,1,0,0.136,28,-6,3
Months,August,10,49.0,43,3.0,7,1,0,1,0,0,3,11,3.67,0.163,0.25,0.256,0.506,11.0,1.0,2.0,0,0,2,0,0.194,91,45,5
Months,Sept/Oct,14,55.0,50,3.0,10,0,0,0,4,0,4,19,4.75,0.2,0.273,0.2,0.473,10.0,1.0,1.0,0,0,1,1,0.323,78,39,10
Game Outcome for Pitcher,in Wins,5,28.0,25,3.0,5,1,0,1,0,0,2,6,3.0,0.2,0.286,0.36,0.646,9.0,1.0,1.0,0,0,1,0,0.222,144,142,3
Game Outcome for Pitcher,in Losses,4,15.0,11,9.0,6,0,0,2,0,0,4,3,0.75,0.546,0.667,1.091,1.758,12.0,1.0,0.0,0,0,1,0,0.667,564,260,4
Game Outcome for Pitcher,in No Dec.,18,72.0,61,4.0,12,2,0,0,2,0,8,15,1.88,0.197,0.31,0.23,0.539,14.0,1.0,2.0,0,0,1,0,0.261,103,61,10
Game Outcome for Pitcher,in Saves,36,143.0,135,2.0,21,2,0,1,4,0,7,49,7.0,0.156,0.203,0.193,0.395,26.0,2.0,1.0,0,0,1,1,0.235,49,90,18
Game Outcome for Pitcher,in Sv Situ,45,189.0,170,14.0,35,3,0,3,5,0,16,53,3.31,0.206,0.286,0.277,0.562,47.0,4.0,3.0,0,0,2,1,0.281,112,73,29
Game Outcome for Pitcher,in non-Sv,18,69.0,62,4.0,9,2,0,1,1,0,5,20,4.0,0.145,0.221,0.226,0.446,14.0,1.0,1.0,0,0,2,0,0.195,68,28,6
Pitching Role,as Reliever,63,258.0,232,18.0,44,5,0,4,6,0,21,73,3.48,0.19,0.269,0.263,0.531,61.0,5.0,4.0,0,0,4,1,0.258,100,55,35
Batting Order Positions,Batting 1st,19,19.0,16,2.0,5,0,0,0,0,0,3,3,1.0,0.313,0.421,0.313,0.734,5.0,0.0,0.0,0,0,0,0,0.385,176,111,5
Batting Order Positions,Batting 2nd,23,23.0,18,5.0,4,1,0,1,1,0,4,8,2.0,0.222,0.364,0.444,0.808,8.0,0.0,0.0,0,0,1,0,0.333,205,114,2
Batting Order Positions,Batting 3rd,30,30.0,29,5.0,8,1,0,1,0,0,0,6,,0.276,0.3,0.414,0.714,12.0,1.0,1.0,0,0,0,0,0.318,169,86,6
Batting Order Positions,Batting 4th,28,28.0,25,2.0,4,1,0,0,0,0,3,10,3.33,0.16,0.25,0.2,0.45,5.0,1.0,0.0,0,0,2,0,0.267,69,26,3
Batting Order Positions,Batting 5th,39,39.0,35,1.0,8,0,0,0,0,0,3,13,4.33,0.229,0.308,0.229,0.536,8.0,0.0,1.0,0,0,1,0,0.364,102,59,8
Batting Order Positions,Batting 6th,34,34.0,31,0.0,4,1,0,0,0,0,3,8,2.67,0.129,0.206,0.161,0.367,5.0,1.0,0.0,0,0,0,1,0.174,38,9,3
Batting Order Positions,Batting 7th,31,31.0,28,2.0,5,1,0,0,3,0,1,10,10.0,0.179,0.258,0.214,0.472,6.0,1.0,2.0,0,0,0,0,0.278,78,44,4
Batting Order Positions,Batting 8th,32,32.0,29,3.0,3,0,0,1,1,0,3,9,3.0,0.103,0.188,0.207,0.394,6.0,0.0,0.0,0,0,0,0,0.105,49,21,2
Batting Order Positions,Batting 9th,22,22.0,21,1.0,3,0,0,1,1,0,1,6,6.0,0.143,0.182,0.286,0.468,6.0,1.0,0.0,0,0,0,0,0.143,77,45,2
Batting Order Positions,"Bat1-2,non-P",27,42.0,34,7.0,9,1,0,1,1,0,7,11,1.57,0.265,0.39,0.382,0.773,13.0,0.0,0.0,0,0,1,0,0.364,191,113,7
Batting Order Positions,"Bat3-6,non-P",57,131.0,120,8.0,24,3,0,1,0,0,9,37,4.11,0.2,0.267,0.25,0.517,30.0,3.0,2.0,0,0,3,1,0.281,95,46,20
Batting Order Positions,"Bat7-9,non-P",42,85.0,78,6.0,11,1,0,2,5,0,5,25,5.0,0.141,0.212,0.231,0.443,18.0,2.0,2.0,0,0,0,0,0.177,67,36,8
Swung or Took First Pitch of PA,Swung at 1st Pitch,57,101.0,99,9.0,15,2,0,1,,,2,28,14.0,0.152,0.168,0.202,0.37,20.0,3.0,0.0,0,0,0,0,0.2,40,8,12
Swung or Took First Pitch of PA,Took 1st Pitch,61,157.0,133,12.0,29,3,0,3,,,19,45,2.37,0.218,0.333,0.308,0.642,41.0,2.0,4.0,0,0,4,1,0.306,141,83,23
Count/Balls-Strikes,First Pitch,24,29.0,29,3.0,6,0,0,0,,,0,0,,0.207,0.207,0.207,0.414,6.0,2.0,0.0,0,0,0,0,0.207,56,-3,6
Count/Balls-Strikes,1-0 Count,11,11.0,11,1.0,1,0,0,0,,,0,0,,0.091,0.091,0.091,0.182,1.0,0.0,0.0,0,0,0,0,0.091,-31,-57,1
Count/Balls-Strikes,2-0 Count,4,4.0,4,2.0,3,1,0,1,,,0,0,,0.75,0.75,1.75,2.5,7.0,0.0,0.0,0,0,0,0,0.667,845,402,1
Count/Balls-Strikes,3-0 Count,7,7.0,1,0.0,0,0,0,0,,,6,0,0.0,0.0,0.857,0.0,0.857,0.0,0.0,0.0,0,0,4,0,0.0,220,-8,0
