Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2011 Totals,62,253.0,220,22.0,49,14,1,3,13,2,26,67,2.58,0.223,0.305,0.336,0.642,74.0,3.0,1.0,4,2,3,2,0.303,100,79,31
Platoon Splits,vs RHB,58,114.0,101,7.0,22,6,0,2,6,0,11,23,2.09,0.218,0.295,0.337,0.631,34.0,1.0,0.0,2,0,0,2,0.263,97,78,14
Platoon Splits,vs LHB,61,139.0,119,15.0,27,8,1,1,7,2,15,44,2.93,0.227,0.314,0.336,0.65,40.0,2.0,1.0,2,2,3,0,0.342,103,80,17
Platoon Splits,vs RHB as RHP,58,114.0,101,7.0,22,6,0,2,6,0,11,23,2.09,0.218,0.295,0.337,0.631,34.0,1.0,0.0,2,0,0,2,0.263,97,83,14
Platoon Splits,vs LHB as RHP,61,139.0,119,15.0,27,8,1,1,7,2,15,44,2.93,0.227,0.314,0.336,0.65,40.0,2.0,1.0,2,2,3,0,0.342,103,76,17
Home or Away,Home,32,129.0,116,12.0,24,7,1,3,3,1,12,32,2.67,0.207,0.279,0.362,0.641,42.0,1.0,0.0,0,1,3,2,0.256,99,81,13
Home or Away,Away,30,124.0,104,10.0,25,7,0,0,10,1,14,35,2.5,0.24,0.333,0.308,0.641,32.0,2.0,1.0,4,1,0,0,0.357,101,78,18
First or Second Half,1st Half,39,157.0,136,12.0,28,8,1,1,8,0,17,41,2.41,0.206,0.29,0.302,0.592,41.0,2.0,0.0,2,2,2,1,0.281,85,68,18
First or Second Half,2nd Half,23,96.0,84,10.0,21,6,0,2,5,2,9,26,2.89,0.25,0.33,0.393,0.723,33.0,1.0,1.0,2,0,1,1,0.339,125,99,13
Months,April/March,13,50.0,43,1.0,6,3,1,0,4,0,6,12,2.0,0.14,0.245,0.256,0.501,11.0,0.0,0.0,1,0,1,1,0.194,57,42,2
Months,May,13,60.0,52,8.0,16,3,0,0,2,0,7,14,2.0,0.308,0.383,0.365,0.749,19.0,1.0,0.0,0,1,1,0,0.41,134,113,13
Months,June,10,40.0,34,3.0,6,2,0,1,2,0,4,13,3.25,0.177,0.256,0.324,0.58,11.0,1.0,0.0,1,1,0,0,0.238,80,64,3
Months,July,9,32.0,29,2.0,7,2,0,0,2,0,1,7,7.0,0.241,0.29,0.31,0.601,9.0,1.0,1.0,1,0,0,0,0.318,87,68,5
Months,August,7,27.0,24,1.0,6,2,0,0,3,1,3,9,3.0,0.25,0.333,0.333,0.667,8.0,0.0,0.0,0,0,0,0,0.4,108,83,4
Months,Sept/Oct,10,44.0,38,7.0,8,2,0,2,0,1,5,12,2.4,0.211,0.302,0.421,0.723,16.0,0.0,0.0,1,0,1,1,0.25,124,98,4
Game Outcome for Pitcher,in Wins,5,17.0,16,0.0,1,0,0,0,0,1,1,5,5.0,0.063,0.118,0.063,0.18,1.0,1.0,0.0,0,0,0,0,0.091,-43,-35,1
Game Outcome for Pitcher,in Losses,5,28.0,20,11.0,10,2,1,2,2,0,5,3,0.6,0.5,0.593,1.0,1.593,20.0,0.0,1.0,1,1,2,1,0.5,392,238,5
Game Outcome for Pitcher,in No Dec.,20,86.0,73,7.0,17,4,0,1,7,0,11,19,1.73,0.233,0.329,0.329,0.658,24.0,1.0,0.0,1,1,1,1,0.296,106,88,12
Game Outcome for Pitcher,in Saves,32,122.0,111,4.0,21,8,0,0,4,1,9,40,4.44,0.189,0.25,0.261,0.511,29.0,1.0,0.0,2,0,0,0,0.296,60,126,13
Game Outcome for Pitcher,in Sv Situ,44,183.0,160,19.0,41,13,0,2,11,1,17,53,3.12,0.256,0.328,0.375,0.703,60.0,2.0,1.0,3,2,1,1,0.365,119,112,26
Game Outcome for Pitcher,in non-Sv,18,70.0,60,3.0,8,1,1,1,2,1,9,14,1.56,0.133,0.246,0.233,0.48,14.0,1.0,0.0,1,0,2,1,0.156,50,37,5
Pitching Role,as Reliever,62,253.0,220,22.0,49,14,1,3,13,2,26,67,2.58,0.223,0.305,0.336,0.642,74.0,3.0,1.0,4,2,3,2,0.303,100,85,31
Batting Order Positions,Batting 1st,26,26.0,23,4.0,8,1,0,0,4,0,3,5,1.67,0.348,0.423,0.391,0.814,9.0,1.0,0.0,0,0,1,0,0.444,155,127,7
Batting Order Positions,Batting 2nd,24,24.0,18,2.0,4,2,0,0,2,0,6,3,0.5,0.222,0.417,0.333,0.75,6.0,0.0,0.0,0,0,1,0,0.267,136,115,2
Batting Order Positions,Batting 3rd,25,25.0,23,1.0,1,1,0,0,1,0,2,7,3.5,0.044,0.12,0.087,0.207,2.0,0.0,0.0,0,0,0,1,0.063,-35,-47,0
Batting Order Positions,Batting 4th,28,27.0,25,3.0,7,1,0,1,1,1,2,12,6.0,0.28,0.333,0.44,0.773,11.0,0.0,0.0,0,0,1,0,0.5,140,95,5
Batting Order Positions,Batting 5th,31,31.0,28,1.0,7,2,0,0,0,1,3,10,3.33,0.25,0.323,0.321,0.644,9.0,1.0,0.0,0,0,0,0,0.389,101,74,5
Batting Order Positions,Batting 6th,32,32.0,27,4.0,6,1,0,2,1,0,3,8,2.67,0.222,0.323,0.482,0.804,13.0,0.0,1.0,1,0,0,0,0.235,149,119,3
Batting Order Positions,Batting 7th,30,30.0,25,1.0,4,1,0,0,1,0,4,4,1.0,0.16,0.276,0.2,0.476,5.0,1.0,0.0,1,0,0,0,0.191,50,41,3
