Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2022 Totals,67,298.0,257,26.0,53,6,3,4,6,1,31,72,2.32,0.206,0.306,0.3,0.606,77.0,6.0,7.0,1,2,5,4,0.268,100,74,40
Platoon Splits,vs RHB,66,175.0,156,12.0,31,2,0,3,2,0,14,45,3.21,0.199,0.286,0.269,0.555,42.0,4.0,5.0,0,0,1,2,0.259,83,59,26
Platoon Splits,vs LHB,57,123.0,101,15.0,22,4,3,1,4,1,17,27,1.59,0.218,0.336,0.347,0.683,35.0,2.0,2.0,1,2,4,2,0.28,126,98,14
Platoon Splits,vs RHB as RHP,66,175.0,156,12.0,31,2,0,3,2,0,14,45,3.21,0.199,0.286,0.269,0.555,42.0,4.0,5.0,0,0,1,2,0.259,83,62,26
Platoon Splits,vs LHB as RHP,57,123.0,101,15.0,22,4,3,1,4,1,17,27,1.59,0.218,0.336,0.347,0.683,35.0,2.0,2.0,1,2,4,2,0.28,126,95,14
Home or Away,Home,37,171.0,148,12.0,28,4,2,1,3,0,18,39,2.17,0.189,0.292,0.264,0.556,39.0,3.0,4.0,0,1,3,2,0.248,83,63,21
Home or Away,Away,30,127.0,109,14.0,25,2,1,3,3,1,13,33,2.54,0.229,0.325,0.349,0.674,38.0,3.0,3.0,1,1,2,2,0.297,123,89,19
First or Second Half,1st Half,40,178.0,156,13.0,26,2,2,3,3,0,15,51,3.4,0.167,0.254,0.263,0.517,41.0,3.0,4.0,1,2,0,3,0.221,71,48,19
First or Second Half,2nd Half,27,120.0,101,13.0,27,4,1,1,3,1,16,21,1.31,0.267,0.383,0.356,0.74,36.0,3.0,3.0,0,0,5,1,0.329,144,113,21
Months,April/March,10,46.0,39,2.0,6,1,1,0,0,0,6,14,2.33,0.154,0.261,0.231,0.492,9.0,0.0,0.0,0,1,0,0,0.231,62,48,4
Months,May,11,49.0,41,4.0,6,0,0,0,1,0,7,8,1.14,0.146,0.265,0.146,0.412,6.0,2.0,0.0,0,1,0,2,0.177,35,21,6
Months,June,11,49.0,46,1.0,4,0,1,0,1,0,1,17,17.0,0.087,0.143,0.13,0.273,6.0,0.0,2.0,0,0,0,1,0.138,-10,-23,3
Months,July,12,52.0,46,8.0,14,2,0,3,1,0,3,15,5.0,0.304,0.373,0.544,0.916,25.0,2.0,2.0,1,0,1,1,0.393,203,155,9
Months,August,11,43.0,38,3.0,10,1,1,0,0,0,4,9,2.25,0.263,0.349,0.342,0.691,13.0,2.0,1.0,0,0,0,0,0.345,128,99,8
Months,Sept/Oct,12,59.0,47,8.0,13,2,0,1,3,1,10,9,0.9,0.277,0.424,0.383,0.807,18.0,0.0,2.0,0,0,4,0,0.324,166,135,10
Game Outcome for Pitcher,in Wins,4,25.0,22,1.0,2,0,0,0,0,0,1,7,7.0,0.091,0.167,0.091,0.258,2.0,1.0,1.0,1,0,0,0,0.133,-15,0,2
Game Outcome for Pitcher,in Losses,7,41.0,34,12.0,16,3,2,2,1,0,4,4,1.0,0.471,0.537,0.853,1.39,29.0,1.0,2.0,0,1,1,1,0.483,360,185,9
Game Outcome for Pitcher,in No Dec.,33,140.0,115,12.0,23,2,1,2,4,1,22,34,1.55,0.2,0.336,0.287,0.623,33.0,1.0,2.0,0,1,4,1,0.263,106,84,18
Game Outcome for Pitcher,in Saves,23,92.0,86,1.0,12,1,0,0,1,0,4,27,6.75,0.14,0.196,0.151,0.347,13.0,3.0,2.0,0,0,0,2,0.203,14,66,11
Game Outcome for Pitcher,in Sv Situ,30,129.0,116,12.0,27,3,1,2,3,0,10,32,3.2,0.233,0.302,0.328,0.63,38.0,3.0,2.0,0,1,0,3,0.301,108,93,21
Game Outcome for Pitcher,in non-Sv,37,169.0,141,14.0,26,3,2,2,3,1,21,40,1.9,0.184,0.31,0.277,0.586,39.0,3.0,5.0,1,1,5,1,0.24,94,69,19
Pitching Role,as Reliever,67,298.0,257,26.0,53,6,3,4,6,1,31,72,2.32,0.206,0.306,0.3,0.606,77.0,6.0,7.0,1,2,5,4,0.268,100,77,40
