Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2018 Totals,70,263.0,229,21.0,42,10,1,1,2,0,29,80,2.76,0.183,0.276,0.249,0.525,57.0,3.0,1.0,2,2,4,5,0.273,100,48,30
Platoon Splits,vs RHB,65,173.0,150,17.0,25,8,1,0,2,0,19,54,2.84,0.167,0.262,0.233,0.495,35.0,0.0,1.0,1,2,4,2,0.255,89,41,16
Platoon Splits,vs LHB,52,90.0,79,6.0,17,2,0,1,0,0,10,26,2.6,0.215,0.303,0.279,0.582,22.0,3.0,0.0,1,0,0,3,0.308,121,61,14
Platoon Splits,vs RHB as LHP,65,173.0,150,17.0,25,8,1,0,2,0,19,54,2.84,0.167,0.262,0.233,0.495,35.0,0.0,1.0,1,2,4,2,0.255,89,37,16
Platoon Splits,vs LHB as LHP,52,90.0,79,6.0,17,2,0,1,0,0,10,26,2.6,0.215,0.303,0.279,0.582,22.0,3.0,0.0,1,0,0,3,0.308,121,76,14
Home or Away,Home,35,129.0,114,12.0,17,2,1,1,0,0,14,47,3.36,0.149,0.242,0.211,0.453,24.0,2.0,0.0,1,0,3,1,0.242,72,29,13
Home or Away,Away,35,134.0,115,9.0,25,8,0,0,2,0,15,33,2.2,0.217,0.308,0.287,0.595,33.0,1.0,1.0,1,2,1,4,0.298,127,65,17
First or Second Half,1st Half,41,162.0,139,14.0,28,4,0,1,2,0,19,42,2.21,0.201,0.298,0.252,0.55,35.0,3.0,1.0,1,2,2,3,0.276,109,56,23
First or Second Half,2nd Half,29,101.0,90,7.0,14,6,1,0,0,0,10,38,3.8,0.156,0.24,0.244,0.484,22.0,0.0,0.0,1,0,2,2,0.269,85,35,7
Months,April/March,15,54.0,49,4.0,9,0,0,0,0,0,5,16,3.2,0.184,0.259,0.184,0.443,9.0,3.0,0.0,0,0,1,1,0.273,68,27,9
