Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2018 Totals,59,223.0,191,16.0,24,8,1,1,4,1,25,85,3.4,0.126,0.237,0.194,0.431,37.0,2.0,3.0,4,0,1,4,0.219,100,22,14
Platoon Splits,vs RHB,58,137.0,121,14.0,16,5,0,1,3,1,12,57,4.75,0.132,0.222,0.198,0.421,24.0,0.0,2.0,2,0,1,3,0.238,96,20,10
Platoon Splits,vs LHB,44,86.0,70,7.0,8,3,1,0,1,0,13,28,2.15,0.114,0.262,0.186,0.448,13.0,2.0,1.0,2,0,0,1,0.191,106,26,4
Platoon Splits,vs RHB as RHP,58,137.0,121,14.0,16,5,0,1,3,1,12,57,4.75,0.132,0.222,0.198,0.421,24.0,0.0,2.0,2,0,1,3,0.238,96,21,10
Platoon Splits,vs LHB as RHP,44,86.0,70,7.0,8,3,1,0,1,0,13,28,2.15,0.114,0.262,0.186,0.448,13.0,2.0,1.0,2,0,0,1,0.191,106,23,4
Home or Away,Home,34,125.0,113,10.0,16,5,0,1,2,0,10,46,4.6,0.142,0.224,0.212,0.436,24.0,1.0,2.0,0,0,0,2,0.227,104,24,10
Home or Away,Away,25,98.0,78,6.0,8,3,1,0,2,1,15,39,2.6,0.103,0.255,0.167,0.422,13.0,1.0,1.0,4,0,1,2,0.205,94,19,4
First or Second Half,1st Half,34,132.0,109,14.0,15,6,0,0,3,1,18,48,2.67,0.138,0.266,0.193,0.458,21.0,1.0,1.0,4,0,1,4,0.246,112,31,9
First or Second Half,2nd Half,25,91.0,82,2.0,9,2,1,1,1,0,7,37,5.29,0.11,0.198,0.195,0.393,16.0,1.0,2.0,0,0,0,0,0.182,84,10,5
Months,April/March,6,25.0,21,0.0,1,0,0,0,1,0,3,8,2.67,0.048,0.167,0.048,0.214,1.0,0.0,0.0,1,0,0,0,0.077,-5,-36,1
Months,May,13,51.0,39,10.0,6,4,0,0,1,1,9,15,1.67,0.154,0.313,0.256,0.569,10.0,1.0,0.0,3,0,1,4,0.25,164,61,2
Months,June,12,44.0,38,4.0,7,1,0,0,1,0,5,18,3.6,0.184,0.296,0.211,0.506,8.0,0.0,1.0,0,0,0,0,0.35,133,46,6
Months,July,10,39.0,36,2.0,7,2,1,1,1,0,2,15,7.5,0.194,0.256,0.389,0.645,14.0,1.0,1.0,0,0,0,0,0.3,209,72,3
Months,August,10,35.0,31,0.0,1,1,0,0,0,0,3,18,6.0,0.032,0.143,0.065,0.207,2.0,0.0,1.0,0,0,0,0,0.077,-6,-39,0
Months,Sept/Oct,8,29.0,26,0.0,2,0,0,0,0,0,3,11,3.67,0.077,0.172,0.077,0.249,2.0,0.0,0.0,0,0,0,0,0.133,12,-27,2
Game Outcome for Pitcher,in Wins,2,8.0,8,1.0,1,1,0,0,0,0,0,4,,0.125,0.125,0.25,0.375,2.0,0.0,0.0,0,0,0,1,0.25,82,34,0
Game Outcome for Pitcher,in Losses,3,18.0,13,7.0,4,1,0,1,1,0,5,2,0.4,0.308,0.5,0.615,1.115,8.0,0.0,0.0,0,0,1,1,0.3,428,132,2
Game Outcome for Pitcher,in No Dec.,42,155.0,132,8.0,17,5,1,0,3,1,17,58,3.41,0.129,0.238,0.182,0.42,24.0,2.0,2.0,4,0,0,2,0.23,94,20,11
Game Outcome for Pitcher,in Saves,12,42.0,38,0.0,2,1,0,0,0,0,3,21,7.0,0.053,0.143,0.079,0.222,3.0,0.0,1.0,0,0,0,0,0.118,1,-1,1
