Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2010 Totals,60,259.0,223,24.0,41,7,1,5,3,1,32,63,1.97,0.184,0.293,0.292,0.585,65.0,8.0,3.0,0,1,1,3,0.231,100,62,28
Platoon Splits,vs RHB,56,121.0,108,3.0,22,1,0,0,2,1,11,27,2.45,0.204,0.289,0.213,0.502,23.0,7.0,2.0,0,0,0,2,0.272,72,43,21
Platoon Splits,vs LHB,59,138.0,115,23.0,19,6,1,5,1,0,21,36,1.71,0.165,0.297,0.365,0.662,42.0,1.0,1.0,0,1,1,1,0.187,127,79,7
Platoon Splits,vs RHB as RHP,56,121.0,108,3.0,22,1,0,0,2,1,11,27,2.45,0.204,0.289,0.213,0.502,23.0,7.0,2.0,0,0,0,2,0.272,72,46,21
Platoon Splits,vs LHB as RHP,59,138.0,115,23.0,19,6,1,5,1,0,21,36,1.71,0.165,0.297,0.365,0.662,42.0,1.0,1.0,0,1,1,1,0.187,127,77,7
Home or Away,Home,35,144.0,125,12.0,23,4,1,2,3,0,15,40,2.67,0.184,0.285,0.28,0.565,35.0,3.0,3.0,0,1,0,1,0.25,94,62,16
Home or Away,Away,25,115.0,98,12.0,18,3,0,3,0,1,17,23,1.35,0.184,0.304,0.306,0.61,30.0,5.0,0.0,0,0,1,2,0.208,109,65,12
First or Second Half,1st Half,39,146.0,128,5.0,16,3,0,1,1,0,16,36,2.25,0.125,0.226,0.172,0.398,22.0,5.0,1.0,0,1,0,1,0.163,36,11,12
First or Second Half,2nd Half,21,113.0,95,19.0,25,4,1,4,2,1,16,27,1.69,0.263,0.381,0.453,0.833,43.0,3.0,2.0,0,0,1,2,0.328,186,132,16
Months,April/March,13,43.0,38,2.0,5,1,0,1,0,0,5,6,1.2,0.132,0.233,0.237,0.469,9.0,3.0,0.0,0,0,0,0,0.129,61,29,3
