Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2013 Totals,67,254.0,226,23.0,45,8,1,6,7,0,22,60,2.73,0.199,0.282,0.323,0.605,73.0,4.0,4.0,2,0,1,3,0.244,100,70,30
Platoon Splits,vs RHB,58,122.0,109,10.0,18,3,1,2,4,0,12,38,3.17,0.165,0.254,0.266,0.52,29.0,4.0,1.0,0,0,0,2,0.232,72,48,12
Platoon Splits,vs LHB,63,132.0,117,13.0,27,5,0,4,3,0,10,22,2.2,0.231,0.308,0.376,0.684,44.0,0.0,3.0,2,0,1,1,0.253,126,90,18
Platoon Splits,vs RHB as RHP,58,122.0,109,10.0,18,3,1,2,4,0,12,38,3.17,0.165,0.254,0.266,0.52,29.0,4.0,1.0,0,0,0,2,0.232,72,52,12
Platoon Splits,vs LHB as RHP,63,132.0,117,13.0,27,5,0,4,3,0,10,22,2.2,0.231,0.308,0.376,0.684,44.0,0.0,3.0,2,0,1,1,0.253,126,85,18
Home or Away,Home,38,147.0,130,15.0,25,2,1,4,5,0,13,33,2.54,0.192,0.276,0.315,0.591,41.0,2.0,2.0,2,0,1,2,0.226,95,69,18
Home or Away,Away,29,107.0,96,8.0,20,6,0,2,2,0,9,27,3.0,0.208,0.29,0.333,0.623,32.0,2.0,2.0,0,0,0,1,0.269,106,73,12
First or Second Half,1st Half,39,157.0,139,15.0,28,4,1,4,3,0,14,42,3.0,0.201,0.289,0.331,0.619,46.0,4.0,3.0,1,0,0,1,0.258,105,73,19
First or Second Half,2nd Half,28,97.0,87,8.0,17,4,0,2,4,0,8,18,2.25,0.195,0.271,0.31,0.581,27.0,0.0,1.0,1,0,1,2,0.224,92,65,11
Months,April/March,10,41.0,38,5.0,11,1,1,0,0,0,3,10,3.33,0.29,0.342,0.368,0.71,14.0,2.0,0.0,0,0,0,0,0.393,135,99,9
Months,May,14,55.0,46,7.0,5,1,0,3,1,0,7,16,2.29,0.109,0.255,0.326,0.581,15.0,1.0,2.0,0,0,0,0,0.074,91,61,1
Months,June,11,45.0,39,2.0,9,2,0,1,2,0,4,12,3.0,0.231,0.318,0.359,0.677,14.0,0.0,1.0,1,0,0,0,0.308,124,91,6
Months,July,8,31.0,31,1.0,4,0,0,0,0,0,0,6,,0.129,0.129,0.129,0.258,4.0,1.0,0.0,0,0,0,1,0.16,-14,-26,4
Months,August,14,55.0,48,5.0,10,1,0,2,3,0,6,8,1.33,0.208,0.296,0.354,0.651,17.0,0.0,0.0,1,0,1,0,0.211,115,82,7
Months,Sept/Oct,10,27.0,24,3.0,6,3,0,0,1,0,2,8,4.0,0.25,0.333,0.375,0.708,9.0,0.0,1.0,0,0,0,2,0.375,134,102,3
Game Outcome for Pitcher,in Losses,5,25.0,20,9.0,7,2,0,3,1,0,5,5,1.0,0.35,0.48,0.9,1.38,18.0,0.0,0.0,0,0,0,0,0.333,349,185,2
Game Outcome for Pitcher,in No Dec.,41,145.0,131,11.0,27,4,1,2,5,0,11,33,3.0,0.206,0.273,0.298,0.57,39.0,2.0,1.0,2,0,1,2,0.26,89,65,20
Game Outcome for Pitcher,in Saves,21,84.0,75,3.0,11,2,0,1,1,0,6,22,3.67,0.147,0.238,0.213,0.451,16.0,2.0,3.0,0,0,0,1,0.192,50,96,8
Game Outcome for Pitcher,in Sv Situ,34,131.0,112,16.0,25,6,0,4,4,0,15,27,1.8,0.223,0.336,0.384,0.72,43.0,2.0,4.0,0,0,1,1,0.259,138,117,15
Game Outcome for Pitcher,in non-Sv,33,123.0,114,7.0,20,2,1,2,3,0,7,33,4.71,0.175,0.223,0.263,0.486,30.0,2.0,0.0,2,0,0,2,0.228,61,39,15
Pitching Role,as Reliever,67,254.0,226,23.0,45,8,1,6,7,0,22,60,2.73,0.199,0.282,0.323,0.605,73.0,4.0,4.0,2,0,1,3,0.244,100,75,30
Batting Order Positions,Batting 1st,28,27.0,21,3.0,4,0,0,2,1,0,5,3,0.6,0.191,0.346,0.476,0.822,10.0,0.0,0.0,1,0,0,1,0.125,170,127,2
Batting Order Positions,Batting 2nd,34,34.0,31,5.0,5,0,1,1,2,0,2,6,3.0,0.161,0.235,0.323,0.558,10.0,0.0,1.0,0,0,1,1,0.167,83,54,3
Batting Order Positions,Batting 3rd,25,25.0,24,4.0,9,2,0,0,0,0,1,4,4.0,0.375,0.4,0.458,0.858,11.0,0.0,0.0,0,0,0,1,0.45,184,116,7
Batting Order Positions,Batting 4th,28,28.0,27,4.0,6,1,0,2,0,0,1,10,10.0,0.222,0.25,0.482,0.732,13.0,1.0,0.0,0,0,0,0,0.267,138,81,3
