Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2021 Totals,60,224.0,197,8.0,25,4,0,3,5,1,24,102,4.25,0.127,0.228,0.193,0.421,38.0,2.0,2.0,0,1,0,0,0.237,100,19,18
Platoon Splits,vs RHB,59,174.0,152,10.0,19,3,0,3,4,1,19,79,4.16,0.125,0.23,0.204,0.434,31.0,2.0,2.0,0,1,0,0,0.225,107,22,13
Platoon Splits,vs LHB,36,50.0,45,1.0,6,1,0,0,1,0,5,23,4.6,0.133,0.22,0.156,0.376,7.0,0.0,0.0,0,0,0,0,0.273,77,7,5
Platoon Splits,vs RHB as LHP,59,174.0,152,10.0,19,3,0,3,4,1,19,79,4.16,0.125,0.23,0.204,0.434,31.0,2.0,2.0,0,1,0,0,0.225,107,17,13
Platoon Splits,vs LHB as LHP,36,50.0,45,1.0,6,1,0,0,1,0,5,23,4.6,0.133,0.22,0.156,0.376,7.0,0.0,0.0,0,0,0,0,0.273,77,17,5
Home or Away,Home,34,125.0,110,5.0,15,2,0,1,3,1,13,52,4.0,0.136,0.232,0.182,0.414,20.0,1.0,1.0,0,1,0,0,0.241,96,20,12
Home or Away,Away,26,99.0,87,3.0,10,2,0,2,2,0,11,50,4.55,0.115,0.222,0.207,0.429,18.0,1.0,1.0,0,0,0,0,0.229,105,18,6
First or Second Half,1st Half,37,138.0,123,6.0,16,3,0,2,3,1,13,63,4.85,0.13,0.217,0.203,0.421,25.0,0.0,1.0,0,1,0,0,0.237,100,19,11
First or Second Half,2nd Half,23,86.0,74,2.0,9,1,0,1,2,0,11,39,3.55,0.122,0.244,0.176,0.42,13.0,2.0,1.0,0,0,0,0,0.235,98,18,7
Months,April/March,10,36.0,32,1.0,3,1,0,0,1,0,4,19,4.75,0.094,0.194,0.125,0.319,4.0,0.0,0.0,0,0,0,0,0.231,50,-5,2
Months,May,12,46.0,41,1.0,6,2,0,0,2,0,4,18,4.5,0.146,0.217,0.195,0.413,8.0,0.0,0.0,0,1,0,0,0.25,96,18,4
Months,June,11,39.0,35,0.0,3,0,0,0,0,1,4,18,4.5,0.086,0.18,0.086,0.265,3.0,0.0,0.0,0,0,0,0,0.177,23,-23,3
Months,July,6,25.0,22,6.0,6,0,0,3,0,0,2,10,5.0,0.273,0.36,0.682,1.042,15.0,1.0,1.0,0,0,0,0,0.333,411,174,3
Months,August,10,35.0,32,0.0,4,1,0,0,0,0,2,16,8.0,0.125,0.2,0.156,0.356,5.0,0.0,1.0,0,0,0,0,0.25,69,1,3
Months,Sept/Oct,11,43.0,35,0.0,3,0,0,0,2,0,8,21,2.63,0.086,0.256,0.086,0.342,3.0,1.0,0.0,0,0,0,0,0.214,57,0,3
Game Outcome for Pitcher,in Wins,4,14.0,12,0.0,0,0,0,0,0,0,1,8,8.0,0.0,0.143,0.0,0.143,0.0,0.0,1.0,0,0,0,0,0.0,-37,-42,0
Game Outcome for Pitcher,in Losses,2,10.0,8,3.0,3,0,0,1,0,0,1,4,4.0,0.375,0.5,0.75,1.25,6.0,0.0,1.0,0,0,0,0,0.667,508,150,2
Game Outcome for Pitcher,in No Dec.,20,71.0,65,3.0,7,0,0,2,2,1,6,35,5.83,0.108,0.183,0.2,0.383,13.0,1.0,0.0,0,0,0,0,0.179,84,8,5
Game Outcome for Pitcher,in Saves,34,129.0,112,2.0,15,4,0,0,3,0,16,55,3.44,0.134,0.24,0.17,0.41,19.0,1.0,0.0,0,1,0,0,0.259,93,86,11
Game Outcome for Pitcher,in Sv Situ,35,133.0,116,3.0,16,4,0,1,3,0,16,57,3.56,0.138,0.241,0.198,0.439,23.0,1.0,0.0,0,1,0,0,0.254,108,31,11
Game Outcome for Pitcher,in non-Sv,25,91.0,81,5.0,9,0,0,2,2,1,8,45,5.63,0.111,0.209,0.185,0.394,15.0,1.0,2.0,0,0,0,0,0.206,88,11,7
Pitching Role,as Reliever,60,224.0,197,8.0,25,4,0,3,5,1,24,102,4.25,0.127,0.228,0.193,0.421,38.0,2.0,2.0,0,1,0,0,0.237,100,20,18
Batting Order Positions,Batting 1st,23,23.0,17,0.0,2,0,0,0,0,0,5,10,2.0,0.118,0.348,0.118,0.465,2.0,0.0,1.0,0,0,0,0,0.286,114,32,2
Batting Order Positions,Batting 2nd,25,25.0,22,0.0,2,1,0,0,0,0,3,11,3.67,0.091,0.2,0.136,0.336,3.0,0.0,0.0,0,0,0,0,0.182,58,-9,1
Batting Order Positions,Batting 3rd,26,26.0,21,2.0,4,1,0,0,0,0,5,11,2.2,0.191,0.346,0.238,0.584,5.0,0.0,0.0,0,0,0,0,0.4,175,52,3
Batting Order Positions,Batting 4th,30,29.0,27,0.0,3,1,0,0,1,1,2,16,8.0,0.111,0.172,0.148,0.321,4.0,0.0,0.0,0,0,0,0,0.273,52,-15,2
Batting Order Positions,Batting 5th,27,27.0,24,3.0,5,1,0,0,2,0,2,8,4.0,0.208,0.259,0.25,0.509,6.0,0.0,0.0,0,1,0,0,0.294,143,41,4
Batting Order Positions,Batting 6th,27,27.0,25,1.0,3,0,0,1,1,0,2,15,7.5,0.12,0.185,0.24,0.425,6.0,1.0,0.0,0,0,0,0,0.222,106,18,2
