Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2011 Totals,68,268.0,243,30.0,57,11,2,8,6,1,21,55,2.62,0.235,0.296,0.395,0.691,96.0,2.0,1.0,1,2,2,0,0.269,100,91,36
Platoon Splits,vs RHB,63,139.0,128,15.0,26,6,0,2,3,0,7,30,4.29,0.203,0.246,0.297,0.543,38.0,1.0,1.0,1,2,1,0,0.245,58,53,18
Platoon Splits,vs LHB,64,129.0,115,19.0,31,5,2,6,3,1,14,25,1.79,0.27,0.349,0.504,0.853,58.0,1.0,0.0,0,0,1,0,0.298,146,133,18
Platoon Splits,vs RHB as RHP,63,139.0,128,15.0,26,6,0,2,3,0,7,30,4.29,0.203,0.246,0.297,0.543,38.0,1.0,1.0,1,2,1,0,0.245,58,57,18
Platoon Splits,vs LHB as RHP,64,129.0,115,19.0,31,5,2,6,3,1,14,25,1.79,0.27,0.349,0.504,0.853,58.0,1.0,0.0,0,0,1,0,0.298,146,128,18
Home or Away,Home,33,128.0,116,11.0,22,4,0,3,4,0,12,30,2.5,0.19,0.266,0.302,0.567,35.0,0.0,0.0,0,0,1,0,0.229,66,62,15
Home or Away,Away,35,140.0,127,19.0,35,7,2,5,2,1,9,25,2.78,0.276,0.324,0.48,0.804,61.0,2.0,1.0,1,2,1,0,0.303,131,117,21
First or Second Half,1st Half,43,170.0,154,16.0,34,6,2,4,5,1,15,38,2.53,0.221,0.288,0.364,0.652,56.0,1.0,0.0,0,1,0,0,0.266,89,83,22
First or Second Half,2nd Half,25,98.0,89,14.0,23,5,0,4,1,0,6,17,2.83,0.258,0.309,0.449,0.759,40.0,1.0,1.0,1,1,2,0,0.275,118,106,14
Months,April/March,13,52.0,49,4.0,11,2,0,1,1,1,3,14,4.67,0.225,0.269,0.327,0.596,16.0,0.0,0.0,0,0,0,0,0.294,74,68,8
Months,May,15,59.0,52,5.0,12,2,1,1,1,0,6,13,2.17,0.231,0.305,0.365,0.671,19.0,1.0,0.0,0,1,0,0,0.282,95,89,8
Months,June,10,41.0,37,6.0,9,1,0,2,2,0,4,10,2.5,0.243,0.317,0.432,0.75,16.0,0.0,0.0,0,0,0,0,0.28,117,111,6
Months,July,14,50.0,47,4.0,11,1,1,2,2,0,2,9,4.5,0.234,0.26,0.426,0.686,20.0,0.0,0.0,0,1,0,0,0.243,96,88,7
Months,August,9,41.0,37,11.0,13,5,0,2,0,0,3,6,2.0,0.351,0.415,0.649,1.063,24.0,1.0,1.0,0,0,2,0,0.379,205,184,6
Months,Sept/Oct,7,25.0,21,0.0,1,0,0,0,0,0,3,3,1.0,0.048,0.167,0.048,0.214,1.0,0.0,0.0,1,0,0,0,0.056,-31,-36,1
Game Outcome for Pitcher,in Wins,1,6.0,5,2.0,2,1,0,1,0,0,0,1,,0.4,0.5,1.2,1.7,6.0,0.0,1.0,0,0,0,0,0.333,373,480,0
Game Outcome for Pitcher,in Losses,4,24.0,21,11.0,10,5,0,1,0,0,3,5,1.67,0.476,0.542,0.857,1.399,18.0,0.0,0.0,0,0,2,0,0.6,300,199,4
Game Outcome for Pitcher,in No Dec.,27,107.0,98,8.0,20,2,0,2,4,0,9,19,2.11,0.204,0.271,0.286,0.557,28.0,0.0,0.0,0,0,0,0,0.234,64,58,16
Game Outcome for Pitcher,in Saves,36,131.0,119,9.0,25,3,2,4,2,1,9,30,3.33,0.21,0.262,0.37,0.631,44.0,2.0,0.0,1,2,0,0,0.241,82,179,16
Game Outcome for Pitcher,in Sv Situ,42,167.0,151,24.0,41,9,2,6,3,1,12,36,3.0,0.272,0.325,0.477,0.802,72.0,2.0,1.0,1,2,2,0,0.315,131,140,24
Game Outcome for Pitcher,in non-Sv,26,101.0,92,6.0,16,2,0,2,3,0,9,19,2.11,0.174,0.248,0.261,0.508,24.0,0.0,0.0,0,0,0,0,0.197,50,45,12
Pitching Role,as Reliever,68,268.0,243,30.0,57,11,2,8,6,1,21,55,2.62,0.235,0.296,0.395,0.691,96.0,2.0,1.0,1,2,2,0,0.269,100,98,36
Batting Order Positions,Batting 1st,40,40.0,39,4.0,8,0,0,1,2,0,1,10,10.0,0.205,0.225,0.282,0.507,11.0,0.0,0.0,0,0,0,0,0.25,47,40,7
Batting Order Positions,Batting 2nd,33,33.0,30,5.0,5,3,0,1,3,0,3,6,2.0,0.167,0.242,0.367,0.609,11.0,0.0,0.0,0,0,0,0,0.174,75,70,1
Batting Order Positions,Batting 3rd,23,23.0,18,3.0,4,1,0,0,1,0,5,3,0.6,0.222,0.391,0.278,0.669,5.0,0.0,0.0,0,0,1,0,0.267,103,72,3
Batting Order Positions,Batting 4th,18,18.0,17,2.0,4,0,0,0,0,0,1,2,2.0,0.235,0.278,0.235,0.513,4.0,1.0,0.0,0,0,1,0,0.267,53,33,4
Batting Order Positions,Batting 5th,22,22.0,19,3.0,6,2,0,1,0,0,3,1,0.33,0.316,0.409,0.579,0.988,11.0,0.0,0.0,0,0,0,0,0.294,185,161,3
Batting Order Positions,Batting 6th,24,24.0,23,1.0,5,2,0,0,0,0,0,4,,0.217,0.208,0.304,0.513,7.0,0.0,0.0,0,1,0,0,0.25,47,39,3
Batting Order Positions,Batting 7th,30,30.0,26,2.0,7,1,0,1,0,0,4,5,1.25,0.269,0.367,0.423,0.79,11.0,0.0,0.0,0,0,0,0,0.3,131,128,5
Batting Order Positions,Batting 8th,36,36.0,33,10.0,9,2,0,3,0,0,0,9,,0.273,0.286,0.606,0.892,20.0,1.0,1.0,1,1,0,0,0.273,150,158,4
Batting Order Positions,Batting 9th,43,42.0,38,4.0,9,0,2,1,0,1,4,15,3.75,0.237,0.31,0.421,0.731,16.0,0.0,0.0,0,0,0,0,0.364,111,163,6
Batting Order Positions,"Bat1-2,non-P",45,73.0,69,9.0,13,3,0,2,5,0,4,16,4.0,0.188,0.233,0.319,0.552,22.0,0.0,0.0,0,0,0,0,0.216,60,53,8
Batting Order Positions,"Bat3-6,non-P",45,87.0,77,9.0,19,5,0,1,1,0,9,10,1.11,0.247,0.322,0.351,0.672,27.0,1.0,0.0,0,1,2,0,0.269,98,77,13
Batting Order Positions,"Bat7-9,non-P",52,107.0,96,16.0,25,3,2,5,0,1,8,29,3.63,0.26,0.321,0.49,0.81,47.0,1.0,1.0,1,1,0,0,0.318,133,138,15
Swung or Took First Pitch of PA,Swung at 1st Pitch,53,84.0,80,9.0,14,5,0,2,,,1,21,21.0,0.175,0.181,0.313,0.493,25.0,0.0,0.0,1,2,0,0,0.203,40,38,7
Swung or Took First Pitch of PA,Took 1st Pitch,64,184.0,163,23.0,43,6,2,6,,,20,34,1.7,0.264,0.348,0.436,0.783,71.0,2.0,1.0,0,0,2,0,0.301,128,116,29
Count/Balls-Strikes,First Pitch,26,31.0,29,5.0,7,2,0,1,,,0,0,,0.241,0.233,0.414,0.647,12.0,0.0,0.0,1,1,0,0,0.207,84,49,4
