Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2017 Totals,65,248.0,211,23.0,40,10,2,5,5,0,35,80,2.29,0.19,0.307,0.327,0.634,69.0,4.0,1.0,0,1,1,1,0.276,100,71,23
Platoon Splits,vs RHB,62,172.0,147,12.0,25,5,2,4,2,0,25,50,2.0,0.17,0.291,0.313,0.604,46.0,3.0,0.0,0,0,1,1,0.226,91,65,14
Platoon Splits,vs LHB,48,76.0,64,12.0,15,5,0,1,3,0,10,30,3.0,0.234,0.342,0.359,0.702,23.0,1.0,1.0,0,1,0,0,0.412,122,87,9
Platoon Splits,vs RHB as LHP,62,172.0,147,12.0,25,5,2,4,2,0,25,50,2.0,0.17,0.291,0.313,0.604,46.0,3.0,0.0,0,0,1,1,0.226,91,59,14
Platoon Splits,vs LHB as LHP,48,76.0,64,12.0,15,5,0,1,3,0,10,30,3.0,0.234,0.342,0.359,0.702,23.0,1.0,1.0,0,1,0,0,0.412,122,107,9
Home or Away,Home,33,123.0,103,12.0,18,3,1,3,2,0,19,39,2.05,0.175,0.309,0.311,0.62,32.0,4.0,1.0,0,0,1,1,0.246,96,72,11
Home or Away,Away,32,125.0,108,11.0,22,7,1,2,3,0,16,41,2.56,0.204,0.304,0.343,0.647,37.0,0.0,0.0,0,1,0,0,0.303,104,70,12
First or Second Half,1st Half,36,134.0,121,9.0,19,3,2,4,1,0,13,49,3.77,0.157,0.239,0.314,0.553,38.0,2.0,0.0,0,0,0,1,0.221,74,48,10
First or Second Half,2nd Half,29,114.0,90,14.0,21,7,0,1,4,0,22,31,1.41,0.233,0.386,0.344,0.73,31.0,2.0,1.0,0,1,1,0,0.339,131,100,13
Months,April/March,12,39.0,35,2.0,2,0,1,1,0,0,4,17,4.25,0.057,0.154,0.2,0.354,7.0,0.0,0.0,0,0,0,1,0.059,12,-2,0
Months,May,11,47.0,45,5.0,11,2,1,2,0,0,2,18,9.0,0.244,0.277,0.467,0.743,21.0,0.0,0.0,0,0,0,0,0.36,133,95,6
Months,June,9,32.0,26,2.0,5,1,0,1,1,0,6,9,1.5,0.192,0.344,0.346,0.69,9.0,2.0,0.0,0,0,0,0,0.25,118,83,3
Months,July,10,39.0,34,3.0,4,1,0,1,0,0,4,11,2.75,0.118,0.205,0.235,0.44,8.0,1.0,0.0,0,1,0,0,0.13,39,18,2
Months,August,13,53.0,44,5.0,10,3,0,0,3,0,9,12,1.33,0.227,0.359,0.296,0.654,13.0,0.0,0.0,0,0,1,0,0.313,107,78,7
Months,Sept/Oct,10,38.0,27,6.0,8,3,0,0,1,0,10,13,1.3,0.296,0.5,0.407,0.907,11.0,1.0,1.0,0,0,0,0,0.571,188,152,5
Game Outcome for Pitcher,in Wins,4,15.0,11,0.0,2,0,0,0,0,0,4,3,0.75,0.182,0.4,0.182,0.582,2.0,1.0,0.0,0,0,0,0,0.25,86,109,2
Game Outcome for Pitcher,in Losses,4,18.0,13,6.0,5,2,1,2,1,0,4,2,0.5,0.385,0.5,1.154,1.654,15.0,0.0,0.0,0,1,0,0,0.3,416,218,0
Game Outcome for Pitcher,in No Dec.,44,164.0,141,16.0,28,8,1,2,4,0,22,54,2.45,0.199,0.311,0.312,0.623,44.0,2.0,1.0,0,0,1,1,0.306,97,72,17
Game Outcome for Pitcher,in Saves,13,51.0,46,1.0,5,0,0,1,0,0,5,21,4.2,0.109,0.196,0.174,0.37,8.0,1.0,0.0,0,0,0,0,0.167,17,70,4
Game Outcome for Pitcher,in Sv Situ,25,97.0,88,4.0,12,2,0,2,0,0,8,39,4.88,0.136,0.206,0.227,0.434,20.0,1.0,0.0,0,1,0,1,0.208,37,31,8
Game Outcome for Pitcher,in non-Sv,40,151.0,123,19.0,28,8,2,3,5,0,27,41,1.52,0.228,0.371,0.398,0.769,49.0,3.0,1.0,0,0,1,0,0.317,143,109,15
Pitching Role,as Reliever,65,248.0,211,23.0,40,10,2,5,5,0,35,80,2.29,0.19,0.307,0.327,0.634,69.0,4.0,1.0,0,1,1,1,0.276,100,77,23
Batting Order Positions,Batting 1st,33,33.0,26,2.0,5,1,0,1,0,0,7,11,1.57,0.192,0.364,0.346,0.71,9.0,0.0,0.0,0,0,0,0,0.286,125,92,3
Batting Order Positions,Batting 2nd,30,30.0,24,1.0,2,0,0,1,0,0,6,10,1.67,0.083,0.267,0.208,0.475,5.0,2.0,0.0,0,0,0,0,0.077,51,25,1
Batting Order Positions,Batting 3rd,30,30.0,25,2.0,5,2,0,1,1,0,4,10,2.5,0.2,0.333,0.4,0.733,10.0,0.0,1.0,0,0,0,0,0.286,131,79,2
Batting Order Positions,Batting 4th,23,23.0,18,1.0,4,0,0,1,0,0,5,9,1.8,0.222,0.391,0.389,0.78,7.0,0.0,0.0,0,0,0,0,0.375,147,99,3
Batting Order Positions,Batting 5th,25,25.0,24,4.0,7,4,0,0,1,0,1,4,4.0,0.292,0.32,0.458,0.778,11.0,1.0,0.0,0,0,1,0,0.35,145,99,3
