Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2017 Totals,64,259.0,235,33.0,60,12,6,9,5,0,20,56,2.8,0.255,0.314,0.472,0.786,111.0,3.0,1.0,1,2,2,3,0.297,100,108,33
Platoon Splits,vs RHB,59,122.0,118,13.0,27,6,4,5,2,0,2,28,14.0,0.229,0.246,0.475,0.721,56.0,2.0,1.0,0,1,0,1,0.256,79,89,12
Platoon Splits,vs LHB,61,137.0,117,19.0,33,6,2,4,3,0,18,28,1.56,0.282,0.375,0.47,0.845,55.0,1.0,0.0,1,1,2,2,0.337,119,123,21
Platoon Splits,vs RHB as RHP,59,122.0,118,13.0,27,6,4,5,2,0,2,28,14.0,0.229,0.246,0.475,0.721,56.0,2.0,1.0,0,1,0,1,0.256,79,92,12
Platoon Splits,vs LHB as RHP,61,137.0,117,19.0,33,6,2,4,3,0,18,28,1.56,0.282,0.375,0.47,0.845,55.0,1.0,0.0,1,1,2,2,0.337,119,119,21
Home or Away,Home,37,153.0,139,25.0,39,8,6,6,2,0,11,32,2.91,0.281,0.329,0.554,0.883,77.0,0.0,0.0,1,2,2,1,0.32,122,137,19
Home or Away,Away,27,106.0,96,8.0,21,4,0,3,3,0,9,24,2.67,0.219,0.293,0.354,0.647,34.0,3.0,1.0,0,0,0,2,0.261,68,69,14
First or Second Half,1st Half,36,145.0,136,20.0,36,6,3,7,1,0,8,33,4.13,0.265,0.303,0.507,0.811,69.0,3.0,0.0,0,1,0,2,0.299,104,113,20
First or Second Half,2nd Half,28,114.0,99,13.0,24,6,3,2,4,0,12,23,1.92,0.242,0.327,0.424,0.752,42.0,0.0,1.0,1,1,2,1,0.293,94,100,13
Months,April/March,9,33.0,31,3.0,5,1,0,2,1,0,2,6,3.0,0.161,0.212,0.387,0.599,12.0,1.0,0.0,0,0,0,0,0.13,50,62,2
Months,May,13,58.0,56,6.0,17,4,1,3,0,0,2,18,9.0,0.304,0.328,0.571,0.899,32.0,0.0,0.0,0,0,0,0,0.4,125,136,9
Months,June,10,39.0,37,8.0,11,1,2,2,0,0,1,7,7.0,0.297,0.308,0.595,0.902,22.0,2.0,0.0,0,1,0,1,0.31,124,128,6
Months,July,13,47.0,40,5.0,7,1,0,1,3,0,7,11,1.57,0.175,0.298,0.275,0.573,11.0,0.0,0.0,0,0,1,1,0.214,53,55,5
Months,August,8,35.0,31,2.0,8,3,2,0,1,0,4,8,2.0,0.258,0.343,0.484,0.827,15.0,0.0,0.0,0,0,0,0,0.348,112,117,3
Months,Sept/Oct,11,47.0,40,9.0,12,2,1,1,0,0,4,6,1.5,0.3,0.37,0.475,0.845,19.0,0.0,1.0,1,1,1,1,0.324,119,128,8
Game Outcome for Pitcher,in Wins,3,9.0,9,0.0,0,0,0,0,0,0,0,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-100,-100,0
Game Outcome for Pitcher,in Losses,3,17.0,12,9.0,8,0,1,3,0,0,3,3,1.0,0.667,0.647,1.583,2.23,19.0,0.0,0.0,0,2,1,0,0.625,441,327,4
Game Outcome for Pitcher,in No Dec.,32,132.0,120,21.0,34,7,3,5,2,0,10,26,2.6,0.283,0.344,0.517,0.86,62.0,2.0,1.0,1,0,1,3,0.326,119,132,19
Game Outcome for Pitcher,in Saves,26,101.0,94,3.0,18,5,2,1,3,0,7,23,3.29,0.192,0.248,0.319,0.567,30.0,1.0,0.0,0,0,0,0,0.243,47,160,10
Game Outcome for Pitcher,in Sv Situ,35,145.0,129,14.0,31,6,3,4,4,0,14,29,2.07,0.24,0.317,0.426,0.744,55.0,1.0,1.0,0,1,1,1,0.278,91,123,18
Game Outcome for Pitcher,in non-Sv,29,114.0,106,19.0,29,6,3,5,1,0,6,27,4.5,0.274,0.31,0.528,0.838,56.0,2.0,0.0,1,1,1,2,0.32,111,122,15
Pitching Role,as Reliever,64,259.0,235,33.0,60,12,6,9,5,0,20,56,2.8,0.255,0.314,0.472,0.786,111.0,3.0,1.0,1,2,2,3,0.297,100,115,33
Batting Order Positions,Batting 1st,27,27.0,23,3.0,5,2,0,1,0,0,2,8,4.0,0.217,0.296,0.435,0.731,10.0,0.0,1.0,0,1,1,0,0.267,86,92,2
Batting Order Positions,Batting 2nd,28,28.0,24,5.0,7,2,1,2,0,0,4,4,1.0,0.292,0.393,0.708,1.101,17.0,0.0,0.0,0,0,1,0,0.278,175,174,2
Batting Order Positions,Batting 3rd,27,27.0,25,5.0,4,1,0,1,0,0,2,6,3.0,0.16,0.222,0.32,0.542,8.0,2.0,0.0,0,0,0,0,0.167,39,31,2
Batting Order Positions,Batting 4th,26,26.0,24,1.0,7,2,1,0,0,0,2,5,2.5,0.292,0.346,0.458,0.805,11.0,1.0,0.0,0,0,0,0,0.368,107,100,4
Batting Order Positions,Batting 5th,24,24.0,22,1.0,4,0,1,0,0,0,1,7,7.0,0.182,0.208,0.273,0.481,6.0,0.0,0.0,0,1,0,0,0.25,24,24,3
Batting Order Positions,Batting 6th,34,34.0,31,0.0,7,1,0,0,1,0,3,8,2.67,0.226,0.294,0.258,0.552,8.0,0.0,0.0,0,0,0,1,0.304,48,52,6
Batting Order Positions,Batting 7th,35,35.0,34,6.0,12,2,1,2,1,0,1,6,6.0,0.353,0.371,0.647,1.019,22.0,0.0,0.0,0,0,0,0,0.385,155,172,7
Batting Order Positions,Batting 8th,30,30.0,28,7.0,10,0,1,2,0,0,1,6,6.0,0.357,0.379,0.643,1.022,18.0,0.0,0.0,1,0,0,1,0.4,157,184,7
Batting Order Positions,Batting 9th,28,28.0,24,4.0,4,2,1,1,3,0,4,6,1.5,0.167,0.286,0.458,0.744,11.0,0.0,0.0,0,0,0,1,0.177,88,152,0
Batting Order Positions,"Bat1-2,non-P",33,55.0,47,8.0,12,4,1,3,0,0,6,12,2.0,0.255,0.346,0.575,0.92,27.0,0.0,1.0,0,1,2,0,0.273,132,135,4
Batting Order Positions,"Bat3-6,non-P",54,111.0,102,7.0,22,4,2,1,1,0,8,26,3.25,0.216,0.27,0.324,0.594,33.0,3.0,0.0,0,1,0,1,0.276,55,52,15
Batting Order Positions,"Bat7-9,non-P",42,93.0,86,17.0,26,4,3,5,4,0,6,18,3.0,0.302,0.348,0.593,0.941,51.0,0.0,0.0,1,0,0,2,0.333,137,161,14
Swung or Took First Pitch of PA,Swung at 1st Pitch,46,76.0,71,10.0,19,2,3,1,,,2,18,9.0,0.268,0.28,0.423,0.703,30.0,1.0,0.0,1,2,0,1,0.333,79,89,13
