Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2016 Totals,69,286.0,256,32.0,60,13,3,8,5,0,25,102,4.08,0.234,0.306,0.402,0.709,103.0,0.0,2.0,2,1,1,4,0.354,100,91,36
Platoon Splits,vs RHB,66,146.0,130,22.0,33,7,3,6,1,0,13,56,4.31,0.254,0.331,0.492,0.823,64.0,0.0,2.0,1,0,1,2,0.397,131,122,17
Platoon Splits,vs LHB,66,140.0,126,12.0,27,6,0,2,4,0,12,46,3.83,0.214,0.281,0.31,0.59,39.0,0.0,0.0,1,1,0,2,0.317,69,61,19
Platoon Splits,vs RHB as RHP,66,146.0,130,22.0,33,7,3,6,1,0,13,56,4.31,0.254,0.331,0.492,0.823,64.0,0.0,2.0,1,0,1,2,0.397,131,125,17
Platoon Splits,vs LHB as RHP,66,140.0,126,12.0,27,6,0,2,4,0,12,46,3.83,0.214,0.281,0.31,0.59,39.0,0.0,0.0,1,1,0,2,0.317,69,58,19
Home or Away,Home,37,161.0,147,19.0,34,3,2,4,3,0,12,64,5.33,0.231,0.294,0.361,0.654,53.0,0.0,1.0,1,0,1,3,0.38,86,81,25
Home or Away,Away,32,125.0,109,13.0,26,10,1,4,2,0,13,38,2.92,0.239,0.323,0.459,0.781,50.0,0.0,1.0,1,1,0,1,0.324,120,107,11
First or Second Half,1st Half,41,162.0,147,18.0,38,7,0,5,1,0,11,50,4.55,0.259,0.313,0.408,0.721,60.0,0.0,1.0,2,1,0,3,0.355,104,94,26
First or Second Half,2nd Half,28,124.0,109,14.0,22,6,3,3,4,0,14,52,3.71,0.202,0.298,0.395,0.693,43.0,0.0,1.0,0,0,1,1,0.352,95,88,10
Months,April/March,11,52.0,46,10.0,16,2,0,4,1,0,4,14,3.5,0.348,0.392,0.652,1.044,30.0,0.0,0.0,1,1,0,2,0.414,190,184,10
