Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2021 Totals,53,222.0,194,15.0,35,5,0,3,4,2,20,61,3.05,0.18,0.284,0.253,0.536,49.0,7.0,8.0,0,0,1,1,0.246,100,51,27
Platoon Splits,vs RHB,52,117.0,103,5.0,12,1,0,0,1,0,8,34,4.25,0.117,0.222,0.126,0.348,13.0,3.0,6.0,0,0,0,1,0.174,28,1,11
Platoon Splits,vs LHB,52,105.0,91,14.0,23,4,0,3,3,2,12,27,2.25,0.253,0.352,0.396,0.748,36.0,4.0,2.0,0,0,1,0,0.328,181,108,16
Platoon Splits,vs RHB as RHP,52,117.0,103,5.0,12,1,0,0,1,0,8,34,4.25,0.117,0.222,0.126,0.348,13.0,3.0,6.0,0,0,0,1,0.174,28,3,11
Platoon Splits,vs LHB as RHP,52,105.0,91,14.0,23,4,0,3,3,2,12,27,2.25,0.253,0.352,0.396,0.748,36.0,4.0,2.0,0,0,1,0,0.328,181,104,16
Home or Away,Home,29,117.0,105,5.0,15,3,0,1,0,1,9,34,3.78,0.143,0.231,0.2,0.431,21.0,3.0,3.0,0,0,0,1,0.2,60,24,11
Home or Away,Away,24,105.0,89,10.0,20,2,0,2,4,1,11,27,2.45,0.225,0.343,0.315,0.658,28.0,4.0,5.0,0,0,1,0,0.3,145,81,16
First or Second Half,1st Half,25,100.0,92,4.0,12,2,0,2,0,1,5,25,5.0,0.13,0.2,0.217,0.417,20.0,4.0,3.0,0,0,0,1,0.154,56,17,8
First or Second Half,2nd Half,28,122.0,102,11.0,23,3,0,1,4,1,15,36,2.4,0.226,0.353,0.284,0.637,29.0,3.0,5.0,0,0,1,0,0.339,136,78,19
Months,April/March,9,36.0,33,0.0,2,0,0,0,0,0,2,12,6.0,0.061,0.139,0.061,0.2,2.0,0.0,1.0,0,0,0,0,0.095,-27,-39,2
Months,May,5,22.0,21,0.0,4,1,0,0,0,0,1,5,5.0,0.191,0.227,0.238,0.465,5.0,1.0,0.0,0,0,0,0,0.25,74,32,3
Months,June,7,28.0,25,3.0,5,0,0,2,0,1,2,4,2.0,0.2,0.286,0.44,0.726,11.0,2.0,1.0,0,0,0,0,0.158,175,95,3
Months,July,10,39.0,35,4.0,4,1,0,0,0,0,3,16,5.33,0.114,0.205,0.143,0.348,5.0,1.0,1.0,0,0,0,1,0.211,29,-2,3
Months,August,11,48.0,42,6.0,10,2,0,1,2,0,2,12,6.0,0.238,0.333,0.357,0.69,15.0,1.0,4.0,0,0,0,0,0.31,158,91,7
Months,Sept/Oct,11,49.0,38,2.0,10,1,0,0,2,1,10,12,1.2,0.263,0.429,0.29,0.718,11.0,2.0,1.0,0,0,1,0,0.385,165,102,9
Game Outcome for Pitcher,in Wins,5,18.0,16,0.0,0,0,0,0,0,1,2,4,2.0,0.0,0.111,0.0,0.111,0.0,0.0,0.0,0,0,0,0,0.0,-61,-55,0
Game Outcome for Pitcher,in Losses,1,5.0,3,4.0,2,0,0,1,0,0,1,1,1.0,0.667,0.8,1.667,2.467,5.0,0.0,1.0,0,0,0,0,1.0,841,378,1
Game Outcome for Pitcher,in No Dec.,37,164.0,142,11.0,29,4,0,2,4,1,15,44,2.93,0.204,0.311,0.275,0.586,39.0,6.0,7.0,0,0,1,1,0.281,118,67,23
Game Outcome for Pitcher,in Saves,10,35.0,33,0.0,4,1,0,0,0,0,2,12,6.0,0.121,0.171,0.152,0.323,5.0,1.0,0.0,0,0,0,0,0.191,20,47,3
