Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2021 Totals,69,278,236,21.0,36,7,0,4,10,0,36,86,2.39,0.153,0.268,0.233,0.501,55.0,4.0,2.0,1,2,4,1,0.216,100,41,25
Platoon Splits,vs RHB,65,142,118,8.0,16,3,0,1,6,0,21,48,2.29,0.136,0.27,0.186,0.456,22.0,3.0,1.0,0,1,3,0,0.214,81,31,12
Platoon Splits,vs LHB,61,136,118,14.0,20,4,0,3,4,0,15,38,2.53,0.17,0.267,0.28,0.546,33.0,1.0,1.0,1,1,1,1,0.218,120,53,13
Platoon Splits,vs RHB as RHP,65,142,118,8.0,16,3,0,1,6,0,21,48,2.29,0.136,0.27,0.186,0.456,22.0,3.0,1.0,0,1,3,0,0.214,81,34,12
Platoon Splits,vs LHB as RHP,61,136,118,14.0,20,4,0,3,4,0,15,38,2.53,0.17,0.267,0.28,0.546,33.0,1.0,1.0,1,1,1,1,0.218,120,50,13
Home or Away,Home,37,144,130,15.0,22,5,0,3,5,0,12,52,4.33,0.169,0.25,0.277,0.527,36.0,1.0,2.0,0,0,0,1,0.253,112,49,14
Home or Away,Away,32,134,106,6.0,14,2,0,1,5,0,24,34,1.42,0.132,0.288,0.179,0.467,19.0,3.0,0.0,1,2,4,0,0.178,84,32,11
First or Second Half,1st Half,36,143,116,8.0,15,1,0,1,9,0,22,41,1.86,0.129,0.27,0.164,0.433,19.0,4.0,1.0,1,2,3,0,0.184,71,26,13
First or Second Half,2nd Half,33,135,120,13.0,21,6,0,3,1,0,14,45,3.21,0.175,0.267,0.3,0.567,36.0,0.0,1.0,0,0,1,1,0.25,128,55,12
Months,April/March,9,42,32,4.0,3,0,0,1,6,0,8,13,1.63,0.094,0.268,0.188,0.456,6.0,0.0,0.0,1,1,0,0,0.105,81,35,2
Months,May,12,45,36,4.0,4,1,0,0,2,0,8,14,1.75,0.111,0.267,0.139,0.406,5.0,3.0,0.0,0,1,3,0,0.174,59,20,3
Months,June,11,39,34,0.0,4,0,0,0,0,0,4,10,2.5,0.118,0.231,0.118,0.348,4.0,0.0,1.0,0,0,0,0,0.167,37,1,4
Months,July,9,46,37,8.0,15,4,0,1,1,0,8,11,1.38,0.405,0.511,0.595,1.106,22.0,1.0,0.0,0,0,0,0,0.56,346,201,10
Months,August,14,56,51,4.0,6,2,0,1,0,0,4,20,5.0,0.118,0.196,0.216,0.412,11.0,0.0,1.0,0,0,1,0,0.167,66,14,3
Months,Sept/Oct,14,50,46,1.0,4,0,0,1,1,0,4,18,4.5,0.087,0.16,0.152,0.312,7.0,0.0,0.0,0,0,0,1,0.111,25,-14,3
Game Outcome for Pitcher,in Wins,4,21,17,1.0,2,0,0,0,0,0,4,4,1.0,0.118,0.286,0.118,0.403,2.0,0.0,0.0,0,0,1,0,0.154,57,58,2
Game Outcome for Pitcher,in Losses,4,24,18,12.0,10,3,0,2,1,0,6,5,0.83,0.556,0.667,1.056,1.722,19.0,0.0,0.0,0,0,0,0,0.727,602,243,5
Game Outcome for Pitcher,in No Dec.,23,95,75,7.0,13,2,0,2,5,0,16,23,1.44,0.173,0.312,0.28,0.592,21.0,3.0,0.0,1,2,3,0,0.212,137,68,9
Game Outcome for Pitcher,in Saves,38,138,126,1.0,11,2,0,0,4,0,10,54,5.4,0.087,0.167,0.103,0.27,13.0,1.0,2.0,0,0,0,1,0.153,7,23,9
Game Outcome for Pitcher,in Sv Situ,43,168,144,11.0,21,5,0,1,4,0,19,57,3.0,0.146,0.252,0.201,0.453,29.0,2.0,2.0,1,2,2,1,0.227,80,35,15
Game Outcome for Pitcher,in non-Sv,26,110,92,10.0,15,2,0,3,6,0,17,29,1.71,0.163,0.294,0.283,0.576,26.0,2.0,0.0,0,0,2,0,0.2,131,61,10
Pitching Role,as Reliever,69,278,236,21.0,36,7,0,4,10,0,36,86,2.39,0.153,0.268,0.233,0.501,55.0,4.0,2.0,1,2,4,1,0.216,100,43,25
Batting Order Positions,Batting 1st,31,31,29,4.0,6,1,0,0,1,0,1,5,5.0,0.207,0.226,0.241,0.467,7.0,0.0,0.0,0,1,0,1,0.24,88,24,5
