Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2008 Totals,65,276.0,247,24.0,54,18,2,3,1,0,18,84,4.67,0.219,0.288,0.344,0.632,85.0,1.0,7.0,2,2,4,1,0.315,100,69,31
Platoon Splits,vs RHB,60,145.0,132,18.0,30,10,2,2,1,0,8,42,5.25,0.227,0.278,0.379,0.657,50.0,0.0,2.0,1,2,0,1,0.311,107,77,16
Platoon Splits,vs LHB,61,131.0,115,8.0,24,8,0,1,0,0,10,42,4.2,0.209,0.3,0.304,0.604,35.0,1.0,5.0,1,0,4,0,0.319,93,60,15
Platoon Splits,vs RHB as RHP,60,145.0,132,18.0,30,10,2,2,1,0,8,42,5.25,0.227,0.278,0.379,0.657,50.0,0.0,2.0,1,2,0,1,0.311,107,82,16
Platoon Splits,vs LHB as RHP,61,131.0,115,8.0,24,8,0,1,0,0,10,42,4.2,0.209,0.3,0.304,0.604,35.0,1.0,5.0,1,0,4,0,0.319,93,57,15
Home or Away,Home,34,141.0,129,11.0,26,9,0,1,1,0,8,45,5.63,0.202,0.264,0.295,0.559,38.0,1.0,3.0,1,0,2,1,0.301,77,54,16
Home or Away,Away,31,135.0,118,13.0,28,9,2,2,0,0,10,39,3.9,0.237,0.313,0.398,0.712,47.0,0.0,4.0,1,2,2,0,0.329,124,85,15
First or Second Half,1st Half,44,182.0,159,15.0,32,11,2,1,1,0,13,55,4.23,0.201,0.283,0.315,0.598,50.0,1.0,6.0,2,2,4,0,0.295,90,62,18
First or Second Half,2nd Half,21,94.0,88,9.0,22,7,0,2,0,0,5,29,5.8,0.25,0.298,0.398,0.696,35.0,0.0,1.0,0,0,0,1,0.351,119,82,13
Months,April/March,12,50.0,45,5.0,7,1,1,1,0,0,2,12,6.0,0.156,0.225,0.289,0.513,13.0,0.0,2.0,1,0,1,0,0.188,62,40,4
Months,May,16,66.0,57,5.0,12,3,0,0,0,0,4,20,5.0,0.211,0.292,0.263,0.556,15.0,1.0,3.0,1,1,1,0,0.316,78,53,9
Months,June,11,44.0,39,1.0,7,5,0,0,0,0,3,19,6.33,0.18,0.25,0.308,0.558,12.0,0.0,1.0,0,1,1,0,0.333,76,49,2
Months,July,5,22.0,18,4.0,6,2,1,0,1,0,4,4,1.0,0.333,0.455,0.556,1.01,10.0,0.0,0.0,0,0,1,0,0.429,220,166,3
Months,August,11,43.0,41,1.0,8,2,0,0,0,0,1,13,13.0,0.195,0.233,0.244,0.477,10.0,0.0,1.0,0,0,0,0,0.286,52,27,6
Months,Sept/Oct,10,51.0,47,8.0,14,5,0,2,0,0,4,16,4.0,0.298,0.353,0.532,0.885,25.0,0.0,0.0,0,0,0,1,0.414,177,132,7
Game Outcome for Pitcher,in Wins,5,34.0,31,1.0,7,3,1,0,0,0,2,12,6.0,0.226,0.294,0.387,0.681,12.0,0.0,1.0,0,0,1,0,0.368,115,129,3
Game Outcome for Pitcher,in Losses,4,30.0,22,11.0,10,4,0,1,0,0,7,5,0.71,0.455,0.6,0.773,1.373,17.0,0.0,1.0,0,0,1,1,0.563,333,184,5
Game Outcome for Pitcher,in No Dec.,22,94.0,84,8.0,19,5,0,1,0,0,4,22,5.5,0.226,0.272,0.321,0.593,27.0,0.0,2.0,2,2,2,0,0.286,88,61,13
Game Outcome for Pitcher,in Saves,34,118.0,110,4.0,18,6,1,1,1,0,5,45,9.0,0.164,0.22,0.264,0.484,29.0,1.0,3.0,0,0,0,0,0.266,53,112,10
Game Outcome for Pitcher,in Sv Situ,40,156.0,137,16.0,30,10,2,2,1,0,12,53,4.42,0.219,0.303,0.365,0.668,50.0,1.0,5.0,1,1,2,0,0.337,111,91,16
Game Outcome for Pitcher,in non-Sv,25,120.0,110,8.0,24,8,0,1,0,0,6,31,5.17,0.218,0.269,0.318,0.587,35.0,0.0,2.0,1,1,2,1,0.291,86,59,15
Pitching Role,as Reliever,65,276.0,247,24.0,54,18,2,3,1,0,18,84,4.67,0.219,0.288,0.344,0.632,85.0,1.0,7.0,2,2,4,1,0.315,100,73,31
Batting Order Positions,Batting 1st,28,28.0,23,2.0,7,0,1,0,0,0,3,7,2.33,0.304,0.407,0.391,0.799,9.0,1.0,1.0,1,0,0,0,0.438,155,112,6
Batting Order Positions,Batting 2nd,28,28.0,26,5.0,7,3,0,0,0,0,0,9,,0.269,0.259,0.385,0.644,10.0,0.0,0.0,1,1,0,0,0.389,102,72,4
Batting Order Positions,Batting 3rd,27,27.0,21,3.0,5,2,0,1,0,0,5,6,1.2,0.238,0.407,0.476,0.884,10.0,0.0,1.0,0,0,3,0,0.286,180,115,2
Batting Order Positions,Batting 4th,30,30.0,28,5.0,5,1,0,1,0,0,1,10,10.0,0.179,0.2,0.321,0.521,9.0,0.0,0.0,0,1,0,0,0.222,63,23,3
Batting Order Positions,Batting 5th,28,28.0,25,2.0,4,0,0,1,1,0,3,11,3.67,0.16,0.25,0.28,0.53,7.0,0.0,0.0,0,0,0,0,0.231,68,37,3
