Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2013 Totals,62,269.0,230,26.0,53,10,2,6,4,2,32,56,1.75,0.23,0.326,0.37,0.695,85.0,3.0,1.0,4,1,2,4,0.278,100,96,35
Platoon Splits,vs RHB,60,145.0,126,21.0,36,6,2,5,2,1,15,25,1.67,0.286,0.359,0.484,0.843,61.0,1.0,0.0,3,1,1,4,0.32,141,137,23
Platoon Splits,vs LHB,57,124.0,104,7.0,17,4,0,1,2,1,17,31,1.82,0.164,0.287,0.231,0.518,24.0,2.0,1.0,1,0,1,0,0.222,51,47,12
Platoon Splits,vs RHB as RHP,60,145.0,126,21.0,36,6,2,5,2,1,15,25,1.67,0.286,0.359,0.484,0.843,61.0,1.0,0.0,3,1,1,4,0.32,141,143,23
Platoon Splits,vs LHB as RHP,57,124.0,104,7.0,17,4,0,1,2,1,17,31,1.82,0.164,0.287,0.231,0.518,24.0,2.0,1.0,1,0,1,0,0.222,51,43,12
Home or Away,Home,30,135.0,114,19.0,30,5,1,3,1,2,17,34,2.0,0.263,0.364,0.404,0.767,46.0,1.0,1.0,3,0,1,3,0.351,121,120,21
Home or Away,Away,32,134.0,116,7.0,23,5,1,3,3,0,15,22,1.47,0.198,0.288,0.336,0.624,39.0,2.0,0.0,1,1,1,1,0.217,79,73,14
First or Second Half,1st Half,34,139.0,122,12.0,26,4,0,4,2,1,13,35,2.69,0.213,0.289,0.344,0.633,42.0,1.0,0.0,3,0,0,3,0.265,82,77,18
First or Second Half,2nd Half,28,130.0,108,14.0,27,6,2,2,2,1,19,21,1.11,0.25,0.364,0.398,0.762,43.0,2.0,1.0,1,1,2,1,0.291,119,116,17
Months,April/March,6,21.0,19,0.0,3,0,0,0,1,0,2,6,3.0,0.158,0.238,0.158,0.396,3.0,0.0,0.0,0,0,0,0,0.231,16,14,3
Months,May,9,37.0,32,2.0,5,0,0,0,0,0,4,9,2.25,0.156,0.25,0.156,0.406,5.0,0.0,0.0,0,0,0,1,0.217,19,17,5
Months,June,13,50.0,45,4.0,11,3,0,2,0,1,2,14,7.0,0.244,0.277,0.444,0.721,20.0,1.0,0.0,3,0,0,1,0.31,105,99,6
Months,July,13,71.0,57,9.0,17,3,0,2,2,0,13,8,0.62,0.298,0.423,0.456,0.879,26.0,2.0,0.0,0,1,1,1,0.313,153,151,12
Months,August,13,53.0,45,5.0,10,2,1,1,1,1,6,8,1.33,0.222,0.327,0.378,0.705,17.0,0.0,1.0,1,0,0,0,0.25,103,97,6
Months,Sept/Oct,8,37.0,32,6.0,7,2,1,1,0,0,5,11,2.2,0.219,0.324,0.438,0.762,14.0,0.0,0.0,0,0,1,1,0.3,118,115,3
